version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
baseline,1,mybatis_where_128,1,261,52303.448,58208.000,true
baseline,1,mybatis_raw_expression,1,6499,1448.792,2624.000,true
baseline,1,mybatis_between,1,7939,1208.213,3544.000,true
baseline,1,named_dialect_MySQL,1,14758,1269.000,4144.000,true
baseline,1,named_pagination,1,9396,1412.963,4072.000,true
baseline,1,positional_union_builder,1,3521,5177.222,9768.000,true
baseline,1,raw_between,1,12888,1141.325,3384.000,true
baseline,1,named_naming_KEBAB_CASE,1,3095,5896.672,10584.000,true
baseline,1,named_update_chain_16,1,664,15056.175,47000.000,true
baseline,1,raw_subquery_structured,1,14782,1252.429,4616.000,true
baseline,1,mybatis_subquery_raw,1,21708,600.659,2272.000,true
baseline,1,positional_in_1024,1,1710,15690.819,28504.000,true
baseline,1,named_retry_rollback,1,3066,4289.596,8264.000,true
baseline,1,named_dialect_Oracle,1,10376,1320.461,4272.000,true
baseline,1,named_mixed_literals,1,9814,1479.652,3768.000,true
baseline,1,raw_raw_expression,1,12170,1481.019,2624.000,true
baseline,1,named_dialect_DB2,1,15773,1414.227,4320.000,true
baseline,1,mybatis_join_on,1,9263,1680.827,4128.000,true
baseline,1,positional_naming_CAMEL_CASE,1,6484,3491.086,4928.000,true
baseline,1,raw_condition_only,1,3976,5156.464,7816.000,true
baseline,1,raw_insert_placeholders,1,26991,692.950,1944.000,true
baseline,1,raw_repeated_names,1,855,21347.602,53896.000,true
baseline,1,positional_dialect_PostgreSQL,1,16510,1062.047,3360.000,true
baseline,1,raw_insert_values,1,11197,1007.314,2464.000,false
baseline,1,raw_late_modifier,1,17946,728.837,2480.000,true
baseline,1,raw_update_map,1,11441,1368.403,3592.000,false
baseline,1,mybatis_update_map,1,6109,1490.948,4200.000,true
baseline,1,named_subquery_structured,1,6249,1820.995,5488.000,true
baseline,1,named_insert_values,1,10802,1052.962,3048.000,true
baseline,1,mybatis_select_star,1,41880,296.562,1424.000,true
baseline,1,mybatis_repeated_names,1,442,23866.290,52872.000,true
baseline,1,mybatis_insert_placeholders,1,5339,955.647,2584.000,true
baseline,1,positional_mixed_literals,1,14384,1112.542,2800.000,true
baseline,1,positional_update_chain_16,1,2897,5943.804,22360.000,true
baseline,1,raw_batch_4,1,5472,2549.306,7584.000,false
baseline,1,positional_dialect_MySQL,1,14044,1063.059,3360.000,true
baseline,1,mybatis_retry_rollback,1,2735,4175.832,7568.000,true
baseline,1,positional_where_eq,1,22735,829.360,2664.000,true
baseline,1,positional_batch_64,1,288,20079.861,72176.000,true
baseline,1,positional_between,1,13873,1006.862,3056.000,true
baseline,1,named_join_using,1,9639,909.721,3512.000,true
baseline,1,named_between,1,14086,1285.936,3800.000,true
baseline,1,raw_in_16,1,7811,1745.039,5600.000,true
baseline,1,positional_naming_KEBAB_CASE,1,2311,4417.438,5888.000,true
baseline,1,named_naming_UPPER_CAMEL_CASE,1,3257,6333.712,10584.000,true
baseline,1,mybatis_in_17,1,5667,1952.179,6344.000,true
baseline,1,named_dialect_PostgreSQL,1,12719,1355.500,4144.000,true
baseline,1,mybatis_pagination,1,9069,1117.488,3808.000,true
baseline,1,mybatis_naming_SCREAMING_SNAKE_CASE,1,3275,6235.634,9000.000,true
baseline,1,positional_dialect_DB2,1,19236,1022.817,3544.000,true
baseline,1,mybatis_in_1024,1,128,84907.813,256896.000,true
baseline,1,named_in_17,1,6903,2375.866,7888.000,true
baseline,1,raw_pagination,1,16225,955.119,3400.000,true
baseline,1,custom_handler_union,1,1718,10610.710,16536.000,true
baseline,1,mybatis_select_expressions,1,7183,2104.455,2728.000,true
baseline,1,raw_select_entity,1,24631,565.608,2000.000,true
baseline,1,positional_naming_SCREAMING_SNAKE_CASE,1,4141,4371.504,5904.000,true
baseline,1,positional_group_order,1,4699,3139.413,6336.000,true
baseline,1,positional_batch_beans,1,1823,3686.890,10464.000,true
baseline,1,named_in_16,1,8039,2040.988,7600.000,true
baseline,1,named_select_expressions,1,9030,2326.733,2728.000,true
baseline,1,positional_raw_expression,1,12856,1466.708,2624.000,true
baseline,1,named_row_in,1,8062,1666.150,4016.000,true
baseline,1,custom_handler_where,1,3489,5896.303,10616.000,true
baseline,1,mybatis_nested,1,10657,1355.485,3416.000,true
baseline,1,raw_in_expression,1,864,20190.509,56616.000,true
baseline,1,raw_where_16,1,1994,5043.029,8840.000,true
baseline,1,raw_select_expressions,1,4987,2290.455,2728.000,true
baseline,1,mybatis_insert_entity,1,9145,883.871,2456.000,true
baseline,1,mybatis_union_builder,1,868,10624.424,16648.000,true
baseline,1,raw_union_builder,1,2252,5214.254,10160.000,true
baseline,1,positional_naming_NO_CHANGE,1,4508,3289.862,4928.000,true
baseline,1,mybatis_naming_CAMEL_CASE,1,3986,4737.506,8024.000,true
baseline,1,positional_insert_placeholders,1,28329,688.919,1944.000,true
baseline,1,positional_select_columns,1,27005,771.627,1952.000,true
baseline,1,positional_update_map,1,13084,984.172,3024.000,true
baseline,1,positional_naming_UPPER_CAMEL_CASE,1,4381,4445.104,5888.000,true
baseline,1,raw_join_on,1,8105,1737.409,3952.000,true
baseline,1,positional_union_raw,1,4430,3105.666,5200.000,true
baseline,1,named_insert_placeholders,1,9805,952.524,2888.000,true
baseline,1,raw_batch_64,1,689,28752.395,97344.000,false
baseline,1,named_in_256,1,618,24704.207,90712.000,true
baseline,1,positional_delete,1,57878,327.997,1504.000,true
baseline,1,positional_insert_values,1,22213,811.282,2104.000,true
baseline,1,positional_late_modifier,1,28331,647.626,2360.000,true
baseline,1,positional_in_16,1,25849,867.020,2656.000,true
baseline,1,named_union_raw,1,3080,3271.136,5200.000,true
baseline,1,named_condition_only,1,1932,5266.874,9560.000,true
baseline,1,named_union_builder,1,1072,9862.407,17272.000,true
baseline,1,named_naming_CAMEL_CASE,1,4321,4659.986,9624.000,true
baseline,1,positional_dialect_Oracle,1,19799,1029.380,3496.000,true
baseline,1,positional_join_using,1,21884,861.364,3056.000,true
baseline,1,named_late_modifier,1,13005,762.138,2816.000,true
baseline,1,mybatis_insert_values,1,14715,1191.682,2744.000,true
baseline,1,positional_subquery_raw,1,22310,554.406,2272.000,true
baseline,1,named_nested,1,6549,1305.222,3648.000,true
baseline,1,named_update_map,1,6189,1739.441,4752.000,true
baseline,1,raw_derived,1,2058,9013.460,15848.000,true
baseline,1,mybatis_naming_KEBAB_CASE,1,3278,5986.913,8984.000,true
baseline,1,positional_select_expressions,1,5453,2140.308,2728.000,true
baseline,1,raw_in_256,1,483,20972.050,56640.000,true
baseline,1,named_select_entity,1,18463,607.642,2000.000,true
baseline,1,raw_subquery_raw,1,13911,604.026,2272.000,true
baseline,1,mybatis_condition_only,1,2366,5160.947,7960.000,true
baseline,1,raw_nested,1,7799,1337.671,3280.000,true
baseline,1,named_select_star,1,76273,294.455,1424.000,true
baseline,1,raw_naming_NO_CHANGE,1,4884,3876.229,7880.000,true
baseline,1,named_batch_beans,1,1325,8326.189,26064.000,true
baseline,1,named_where_128,1,375,43950.133,71280.000,true
baseline,1,positional_condition_only,1,4577,3968.385,4872.000,true
baseline,1,raw_update_chain_16,1,1878,8038.871,25448.000,true
baseline,1,raw_mixed_literals,1,7624,1530.981,3192.000,true
baseline,1,raw_naming_KEBAB_CASE,1,3138,5678.330,8840.000,true
baseline,1,raw_insert_entity,1,12370,862.110,2176.000,false
baseline,1,raw_group_order,1,3206,3311.790,6432.000,true
baseline,1,named_naming_NO_CHANGE,1,4177,4646.924,9624.000,true
baseline,1,mybatis_join_using,1,11695,917.811,3352.000,true
baseline,1,named_where_16,1,2038,5736.261,10584.000,true
baseline,1,positional_select_entity,1,36461,563.043,2000.000,true
baseline,1,named_delete,1,27204,442.571,1960.000,true
baseline,1,positional_where_128,1,580,31126.207,32808.000,true
baseline,1,positional_join_on,1,11993,1777.137,3832.000,true
baseline,1,raw_where_eq,1,14285,939.979,2784.000,true
baseline,1,raw_union_raw,1,5527,3211.652,5200.000,true
baseline,1,mybatis_where_16,1,1163,5601.118,8984.000,true
baseline,1,mybatis_update_chain_16,1,667,12961.019,39936.000,true
baseline,1,mybatis_select_entity,1,22235,538.952,2000.000,true
