version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
baseline,4,raw_late_modifier,1,23754,1041.054,2480.000,true
baseline,4,mybatis_in_1024,1,122,135879.508,281472.000,true
baseline,4,raw_condition_only,1,3977,6924.089,7816.000,true
baseline,4,named_dialect_Microsoft_SQL_Server,1,6113,1835.465,4320.000,true
baseline,4,positional_select_expressions,1,4779,3519.397,2728.000,true
baseline,4,raw_insert_entity,1,23000,1353.861,2176.000,false
baseline,4,positional_group_order,1,3148,3579.670,6336.000,true
baseline,4,mybatis_group_order,1,2145,3898.508,7288.000,true
baseline,4,raw_naming_KEBAB_CASE,1,2219,6485.534,8840.000,true
baseline,4,positional_dialect_DB2,1,15112,1382.815,3544.000,true
baseline,4,raw_select_star,1,1268,424.369,1424.000,true
baseline,4,named_delete,1,20222,617.001,1960.000,true
baseline,4,named_retry_rollback,1,2342,7510.333,8264.000,true
baseline,4,named_pagination,1,8552,1467.037,4072.000,true
baseline,4,mybatis_batch_beans,1,2574,8429.876,22080.000,true
baseline,4,positional_pagination,1,10739,1044.883,3288.000,true
baseline,4,positional_union_builder,1,1755,6325.128,9768.000,true
baseline,4,raw_insert_placeholders,1,29503,1037.579,1944.000,true
baseline,4,raw_batch_beans,1,2890,8525.502,16896.000,false
baseline,4,named_dialect_DB2,1,12493,1761.723,4320.000,true
baseline,4,positional_in_expression,1,2307,4474.989,9760.000,true
baseline,4,mybatis_batch_64,1,119,37621.849,118896.000,true
baseline,4,mybatis_raw_expression,1,5809,1699.088,2624.000,true
baseline,4,raw_in_expression,1,1038,22335.645,56616.000,true
baseline,4,mybatis_select_expressions,1,4544,2743.442,2728.000,true
baseline,4,named_in_expression,1,350,31770.286,90680.000,true
baseline,4,named_insert_entity,1,5819,1091.442,2760.000,true
baseline,4,positional_naming_CAMEL_CASE,1,4973,3704.504,4928.000,true
baseline,4,raw_update_chain_16,1,2591,11327.596,25448.000,true
baseline,4,named_insert_values,1,8345,1584.937,3048.000,true
baseline,4,mybatis_subquery_raw,1,14476,757.550,2272.000,true
baseline,4,mybatis_naming_SCREAMING_SNAKE_CASE,1,1901,7433.561,9384.000,true
baseline,4,named_select_columns,1,20391,973.420,1952.000,true
baseline,4,positional_join_on,1,6284,2142.505,3832.000,true
baseline,4,positional_between,1,8632,1566.682,3056.000,true
baseline,4,named_in_256,1,409,40630.318,90712.000,true
baseline,4,raw_in_256,1,545,20053.394,56640.000,true
baseline,4,mybatis_repeated_names,1,177,41211.864,55944.000,true
baseline,4,raw_join_using,1,13617,1225.887,3176.000,true
baseline,4,mybatis_update_chain_16,1,646,18087.461,39960.000,true
baseline,4,raw_naming_UPPER_CAMEL_CASE,1,1877,6004.049,8840.000,true
baseline,4,positional_dialect_PostgreSQL,1,8291,2072.102,3360.000,true
baseline,4,named_dialect_PostgreSQL,1,6148,2387.589,4144.000,true
baseline,4,raw_where_128,1,255,47765.490,56496.000,true
baseline,4,positional_subquery_structured,1,7005,1754.461,4704.000,true
baseline,4,named_row_in,1,8394,1464.558,4016.000,true
baseline,4,mybatis_mixed_literals,1,11314,1806.222,3504.000,true
baseline,4,positional_dialect_Microsoft_SQL_Server,1,4302,1627.685,3544.000,true
baseline,4,named_naming_UPPER_CAMEL_CASE,1,1743,6667.871,10584.000,true
baseline,4,positional_dialect_Oracle,1,6742,1162.993,3496.000,true
baseline,4,positional_derived,1,1861,10454.272,15296.000,true
baseline,4,named_update_chain_16,1,853,16769.402,47000.000,true
baseline,4,positional_naming_SCREAMING_SNAKE_CASE,1,2019,4709.609,5904.000,true
baseline,4,named_union_builder,1,515,10949.126,17272.000,true
baseline,4,positional_in_16,1,18358,902.789,2656.000,true
baseline,4,positional_insert_values,1,274,936.861,2104.000,true
baseline,4,raw_where_16,1,2481,5385.933,8840.000,true
baseline,4,named_naming_NO_CHANGE,1,2066,6144.192,9624.000,true
baseline,4,raw_union_raw,1,5219,3584.576,5200.000,true
baseline,4,positional_dialect_MySQL,1,11750,1205.217,3360.000,true
baseline,4,mybatis_pagination,1,10854,1534.835,3832.000,true
baseline,4,named_batch_64,1,256,43346.875,134912.000,true
baseline,4,mybatis_in_17,1,7949,3130.847,6752.000,true
baseline,4,positional_insert_entity,1,15459,648.030,1816.000,true
baseline,4,mybatis_union_raw,1,3036,4230.468,5200.000,true
baseline,4,raw_naming_NO_CHANGE,1,2289,4637.702,7880.000,true
baseline,4,raw_between,1,13257,1408.275,3384.000,true
baseline,4,raw_derived,1,2192,11573.905,15848.000,true
baseline,4,mybatis_naming_UPPER_CAMEL_CASE,1,1647,6727.565,9368.000,true
baseline,4,mybatis_subquery_structured,1,6133,1822.371,5256.000,true
baseline,4,named_late_modifier,1,22153,801.598,2816.000,true
baseline,4,mybatis_naming_NO_CHANGE,1,1683,5476.233,8408.000,true
baseline,4,mybatis_in_expression,1,631,32212.995,72776.000,true
baseline,4,positional_union_raw,1,3031,3864.929,5200.000,true
baseline,4,positional_in_256,1,3158,4980.874,9576.000,true
baseline,4,positional_retry_rollback,1,4533,4773.660,5872.000,true
baseline,4,named_in_1024,1,62,171316.129,353216.000,true
baseline,4,positional_batch_64,1,229,19606.550,72176.000,true
baseline,4,raw_batch_4,1,7427,3277.380,7584.000,false
baseline,4,positional_update_chain_16,1,2481,9097.179,22360.000,true
baseline,4,named_join_on,1,4673,2248.491,4288.000,true
baseline,4,positional_batch_4,1,2420,2334.711,5968.000,true
baseline,4,mybatis_insert_values,1,16458,1703.706,2744.000,true
baseline,4,mybatis_select_star,1,67978,346.887,1424.000,true
baseline,4,positional_delete,1,15778,359.760,1504.000,true
baseline,4,raw_select_entity,1,11459,1076.621,2000.000,true
baseline,4,raw_select_expressions,1,8918,3025.948,2728.000,true
baseline,4,raw_group_order,1,6623,3541.794,6432.000,true
baseline,4,positional_select_star,1,1969,520.163,1424.000,true
baseline,4,named_select_star,1,73846,489.103,1424.000,true
baseline,4,positional_naming_UPPER_CAMEL_CASE,1,3530,5799.745,5888.000,true
baseline,4,raw_pagination,1,17742,1252.621,3400.000,true
baseline,4,custom_handler_union,1,1585,12111.672,16536.000,true
baseline,4,raw_row_in,1,10927,1372.325,3136.000,true
baseline,4,named_naming_KEBAB_CASE,1,1556,6562.339,10584.000,true
baseline,4,raw_in_17,1,9262,2185.824,5816.000,true
baseline,4,named_join_using,1,10587,1377.746,3512.000,true
baseline,4,named_naming_CAMEL_CASE,1,1876,6852.825,9624.000,true
baseline,4,positional_select_columns,1,14954,1200.067,1952.000,true
baseline,4,named_batch_4,1,2870,3557.909,9736.000,true
baseline,4,raw_in_1024,1,121,86992.562,220248.000,true
baseline,4,mybatis_union_builder,1,1659,13595.479,16696.000,true
baseline,4,positional_update_map,1,15440,1081.030,3024.000,true
baseline,4,named_group_order,1,3781,4726.289,7688.000,true
baseline,4,named_where_128,1,262,49322.519,71280.000,true
baseline,4,mybatis_derived,1,965,11837.824,17192.000,true
baseline,4,named_mixed_literals,1,5453,1635.925,3768.000,true
baseline,4,named_raw_expression,1,5746,1771.824,2624.000,true
baseline,4,named_naming_SCREAMING_SNAKE_CASE,1,1397,6456.908,10600.000,true
baseline,4,positional_naming_KEBAB_CASE,1,3966,4527.559,5888.000,true
baseline,4,named_dialect_MySQL,1,7924,1441.545,4144.000,true
baseline,4,named_repeated_names,1,461,28242.082,64920.000,true
baseline,4,raw_delete,1,51744,405.798,1624.000,true
baseline,4,named_subquery_raw,1,14612,616.096,2272.000,true
baseline,4,mybatis_update_map,1,5939,2080.822,4224.000,true
baseline,4,raw_subquery_structured,1,11657,1923.771,4616.000,true
baseline,4,raw_raw_expression,1,12366,1606.461,2624.000,true
baseline,4,named_batch_beans,1,699,8779.113,26064.000,true
baseline,4,named_update_map,1,5613,1789.507,4752.000,true
baseline,4,raw_mixed_literals,1,7423,1729.921,3192.000,true
baseline,4,mybatis_join_using,1,16998,1030.886,3376.000,true
baseline,4,named_in_16,1,7204,2307.357,7600.000,true
baseline,4,named_where_eq,1,18505,1146.863,3120.000,true
baseline,4,named_insert_placeholders,1,2063,1124.624,2888.000,true
baseline,4,positional_join_using,1,9457,906.366,3056.000,true
baseline,4,mybatis_insert_placeholders,1,19826,1068.092,2584.000,true
baseline,4,named_nested,1,4171,1452.026,3648.000,true
baseline,4,named_where_16,1,3086,9549.028,10584.000,true
baseline,4,mybatis_where_16,1,1666,7974.190,9368.000,true
baseline,4,named_select_entity,1,28773,708.977,2000.000,true
baseline,4,positional_raw_expression,1,11478,1623.880,2624.000,true
baseline,4,named_between,1,12065,1590.170,3800.000,true
baseline,4,positional_where_16,1,2360,5201.314,5888.000,true
baseline,4,positional_nested,1,7120,1240.239,2952.000,true
baseline,4,mybatis_nested,1,11684,1471.328,3464.000,true
baseline,4,positional_late_modifier,1,20500,719.805,2360.000,true
baseline,4,positional_mixed_literals,1,7384,1295.978,2800.000,true
baseline,4,positional_where_128,1,327,36581.957,32808.000,true
baseline,4,raw_union_builder,1,3742,6141.342,10160.000,true
baseline,4,mybatis_in_16,1,4366,2311.269,6512.000,true
baseline,4,mybatis_select_entity,1,30017,650.145,2000.000,true
baseline,4,positional_insert_placeholders,1,10032,693.152,1944.000,true
baseline,4,mybatis_batch_4,1,3402,3174.868,8784.000,true
