version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
current,1,mybatis_where_128,1,706,39628.329,34848.000,true
current,1,mybatis_raw_expression,1,20606,1507.357,1744.000,true
current,1,mybatis_between,1,12954,1776.401,2344.000,true
current,1,named_dialect_MySQL,1,6108,1361.919,2408.000,true
current,1,named_pagination,1,21912,1078.605,2384.000,true
current,1,positional_union_builder,1,5059,2673.177,3920.000,true
current,1,raw_between,1,16041,1004.576,1648.000,true
current,1,named_naming_KEBAB_CASE,1,4470,5291.387,6936.000,true
current,1,named_update_chain_16,1,2280,13897.763,24072.000,true
current,1,raw_subquery_structured,1,14281,1128.471,2720.000,true
current,1,mybatis_subquery_raw,1,22795,574.968,1344.000,true
current,1,positional_in_1024,1,4001,7132.192,20800.000,true
current,1,named_retry_rollback,1,6519,4095.812,5304.000,true
current,1,named_dialect_Oracle,1,11079,1735.689,2584.000,true
current,1,named_mixed_literals,1,20265,1454.730,2416.000,true
current,1,raw_raw_expression,1,20587,1434.104,1744.000,true
current,1,named_dialect_DB2,1,12056,1650.382,2584.000,true
current,1,mybatis_join_on,1,16009,2023.187,2648.000,true
current,1,positional_naming_CAMEL_CASE,1,9207,2929.782,1880.000,true
current,1,raw_condition_only,1,8321,3242.231,2720.000,true
current,1,raw_insert_placeholders,1,46469,558.652,1208.000,true
current,1,raw_repeated_names,1,1031,16325.509,14152.000,true
current,1,positional_dialect_PostgreSQL,1,16738,1151.954,1848.000,true
current,1,raw_insert_values,1,20696,719.791,1536.000,true
current,1,raw_late_modifier,1,40151,743.585,1344.000,true
current,1,raw_update_map,1,17970,1172.749,1960.000,true
current,1,mybatis_update_map,1,10078,1176.126,2512.000,true
current,1,named_subquery_structured,1,15042,1824.053,3568.000,true
current,1,named_insert_values,1,26556,988.937,2176.000,true
current,1,mybatis_select_star,1,108500,250.036,880.000,true
current,1,mybatis_repeated_names,1,754,19870.424,30536.000,true
current,1,mybatis_insert_placeholders,1,17895,794.574,1616.000,true
current,1,positional_mixed_literals,1,24008,1110.909,1696.000,true
current,1,positional_update_chain_16,1,4504,5351.532,14560.000,true
current,1,raw_batch_4,1,10280,1636.722,3432.000,true
current,1,positional_dialect_MySQL,1,13426,952.853,1848.000,true
current,1,mybatis_retry_rollback,1,3360,4106.637,4784.000,true
current,1,positional_where_eq,1,23740,1010.472,1592.000,true
current,1,positional_batch_64,1,2042,12831.342,25496.000,true
current,1,positional_between,1,24427,989.958,1736.000,true
current,1,named_join_using,1,24062,1172.745,2136.000,true
current,1,named_between,1,19700,1361.183,2600.000,true
current,1,raw_in_16,1,16893,860.569,1344.000,true
current,1,positional_naming_KEBAB_CASE,1,4616,3986.633,3648.000,true
current,1,named_naming_UPPER_CAMEL_CASE,1,3000,11839.100,6664.000,true
current,1,mybatis_in_17,1,8070,2639.430,4192.000,true
current,1,named_dialect_PostgreSQL,1,5446,1871.906,2408.000,true
current,1,mybatis_pagination,1,9224,1544.189,2152.000,true
current,1,mybatis_naming_SCREAMING_SNAKE_CASE,1,4080,5677.500,5352.000,true
current,1,positional_dialect_DB2,1,15475,1022.753,2032.000,true
current,1,mybatis_in_1024,1,178,113248.315,182240.000,true
current,1,named_in_17,1,12463,2615.285,5736.000,true
current,1,raw_pagination,1,19029,1259.168,1712.000,true
current,1,custom_handler_union,1,3502,7982.696,7248.000,true
current,1,mybatis_select_expressions,1,7566,2603.767,1936.000,true
current,1,raw_select_entity,1,8892,1014.316,1304.000,true
current,1,positional_naming_SCREAMING_SNAKE_CASE,1,5976,4495.549,3664.000,true
current,1,positional_group_order,1,14043,2333.810,3112.000,true
current,1,positional_batch_beans,1,4921,3771.408,6984.000,true
current,1,named_in_16,1,12510,2602.222,5520.000,true
current,1,named_select_expressions,1,14312,2025.098,1936.000,true
current,1,positional_raw_expression,1,21292,1096.957,1744.000,true
current,1,named_row_in,1,20691,1503.137,2680.000,true
current,1,custom_handler_where,1,2824,7341.962,6968.000,true
current,1,mybatis_nested,1,15489,1513.384,2024.000,true
current,1,raw_in_expression,1,2610,8367.854,3712.000,true
current,1,raw_where_16,1,2928,4626.059,3272.000,true
current,1,raw_select_expressions,1,10537,2865.351,1936.000,true
current,1,mybatis_insert_entity,1,13774,1201.583,1568.000,true
current,1,mybatis_union_builder,1,2601,6257.555,6768.000,true
current,1,raw_union_builder,1,7484,2561.344,3704.000,true
current,1,positional_naming_NO_CHANGE,1,7999,2435.204,1880.000,true
current,1,mybatis_naming_CAMEL_CASE,1,5992,4134.746,3568.000,true
current,1,positional_insert_placeholders,1,43499,610.750,1208.000,true
current,1,positional_select_columns,1,38533,1061.223,1216.000,true
current,1,positional_update_map,1,29160,1432.178,1872.000,true
current,1,positional_naming_UPPER_CAMEL_CASE,1,4506,5556.281,3376.000,true
current,1,raw_join_on,1,9442,1614.594,2336.000,true
current,1,positional_union_raw,1,19907,1443.708,1472.000,true
current,1,named_insert_placeholders,1,11453,1167.161,1920.000,true
current,1,raw_batch_64,1,1772,19542.946,32232.000,true
current,1,named_in_256,1,668,26741.168,71352.000,true
current,1,positional_delete,1,49265,400.063,1000.000,true
current,1,positional_insert_values,1,27152,817.859,1464.000,true
current,1,positional_late_modifier,1,44098,670.427,1432.000,true
current,1,positional_in_16,1,31577,1201.571,1728.000,true
current,1,named_union_raw,1,20711,1690.063,1472.000,true
current,1,named_condition_only,1,5765,5755.976,6384.000,true
current,1,named_union_builder,1,5305,5692.516,6792.000,true
current,1,named_naming_CAMEL_CASE,1,3580,4770.447,5168.000,true
current,1,positional_dialect_Oracle,1,26362,1228.875,2032.000,true
current,1,positional_join_using,1,31094,1082.659,1752.000,true
current,1,named_late_modifier,1,36025,749.599,1816.000,true
current,1,mybatis_insert_values,1,12819,1095.046,1840.000,true
current,1,positional_subquery_raw,1,23675,641.246,1344.000,true
current,1,named_nested,1,20202,1407.088,2256.000,true
current,1,named_update_map,1,18353,1229.712,2976.000,true
current,1,raw_derived,1,3872,3426.653,5216.000,true
current,1,mybatis_naming_KEBAB_CASE,1,4899,5440.192,5336.000,true
current,1,positional_select_expressions,1,13787,1743.817,1936.000,true
current,1,raw_in_256,1,3485,3985.280,2464.000,true
current,1,named_select_entity,1,38530,567.488,1304.000,true
current,1,raw_subquery_raw,1,18894,532.561,1344.000,true
current,1,mybatis_condition_only,1,4621,3608.093,4784.000,true
current,1,raw_nested,1,6277,923.132,1616.000,true
current,1,named_select_star,1,64166,220.481,880.000,true
current,1,raw_naming_NO_CHANGE,1,4406,1986.655,1504.000,true
current,1,named_batch_beans,1,3403,7028.387,18616.000,true
current,1,named_where_128,1,663,30566.214,47920.000,true
current,1,positional_condition_only,1,8092,2468.450,3104.000,true
current,1,raw_update_chain_16,1,4212,5011.159,13856.000,true
current,1,raw_mixed_literals,1,11524,1075.738,1864.000,true
current,1,raw_naming_KEBAB_CASE,1,4148,3157.546,3272.000,true
current,1,raw_insert_entity,1,33326,570.392,1264.000,true
current,1,raw_group_order,1,10317,1497.916,2952.000,true
current,1,named_naming_NO_CHANGE,1,2565,2849.786,5168.000,true
current,1,mybatis_join_using,1,25448,739.893,1976.000,true
current,1,named_where_16,1,4488,4683.601,6936.000,true
current,1,positional_select_entity,1,44262,510.399,1304.000,true
current,1,named_delete,1,62045,346.310,1384.000,true
current,1,positional_where_128,1,971,21622.657,20712.000,true
current,1,positional_join_on,1,20346,1169.247,2424.000,true
current,1,raw_where_eq,1,14218,663.216,1504.000,true
current,1,raw_union_raw,1,12134,1064.233,1472.000,true
current,1,mybatis_where_16,1,3220,4175.932,5336.000,true
current,1,mybatis_update_chain_16,1,1621,8272.980,21304.000,true
current,1,mybatis_select_entity,1,42706,470.140,1304.000,true
current,1,named_repeated_names,1,1063,19417.027,42584.000,true
current,1,named_join_on,1,17272,1222.603,2808.000,true
current,1,positional_retry_rollback,1,6299,2763.804,3864.000,true
current,1,named_subquery_raw,1,34592,467.134,1344.000,true
current,1,mybatis_in_16,1,6587,1773.326,4048.000,true
current,1,named_insert_entity,1,28874,861.585,1904.000,true
current,1,mybatis_late_modifier,1,17073,585.363,1656.000,true
current,1,raw_in_17,1,15010,582.898,1352.000,true
current,1,named_naming_SCREAMING_SNAKE_CASE,1,4572,4425.284,6952.000,true
current,1,raw_batch_beans,1,5339,3283.630,8808.000,true
current,1,named_where_eq,1,28483,765.190,1976.000,true
current,1,positional_row_in,1,15143,671.043,1608.000,true
current,1,mybatis_batch_64,1,751,21971.105,54296.000,true
current,1,mybatis_union_raw,1,12979,995.285,1472.000,true
current,1,positional_dialect_Microsoft_SQL_Server,1,12139,1060.178,2032.000,true
current,1,mybatis_derived,1,1717,4331.858,7208.000,true
current,1,mybatis_subquery_structured,1,11435,1435.654,3312.000,true
current,1,named_select_columns,1,36443,590.906,1216.000,true
current,1,raw_row_in,1,17120,893.884,1608.000,true
current,1,mybatis_in_expression,1,834,18969.904,48432.000,true
current,1,named_dialect_Microsoft_SQL_Server,1,8361,1872.635,2584.000,true
current,1,raw_join_using,1,22470,855.296,1664.000,true
current,1,raw_in_1024,1,950,14427.579,6328.000,true
current,1,positional_insert_entity,1,25959,596.968,1192.000,true
current,1,named_batch_64,1,920,22073.370,72360.000,true
current,1,mybatis_in_256,1,942,20131.423,47256.000,true
current,1,mybatis_naming_NO_CHANGE,1,3595,3403.032,3568.000,true
current,1,positional_where_16,1,7089,3098.406,3648.000,true
current,1,mybatis_batch_beans,1,3499,5640.412,14120.000,true
current,1,mybatis_delete,1,60178,315.725,1232.000,true
current,1,positional_batch_4,1,3220,1119.534,2968.000,true
current,1,positional_pagination,1,28285,829.970,1824.000,true
current,1,mybatis_group_order,1,5992,2053.822,3608.000,true
current,1,positional_repeated_names,1,1528,12785.013,17240.000,true
current,1,named_in_1024,1,184,100602.174,278560.000,true
current,1,named_in_expression,1,670,24485.821,72456.000,true
current,1,raw_naming_CAMEL_CASE,1,7796,2241.778,1504.000,true
current,1,positional_in_17,1,36108,723.167,1680.000,true
current,1,named_batch_4,1,10307,3433.958,5744.000,true
current,1,positional_derived,1,5798,3924.198,5480.000,true
current,1,positional_in_expression,1,7421,4079.369,7536.000,true
current,1,mybatis_batch_4,1,5641,2409.520,4664.000,true
current,1,raw_select_star,1,47626,211.471,880.000,true
current,1,raw_select_columns,1,17074,733.367,1216.000,true
current,1,mybatis_mixed_literals,1,12254,1051.673,2080.000,true
current,1,mybatis_select_columns,1,36809,632.468,1216.000,true
current,1,mybatis_row_in,1,10864,1351.896,2272.000,true
current,1,positional_in_256,1,9583,2583.231,6208.000,true
current,1,raw_delete,1,55812,267.881,912.000,true
