version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
baseline,1,mybatis_where_128,1,373,85541.287,58208.000,true
baseline,1,mybatis_raw_expression,1,7782,3332.074,2624.000,true
baseline,1,mybatis_between,1,11085,3896.942,3544.000,true
baseline,1,named_dialect_MySQL,1,8315,2723.019,4144.000,true
baseline,1,named_pagination,1,14893,2543.658,4072.000,true
baseline,1,positional_union_builder,1,3555,10279.437,9768.000,true
baseline,1,raw_between,1,6155,2152.413,3384.000,true
baseline,1,named_naming_KEBAB_CASE,1,1926,10778.609,10584.000,true
baseline,1,named_update_chain_16,1,943,31242.418,47000.000,true
baseline,1,raw_subquery_structured,1,7152,2888.157,4616.000,true
baseline,1,mybatis_subquery_raw,1,13159,1226.127,2272.000,true
baseline,1,positional_in_1024,1,1670,21313.892,28504.000,true
baseline,1,named_retry_rollback,1,4744,8030.122,8264.000,true
baseline,1,named_dialect_Oracle,1,8340,2847.050,4272.000,true
baseline,1,named_mixed_literals,1,9989,2888.798,3768.000,true
baseline,1,raw_raw_expression,1,5998,2652.334,2624.000,true
baseline,1,named_dialect_DB2,1,4508,2565.994,4320.000,true
baseline,1,mybatis_join_on,1,10530,2903.922,4128.000,true
baseline,1,positional_naming_CAMEL_CASE,1,2985,3809.514,4928.000,true
baseline,1,raw_condition_only,1,1892,5849.577,7816.000,true
baseline,1,raw_insert_placeholders,1,11356,1347.878,1944.000,true
baseline,1,raw_repeated_names,1,485,40926.804,53896.000,true
baseline,1,positional_dialect_PostgreSQL,1,8345,2347.693,3360.000,true
baseline,1,raw_insert_values,1,6253,2248.809,2464.000,false
baseline,1,raw_late_modifier,1,16004,1599.644,2480.000,true
baseline,1,raw_update_map,1,8495,2488.958,3592.000,false
baseline,1,mybatis_update_map,1,5843,2742.855,4200.000,true
baseline,1,named_subquery_structured,1,7635,2913.058,5488.000,true
baseline,1,named_insert_values,1,15486,1771.484,3048.000,true
baseline,1,mybatis_select_star,1,61715,445.051,1424.000,true
baseline,1,mybatis_repeated_names,1,638,36701.881,52872.000,true
baseline,1,mybatis_insert_placeholders,1,14740,1816.554,2584.000,true
baseline,1,positional_mixed_literals,1,17666,1766.070,2800.000,true
baseline,1,positional_update_chain_16,1,2081,10113.263,22360.000,true
baseline,1,raw_batch_4,1,4027,4149.193,7584.000,false
baseline,1,positional_dialect_MySQL,1,10440,1533.774,3360.000,true
