version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
baseline,1,named_nested,1,16017,1228.744,3512.000,true
baseline,1,mybatis_delete,1,49495,499.067,1808.000,true
baseline,1,raw_derived,1,2265,8651.302,15824.000,true
baseline,1,mybatis_where_16,1,3672,5326.552,8904.000,true
baseline,1,mybatis_nested,1,16643,1243.328,3280.000,true
baseline,1,named_batch_4,1,6941,2846.420,9712.000,true
baseline,1,raw_select_star,1,79196,277.942,1400.000,true
baseline,1,positional_select_columns,1,28882,813.735,1928.000,true
baseline,1,mybatis_select_expressions,1,9455,2013.897,2704.000,true
baseline,1,mybatis_raw_expression,1,13936,1490.643,2600.000,true
baseline,1,raw_retry_rollback,1,6991,3530.267,6440.000,true
baseline,1,mybatis_select_entity,1,36978,570.826,1976.000,true
baseline,1,raw_insert_entity,1,22385,790.498,2152.000,false
baseline,1,raw_where_128,1,561,36020.856,56416.000,true
baseline,1,raw_pagination,1,20259,1153.626,3376.000,true
baseline,1,raw_group_order,1,6911,3138.649,6408.000,true
baseline,1,raw_subquery_raw,1,34399,580.662,2248.000,true
baseline,1,raw_subquery_structured,1,10042,1587.463,4568.000,true
baseline,1,raw_insert_values,1,20692,963.290,2464.000,false
baseline,1,named_derived,1,2126,10592.568,17752.000,true
baseline,1,raw_raw_expression,1,13613,1565.077,2600.000,true
baseline,1,raw_update_map,1,16569,1374.187,3592.000,false
baseline,1,named_where_eq,1,20838,952.553,3096.000,true
baseline,1,raw_select_entity,1,36876,579.599,1976.000,true
baseline,1,named_row_in,1,16649,1368.923,3992.000,true
baseline,1,positional_group_order,1,6668,3143.746,6312.000,true
baseline,1,named_retry_rollback,1,5632,4906.996,8328.000,true
baseline,1,named_raw_expression,1,13909,1446.071,2600.000,true
baseline,1,mybatis_union_builder,1,2074,12694.696,16600.000,true
baseline,1,raw_union_builder,1,2816,5037.820,10112.000,true
baseline,1,named_in_16,1,10574,2190.874,7576.000,true
baseline,1,raw_nested,1,17334,1300.433,3144.000,true
baseline,1,positional_select_expressions,1,10597,2089.025,2704.000,true
baseline,1,raw_select_columns,1,24847,1020.815,1928.000,true
baseline,1,positional_union_builder,1,4159,5209.161,9720.000,true
baseline,1,positional_condition_only,1,4707,3624.984,4872.000,true
baseline,1,positional_batch_4,1,7336,1883.097,5944.000,true
baseline,1,positional_retry_rollback,1,8341,2968.229,5936.000,true
baseline,1,raw_where_eq,1,17977,985.643,2760.000,true
baseline,1,named_pagination,1,16610,1227.778,4048.000,true
baseline,1,mybatis_pagination,1,17854,1230.262,3784.000,true
baseline,1,mybatis_in_256,1,1001,22715.784,66592.000,true
baseline,1,mybatis_group_order,1,5172,3352.552,7240.000,true
baseline,1,positional_in_256,1,5512,4253.429,9552.000,true
baseline,1,positional_subquery_structured,1,14817,1295.134,4656.000,true
baseline,1,raw_in_256,1,1073,18471.482,56616.000,true
baseline,1,raw_condition_only,1,4490,4416.793,7816.000,true
baseline,1,positional_in_16,1,25314,798.270,2632.000,true
baseline,1,mybatis_subquery_raw,1,35508,583.646,2248.000,true
baseline,1,named_batch_64,1,600,34915.500,134408.000,true
baseline,1,positional_where_16,1,5251,4294.477,5808.000,true
baseline,1,mybatis_union_raw,1,6765,3337.635,5176.000,true
baseline,1,raw_late_modifier,1,28907,773.899,2456.000,true
baseline,1,mybatis_where_eq,1,17746,1009.952,2936.000,true
baseline,1,positional_where_eq,1,24267,913.306,2640.000,true
