version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
before,1,mybatis_where_128,1,223,248391.480,67464.000,true
before,1,mybatis_raw_expression,1,3510,2700.940,2616.000,true
before,1,mybatis_between,1,6566,4752.574,3640.000,true
before,1,named_dialect_MySQL,1,8154,3540.250,4216.000,true
before,1,named_pagination,1,7040,2782.841,4192.000,true
before,1,positional_union_builder,1,3752,8024.574,5920.000,true
before,1,raw_between,1,4,8675.000,3432.000,true
before,1,named_naming_KEBAB_CASE,1,1758,15857.167,11392.000,true
before,1,named_update_chain_16,1,376,37335.106,47808.000,true
before,1,raw_subquery_structured,1,6270,3644.035,4720.000,true
before,1,mybatis_subquery_raw,1,780,1570.000,2352.000,true
before,1,positional_in_1024,1,509,26418.861,28584.000,true
before,1,named_retry_rollback,1,1106,8796.564,8432.000,true
before,1,named_dialect_Oracle,1,8410,2862.378,4392.000,true
before,1,named_mixed_literals,1,5983,2837.456,3944.000,true
before,1,raw_raw_expression,1,9316,2285.305,2616.000,true
before,1,named_dialect_DB2,1,6834,3252.561,4392.000,true
before,1,mybatis_join_on,1,2073,2833.864,4216.000,true
before,1,positional_naming_CAMEL_CASE,1,1,25100.000,6408.000,true
before,1,raw_condition_only,1,2108,9309.393,8584.000,true
before,1,raw_insert_placeholders,1,11783,1404.812,2096.000,true
before,1,raw_repeated_names,1,239,44169.456,59056.000,true
before,1,positional_dialect_PostgreSQL,1,11626,2257.113,3432.000,true
before,1,raw_insert_values,1,7796,1856.901,2544.000,true
before,1,raw_late_modifier,1,185,1886.486,2560.000,true
before,1,raw_update_map,1,6734,2476.433,3712.000,true
before,1,mybatis_update_map,1,13,4907.692,4392.000,true
before,1,named_subquery_structured,1,5100,3267.608,5640.000,true
before,1,named_insert_values,1,5827,2139.437,3176.000,true
before,1,mybatis_select_star,1,6254,458.235,1240.000,true
before,1,mybatis_repeated_names,1,302,54242.715,61104.000,true
before,1,mybatis_insert_placeholders,1,5087,2010.989,2736.000,true
before,1,positional_mixed_literals,1,7348,2416.154,2976.000,true
before,1,positional_update_chain_16,1,414,13798.309,23168.000,true
before,1,raw_batch_4,1,2014,4475.223,7552.000,true
before,1,positional_dialect_MySQL,1,9479,1465.598,3432.000,true
before,1,mybatis_retry_rollback,1,792,8042.929,7760.000,true
before,1,positional_where_eq,1,10400,1613.654,2816.000,true
before,1,positional_batch_64,1,233,22421.030,72336.000,true
before,1,positional_between,1,6041,2031.899,3104.000,true
before,1,named_join_using,1,9511,1941.026,3704.000,true
before,1,named_between,1,6834,2262.760,3848.000,true
before,1,raw_in_16,1,44,6834.091,5680.000,true
before,1,positional_naming_KEBAB_CASE,1,2686,7565.748,6696.000,true
before,1,named_naming_UPPER_CAMEL_CASE,1,7,13285.714,11120.000,true
before,1,mybatis_in_17,1,1976,3791.903,6832.000,true
before,1,named_dialect_PostgreSQL,1,6888,2250.755,4216.000,true
before,1,mybatis_pagination,1,848,2281.486,3952.000,true
before,1,mybatis_naming_SCREAMING_SNAKE_CASE,1,1729,8937.420,10192.000,true
before,1,positional_dialect_DB2,1,10590,1900.444,3616.000,true
before,1,mybatis_in_1024,1,27,198177.778,281552.000,true
before,1,named_in_17,1,5123,3825.356,7968.000,true
before,1,raw_pagination,1,9936,1983.011,3520.000,true
before,1,custom_handler_union,1,2,137850.000,9468.000,true
before,1,mybatis_select_expressions,1,2005,2027.382,2512.000,true
before,1,raw_select_entity,1,241,1011.203,1992.000,true
