version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
before,1,named_nested,1,16457,1361.931,3680.000,true
before,1,mybatis_delete,1,51003,458.742,1848.000,true
before,1,raw_derived,1,5662,3548.746,7608.000,true
before,1,mybatis_where_16,1,3804,5481.073,9712.000,true
before,1,mybatis_nested,1,16404,1383.321,3448.000,true
before,1,named_batch_4,1,7568,3211.919,9808.000,true
before,1,raw_select_star,1,91639,300.609,1216.000,true
before,1,positional_select_columns,1,27587,786.675,2080.000,true
before,1,mybatis_select_expressions,1,14239,1451.303,2488.000,true
before,1,mybatis_raw_expression,1,19890,1057.647,2592.000,true
before,1,raw_retry_rollback,1,6449,3860.862,6184.000,true
before,1,mybatis_select_entity,1,36804,601.663,1968.000,true
before,1,raw_insert_entity,1,15978,802.397,2104.000,true
before,1,raw_where_128,1,440,45998.636,62600.000,true
before,1,raw_pagination,1,20409,1369.489,3496.000,true
before,1,raw_group_order,1,9465,2581.933,6232.000,true
before,1,raw_subquery_raw,1,31187,684.122,2328.000,true
before,1,raw_subquery_structured,1,12063,1290.226,4672.000,true
before,1,raw_insert_values,1,12966,975.235,2544.000,true
before,1,named_derived,1,5037,4315.942,9488.000,true
before,1,raw_raw_expression,1,20211,1028.440,2592.000,true
before,1,raw_update_map,1,17502,1215.078,3712.000,true
before,1,named_where_eq,1,20157,1022.404,3248.000,true
before,1,raw_select_entity,1,31540,615.120,1968.000,true
before,1,named_row_in,1,11662,1397.445,4120.000,true
before,1,positional_group_order,1,9967,2187.499,6136.000,true
before,1,named_retry_rollback,1,5805,6003.893,8040.000,true
before,1,named_raw_expression,1,20217,1440.253,2592.000,true
before,1,mybatis_union_builder,1,4999,5733.307,8864.000,true
before,1,raw_union_builder,1,8456,3024.610,6072.000,true
before,1,named_in_16,1,6679,2496.122,7656.000,true
before,1,raw_nested,1,16946,2022.200,3312.000,true
before,1,positional_select_expressions,1,8333,4014.293,2488.000,true
before,1,raw_select_columns,1,26679,1356.681,2080.000,true
before,1,positional_union_builder,1,8724,3448.647,5872.000,true
before,1,positional_condition_only,1,5683,4898.188,5640.000,true
before,1,positional_batch_4,1,11511,2846.243,6040.000,true
before,1,positional_retry_rollback,1,4691,3885.973,5872.000,true
