version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
current,1,mybatis_where_128,1,465,71761.935,34848.000,true
current,1,mybatis_raw_expression,1,11012,2074.982,1744.000,true
current,1,mybatis_between,1,9369,1616.651,2344.000,true
current,1,named_dialect_MySQL,1,16073,1527.941,2408.000,true
current,1,named_pagination,1,10984,1611.162,2384.000,true
current,1,positional_union_builder,1,9039,4254.785,3920.000,true
current,1,raw_between,1,26150,972.696,1648.000,true
current,1,named_naming_KEBAB_CASE,1,2479,7232.997,6936.000,true
current,1,named_update_chain_16,1,1507,22428.733,24072.000,true
current,1,raw_subquery_structured,1,10624,1779.151,2720.000,true
current,1,mybatis_subquery_raw,1,41391,734.365,1344.000,true
current,1,positional_in_1024,1,1662,13255.897,20856.000,true
current,1,named_retry_rollback,1,4101,6046.989,5304.000,true
current,1,named_dialect_Oracle,1,10707,1922.565,2584.000,true
current,1,named_mixed_literals,1,8374,2038.954,2416.000,true
current,1,raw_raw_expression,1,21297,1862.445,1744.000,true
current,1,named_dialect_DB2,1,12507,1473.079,2584.000,true
current,1,mybatis_join_on,1,8412,1880.552,2648.000,true
current,1,positional_naming_CAMEL_CASE,1,3009,7023.795,3360.000,true
current,1,raw_condition_only,1,4385,4590.718,2720.000,true
current,1,raw_insert_placeholders,1,21028,793.813,1208.000,true
current,1,raw_repeated_names,1,1731,17849.105,14152.000,true
current,1,positional_dialect_PostgreSQL,1,8446,1458.809,1848.000,true
current,1,raw_insert_values,1,24700,1147.332,1536.000,true
current,1,raw_late_modifier,1,22020,898.769,1344.000,true
current,1,raw_update_map,1,12706,1346.702,1960.000,true
current,1,mybatis_update_map,1,4388,1886.304,2512.000,true
current,1,named_subquery_structured,1,5617,2298.398,3568.000,true
current,1,named_insert_values,1,15089,1064.285,2176.000,true
current,1,mybatis_select_star,1,70951,393.018,880.000,true
current,1,mybatis_repeated_names,1,701,23856.205,30536.000,true
current,1,mybatis_insert_placeholders,1,16756,1092.439,1616.000,true
current,1,positional_mixed_literals,1,11414,1467.715,1696.000,true
current,1,positional_update_chain_16,1,1790,8559.330,14560.000,true
current,1,raw_batch_4,1,13098,2014.292,3432.000,true
current,1,positional_dialect_MySQL,1,12714,1000.488,1848.000,true
current,1,mybatis_retry_rollback,1,2867,5917.300,4784.000,true
current,1,positional_where_eq,1,29977,1182.920,1592.000,true
current,1,positional_batch_64,1,1159,18827.092,25496.000,true
current,1,positional_between,1,24972,1261.917,1736.000,true
current,1,named_join_using,1,24985,1419.220,2136.000,true
current,1,named_between,1,15283,2047.020,2600.000,true
current,1,raw_in_16,1,20119,1294.861,1344.000,true
current,1,positional_naming_KEBAB_CASE,1,2494,5404.130,3648.000,true
current,1,named_naming_UPPER_CAMEL_CASE,1,1801,8951.638,6664.000,true
current,1,mybatis_in_17,1,7622,3315.101,4192.000,true
current,1,named_dialect_PostgreSQL,1,8194,2926.861,2408.000,true
current,1,mybatis_pagination,1,13850,2190.960,2152.000,true
current,1,mybatis_naming_SCREAMING_SNAKE_CASE,1,2228,8175.000,5352.000,true
current,1,positional_dialect_DB2,1,12667,1546.886,2032.000,true
current,1,mybatis_in_1024,1,145,147568.276,182240.000,true
current,1,named_in_17,1,5570,3048.636,5736.000,true
current,1,raw_pagination,1,14819,1402.868,1712.000,true
current,1,custom_handler_union,1,1088,7956.158,7248.000,true
current,1,mybatis_select_expressions,1,7422,2089.140,1936.000,true
current,1,raw_select_entity,1,37445,836.122,1304.000,true
current,1,positional_naming_SCREAMING_SNAKE_CASE,1,126,3921.429,3664.000,true
current,1,positional_group_order,1,5346,2024.860,3112.000,true
current,1,positional_batch_beans,1,41,4831.707,7608.000,true
