version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
current,1,named_nested,1,16448,1016.677,2144.000,true
current,1,mybatis_delete,1,30931,379.221,1232.000,true
current,1,raw_derived,1,5791,3575.773,5216.000,true
current,1,mybatis_where_16,1,5427,5377.280,5280.000,true
current,1,mybatis_nested,1,11098,1416.823,1912.000,true
current,1,named_batch_4,1,6171,2636.493,5680.000,true
current,1,raw_select_star,1,101746,242.644,880.000,true
current,1,positional_select_columns,1,15527,693.901,1336.000,true
current,1,mybatis_select_expressions,1,11075,1755.115,2016.000,true
current,1,mybatis_raw_expression,1,15219,1130.331,1744.000,true
current,1,raw_retry_rollback,1,7462,3132.578,3984.000,true
current,1,mybatis_select_entity,1,19788,486.037,1304.000,true
current,1,raw_insert_entity,1,29223,618.728,1536.000,true
current,1,raw_where_128,1,852,28720.892,17720.000,true
current,1,raw_pagination,1,14199,753.145,1712.000,true
current,1,raw_group_order,1,7453,2224.393,3032.000,true
current,1,raw_subquery_raw,1,31003,525.930,1344.000,true
current,1,raw_subquery_structured,1,21085,1054.636,2720.000,true
current,1,raw_insert_values,1,22517,653.906,1536.000,true
current,1,named_derived,1,3803,4122.719,7232.000,true
current,1,raw_raw_expression,1,22349,972.249,1744.000,true
current,1,raw_update_map,1,14850,829.912,1960.000,true
current,1,named_where_eq,1,15672,1357.746,2056.000,true
current,1,raw_select_entity,1,23611,662.085,1304.000,true
current,1,named_row_in,1,12404,1067.325,2680.000,true
current,1,positional_group_order,1,13702,1598.445,3192.000,true
current,1,named_retry_rollback,1,5729,3297.364,5208.000,true
current,1,named_raw_expression,1,23635,1108.204,1744.000,true
current,1,mybatis_union_builder,1,3398,4253.531,6768.000,true
current,1,raw_union_builder,1,10031,2771.010,3704.000,true
current,1,named_in_16,1,6656,1953.801,5520.000,true
current,1,raw_nested,1,13300,882.083,1504.000,true
current,1,positional_select_expressions,1,9375,1336.491,2016.000,true
current,1,raw_select_columns,1,30575,639.928,1336.000,true
current,1,positional_union_builder,1,9720,2181.409,3920.000,true
current,1,positional_condition_only,1,8040,2707.786,3104.000,true
current,1,positional_batch_4,1,6587,1152.649,2904.000,true
current,1,positional_retry_rollback,1,5662,2225.715,3920.000,true
current,1,raw_where_eq,1,19840,607.545,1584.000,true
current,1,named_pagination,1,15211,895.917,2384.000,true
current,1,mybatis_pagination,1,12238,1066.163,2152.000,true
current,1,mybatis_in_256,1,919,17718.281,47256.000,true
current,1,mybatis_group_order,1,11387,2239.993,3688.000,true
current,1,positional_in_256,1,8605,2171.563,6240.000,true
current,1,positional_subquery_structured,1,16261,1083.642,2856.000,true
current,1,raw_in_256,1,5614,4231.475,2464.000,true
current,1,raw_condition_only,1,3309,2583.469,2720.000,true
current,1,positional_in_16,1,31135,615.250,1728.000,true
current,1,mybatis_subquery_raw,1,28453,490.613,1344.000,true
current,1,named_batch_64,1,576,25327.083,72296.000,true
current,1,positional_where_16,1,6830,2919.839,3592.000,true
current,1,mybatis_union_raw,1,12472,980.725,1472.000,true
current,1,raw_late_modifier,1,24337,439.134,1344.000,true
current,1,mybatis_where_eq,1,16529,681.723,1896.000,true
current,1,positional_where_eq,1,31693,681.087,1672.000,true
current,1,mybatis_row_in,1,19782,957.178,2272.000,true
current,1,raw_union_raw,1,19158,1134.863,1472.000,true
current,1,positional_batch_64,1,1300,9003.538,25432.000,true
current,1,mybatis_retry_rollback,1,4035,2926.716,4776.000,true
current,1,named_select_star,1,59356,205.384,880.000,true
current,1,mybatis_join_on,1,9563,1216.470,2648.000,true
current,1,positional_update_map,1,16943,791.176,1872.000,true
current,1,raw_where_16,1,5566,2853.270,3216.000,true
current,1,raw_between,1,15167,670.581,1648.000,true
current,1,mybatis_select_star,1,78294,184.880,880.000,true
current,1,raw_update_chain_16,1,4367,4672.430,13856.000,true
current,1,positional_select_entity,1,12500,476.320,1304.000,true
current,1,named_select_columns,1,19052,601.590,1336.000,true
current,1,positional_late_modifier,1,21362,543.699,1432.000,true
current,1,mybatis_in_16,1,9164,1429.867,4048.000,true
current,1,named_insert_placeholders,1,29456,790.613,2072.000,true
current,1,mybatis_join_using,1,17709,750.387,1976.000,true
current,1,positional_subquery_raw,1,45529,515.004,1344.000,true
current,1,named_subquery_raw,1,27864,453.829,1344.000,true
current,1,mybatis_insert_entity,1,29787,698.231,1840.000,true
current,1,raw_batch_4,1,9109,1291.690,3368.000,true
current,1,mybatis_update_chain_16,1,1783,8825.351,21304.000,true
current,1,positional_delete,1,85117,262.569,1000.000,true
current,1,named_union_raw,1,9430,1180.191,1472.000,true
current,1,mybatis_batch_64,1,1012,26704.545,54232.000,true
current,1,raw_in_16,1,29355,715.503,1344.000,true
current,1,positional_between,1,28528,833.231,1736.000,true
current,1,positional_join_on,1,17081,1337.843,2424.000,true
current,1,raw_join_using,1,15773,750.263,1664.000,true
current,1,mybatis_subquery_structured,1,15885,1689.512,3312.000,true
current,1,positional_raw_expression,1,10874,1084.412,1744.000,true
current,1,named_select_expressions,1,8214,1392.829,2016.000,true
current,1,named_late_modifier,1,36474,715.795,1816.000,true
current,1,mybatis_where_128,1,435,32982.989,34792.000,true
current,1,named_where_128,1,470,34153.404,47864.000,true
current,1,positional_where_128,1,932,26003.219,20656.000,true
current,1,positional_nested,1,24837,856.669,1592.000,true
current,1,named_subquery_structured,1,7745,1580.142,3568.000,true
current,1,named_where_16,1,3016,6351.028,6880.000,true
current,1,positional_union_raw,1,21114,1253.841,1472.000,true
current,1,raw_insert_placeholders,1,40282,578.124,1328.000,true
current,1,positional_select_star,1,59123,209.242,880.000,true
current,1,positional_row_in,1,10079,820.439,1608.000,true
current,1,positional_update_chain_16,1,4729,5980.059,14560.000,true
current,1,mybatis_derived,1,3192,3998.120,7208.000,true
current,1,mybatis_condition_only,1,6018,3818.860,4784.000,true
current,1,mybatis_update_map,1,19799,1150.386,2512.000,true
current,1,named_insert_entity,1,26279,762.521,2176.000,true
current,1,named_union_builder,1,4879,4002.193,6768.000,true
current,1,named_join_using,1,18459,808.570,2136.000,true
current,1,positional_join_using,1,30762,745.358,1752.000,true
current,1,named_delete,1,58063,344.199,1384.000,true
current,1,raw_select_expressions,1,8716,1476.962,2016.000,true
current,1,named_update_chain_16,1,1299,10136.336,24072.000,true
current,1,positional_insert_entity,1,35099,563.928,1464.000,true
current,1,positional_derived,1,6675,3978.442,5480.000,true
current,1,mybatis_select_columns,1,17484,725.263,1336.000,true
current,1,named_join_on,1,15616,1346.817,2808.000,true
current,1,mybatis_late_modifier,1,35654,708.484,1656.000,true
current,1,raw_join_on,1,9403,1209.433,2336.000,true
current,1,named_between,1,10439,1114.235,2600.000,true
current,1,positional_insert_placeholders,1,43700,542.359,1328.000,true
current,1,mybatis_batch_4,1,11019,1901.416,4600.000,true
current,1,mybatis_insert_placeholders,1,25082,762.379,1736.000,true
current,1,mybatis_insert_values,1,15195,787.029,1840.000,true
current,1,named_condition_only,1,3820,4029.503,6384.000,true
current,1,mybatis_between,1,17011,1216.037,2344.000,true
current,1,raw_delete,1,67591,256.999,912.000,true
current,1,raw_batch_64,1,1933,14130.057,32168.000,true
current,1,named_in_256,1,560,20624.821,71352.000,true
current,1,named_update_map,1,19175,1104.407,2976.000,true
current,1,named_group_order,1,6707,1923.319,4016.000,true
current,1,raw_row_in,1,15981,688.812,1608.000,true
current,1,positional_insert_values,1,32942,569.613,1464.000,true
current,1,positional_pagination,1,29861,757.925,1824.000,true
current,1,named_insert_values,1,28181,828.491,2176.000,true
current,1,named_select_entity,1,36878,601.163,1304.000,true
current,1,positional_insert_values,2,32942,710.060,1464.000,true
current,1,mybatis_row_in,2,19782,998.337,2272.000,true
current,1,named_select_star,2,59356,207.308,880.000,true
current,1,raw_group_order,2,7453,1579.404,3032.000,true
