version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
baseline,2,named_in_1024,1,168,138116.667,353216.000,true
baseline,2,positional_select_columns,1,26494,930.969,1952.000,true
baseline,2,mybatis_naming_UPPER_CAMEL_CASE,1,3191,6302.100,9368.000,true
baseline,2,positional_batch_beans,1,1820,3790.330,11264.000,true
baseline,2,named_derived,1,1988,11974.899,17800.000,true
baseline,2,named_delete,1,46033,466.600,1960.000,true
baseline,2,mybatis_naming_CAMEL_CASE,1,3869,5013.078,8408.000,true
baseline,2,mybatis_between,1,15559,1443.743,3592.000,true
baseline,2,raw_mixed_literals,1,14310,1626.730,3192.000,true
baseline,2,positional_select_entity,1,32608,704.382,2000.000,true
baseline,2,named_nested,1,15367,1589.530,3648.000,true
baseline,2,mybatis_select_columns,1,26504,870.016,1952.000,true
baseline,2,named_dialect_DB2,1,8165,1437.587,4320.000,true
baseline,2,positional_late_modifier,1,31845,705.929,2360.000,true
baseline,2,positional_naming_SCREAMING_SNAKE_CASE,1,3626,4561.859,5904.000,true
baseline,2,raw_union_builder,1,3834,5839.045,10160.000,true
baseline,2,named_join_using,1,19281,1285.001,3512.000,true
baseline,2,mybatis_in_16,1,8073,2130.670,6512.000,true
baseline,2,mybatis_row_in,1,15448,1769.193,3704.000,true
baseline,2,mybatis_union_builder,1,1870,18396.952,16696.000,true
baseline,2,mybatis_where_eq,1,19237,1629.610,2984.000,true
baseline,2,positional_pagination,1,18474,1054.780,3288.000,true
baseline,2,mybatis_select_star,1,72105,302.424,1424.000,true
baseline,2,positional_nested,1,14689,1269.399,2952.000,true
baseline,2,mybatis_where_16,1,3459,6444.059,9368.000,true
baseline,2,named_naming_CAMEL_CASE,1,2961,5495.407,9624.000,true
baseline,2,named_naming_KEBAB_CASE,1,2779,6147.571,10584.000,true
baseline,2,positional_dialect_Oracle,1,18841,1117.637,3496.000,true
baseline,2,mybatis_in_256,1,865,27068.092,72760.000,true
baseline,2,named_subquery_structured,1,9611,1819.655,5488.000,true
baseline,2,positional_where_16,1,4351,5114.089,5888.000,true
baseline,2,mybatis_pagination,1,17759,1274.131,3832.000,true
baseline,2,positional_dialect_MySQL,1,16497,1060.987,3360.000,true
baseline,2,raw_update_map,1,15963,1426.311,3592.000,false
baseline,2,named_dialect_PostgreSQL,1,7727,1457.293,4144.000,true
baseline,2,mybatis_subquery_raw,1,33555,711.235,2272.000,true
baseline,2,positional_in_16,1,23191,924.561,2656.000,true
baseline,2,raw_batch_4,1,8357,2727.163,7488.000,false
baseline,2,positional_in_17,1,15961,902.725,2672.000,true
baseline,2,raw_batch_64,1,709,28623.131,95328.000,false
baseline,2,named_naming_SCREAMING_SNAKE_CASE,1,2910,6518.522,10600.000,true
baseline,2,mybatis_union_raw,1,6327,3188.383,5200.000,true
baseline,2,mybatis_update_map,1,13036,1632.924,4224.000,true
baseline,2,positional_insert_values,1,10437,759.730,2104.000,true
baseline,2,raw_between,1,17557,1282.833,3384.000,true
baseline,2,named_between,1,15584,1508.759,3800.000,true
baseline,2,named_union_builder,1,1990,10175.628,17272.000,true
baseline,2,custom_handler_where,1,3243,6082.393,10616.000,true
baseline,2,positional_row_in,1,15252,1009.022,2624.000,true
baseline,2,raw_row_in,1,15466,1247.543,3136.000,true
baseline,2,positional_naming_KEBAB_CASE,1,4052,4265.671,5888.000,true
baseline,2,named_dialect_Oracle,1,13971,1330.069,4272.000,true
baseline,2,positional_update_chain_16,1,1466,5595.907,22360.000,true
baseline,2,raw_subquery_structured,1,14690,1405.425,4616.000,true
baseline,2,positional_dialect_DB2,1,10847,997.382,3544.000,true
baseline,2,mybatis_raw_expression,1,12368,1596.410,2624.000,true
baseline,2,positional_mixed_literals,1,17487,1114.794,2800.000,true
baseline,2,positional_batch_64,1,208,20905.769,70160.000,true
baseline,2,mybatis_insert_placeholders,1,21762,910.725,2584.000,true
baseline,2,named_in_16,1,9728,2212.109,7600.000,true
baseline,2,positional_insert_entity,1,29909,601.979,1816.000,true
baseline,2,raw_where_128,1,552,36615.217,56496.000,true
baseline,2,mybatis_in_1024,1,204,105744.118,281472.000,true
baseline,2,raw_in_16,1,12282,1714.419,5600.000,true
baseline,2,named_union_raw,1,6113,3229.969,5200.000,true
baseline,2,mybatis_nested,1,15068,1485.001,3464.000,true
baseline,2,mybatis_in_17,1,9761,2117.027,6752.000,true
baseline,2,mybatis_insert_entity,1,23314,922.180,2456.000,true
baseline,2,positional_union_raw,1,4708,3158.560,5200.000,true
baseline,2,mybatis_join_on,1,11062,1728.096,4152.000,true
baseline,2,named_in_256,1,690,25376.957,90712.000,true
baseline,2,named_in_17,1,8839,2220.692,7888.000,true
baseline,2,raw_select_star,1,80340,302.999,1424.000,true
baseline,2,mybatis_derived,1,1936,17581.147,17192.000,true
baseline,2,raw_naming_SCREAMING_SNAKE_CASE,1,1956,9170.297,8856.000,true
baseline,2,named_dialect_MySQL,1,13373,2292.612,4144.000,true
baseline,2,raw_delete,1,49812,479.479,1624.000,true
baseline,2,raw_retry_rollback,1,4552,3290.136,6376.000,true
baseline,2,mybatis_repeated_names,1,812,29514.532,55944.000,true
baseline,2,raw_derived,1,2216,14984.612,15848.000,true
baseline,2,mybatis_naming_SCREAMING_SNAKE_CASE,1,2031,8630.428,9384.000,true
baseline,2,mybatis_delete,1,45975,504.489,1832.000,true
baseline,2,named_group_order,1,5071,3896.411,7688.000,true
baseline,2,mybatis_condition_only,1,3865,6472.160,8344.000,true
baseline,2,positional_derived,1,2202,10708.901,15296.000,true
baseline,2,named_insert_values,1,17134,1140.738,3048.000,true
baseline,2,positional_subquery_structured,1,15010,1570.973,4704.000,true
baseline,2,mybatis_update_chain_16,1,1503,13321.557,39960.000,true
baseline,2,positional_where_128,1,511,32715.851,32808.000,true
baseline,2,named_naming_NO_CHANGE,1,1916,4962.944,9624.000,true
baseline,2,named_subquery_raw,1,30472,616.087,2272.000,true
baseline,2,raw_naming_KEBAB_CASE,1,2242,4889.697,8840.000,true
