version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
before,5,raw_join_using,1,21654,966.547,3344.000,true
before,5,raw_batch_64,1,935,22304.385,94400.000,true
before,5,positional_repeated_names,1,1368,15581.213,35520.000,true
before,5,raw_naming_KEBAB_CASE,1,3813,4920.194,9648.000,true
before,5,raw_in_1024,1,293,71886.007,220328.000,true
before,5,mybatis_naming_KEBAB_CASE,1,3510,5788.120,10176.000,true
before,5,named_dialect_Oracle,1,15888,1347.980,4392.000,true
before,5,raw_in_16,1,12910,1587.026,5680.000,true
before,5,mybatis_insert_placeholders,1,22068,957.785,2736.000,true
before,5,raw_update_map,1,17112,1225.789,3712.000,true
before,5,mybatis_naming_NO_CHANGE,1,4258,4492.156,8408.000,true
before,5,mybatis_batch_4,1,7466,2870.855,8912.000,true
before,5,mybatis_select_entity,1,37171,558.158,1992.000,true
before,5,positional_in_1024,1,1509,14394.964,28584.000,true
before,5,named_between,1,15309,1248.338,3848.000,true
before,5,positional_naming_KEBAB_CASE,1,4803,4377.347,6696.000,true
before,5,positional_raw_expression,1,20421,987.640,2616.000,true
before,5,raw_late_modifier,1,28837,692.742,2560.000,true
before,5,mybatis_in_17,1,9988,2083.290,6832.000,true
before,5,named_update_chain_16,1,1312,15465.549,47808.000,true
before,5,positional_dialect_Microsoft_SQL_Server,1,15276,1230.564,3616.000,true
before,5,raw_retry_rollback,1,4723,4468.452,6400.000,true
before,5,named_dialect_PostgreSQL,1,14963,1344.824,4216.000,true
before,5,named_insert_values,1,19613,1134.329,3176.000,true
before,5,positional_in_16,1,25870,823.630,2736.000,true
before,5,mybatis_naming_CAMEL_CASE,1,3411,6057.080,9888.000,true
before,5,raw_raw_expression,1,20246,995.653,2616.000,true
before,5,positional_mixed_literals,1,17849,1082.963,2976.000,true
before,5,raw_subquery_raw,1,33265,647.386,2352.000,true
before,5,raw_mixed_literals,1,14473,1503.013,3368.000,true
before,5,custom_handler_where,1,3518,5926.379,11424.000,true
before,5,positional_dialect_Oracle,1,20436,1021.995,3616.000,true
before,5,positional_subquery_structured,1,14988,1332.212,4856.000,true
before,5,positional_where_16,1,4908,4303.525,6696.000,true
before,5,positional_in_expression,1,3937,4856.744,10904.000,true
before,5,mybatis_subquery_structured,1,12920,1593.669,5408.000,true
before,5,positional_insert_entity,1,37395,593.336,1816.000,true
before,5,named_naming_NO_CHANGE,1,3100,4660.774,9624.000,true
before,5,mybatis_join_on,1,15071,1374.886,4216.000,true
before,5,mybatis_select_star,1,91991,250.767,1240.000,true
before,5,raw_select_entity,1,37245,569.650,1992.000,true
before,5,mybatis_where_eq,1,18521,953.042,3136.000,true
before,5,positional_naming_CAMEL_CASE,1,4669,4438.574,6408.000,true
before,5,raw_naming_SCREAMING_SNAKE_CASE,1,4068,5129.572,9664.000,true
before,5,mybatis_union_builder,1,4895,4442.697,8960.000,true
before,5,named_in_17,1,9571,2191.046,7968.000,true
before,5,raw_repeated_names,1,955,20541.466,59056.000,true
before,5,mybatis_batch_beans,1,2938,7510.654,22072.000,true
before,5,positional_retry_rollback,1,8018,3216.288,6040.000,true
before,5,raw_naming_NO_CHANGE,1,5256,3927.511,7880.000,true
before,5,raw_where_128,1,564,40274.113,62680.000,true
before,5,named_late_modifier,1,27047,746.367,2896.000,true
before,5,raw_select_expressions,1,13613,1509.021,2512.000,true
before,5,named_insert_entity,1,22882,941.185,2760.000,true
before,5,raw_naming_CAMEL_CASE,1,3923,5350.370,9360.000,true
before,5,raw_nested,1,17126,1189.735,3448.000,true
before,5,named_raw_expression,1,20283,1058.448,2616.000,true
before,5,named_in_256,1,801,26772.035,90792.000,true
before,5,raw_batch_beans,1,3926,6576.872,16120.000,true
before,5,mybatis_naming_UPPER_CAMEL_CASE,1,3371,6188.342,9904.000,true
before,5,named_subquery_raw,1,33529,602.037,2352.000,true
before,5,mybatis_subquery_raw,1,32538,623.818,2352.000,true
before,5,mybatis_in_1024,1,206,107468.447,281552.000,true
before,5,mybatis_mixed_literals,1,14446,1461.713,3680.000,true
before,5,mybatis_union_raw,1,19574,1137.872,1968.000,true
before,5,positional_update_map,1,20311,1026.365,3192.000,true
before,5,named_in_16,1,9814,2166.894,7680.000,true
before,5,named_dialect_DB2,1,16073,1389.703,4392.000,true
before,5,mybatis_row_in,1,16222,1336.876,3832.000,true
before,5,positional_dialect_DB2,1,20721,1010.815,3616.000,true
before,5,raw_update_chain_16,1,2336,7719.563,26256.000,true
before,5,named_batch_4,1,7322,2880.074,9864.000,true
