version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
current,4,raw_late_modifier,1,43408,479.538,1368.000,true
current,4,mybatis_in_1024,1,236,77194.915,182264.000,true
current,4,raw_condition_only,1,6842,2643.233,2744.000,true
current,4,named_dialect_Microsoft_SQL_Server,1,16405,1310.344,2608.000,true
current,4,positional_select_expressions,1,6399,1409.548,1960.000,true
current,4,raw_insert_entity,1,37780,592.470,1288.000,true
current,4,positional_group_order,1,12846,1467.523,3136.000,true
current,4,mybatis_group_order,1,11375,1775.965,3632.000,true
current,4,raw_naming_KEBAB_CASE,1,6408,2896.489,3296.000,true
current,4,positional_dialect_DB2,1,21608,803.286,2056.000,true
current,4,raw_select_star,1,92315,210.744,904.000,true
current,4,named_delete,1,62420,344.835,1408.000,true
current,4,named_retry_rollback,1,5278,3116.597,5328.000,true
current,4,named_pagination,1,19084,987.576,2408.000,true
current,4,mybatis_batch_beans,1,2692,5246.062,14144.000,true
current,4,positional_pagination,1,25536,740.179,1848.000,true
current,4,positional_union_builder,1,7796,2173.486,3968.000,true
current,4,raw_insert_placeholders,1,27691,494.933,1232.000,true
current,4,raw_batch_beans,1,6004,3301.682,8832.000,true
current,4,named_dialect_DB2,1,18076,1027.329,2608.000,true
current,4,positional_in_expression,1,5917,2919.452,7560.000,true
current,4,mybatis_batch_64,1,986,19269.878,52240.000,true
current,4,mybatis_raw_expression,1,21037,966.882,1768.000,true
current,4,raw_in_expression,1,4745,4389.926,3736.000,true
current,4,mybatis_select_expressions,1,13996,1362.046,1960.000,true
current,4,named_in_expression,1,854,21715.808,72480.000,true
current,4,named_insert_entity,1,28942,764.629,1928.000,true
current,4,positional_naming_CAMEL_CASE,1,8934,2262.212,1904.000,true
current,4,raw_update_chain_16,1,4468,5013.653,13880.000,true
current,4,named_insert_values,1,25733,759.849,2200.000,true
current,4,mybatis_subquery_raw,1,39074,526.946,1368.000,true
current,4,mybatis_naming_SCREAMING_SNAKE_CASE,1,4931,4066.376,5376.000,true
current,4,named_select_columns,1,25556,607.568,1240.000,true
current,4,positional_join_on,1,16534,1076.896,2448.000,true
current,4,positional_between,1,27517,761.591,1760.000,true
current,4,named_in_256,1,613,22309.951,71376.000,true
current,4,raw_in_256,1,5347,3971.292,2488.000,true
current,4,mybatis_repeated_names,1,1015,17747.586,30560.000,true
current,4,raw_join_using,1,30267,683.969,1688.000,true
current,4,mybatis_update_chain_16,1,2538,7592.671,21328.000,true
current,4,raw_naming_UPPER_CAMEL_CASE,1,5913,3300.744,3024.000,true
current,4,positional_dialect_PostgreSQL,1,22980,771.131,1872.000,true
current,4,named_dialect_PostgreSQL,1,18109,1240.251,2432.000,true
current,4,raw_where_128,1,921,22136.374,17800.000,true
current,4,positional_subquery_structured,1,10226,1047.262,2904.000,true
current,4,named_row_in,1,15566,1054.966,2704.000,true
current,4,mybatis_mixed_literals,1,17060,999.338,2104.000,true
current,4,positional_dialect_Microsoft_SQL_Server,1,18775,1031.031,2056.000,true
current,4,named_naming_UPPER_CAMEL_CASE,1,4704,4157.228,6688.000,true
current,4,positional_dialect_Oracle,1,23937,835.568,2056.000,true
current,4,positional_derived,1,6146,3256.134,5528.000,true
current,4,named_update_chain_16,1,2106,9523.504,24096.000,true
current,4,positional_naming_SCREAMING_SNAKE_CASE,1,6169,3221.624,3688.000,true
current,4,named_union_builder,1,3075,4444.455,6840.000,true
current,4,positional_in_16,1,29584,666.195,1752.000,true
current,4,positional_insert_values,1,32132,640.365,1488.000,true
current,4,raw_where_16,1,6466,2960.532,3296.000,true
current,4,named_naming_NO_CHANGE,1,6374,2922.702,5192.000,true
current,4,raw_union_raw,1,14327,1102.813,1496.000,true
current,4,positional_dialect_MySQL,1,24095,753.895,1872.000,true
current,4,mybatis_pagination,1,20147,896.441,2176.000,true
current,4,named_batch_64,1,909,23700.000,70304.000,true
current,4,mybatis_in_17,1,10032,1493.242,4216.000,true
current,4,positional_insert_entity,1,30197,549.892,1216.000,true
current,4,mybatis_union_raw,1,13187,1000.751,1496.000,true
current,4,raw_naming_NO_CHANGE,1,10015,1864.164,1528.000,true
current,4,raw_between,1,25829,717.775,1672.000,true
current,4,raw_derived,1,4779,3094.622,5264.000,true
current,4,mybatis_naming_UPPER_CAMEL_CASE,1,4843,4062.730,5088.000,true
current,4,mybatis_subquery_structured,1,13918,1300.402,3360.000,true
current,4,named_late_modifier,1,35179,623.065,1840.000,true
current,4,mybatis_naming_NO_CHANGE,1,6800,2656.206,3592.000,true
current,4,mybatis_in_expression,1,985,19015.228,48456.000,true
current,4,positional_union_raw,1,20551,1042.922,1496.000,true
current,4,positional_in_256,1,10164,2083.186,6232.000,true
current,4,positional_retry_rollback,1,5989,2540.758,3888.000,true
current,4,named_in_1024,1,142,88127.465,278584.000,true
current,4,positional_batch_64,1,174,9094.253,23440.000,true
current,4,raw_batch_4,1,15850,1211.748,3296.000,true
current,4,positional_update_chain_16,1,2431,5045.167,14584.000,true
current,4,named_join_on,1,15928,1180.123,2832.000,true
