version,case,fork,ns,bytes,median_batch_ms
baseline,mybatis_where_128,1,45273.031,58208,18.969399989
baseline,mybatis_where_128,2,44674.558,61280,20.192900215999998
baseline,mybatis_where_128,3,50076.19,61280,18.928799820000002
baseline,mybatis_where_128,4,42117.593,58208,18.194800175999998
baseline,mybatis_where_128,5,51482.628,58208,23.115699971999998
baseline,mybatis_raw_expression,1,1576.788,2624,10.406800800000001
baseline,mybatis_raw_expression,2,1552.911,2624,19.206403248
baseline,mybatis_raw_expression,3,1794.916,2624,11.72080148
baseline,mybatis_raw_expression,4,1536.748,2624,20.971999956
baseline,mybatis_raw_expression,5,1662.764,2624,16.557803911999997
baseline,mybatis_between,1,1397.963,3544,17.15300601
baseline,mybatis_between,2,1387.962,3592,21.595300758
baseline,mybatis_between,3,1507.024,3592,12.315400127999999
baseline,mybatis_between,4,1260.458,3544,18.344705732
baseline,mybatis_between,5,1575.19,3544,21.98650202
baseline,named_dialect_MySQL,1,1305.255,4144,21.710306415
baseline,named_dialect_MySQL,2,1309.549,4144,17.512598776999997
baseline,named_dialect_MySQL,3,1443.858,4144,18.570901596000002
baseline,named_dialect_MySQL,4,1301.229,4144,20.222399889000002
baseline,named_dialect_MySQL,5,1700.625,4144,24.776405625
baseline,named_pagination,1,1256.323,4072,20.086092124
baseline,named_pagination,2,1254.246,4072,21.280791882000003
baseline,named_pagination,3,1413.313,4072,19.872594093000004
baseline,named_pagination,4,1209.281,4072,21.133394755999998
baseline,named_pagination,5,1457.119,4072,14.676102568
baseline,positional_union_builder,1,5343.386,9768,21.085001156000004
baseline,positional_union_builder,2,5257.862,9768,19.427800089999998
baseline,positional_union_builder,3,5879.133,9768,22.229001873
baseline,positional_union_builder,4,5094.046,9768,9.668499308
baseline,positional_union_builder,5,6104.57,9768,23.374398529999997
baseline,raw_between,1,1251.412,3384,19.764801128000002
baseline,raw_between,2,1233.89,3384,21.663406730000002
baseline,raw_between,3,1327.422,3384,11.4822003
baseline,raw_between,4,1232.943,3384,20.719607115
baseline,raw_between,5,1403.285,3384,19.69370169
baseline,named_naming_KEBAB_CASE,1,5896.059,10584,20.942801568
baseline,named_naming_KEBAB_CASE,2,6144.584,10584,17.075798936
baseline,named_naming_KEBAB_CASE,3,6739.198,10584,20.338899564
baseline,named_naming_KEBAB_CASE,4,6083.028,10584,20.572800696
baseline,named_naming_KEBAB_CASE,5,8238.979,10584,28.894099352999998
baseline,named_update_chain_16,1,17135.48,47000,15.69609968
baseline,named_update_chain_16,2,16611.236,47000,22.176000060000003
baseline,named_update_chain_16,3,18833.201,47000,9.473100103
baseline,named_update_chain_16,4,16041.444,47000,20.436799655999998
baseline,named_update_chain_16,5,20204.541,47000,21.356199837000002
baseline,raw_subquery_structured,1,1415.002,4616,22.552301875999998
baseline,raw_subquery_structured,2,1405.425,4616,20.64569325
baseline,raw_subquery_structured,3,1617.103,4616,20.394903036000002
baseline,raw_subquery_structured,4,1305.811,4616,16.33569561
baseline,raw_subquery_structured,5,1666.311,4616,23.726602329
baseline,mybatis_subquery_raw,1,629.39,2272,9.518894359999999
baseline,mybatis_subquery_raw,2,627.525,2272,21.056601375
