version,case,forks,median_ns,min_fork_ns,max_fork_ns,bytes_per_op,equivalent_results
baseline,custom_handler_union,5,10760.466,10105.606,13543.461,16536,true
before,custom_handler_union,5,4847.37,4596.536,4932.952,9368,true
current,custom_handler_union,5,4822.042,4612.769,5398.826,7296,true
baseline,custom_handler_where,5,6444.66,5871.817,6805.591,10616,true
before,custom_handler_where,5,5658.526,5600.307,6631.604,11424,true
current,custom_handler_where,5,4275.391,3973.476,5328.743,6968,true
baseline,mybatis_batch_4,5,2949.837,2839.492,3951.783,8784,true
before,mybatis_batch_4,5,2842.356,2821.672,2869.815,8848,true
current,mybatis_batch_4,5,1924.891,1887.296,2188.183,4536,true
baseline,mybatis_batch_64,5,34955.064,34335.968,45729.794,118896,true
before,mybatis_batch_64,5,34007.251,32674.224,35042.902,117040,true
current,mybatis_batch_64,5,21247.491,20762.779,22601.33,52248,true
baseline,mybatis_batch_beans,5,7896.239,7673.961,8408.211,22080,true
before,mybatis_batch_beans,5,7644.41,7262.457,7785.676,22744,true
current,mybatis_batch_beans,5,5756.538,5498.565,6109.411,14120,true
baseline,mybatis_between,5,1397.963,1260.458,1575.19,3544,true
before,mybatis_between,5,1243.595,1152.54,1464.422,3592,true
current,mybatis_between,5,1085.388,1039.052,1212.468,2344,true
baseline,mybatis_condition_only,5,5407.207,4979.361,5875.318,7960,true
before,mybatis_condition_only,5,4793.338,4703.566,5449.95,8728,true
current,mybatis_condition_only,5,3542.957,3365.065,3980.479,4784,true
baseline,mybatis_delete,5,468.73,428.766,511.814,1808,true
before,mybatis_delete,5,455.273,440.615,469.456,1848,true
current,mybatis_delete,5,348.663,344.743,417.441,1232,true
baseline,mybatis_derived,5,11095.264,10673.54,12505.171,17144,true
before,mybatis_derived,5,4426.534,4388.01,4515.297,9456,true
current,mybatis_derived,5,4223.953,4058.092,4291.627,7208,true
baseline,mybatis_group_order,5,3799.454,3312.098,5347.193,7264,true
before,mybatis_group_order,5,2581.248,2500.236,2827.498,7088,true
current,mybatis_group_order,5,1812.623,1758.942,1984.483,3608,true
baseline,mybatis_in_1024,5,105055.357,94515.152,112825.352,256896,true
before,mybatis_in_1024,5,97123.558,94298.113,111311.616,256976,true
current,mybatis_in_1024,5,81474.231,79499.576,84836.396,182240,true
baseline,mybatis_in_16,5,2130.67,1920.222,2377.302,6128,true
before,mybatis_in_16,5,1848.226,1716.356,2150.694,6208,true
current,mybatis_in_16,5,1533.788,1437.736,1590.08,4048,true
baseline,mybatis_in_17,5,2187.655,1922.922,2776.852,6344,true
before,mybatis_in_17,5,1895.942,1855.299,2317.927,6424,true
current,mybatis_in_17,5,1659.488,1563.075,1742.611,4192,true
baseline,mybatis_in_256,5,25801.734,22034.928,29846.599,66616,true
before,mybatis_in_256,5,21195.842,20550.617,24636.15,66696,true
current,mybatis_in_256,5,18320.019,17615.761,19054.513,47256,true
baseline,mybatis_in_expression,5,24656.677,21643.938,29037.857,66656,true
before,mybatis_in_expression,5,22766.631,21441.212,25843.602,67800,true
current,mybatis_in_expression,5,19146.904,17956.553,23491.238,48432,true
baseline,mybatis_insert_entity,5,882.38,837.102,1051.786,2456,true
before,mybatis_insert_entity,5,877.996,870.446,915.673,2456,true
current,mybatis_insert_entity,5,736.263,698.708,818.104,1568,true
baseline,mybatis_insert_placeholders,5,977.862,954.975,1287.151,2584,true
before,mybatis_insert_placeholders,5,988.029,951.873,1124.291,2736,true
current,mybatis_insert_placeholders,5,696.896,665.695,707.173,1616,true
baseline,mybatis_insert_values,5,1138.197,1092.5,1277.15,2744,true
before,mybatis_insert_values,5,1094.321,1077.371,1155.298,2872,true
current,mybatis_insert_values,5,791.21,762.384,859.537,1840,true
baseline,mybatis_join_on,5,1825.127,1675.944,2209.621,4128,true
before,mybatis_join_on,5,1408.386,1354.741,1539.997,4192,true
current,mybatis_join_on,5,1227.551,1194.12,1562.371,2648,true
baseline,mybatis_join_using,5,971.835,935.814,1069.792,3352,true
before,mybatis_join_using,5,968.591,957.885,1026.504,3520,true
current,mybatis_join_using,5,781.336,764.408,848.534,1976,true
baseline,mybatis_late_modifier,5,826.835,755.848,883.658,2656,true
before,mybatis_late_modifier,5,740.058,723.865,783.259,2736,true
current,mybatis_late_modifier,5,606.713,588.106,650.942,1656,true
baseline,mybatis_mixed_literals,5,1576.289,1454.485,1931.374,3432,true
before,mybatis_mixed_literals,5,1380.024,1353.782,1464.583,3608,true
current,mybatis_mixed_literals,5,1106.348,1019.464,1257.257,2080,true
baseline,mybatis_naming_CAMEL_CASE,5,5013.078,4732.422,7029.523,8024,true
before,mybatis_naming_CAMEL_CASE,5,5713.632,5512.738,6418.617,9504,true
current,mybatis_naming_CAMEL_CASE,5,3142.243,3001.767,3323.471,3568,true
baseline,mybatis_naming_KEBAB_CASE,5,5910.708,5585.653,8057.333,8984,true
before,mybatis_naming_KEBAB_CASE,5,5799.493,5474.275,6273.966,9792,true
current,mybatis_naming_KEBAB_CASE,5,4224.582,4038.002,4630.677,5336,true
baseline,mybatis_naming_NO_CHANGE,5,4867.503,4696.329,5746.161,8024,true
before,mybatis_naming_NO_CHANGE,5,4568.184,4208.869,4803.234,8024,true
current,mybatis_naming_NO_CHANGE,5,2989.304,2824.41,3370.188,3568,true
baseline,mybatis_naming_SCREAMING_SNAKE_CASE,5,6013.195,5500.174,7135.79,9000,true
before,mybatis_naming_SCREAMING_SNAKE_CASE,5,5622.679,5458.425,6407.222,9808,true
current,mybatis_naming_SCREAMING_SNAKE_CASE,5,4205.861,3970.043,4362.753,5352,true
baseline,mybatis_naming_UPPER_CAMEL_CASE,5,6268.348,5875.9,7563.356,8984,true
before,mybatis_naming_UPPER_CAMEL_CASE,5,5907.463,5795.64,6525.589,9520,true
current,mybatis_naming_UPPER_CAMEL_CASE,5,4432.069,4261.551,4647.89,5064,true
baseline,mybatis_nested,5,1424.752,1314.605,1553.036,3416,true
before,mybatis_nested,5,1310.148,1291.55,1381.309,3584,true
current,mybatis_nested,5,1051.346,983.903,1125.996,2024,true
baseline,mybatis_pagination,5,1197.185,1116.528,1417.471,3808,true
before,mybatis_pagination,5,1163.053,1145.402,1510.596,3928,true
current,mybatis_pagination,5,908.041,883.69,1063.848,2152,true
baseline,mybatis_raw_expression,5,1576.788,1536.748,1794.916,2624,true
before,mybatis_raw_expression,5,1014.665,1006.584,1050.118,2616,true
current,mybatis_raw_expression,5,966.882,921.089,1228.554,1744,true
baseline,mybatis_repeated_names,5,27068.082,24207.042,28113.916,52872,true
before,mybatis_repeated_names,5,24051.57,22984.633,25832.566,58032,true
current,mybatis_repeated_names,5,18154.649,17976.376,20845.814,30536,true
baseline,mybatis_retry_rollback,5,4720.513,3968.399,4953.781,7568,true
before,mybatis_retry_rollback,5,4251.794,3963.868,4328.392,7736,true
current,mybatis_retry_rollback,5,3374.892,3249.319,3658.954,4784,true
baseline,mybatis_row_in,5,1408.279,1199.178,1594.188,3608,true
before,mybatis_row_in,5,1258.121,1241.121,1353.934,3736,true
current,mybatis_row_in,5,1027.174,983.108,1071.554,2272,true
baseline,mybatis_select_columns,5,834.493,796.203,978.158,1952,true
before,mybatis_select_columns,5,820.188,789.858,823.17,2104,true
current,mybatis_select_columns,5,626.83,589.629,698.673,1216,true
baseline,mybatis_select_entity,5,605.451,579.641,720.241,2000,true
before,mybatis_select_entity,5,587.327,569.525,602.916,1992,true
current,mybatis_select_entity,5,551.431,500.299,582.221,1304,true
baseline,mybatis_select_expressions,5,2129.243,2031.443,2757.328,2728,true
before,mybatis_select_expressions,5,1539.303,1524.524,1666.387,2512,true
current,mybatis_select_expressions,5,1430.366,1356.068,1715.572,1936,true
baseline,mybatis_select_star,5,302.424,281.756,338.934,1424,true
before,mybatis_select_star,5,245.888,231.656,250.767,1240,true
current,mybatis_select_star,5,219.124,206.351,241.785,880,true
baseline,mybatis_subquery_raw,5,627.525,616.948,745.318,2272,true
before,mybatis_subquery_raw,5,636.539,621.216,651.312,2352,true
current,mybatis_subquery_raw,5,496.425,483.496,534.018,1344,true
baseline,mybatis_subquery_structured,5,1824.135,1655.328,1993.288,5232,true
before,mybatis_subquery_structured,5,1655.03,1605.298,1756.466,5384,true
current,mybatis_subquery_structured,5,1394.324,1307.715,1641.711,3312,true
baseline,mybatis_union_builder,5,10981.28,10494.318,12835.632,16648,true
before,mybatis_union_builder,5,4237.217,4173.374,4398.718,8912,true
current,mybatis_union_builder,5,4190.271,4037.889,4511.317,6816,true
baseline,mybatis_union_raw,5,3276.134,3135.812,4084.226,5200,true
before,mybatis_union_raw,5,1133.536,1082.349,1265.943,1968,true
current,mybatis_union_raw,5,1081.448,1065.709,1253.445,1472,true
baseline,mybatis_update_chain_16,5,14041.124,13362.741,15783.935,39936,true
before,mybatis_update_chain_16,5,13600.999,13513.097,15085.374,40744,true
current,mybatis_update_chain_16,5,8480.221,8129.364,8848.826,21304,true
baseline,mybatis_update_map,5,1726.039,1571.085,2022.775,4200,true
before,mybatis_update_map,5,1574.822,1552.267,1979.85,4368,true
current,mybatis_update_map,5,1141.776,1114.128,1204.003,2512,true
baseline,mybatis_where_128,5,45273.031,42117.593,51482.628,58208,true
before,mybatis_where_128,5,42769.414,40465.302,45267.532,64392,true
current,mybatis_where_128,5,30167.352,28745.063,31033.242,34848,true
baseline,mybatis_where_16,5,6140.875,5639.167,6615.11,8984,true
before,mybatis_where_16,5,5486.086,5205.187,6561.581,9792,true
current,mybatis_where_16,5,4100.848,3902.487,4197.132,5336,true
baseline,mybatis_where_eq,5,1051.105,976.763,1380.007,2960,true
before,mybatis_where_eq,5,974.381,953.042,991.631,3112,true
current,mybatis_where_eq,5,771.435,725.999,830.735,1816,true
baseline,named_batch_4,5,2965.767,2931.627,3833.275,9736,true
before,named_batch_4,5,2979.228,2905.449,3115.899,9800,true
current,named_batch_4,5,2080.008,2015.329,2788.21,5616,true
baseline,named_batch_64,5,38395.802,36684.547,40732.081,134912,true
before,named_batch_64,5,36531.81,35737.622,37881.502,133056,true
current,named_batch_64,5,23398.113,22470.447,26946.734,70312,true
baseline,named_batch_beans,5,8413.684,8115.919,9248.989,26064,true
before,named_batch_beans,5,8478.292,8008.605,8904.937,26728,true
current,named_batch_beans,5,6567.244,6206.921,6789.6,18616,true
baseline,named_between,5,1370.572,1273.876,1641.862,3800,true
before,named_between,5,1248.338,1228.176,1361.208,3848,true
current,named_between,5,1114.81,1092.838,1176.32,2600,true
baseline,named_condition_only,5,5638.139,5460.149,6488.601,9560,true
before,named_condition_only,5,5009.895,4935.066,6156.208,10328,true
current,named_condition_only,5,3733.22,3573.513,3916.847,6384,true
baseline,named_delete,5,466.6,446.114,639.413,1960,true
before,named_delete,5,484.074,453.021,503.355,2000,true
current,named_delete,5,375.91,358.755,400.766,1384,true
baseline,named_derived,5,10635.161,9949.3,13198.567,17800,true
before,named_derived,5,4427.652,4417.019,4648.785,9536,true
current,named_derived,5,4355.735,3920.15,4463.255,7256,true
baseline,named_dialect_DB2,5,1364.51,1336.829,1875.723,4320,true
before,named_dialect_DB2,5,1349.537,1333.136,1498.783,4392,true
current,named_dialect_DB2,5,1075.365,1019.554,1119.557,2584,true
baseline,named_dialect_Microsoft_SQL_Server,5,1553.963,1503.743,2113.585,4320,true
before,named_dialect_Microsoft_SQL_Server,5,1521.151,1491.668,1652.085,4392,true
current,named_dialect_Microsoft_SQL_Server,5,1209.261,1135.708,1342.095,2584,true
baseline,named_dialect_MySQL,5,1309.549,1301.229,1700.625,4144,true
before,named_dialect_MySQL,5,1311.386,1265.467,1380.673,4216,true
current,named_dialect_MySQL,5,1031.321,1009.401,1112.308,2408,true
baseline,named_dialect_Oracle,5,1373.393,1359.142,1622.507,4272,true
before,named_dialect_Oracle,5,1364.842,1304.325,1385.373,4392,true
current,named_dialect_Oracle,5,1021.794,1007.229,1253.113,2584,true
baseline,named_dialect_PostgreSQL,5,1407.83,1323.768,1712.03,4144,true
before,named_dialect_PostgreSQL,5,1338.949,1320.824,1484.489,4216,true
current,named_dialect_PostgreSQL,5,1072.573,1042.859,1143.575,2408,true
baseline,named_group_order,5,3964.89,3830.553,4475.48,7688,true
before,named_group_order,5,2730.537,2679.127,3000.896,7512,true
current,named_group_order,5,1932.244,1905.263,2053.124,3936,true
baseline,named_in_1024,5,130085.714,122906.612,149375,353216,true
before,named_in_1024,5,123917.877,115966.286,130974.566,353296,true
current,named_in_1024,5,93163.303,90150.515,104992.735,278560,true
