version,fork,shape,size,batch,samples,median_ns,median_bytes,expected,min_count,max_count,errors
before,1,short_no_parameters,1,1000,9,1743.900,1472.000,0,0,0,0
before,1,short_named,2,1000,9,2474.900,2312.000,2,2,2,0
before,1,short_positional,2,1000,9,2174.900,1672.424,2,2,2,0
before,1,where_positional,16,250,9,13508.400,6169.696,16,16,16,0
before,1,json_null,1,1000,9,1693.500,1024.000,0,1,1,0
before,1,json_format_named,1,1000,9,4172.600,2992.424,1,-1,-1,9000
before,1,bare_concat,2000,8,9,541487.500,80525.000,2000,1999,1999,0
before,1,bare_concat,4000,4,9,1297450.000,144336.000,4000,3999,3999,0
before,1,bare_concat,8000,2,9,2073300.000,415084.000,8000,7999,7999,0
before,1,bare_concat,16000,1,9,4417300.000,799496.000,16000,15999,15999,0
before,1,bare_concat,32000,1,9,9471100.000,1488912.000,32000,31999,31999,0
before,1,array_concat,2000,8,9,246300.000,507141.000,2000,2000,2000,0
before,1,array_concat,4000,4,9,520075.000,927888.000,4000,4000,4000,0
before,1,array_concat,8000,2,9,948300.000,2313884.000,8000,8000,8000,0
before,1,array_concat,16000,1,9,2270900.000,4510408.000,16000,16000,16000,0
before,1,array_concat,32000,1,9,3988600.000,8724744.000,32000,32000,32000,0
before,1,array_plus,2000,8,9,424675.000,761253.000,2000,2000,2000,0
before,1,array_plus,4000,4,9,834925.000,1592480.000,4000,4000,4000,0
before,1,array_plus,8000,2,9,1541700.000,3435440.000,8000,8000,8000,0
before,1,array_plus,16000,1,9,2983600.000,6797008.000,16000,16000,16000,0
before,1,array_plus,32000,1,9,6716300.000,12614360.000,32000,32000,32000,0
before,1,unary_cast,2000,8,9,2721025.000,3161579.000,2000,4000,4000,0
before,1,unary_cast,4000,4,9,5448825.000,6600896.000,4000,8000,8000,0
before,1,unary_cast,8000,2,9,11039050.000,12243756.000,8000,16000,16000,0
before,1,unary_cast,16000,1,9,24636500.000,26001288.000,16000,32000,32000,0
before,1,unary_cast,32000,1,9,49177600.000,51399056.000,32000,64000,64000,0
before,1,deep_unary,2000,8,9,541250.000,256413.000,1,2,2,0
before,1,deep_unary,4000,4,9,1120225.000,507112.000,1,2,2,0
before,1,deep_unary,8000,2,9,2030250.000,1020820.000,1,2,2,0
before,1,deep_unary,16000,1,9,4542900.000,2072824.000,1,2,2,0
before,1,deep_unary,32000,1,9,9659700.000,4144008.000,1,2,2,0
before,1,cached_short,2,500000,9,17.603,0.000,2,2,2,0
