version,fork,shape,size,batch,samples,median_ns,median_bytes,expected,min_count,max_count,errors
current,1,short_no_parameters,1,1000,9,1374.600,1472.000,0,0,0,0
current,1,short_named,2,1000,9,2186.900,2312.000,2,2,2,0
current,1,short_positional,2,1000,9,2897.000,1784.000,2,2,2,0
current,1,where_positional,16,250,9,13536.800,6441.696,16,16,16,0
current,1,json_null,1,1000,9,1572.800,912.000,0,0,0,0
current,1,json_format_named,1,1000,9,2564.400,1704.424,1,1,1,0
current,1,bare_concat,2000,8,9,226912.500,111981.000,2000,2000,2000,0
current,1,bare_concat,4000,4,9,442975.000,201224.000,4000,4000,4000,0
current,1,bare_concat,8000,2,9,881350.000,571772.000,8000,8000,8000,0
current,1,bare_concat,16000,1,9,1807900.000,1081576.000,16000,16000,16000,0
current,1,bare_concat,32000,1,9,3607400.000,1998288.000,32000,32000,32000,0
current,1,array_concat,2000,8,9,307262.500,507309.000,2000,2000,2000,0
current,1,array_concat,4000,4,9,598275.000,928056.000,4000,4000,4000,0
current,1,array_concat,8000,2,9,1267050.000,2314052.000,8000,8000,8000,0
current,1,array_concat,16000,1,9,2473700.000,4510576.000,16000,16000,16000,0
current,1,array_concat,32000,1,9,4873200.000,8724864.000,32000,32000,32000,0
current,1,array_plus,2000,8,9,464787.500,761421.000,2000,2000,2000,0
current,1,array_plus,4000,4,9,882775.000,1592648.000,4000,4000,4000,0
current,1,array_plus,8000,2,9,1854750.000,3435560.000,8000,8000,8000,0
current,1,array_plus,16000,1,9,3677100.000,6797176.000,16000,16000,16000,0
current,1,array_plus,32000,1,9,7223500.000,12614480.000,32000,32000,32000,0
current,1,unary_cast,2000,8,9,3078000.000,3196099.000,2000,2000,2000,0
current,1,unary_cast,4000,4,9,6080675.000,6473800.000,4000,4000,4000,0
current,1,unary_cast,8000,2,9,12220550.000,12286676.000,8000,8000,8000,0
current,1,unary_cast,16000,1,9,25075400.000,26180208.000,16000,16000,16000,0
current,1,unary_cast,32000,1,9,50889300.000,51920024.000,32000,32000,32000,0
current,1,deep_unary,2000,8,9,626037.500,289093.000,1,1,1,0
current,1,deep_unary,4000,4,9,1251925.000,572192.000,1,1,1,0
current,1,deep_unary,8000,2,9,2484450.000,1150684.000,1,1,1,0
current,1,deep_unary,16000,1,9,4910000.000,2332240.000,1,1,1,0
current,1,deep_unary,32000,1,9,9846400.000,4662464.000,1,1,1,0
current,1,cached_short,2,500000,9,12.612,0.000,2,2,2,0
