"shape","size","before_us","current_us","change_pct","before_bytes","current_bytes","before_fork_min_us","before_fork_max_us","current_fork_min_us","current_fork_max_us","expected","before_count","current_count","before_errors","current_errors"
"array_concat","16000","1894.6","2198.9","16.1","4526832","4527000","1740.5","2270.9","2198.6","2473.7","16000","16000","16000","0","0"
"array_concat","2000","223.8875","269.1875","20.2","507141","507309","220.35","246.3","248.1875","307.2625","2000","2000","2000","0","0"
"array_concat","32000","3647.4","4187.1","14.8","8724744","8724864","3450.4","3988.6","4138.6","4873.2","32000","32000","32000","0","0"
"array_concat","4000","426.75","545.475","27.8","927888","928056","424.475","520.075","492.35","598.275","4000","4000","4000","0","0"
"array_concat","8000","948.3","1218.1","28.5","2313932","2314052","894.7","966.95","1103.2","1267.05","8000","8000","8000","0","0"
"array_plus","16000","2937","3677.1","25.2","6780632","6780752","2919.7","2983.6","3612.3","3693.6","16000","16000","16000","0","0"
"array_plus","2000","369.8125","464.7875","25.7","761253","761421","365.975","424.675","448.325","486.1125","2000","2000","2000","0","0"
"array_plus","32000","6260.3","7258.5","15.9","12614360","12614480","5935.8","6716.3","7223.5","7479.9","32000","32000","32000","0","0"
"array_plus","4000","725.5","930.9","28.3","1592480","1592648","713.625","834.925","882.775","933.25","4000","4000","4000","0","0"
"array_plus","8000","1534.7","1854.75","20.9","3443604","3443772","1504.05","1541.7","1795.3","1965.55","8000","8000","8000","0","0"
"bare_concat","16000","3762.8","1804.5","-52","783072","1065152","3700.2","4417.3","1764.9","1807.9","16000","15999","16000","0","0"
"bare_concat","2000","470.925","226.9125","-51.8","80525","111981","462.95","541.4875","224.9","231.825","2000","1999","2000","0","0"
"bare_concat","32000","7532.7","3599.4","-52.2","1488912","1998288","7402.5","9471.1","3526.3","3607.4","32000","31999","32000","0","0"
"bare_concat","4000","943.525","450.775","-52.2","148442","205330","938.25","1297.45","442.975","455.9","4000","3999","4000","0","0"
"bare_concat","8000","1874.4","933","-50.2","415084","571772","1862.65","2073.3","881.35","935.45","8000","7999","8000","0","0"
"cached_short","2","0.0135","0.0128","-5.3","0","0","0.0128","0.0176","0.0126","0.0133","2","2","2","0","0"
"deep_unary","16000","3796.1","4950.8","30.4","2072824","2332240","3712","4542.9","4910","5535","1","2","1","0","0"
"deep_unary","2000","487.275","626.0375","28.5","256413","289093","461.0625","541.25","622.425","689.6","1","2","1","0","0"
"deep_unary","32000","7713.1","10101.6","31","4144008","4662464","7350.9","9659.7","9846.4","10899.1","1","2","1","0","0"
"deep_unary","4000","976.55","1251.925","28.2","507112","572192","927.925","1120.225","1246.025","1378.2","1","2","1","0","0"
"deep_unary","8000","1907.7","2484.45","30.2","1020820","1150684","1853.2","2030.25","2476.2","2733.5","1","2","1","0","0"
"json_format_named","1","2.7973","2.5644","-8.3","2992.424","1704.424","2.6765","4.1726","2.4902","2.6846","1","-1","1","27000","0"
"json_null","1","1.329","1.5728","18.3","1024","912","1.3112","1.6935","1.5121","1.6114","0","1","0","0","0"
"short_named","2","2.3911","2.1543","-9.9","2312","2312","2.3192","2.4749","2.1486","2.1869","2","2","2","0","0"
"short_no_parameters","1","1.4911","1.3746","-7.8","1472","1472","1.4508","1.7439","1.3484","1.3813","0","0","0","0","0"
"short_positional","2","2.1559","2.8896","34","1672.424","1800.424","2.0903","2.1749","2.7576","2.897","2","2","2","0","0"
"unary_cast","16000","24636.5","25075.4","1.8","26001288","26180208","20840.7","29212","24804.3","25194.5","16000","32000","16000","0","0"
"unary_cast","2000","2573.375","3078","19.6","3161579","3196099","2511.35","2721.025","3003.3625","3089.3375","2000","4000","2000","0","0"
"unary_cast","32000","41262.5","50889.3","23.3","51399056","51920024","40347","49177.6","49859","52190","32000","64000","32000","0","0"
"unary_cast","4000","5109.275","6080.675","19","6600896","6473800","5084.925","5448.825","6006.075","6302","4000","8000","4000","0","0"
"unary_cast","8000","10053.3","12220.55","21.6","12243756","12286676","10013.3","11039.05","12001.75","12238.75","8000","16000","8000","0","0"
"where_positional","16","11.57","13.9192","20.3","6104","6376","11.0596","13.5084","13.5368","13.9828","16","16","16","0","0"
