"shape","size","recorded_ns","recorded_bytes","recorded_min_ns","recorded_max_ns","recorded_min_count","recorded_max_count","recorded_errors","before_ns","before_bytes","before_min_ns","before_max_ns","before_min_count","before_max_count","before_errors","current_ns","current_bytes","current_min_ns","current_max_ns","current_min_count","current_max_count","current_errors","change_from_before_pct","change_from_recorded_pct"
"short_no_parameters","1","1394.2","1488.424","1373.6","1403.1","0","0","0","1362.1","1488.424","1311.7","1392.8","0","0","0","1337.3","1488.424","1321.5","1407.1","0","0","0","-1.8","-4.1"
"short_named","2","2227.2","2328.424","2185","2233.4","2","2","0","2172.1","2328.424","2087.5","2174.1","2","2","0","2124.4","2328.424","2100.1","2223","2","2","0","-2.2","-4.6"
"short_positional","2","2043.7","1656","2022.1","2044.1","2","2","0","2916.4","1784","2860.5","3141.6","2","2","0","2839.8","1784","2761.2","2867.4","2","2","0","-2.6","39"
"where_positional","16","10875.6","6104","10761.6","11121.2","16","16","0","13407.6","6376","13258.8","14660.8","16","16","0","13313.6","6376","12996.8","13404","16","16","0","-0.7","22.4"
"json_null","1","1273.4","1040.424","1252.2","1302.4","1","1","0","1558.9","928.424","1507.4","1663.3","0","0","0","1527.4","928.424","1520.3","1541.2","0","0","0","-2","19.9"
"json_format_named","1","3366","2976","2883.1","3944.8","-1","-1","27000","2614.8","1688","2493.7","2721.3","1","1","0","2541.7","1688","2523.8","2589.6","1","1","0","-2.8","-24.5"
"json_query_format","1","1819.6","1432","1793.7","1824.7","1","1","0","2470.7","1592","2434.8","2633","1","1","0","2407.9","1352","2279.5","2411.2","0","0","0","-2.5","32.3"
"unary_quoted_cast","1","1795.8","1224","1780","1800.5","2","2","0","2214.2","1352","2069.8","2276.5","2","2","0","2175.9","1352","2104.7","2252.1","1","1","0","-1.7","21.2"
"bare_concat","2000","466912.5","78472","463937.5","469112.5","1999","1999","0","225662.5","109928","219550","231800","2000","2000","0","226850","109928","217200","235175","2000","2000","0","0.5","-51.4"
"bare_concat","4000","925925","148442","923150","928575","3999","3999","0","470050","205330","437875","473250","4000","4000","0","457075","205330","442450","458725","4000","4000","0","-2.8","-50.6"
"bare_concat","8000","1865100","423248","1841150","1877750","7999","7999","0","912600","579984","874100","954600","8000","8000","0","907650","579984","870800","917850","8000","8000","0","-0.5","-51.3"
"bare_concat","16000","3694100","799496","3675100","3747900","15999","15999","0","1812100","1081576","1787500","1909400","16000","16000","0","1815300","1081576","1714000","1865100","16000","16000","0","0.2","-50.9"
"bare_concat","32000","7333600","1505288","7323000","7453500","31999","31999","0","3545200","2014712","3482400","3650500","32000","32000","0","3621500","2014712","3450900","3713600","32000","32000","0","2.2","-50.6"
"array_concat","2000","246962.5","505088","246450","253775","2000","2000","0","269275","505256","267850","278562.5","2000","2000","0","275437.5","505256","248025","283225","2000","2000","0","2.3","11.5"
"array_concat","4000","480350","931994","457075","486050","4000","4000","0","519525","932162","512275","553250","4000","4000","0","535475","932162","477375","545000","4000","4000","0","3.1","11.5"
"array_concat","8000","953250","2322096","923300","969950","8000","8000","0","1183200","2322264","1065800","1183700","8000","8000","0","1056800","2322264","993350","1166600","8000","8000","0","-10.7","10.9"
"array_concat","16000","1842500","4510408","1819900","1888600","16000","16000","0","2127800","4510576","2018100","2266400","16000","16000","0","2069600","4510576","1952500","2126300","16000","16000","0","-2.7","12.3"
"array_concat","32000","3722000","8741120","3698500","3842700","32000","32000","0","4186400","8741288","4024100","4688600","32000","32000","0","4310700","8741288","3986600","4312500","32000","32000","0","3","15.8"
"array_plus","2000","389850","759200","367550","392887.5","2000","2000","0","473937.5","759368","465187.5","495937.5","2000","2000","0","467937.5","759368","460612.5","476462.5","2000","2000","0","-1.3","20"
"array_plus","4000","726850","1592480","723775","741300","4000","4000","0","926925","1592648","923800","939925","4000","4000","0","927475","1592648","903575","936225","4000","4000","0","0.1","27.6"
"array_plus","8000","1545600","3443604","1500300","1600400","8000","8000","0","1834050","3443772","1765900","1981000","8000","8000","0","1851950","3443772","1839250","1855050","8000","8000","0","1","19.8"
"array_plus","16000","3009200","6797008","2824400","3130000","16000","16000","0","3689700","6797176","3490600","3900100","16000","16000","0","3689600","6797176","3685300","3762700","16000","16000","0","0","22.6"
