version,fork,shape,size,round,operations,ns_per_op,bytes_per_op,expected,min_count,max_count,errors,semantic_match
baseline,5,deep_unary,1024,1,8,217375.000,130621.000,1,1,1,0,true
baseline,5,no_parameters,0,1,2048,1353.760,1248.000,0,0,0,0,true
baseline,5,array_positional,1024,1,8,11950.000,6712.000,1024,0,0,0,false
baseline,5,where_positional,2,1,2048,1830.762,1456.000,2,2,2,0,true
baseline,5,array_mybatis,4096,1,2,37408900.000,453545112.000,4096,4096,4096,0,true
baseline,5,array_named,256,1,32,16562.500,22776.000,256,256,256,0,true
baseline,5,where_named,2,1,2048,2345.068,1816.000,2,2,2,0,true
baseline,5,array_named,8192,1,2,586450.000,863844.000,8192,8192,8192,0,true
baseline,5,array_positional,256,1,32,3103.125,2617.250,256,0,0,0,false
baseline,5,deep_unary,8192,1,2,1725150.000,1061092.000,1,1,1,0,true
baseline,5,where_mybatis,2,1,2048,2591.064,2560.020,2,2,2,0,true
baseline,5,json_constructor,1,1,2048,2388.916,1136.000,1,0,0,0,false
baseline,5,join_named,4,1,2048,5503.857,3968.000,4,4,4,0,true
baseline,5,deep_unary,256,1,32,59684.375,33048.000,1,1,1,0,true
baseline,5,where_positional,128,1,2048,77627.881,35904.000,128,128,128,0,true
baseline,5,array_mybatis,8192,1,2,154369950.000,1814143252.000,8192,8192,8192,0,true
baseline,5,bare_concat,256,1,32,23403.125,3809.250,256,1,1,0,false
baseline,5,bare_concat,8192,1,2,614350.000,127628.000,8192,1,1,0,false
baseline,5,where_mybatis,16,1,2048,16041.602,14664.020,16,16,16,0,true
baseline,5,array_named,4096,1,2,283650.000,395776.000,4096,4096,4096,0,true
baseline,5,join_positional,4,1,2048,5171.484,3824.000,4,4,4,0,true
baseline,5,bare_concat,4096,1,2,311250.000,43616.000,4096,1,1,0,false
baseline,5,where_named,16,1,2048,11327.930,7960.000,16,16,16,0,true
baseline,5,jdbc_escape,1,1,2048,2180.176,1176.000,1,1,1,0,true
baseline,5,quoted_and_comments,2,1,2048,1751.514,1192.000,2,2,2,0,true
baseline,5,array_mybatis,1024,1,8,2689500.000,27681488.000,1024,1024,1024,0,true
baseline,5,geometric_cast,1,1,2048,1781.836,792.000,1,1,1,0,true
baseline,5,array_mybatis,256,1,32,198400.000,1777536.000,256,256,256,0,true
baseline,5,array_positional,8192,1,2,94550.000,139940.000,8192,0,0,0,false
baseline,5,where_positional,16,1,2048,10090.088,5232.020,16,16,16,0,true
baseline,5,bare_concat,1024,1,8,85537.500,11360.000,1024,1,1,0,false
baseline,5,array_positional,4096,1,2,77200.000,25144.000,4096,0,0,0,false
baseline,5,json_operator,1,1,2048,1566.943,1128.000,1,1,1,0,true
baseline,5,array_named,1024,1,8,63650.000,87088.000,1024,1024,1024,0,true
baseline,5,deep_unary,4096,1,2,861500.000,510648.000,1,1,1,0,true
baseline,5,join_mybatis,4,1,2048,6600.098,5800.000,4,4,4,0,true
baseline,5,bare_concat,4096,2,2,310350.000,43616.000,4096,1,1,0,false
baseline,5,where_positional,16,2,2048,10163.916,5224.000,16,16,16,0,true
baseline,5,array_positional,8192,2,2,108150.000,139940.000,8192,0,0,0,false
baseline,5,quoted_and_comments,2,2,2048,1812.158,1200.020,2,2,2,0,true
baseline,5,deep_unary,256,2,32,57234.375,33048.000,1,1,1,0,true
baseline,5,deep_unary,4096,2,2,889350.000,510648.000,1,1,1,0,true
baseline,5,json_operator,1,2,2048,1543.262,1128.000,1,1,1,0,true
baseline,5,join_positional,4,2,2048,5152.588,3824.000,4,4,4,0,true
baseline,5,array_named,256,2,32,15825.000,22776.000,256,256,256,0,true
baseline,5,bare_concat,8192,2,2,623500.000,127628.000,8192,1,1,0,false
baseline,5,array_positional,4096,2,2,46500.000,33356.000,4096,0,0,0,false
baseline,5,no_parameters,0,2,2048,1328.027,1248.000,0,0,0,0,true
baseline,5,array_named,1024,2,8,63387.500,87088.000,1024,1024,1024,0,true
baseline,5,where_mybatis,2,2,2048,2595.410,2552.000,2,2,2,0,true
baseline,5,array_positional,1024,2,8,11612.500,6712.000,1024,0,0,0,false
baseline,5,where_mybatis,16,2,2048,15495.313,14656.000,16,16,16,0,true
baseline,5,geometric_cast,1,2,2048,1538.672,792.000,1,1,1,0,true
baseline,5,json_constructor,1,2,2048,1520.996,1136.000,1,0,0,0,false
baseline,5,array_named,4096,2,2,301450.000,395776.000,4096,4096,4096,0,true
baseline,5,array_named,8192,2,2,1093700.000,863844.000,8192,8192,8192,0,true
baseline,5,where_named,2,2,2048,2046.436,1824.020,2,2,2,0,true
baseline,5,array_mybatis,1024,2,8,3462625.000,27681488.000,1024,1024,1024,0,true
baseline,5,deep_unary,1024,2,8,210037.500,128568.000,1,1,1,0,true
baseline,5,join_mybatis,4,2,2048,6634.961,5800.000,4,4,4,0,true
