version,fork,shape,size,round,operations,ns_per_op,bytes_per_op,expected,min_count,max_count,errors,semantic_match
baseline_common8,1,array_positional,4096,1,2,39850.000,33356.000,4096,0,0,0,false
baseline_common8,1,array_mybatis,1024,1,8,2959637.500,27681512.000,1024,1024,1024,0,true
baseline_common8,1,quoted_and_comments,2,1,2048,2100.684,1192.000,2,2,2,0,true
baseline_common8,1,array_named,4096,1,2,285450.000,395776.000,4096,4096,4096,0,true
baseline_common8,1,no_parameters,0,1,2048,1614.111,1248.000,0,0,0,0,true
baseline_common8,1,where_positional,16,1,2048,12579.199,5224.000,16,16,16,0,true
baseline_common8,1,deep_unary,256,1,32,61318.750,33048.000,1,1,1,0,true
baseline_common8,1,array_positional,1024,1,8,9600.000,6712.000,1024,0,0,0,false
baseline_common8,1,array_named,256,1,32,25778.125,22776.000,256,256,256,0,true
baseline_common8,1,json_constructor,1,1,2048,2841.309,1136.000,1,0,0,0,false
baseline_common8,1,where_positional,128,1,2048,90986.182,35904.000,128,128,128,0,true
baseline_common8,1,array_mybatis,8192,1,2,169029550.000,1814143252.000,8192,8192,8192,0,true
baseline_common8,1,geometric_cast,1,1,2048,1721.289,800.020,1,1,1,0,true
baseline_common8,1,array_positional,8192,1,2,77500.000,139940.000,8192,0,0,0,false
baseline_common8,1,where_mybatis,2,1,2048,2596.289,2560.020,2,2,2,0,true
baseline_common8,1,bare_concat,256,1,32,19834.375,3296.000,256,1,1,0,false
baseline_common8,1,where_positional,2,1,2048,1635.840,1456.000,2,2,2,0,true
baseline_common8,1,deep_unary,4096,1,2,876600.000,510648.000,1,1,1,0,true
baseline_common8,1,array_positional,256,1,32,4412.500,2104.000,256,0,0,0,false
baseline_common8,1,where_named,16,1,2048,11175.781,7960.000,16,16,16,0,true
baseline_common8,1,bare_concat,1024,1,8,90550.000,11360.000,1024,1,1,0,false
baseline_common8,1,join_positional,4,1,2048,4970.898,3824.000,4,4,4,0,true
baseline_common8,1,deep_unary,8192,1,2,2275100.000,1061092.000,1,1,1,0,true
baseline_common8,1,array_mybatis,4096,1,2,38500750.000,453553324.000,4096,4096,4096,0,true
baseline_common8,1,where_named,2,1,2048,2016.504,1816.000,2,2,2,0,true
baseline_common8,1,array_mybatis,256,1,32,256331.250,1777536.000,256,256,256,0,true
baseline_common8,1,jdbc_escape,1,1,2048,1878.223,1176.000,1,1,1,0,true
baseline_common8,1,bare_concat,8192,1,2,626750.000,127628.000,8192,1,1,0,false
baseline_common8,1,array_named,8192,1,2,669800.000,872056.000,8192,8192,8192,0,true
baseline_common8,1,deep_unary,1024,1,8,218637.500,130621.000,1,1,1,0,true
baseline_common8,1,bare_concat,4096,1,2,309900.000,43616.000,4096,1,1,0,false
baseline_common8,1,array_named,1024,1,8,61437.500,87088.000,1024,1024,1024,0,true
baseline_common8,1,join_mybatis,4,1,2048,6464.160,5800.000,4,4,4,0,true
baseline_common8,1,json_operator,1,1,2048,1474.902,1128.000,1,1,1,0,true
baseline_common8,1,where_mybatis,16,1,2048,15008.545,14656.000,16,16,16,0,true
baseline_common8,1,join_named,4,1,2048,5485.010,3968.000,4,4,4,0,true
baseline_common8,1,array_named,1024,2,8,58787.500,87088.000,1024,1024,1024,0,true
baseline_common8,1,join_positional,4,2,2048,4961.426,3824.000,4,4,4,0,true
baseline_common8,1,where_named,2,2,2048,2567.334,1816.000,2,2,2,0,true
baseline_common8,1,deep_unary,256,2,32,55843.750,33048.000,1,1,1,0,true
baseline_common8,1,array_mybatis,1024,2,8,2744900.000,27681488.000,1024,1024,1024,0,true
baseline_common8,1,bare_concat,1024,2,8,76500.000,11360.000,1024,1,1,0,false
baseline_common8,1,array_positional,8192,2,2,76950.000,139940.000,8192,0,0,0,false
baseline_common8,1,join_named,4,2,2048,5593.604,3976.020,4,4,4,0,true
baseline_common8,1,json_constructor,1,2,2048,1447.314,1136.000,1,0,0,0,false
baseline_common8,1,array_mybatis,4096,2,2,39765500.000,453545112.000,4096,4096,4096,0,true
baseline_common8,1,bare_concat,4096,2,2,300250.000,43616.000,4096,1,1,0,false
baseline_common8,1,where_positional,128,2,2048,75430.615,35904.000,128,128,128,0,true
baseline_common8,1,deep_unary,4096,2,2,856450.000,510648.000,1,1,1,0,true
baseline_common8,1,array_named,8192,2,2,520150.000,863844.000,8192,8192,8192,0,true
baseline_common8,1,array_mybatis,8192,2,2,158278750.000,1814151464.000,8192,8192,8192,0,true
baseline_common8,1,array_positional,256,2,32,3340.625,2617.250,256,0,0,0,false
baseline_common8,1,array_positional,1024,2,8,9112.500,6712.000,1024,0,0,0,false
baseline_common8,1,deep_unary,8192,2,2,1976300.000,1061092.000,1,1,1,0,true
baseline_common8,1,bare_concat,256,2,32,19681.250,3809.250,256,1,1,0,false
baseline_common8,1,no_parameters,0,2,2048,1508.496,1248.000,0,0,0,0,true
baseline_common8,1,array_mybatis,256,2,32,259059.375,1777536.000,256,256,256,0,true
baseline_common8,1,bare_concat,8192,2,2,601950.000,127628.000,8192,1,1,0,false
baseline_common8,1,where_positional,16,2,2048,9912.207,5232.020,16,16,16,0,true
baseline_common8,1,array_positional,4096,2,2,51000.000,25144.000,4096,0,0,0,false
baseline_common8,1,array_named,4096,2,2,384400.000,395776.000,4096,4096,4096,0,true
baseline_common8,1,geometric_cast,1,2,2048,2050.244,792.000,1,1,1,0,true
baseline_common8,1,array_named,256,2,32,14987.500,22776.000,256,256,256,0,true
baseline_common8,1,deep_unary,1024,2,8,217050.000,128568.000,1,1,1,0,true
baseline_common8,1,where_mybatis,16,2,2048,15125.098,14656.000,16,16,16,0,true
baseline_common8,1,quoted_and_comments,2,2,2048,1844.287,1192.000,2,2,2,0,true
baseline_common8,1,where_named,16,2,2048,10831.494,7960.000,16,16,16,0,true
baseline_common8,1,jdbc_escape,1,2,2048,1818.164,1176.000,1,1,1,0,true
baseline_common8,1,where_mybatis,2,2,2048,2458.057,2552.000,2,2,2,0,true
