version,fork,shape,size,round,operations,ns_per_op,bytes_per_op,expected,min_count,max_count,errors,semantic_match
before,1,array_positional,4096,1,2,866900.000,1621892.000,4096,4096,4096,0,true
before,1,array_mybatis,1024,1,8,232600.000,316088.000,1024,1024,1024,0,true
before,1,quoted_and_comments,2,1,2048,3422.412,1608.000,2,2,2,0,true
before,1,array_named,4096,1,2,449350.000,510400.000,4096,4096,4096,0,true
before,1,no_parameters,0,1,2048,1855.615,1400.000,0,0,0,0,true
before,1,where_positional,16,1,2048,18003.906,6128.000,16,16,16,0,true
before,1,deep_unary,256,1,32,89709.375,38384.000,1,1,1,0,true
before,1,array_positional,1024,1,8,352825.000,418688.000,1024,1024,1024,0,true
before,1,array_named,256,1,32,30890.625,30168.000,256,256,256,0,true
before,1,json_constructor,1,1,2048,2954.492,1576.000,1,1,1,0,true
before,1,where_positional,128,1,2048,122729.541,42632.000,128,128,128,0,true
before,1,array_mybatis,8192,1,2,2142250.000,2745516.000,8192,8192,8192,0,true
before,1,geometric_cast,1,1,2048,2694.043,1408.020,1,1,1,0,true
before,1,array_positional,8192,1,2,1682050.000,3567740.000,8192,8192,8192,0,true
before,1,where_mybatis,2,1,2048,3351.025,4016.020,2,2,2,0,true
before,1,bare_concat,256,1,32,34196.875,13512.000,256,256,256,0,true
before,1,where_positional,2,1,2048,2957.031,1872.000,2,2,2,0,true
before,1,deep_unary,4096,1,2,1278200.000,585168.000,1,1,1,0,true
before,1,array_positional,256,1,32,56165.625,101168.000,256,256,256,0,true
before,1,where_named,16,1,2048,12403.467,11552.000,16,16,16,0,true
before,1,bare_concat,1024,1,8,128450.000,61056.000,1024,1024,1024,0,true
before,1,join_positional,4,1,2048,8521.973,4312.000,4,4,4,0,true
before,1,deep_unary,8192,1,2,2533100.000,1209356.000,1,1,1,0,true
before,1,array_mybatis,4096,1,2,920800.000,1280428.000,4096,4096,4096,0,true
before,1,where_named,2,1,2048,2263.672,2384.000,2,2,2,0,true
before,1,array_mybatis,256,1,32,55143.750,65544.000,256,256,256,0,true
before,1,jdbc_escape,1,1,2048,2605.469,1584.000,1,1,1,0,true
before,1,bare_concat,8192,1,2,934550.000,575580.000,8192,8192,8192,0,true
before,1,array_named,8192,1,2,660550.000,1187144.000,8192,8192,8192,0,true
before,1,deep_unary,1024,1,8,315312.500,149813.000,1,1,1,0,true
before,1,bare_concat,4096,1,2,464050.000,203160.000,4096,4096,4096,0,true
before,1,array_named,1024,1,8,74562.500,122336.000,1024,1024,1024,0,true
before,1,join_mybatis,4,1,2048,8385.254,8616.000,4,4,4,0,true
before,1,json_operator,1,1,2048,2547.119,1536.000,1,1,1,0,true
before,1,where_mybatis,16,1,2048,19993.262,25368.000,16,16,16,0,true
before,1,join_named,4,1,2048,6079.492,5008.000,4,4,4,0,true
before,1,array_named,1024,2,8,76500.000,122336.000,1024,1024,1024,0,true
before,1,join_positional,4,2,2048,8604.785,4312.000,4,4,4,0,true
before,1,where_named,2,2,2048,2368.604,2384.000,2,2,2,0,true
before,1,deep_unary,256,2,32,83078.125,38384.000,1,1,1,0,true
before,1,array_mybatis,1024,2,8,240075.000,316088.000,1024,1024,1024,0,true
before,1,bare_concat,1024,2,8,120862.500,61056.000,1024,1024,1024,0,true
before,1,array_positional,8192,2,2,1663900.000,3567740.000,8192,8192,8192,0,true
before,1,join_named,4,2,2048,5965.723,5016.020,4,4,4,0,true
before,1,json_constructor,1,2,2048,2458.496,1576.000,1,1,1,0,true
before,1,array_mybatis,4096,2,2,2180050.000,1272216.000,4096,4096,4096,0,true
before,1,bare_concat,4096,2,2,487550.000,203160.000,4096,4096,4096,0,true
before,1,where_positional,128,2,2048,105249.756,42632.000,128,128,128,0,true
