version,fork,shape,size,round,operations,ns_per_op,bytes_per_op,expected,min_count,max_count,errors,semantic_match
current,4,array_named,4096,1,2,266800.000,461268.000,4096,4096,4096,0,true
current,4,array_named,1024,1,8,66137.500,104680.000,1024,1024,1024,0,true
current,4,geometric_cast,1,1,2048,3111.182,1088.000,1,1,1,0,true
current,4,array_named,8192,1,2,457850.000,979260.000,8192,8192,8192,0,true
current,4,bare_concat,256,1,32,30309.375,11033.250,256,256,256,0,true
current,4,array_positional,256,1,32,18546.875,4216.000,256,256,256,0,true
current,4,join_mybatis,4,1,2048,15876.855,6784.000,4,4,4,0,true
current,4,join_positional,4,1,2048,11493.701,4008.000,4,4,4,0,true
current,4,deep_unary,1024,1,8,313237.500,145400.000,1,1,1,0,true
current,4,where_positional,16,1,2048,15727.344,5680.000,16,16,16,0,true
current,4,json_constructor,1,1,2048,2161.963,1336.000,1,1,1,0,true
current,4,no_parameters,0,1,2048,1585.352,1184.000,0,0,0,0,true
current,4,array_mybatis,8192,1,2,841650.000,2158956.000,8192,8192,8192,0,true
current,4,join_named,4,1,2048,6612.158,4400.020,4,4,4,0,true
current,4,deep_unary,4096,1,2,1268750.000,576664.000,1,1,1,0,true
current,4,quoted_and_comments,2,1,2048,3581.787,1432.000,2,2,2,0,true
current,4,array_mybatis,1024,1,8,114512.500,280920.000,1024,1024,1024,0,true
current,4,json_operator,1,1,2048,2480.176,1320.000,1,1,1,0,true
current,4,where_named,16,1,2048,8641.992,9632.000,16,16,16,0,true
current,4,where_positional,128,1,2048,58699.658,39944.000,128,128,128,0,true
current,4,deep_unary,256,1,32,37771.875,37560.000,1,1,1,0,true
current,4,jdbc_escape,1,1,2048,2008.838,1368.000,1,1,1,0,true
current,4,array_positional,1024,1,8,61000.000,14968.000,1024,1024,1024,0,true
current,4,where_positional,2,1,2048,2016.113,1624.000,2,2,2,0,true
current,4,array_named,256,1,32,16040.625,26440.000,256,256,256,0,true
current,4,where_mybatis,2,1,2048,2888.232,3072.000,2,2,2,0,true
current,4,array_positional,8192,1,2,70550.000,205540.000,8192,8192,8192,0,true
current,4,bare_concat,8192,1,2,680400.000,450760.000,8192,8192,8192,0,true
current,4,array_mybatis,4096,1,2,384550.000,1045932.000,4096,4096,4096,0,true
current,4,bare_concat,1024,1,8,71825.000,46440.000,1024,1024,1024,0,true
current,4,bare_concat,4096,1,2,362500.000,158072.000,4096,4096,4096,0,true
current,4,where_mybatis,16,1,2048,14733.643,18424.000,16,16,16,0,true
current,4,array_mybatis,256,1,32,27271.875,58232.000,256,256,256,0,true
current,4,array_positional,4096,1,2,38300.000,57976.000,4096,4096,4096,0,true
current,4,where_named,2,1,2048,1942.871,2032.000,2,2,2,0,true
current,4,deep_unary,8192,1,2,1038200.000,1192660.000,1,1,1,0,true
current,4,where_mybatis,2,2,2048,2767.578,3080.020,2,2,2,0,true
current,4,json_constructor,1,2,2048,1786.182,1336.000,1,1,1,0,true
current,4,where_positional,128,2,2048,52968.359,39944.000,128,128,128,0,true
current,4,join_mybatis,4,2,2048,4700.098,6688.000,4,4,4,0,true
current,4,no_parameters,0,2,2048,1015.967,1184.000,0,0,0,0,true
current,4,where_positional,2,2,2048,1388.623,1624.000,2,2,2,0,true
current,4,array_positional,256,2,32,3734.375,4216.000,256,256,256,0,true
current,4,jdbc_escape,1,2,2048,1443.555,1368.000,1,1,1,0,true
current,4,array_named,8192,2,2,411100.000,979260.000,8192,8192,8192,0,true
current,4,quoted_and_comments,2,2,2048,1673.682,1440.020,2,2,2,0,true
current,4,bare_concat,256,2,32,13000.000,10520.000,256,256,256,0,true
current,4,array_named,4096,2,2,208050.000,453056.000,4096,4096,4096,0,true
