version,fork,shape,size,ns,bytes,count,equivalent
baseline,1,array_positional,4096,36100,25144,0,false
baseline,1,array_mybatis,1024,3201275,27681512,1024,true
baseline,1,quoted_and_comments,2,1693.604,1192,2,true
baseline,1,array_named,4096,269400,395776,4096,true
baseline,1,no_parameters,0,1297.217,1248,0,true
baseline,1,where_positional,16,9865.186,5224,16,true
baseline,1,deep_unary,256,55025,33048,1,true
baseline,1,array_positional,1024,10175,6712,0,false
baseline,1,array_named,256,15009.375,22776,256,true
baseline,1,json_constructor,1,1539.551,1136,0,false
baseline,1,where_positional,128,76856.152,35904,128,true
baseline,1,array_mybatis,8192,174445500,1814143276,8192,true
baseline,1,geometric_cast,1,1525.391,792,1,true
baseline,1,array_positional,8192,79800,139940,0,false
baseline,1,where_mybatis,2,2571.191,2600,2,true
baseline,1,bare_concat,256,21800,3296,1,false
baseline,1,where_positional,2,1640.869,1456,2,true
baseline,1,deep_unary,4096,860250,510648,1,true
baseline,1,array_positional,256,2871.875,2617.250,0,false
baseline,1,where_named,16,11095.508,7960,16,true
baseline,1,bare_concat,1024,83425,11360,1,false
baseline,1,join_positional,4,4989.355,3824,4,true
baseline,1,deep_unary,8192,1702550,1061092,1,true
baseline,1,array_mybatis,4096,39878550,453545136,4096,true
baseline,1,where_named,2,1950.342,1816,2,true
baseline,1,array_mybatis,256,203871.875,1777560,256,true
baseline,1,jdbc_escape,1,1894.434,1176,1,true
baseline,1,bare_concat,8192,641400,127628,1,false
baseline,1,array_named,8192,525800,863844,8192,true
baseline,1,deep_unary,1024,216462.500,128568,1,true
baseline,1,bare_concat,4096,306250,43616,1,false
baseline,1,array_named,1024,58825,87088,1024,true
baseline,1,join_mybatis,4,6574.121,5896,4,true
baseline,1,json_operator,1,1500.342,1128,1,true
baseline,1,where_mybatis,16,16128.809,15040,16,true
baseline,1,join_named,4,5324.268,3968,4,true
baseline,1,cached_positional_same,2,13.434,0,2,true
baseline,1,cached_positional_equal,2,17.303,0,2,true
baseline,1,cached_named_same,2,12.740,0,2,true
baseline,1,cached_named_equal,2,18.958,0,2,true
baseline,2,array_named,8192,555950,863844,8192,true
baseline,2,where_mybatis,16,15866.650,14656,16,true
baseline,2,deep_unary,8192,1779950,1061092,1,true
baseline,2,bare_concat,256,21606.250,3296,1,false
baseline,2,deep_unary,1024,219150,128568,1,true
baseline,2,where_positional,128,78187.500,35904,128,true
baseline,2,where_positional,16,10113.672,5224,16,true
