shape,size,equivalent_results,baseline_ns,baseline_min_ns,baseline_max_ns,baseline_bytes,baseline_count,before_ns,before_min_ns,before_max_ns,before_bytes,before_count,current_ns,current_min_ns,current_max_ns,current_bytes,current_count,baseline_common8_ns,baseline_common8_min_ns,baseline_common8_max_ns,baseline_common8_bytes,baseline_common8_count,current_vs_baseline_pct,current_vs_before_pct,current_vs_common8_pct
array_mybatis,256,true,223056.250,203871.875,250306.250,1777560,256,56018.750,55587.500,56975,65544,256,24875,24150,25893.750,58232,256,256331.250,240925,269625,1777536,256,-88.848,-55.595,-90.296
array_mybatis,1024,true,2746550,2660975,3201275,27681512,1024,227837.500,226337.500,235587.500,316088,1024,103462.500,96462.500,108950,280920,1024,2857962.500,2773075,3199400,27681488,1024,-96.233,-54.589,-96.380
array_mybatis,4096,true,39878550,39115500,45503900,453545136,4096,920800,906150,924300,1272216,4096,385000,379900,408400,1037720,4096,43680400,42941750,44066150,453545112,4096,-99.035,-58.189,-99.119
array_mybatis,8192,true,174336150,170395200,177428700,1814143276,8192,1906100,1846700,1945700,2745516,8192,827850,763600,841650,2158956,8192,169029550,160094800,170510800,1814143252,8192,-99.525,-56.568,-99.510
array_named,256,true,14959.375,14540.625,15968.750,22776,256,18940.625,18453.125,19790.625,30168,256,12418.750,11715.625,14356.250,26440,256,14968.750,14687.500,14987.500,22776,256,-16.983,-34.433,-17.035
array_named,1024,true,62675,58825,66862.500,87088,1024,77287.500,75437.500,80575,122336,1024,48950,47875,50725,104680,1024,60375,59562.500,61162.500,87088,1024,-21.899,-36.665,-18.923
array_named,4096,true,269400,267100,295600,395776,4096,338600,320450,348600,510400,4096,203050,192000,208050,453056,4096,270350,268650,271400,395776,4096,-24.629,-40.032,-24.894
array_named,8192,true,546850,525800,593550,863844,8192,691450,660550,702950,1178932,8192,417500,399250,436350,979260,8192,551500,535100,553850,863844,8192,-23.654,-39.620,-24.297
array_positional,256,false,2918.750,2871.875,3284.375,2104,0,54575,53890.625,54950,101168,256,4259.375,3218.750,4600,4216,256,2834.375,2803.125,3306.250,2104,0,45.931,-92.195,50.276
array_positional,1024,false,10300,9825,11612.500,6712,0,229425,213687.500,230287.500,418688,1024,8975,8437.500,10062.500,14968,1024,11650,10375,12312.500,6712,0,-12.864,-96.088,-22.961
array_positional,4096,false,37050,36100,43150,25144,0,861650,826950,904650,1613680,4096,30550,29950,34250,57976,4096,37650,37000,38350,25144,0,-17.544,-96.454,-18.858
array_positional,8192,false,83100,79800,90250,139940,0,1746050,1693550,1842550,3567740,8192,68000,62100,73200,205540,8192,81250,75300,83450,139940,0,-18.171,-96.105,-16.308
bare_concat,256,false,21800,20837.500,22887.500,3296,1,31015.625,30165.625,33937.500,13512,256,15656.250,14025,17537.500,10520,256,21393.750,20331.250,22065.625,3296,1,-28.182,-49.521,-26.819
bare_concat,1024,false,81125,78075,83425,11360,1,122287.500,118175,124787.500,61056,1024,56962.500,52150,59025,46440,1024,80725,79312.500,80950,11360,1,-29.784,-53.419,-29.436
bare_concat,4096,false,324100,306250,349200,43616,1,478250,461100,487600,203160,4096,204900,197550,211550,158072,4096,326500,308300,327150,43616,1,-36.779,-57.156,-37.243
bare_concat,8192,false,629600,622650,641400,127628,1,940850,924650,967800,575580,8192,416600,409950,429400,442548,8192,626750,620250,644100,127628,1,-33.831,-55.721,-33.530
cached_named_equal,2,true,17.606,17.170,25.111,0,2,15.474,15.185,16.043,0,2,16.081,15.464,17.217,0,2,17.109,17.020,18.365,0,2,-8.662,3.923,-6.009
cached_named_same,2,true,12.907,12.228,13.190,0,2,12.171,11.704,12.235,0,2,11.925,11.787,12.362,0,2,12.823,12.468,12.832,0,2,-7.608,-2.021,-7.003
cached_positional_equal,2,true,17.303,16.293,18.316,0,2,16.166,15.434,18.080,0,2,16.178,15.866,16.988,0,2,17.380,17.377,17.667,0,2,-6.502,0.074,-6.916
cached_positional_same,2,true,13.434,12.720,14.072,0,2,12.421,12.122,12.935,0,2,12.362,12.203,12.541,0,2,13.031,13.029,13.043,0,2,-7.980,-0.475,-5.134
deep_unary,256,true,57118.750,55025,57387.500,33048,1,80296.875,79775,82712.500,38384,1,27728.125,27515.625,28528.125,37560,1,56196.875,55881.250,60681.250,33048,1,-51.455,-65.468,-50.659
deep_unary,1024,true,219150,216462.500,223975,128568,1,318025,310900,320012.500,147760,1,108087.500,105925,115100,145400,1,224812.500,218887.500,227700,128568,1,-50.679,-66.013,-51.921
deep_unary,4096,true,883900,860250,948250,510648,1,1248600,1229650,1278200,585168,1,449950,424850,454100,576664,1,900400,864300,925000,510648,1,-49.095,-63.964,-50.028
deep_unary,8192,true,1754250,1702550,1873050,1061092,1,2475500,2467850,2543650,1209356,1,877700,854600,887450,1192660,1,1757900,1731650,1802150,1061092,1,-49.967,-64.545,-50.071
geometric_cast,1,true,1606.641,1525.391,1707.471,792,1,2178.516,2166.748,2209.521,1400,1,1089.648,1086.670,1110.010,1088,1,1604.834,1539.893,1613.477,792,1,-32.179,-49.982,-32.102
jdbc_escape,1,true,1893.848,1860.889,1940.332,1176,1,2605.420,2567.090,2632.227,1584,1,1447.363,1435.156,1479.639,1368,1,1878.223,1868.555,1942.676,1176,1,-23.576,-44.448,-22.940
join_mybatis,4,true,6731.836,6574.121,6800.391,5896,4,7458.594,7395.410,7615.576,8616,4,4606.592,4508.447,4786.719,6688,4,6586.670,6487.842,6893.506,5800,4,-31.570,-38.238,-30.062
join_named,4,true,5473.047,5324.268,5822.949,3968,4,5753.223,5680.762,5850.098,5008,4,3417.725,3346.045,3473.828,4392,4,5485.010,5256.592,5503.271,3968,4,-37.554,-40.595,-37.690
join_positional,4,true,5130.859,4989.355,5183.057,3824,4,8608.398,8358.643,8810.449,4312,4,3815.771,3776.758,3839.111,4008,4,5161.279,5069.873,5279.150,3824,4,-25.631,-55.674,-26.069
json_constructor,1,false,1552.100,1465.576,1590.381,1136,0,2468.604,2453.271,2491.113,1576,1,1311.035,1292.822,1327.979,1336,1,1544.971,1521.680,1570.605,1136,0,-15.532,-46.892,-15.142
json_operator,1,true,1547.852,1494.775,1666.943,1128,1,2482.422,2413.086,2516.455,1536,1,1436.035,1434.766,1472.119,1320,1,1546.387,1514.209,1547.998,1128,1,-7.224,-42.152,-7.136
no_parameters,0,true,1335.938,1268.018,1449.707,1248,0,1385.840,1370.361,1459.375,1400,0,1063.965,1043.701,1077.100,1184,0,1279.395,1275,1322.852,1248,0,-20.358,-23.226,-16.838
quoted_and_comments,2,true,1778.467,1693.604,1897.070,1192,2,2961.279,2872.852,3043.945,1608,2,1673.779,1652.783,1736.816,1432,2,1734.668,1717.480,1736.035,1192,2,-5.886,-43.478,-3.510
where_mybatis,2,true,2635.693,2571.191,2664.648,2600,2,3082.373,2997.510,3214.697,4008,2,1992.773,1920.703,2044.482,3024,2,2568.604,2510.742,2590.283,2552,2,-24.393,-35.349,-22.418
where_mybatis,16,true,16027.930,15866.650,16615.137,15040,16,18830.371,18484.082,19067.822,25368,16,10615.918,10464.063,11055.908,18040,16,15663.867,15463.574,16019.043,14656,16,-33.766,-43.623,-32.227
where_named,2,true,2030.566,1950.342,2082.080,1816,2,2187.109,2182.617,2236.670,2384,2,1311.475,1303.320,1343.994,2032,2,2021.777,1971.582,2034.814,1816,2,-35.413,-40.036,-35.133
where_named,16,true,11713.135,11095.508,11736.523,7960,16,11961.426,11944.580,12277.441,11552,16,5782.715,5699.805,5910.645,9632,16,11175.781,11027.637,11322.998,7960,16,-50.631,-51.655,-48.257
