version,fork,shape,size,round,operations,ns_per_op,bytes_per_op,expected,min_count,max_count,errors,semantic_match
baseline,3,deep_unary,256,1,159,62432.704,33151.296,1,1,1,0,true
baseline,3,array_named,4096,1,29,286224.138,395776.000,4096,4096,4096,0,true
baseline,3,quoted_and_comments,2,1,2048,1922.852,1192.000,2,2,2,0,true
baseline,3,array_named,1024,1,146,65504.795,87088.000,1024,1024,1024,0,true
baseline,3,geometric_cast,1,1,2048,2016.943,792.000,1,1,1,0,true
baseline,3,where_positional,128,1,2048,83652.588,35904.000,128,128,128,0,true
baseline,3,array_named,256,1,516,16593.992,22776.000,256,256,256,0,true
baseline,3,array_mybatis,1024,1,8,2838212.500,27681512.000,1024,1024,1024,0,true
baseline,3,no_parameters,0,1,2048,1437.646,1248.000,0,0,0,0,true
baseline,3,json_operator,1,1,2048,1750.195,1128.000,1,1,1,0,true
baseline,3,where_mybatis,16,1,2048,17745.898,15040.000,16,16,16,0,true
baseline,3,array_positional,256,1,3666,2833.879,2104.000,256,0,0,0,false
baseline,3,array_mybatis,256,1,41,289717.073,1777560.000,256,256,256,0,true
baseline,3,deep_unary,4096,1,11,962409.091,510648.000,1,1,1,0,true
baseline,3,where_positional,16,1,2048,10720.703,5224.000,16,16,16,0,true
baseline,3,bare_concat,256,1,214,26067.290,3296.000,256,1,1,0,false
baseline,3,json_constructor,1,1,2048,1716.211,1136.000,1,0,0,0,false
baseline,3,where_named,16,1,2048,12784.814,7960.000,16,16,16,0,true
baseline,3,array_mybatis,4096,1,2,37740050.000,453545136.000,4096,4096,4096,0,true
baseline,3,array_positional,8192,1,136,74960.294,148031.235,8192,0,0,0,false
baseline,3,bare_concat,1024,1,58,86093.103,11643.172,1024,1,1,0,false
baseline,3,where_named,2,1,2048,2312.012,1816.000,2,2,2,0,true
baseline,3,join_positional,4,1,2048,5711.523,3824.000,4,4,4,0,true
baseline,3,deep_unary,8192,1,6,2087716.667,1070072.000,1,1,1,0,true
baseline,3,deep_unary,1024,1,42,266754.762,128959.048,1,1,1,0,true
baseline,3,array_named,8192,1,19,605289.474,871191.579,8192,8192,8192,0,true
baseline,3,array_positional,1024,1,1123,9302.671,6726.625,1024,0,0,0,false
baseline,3,join_mybatis,4,1,2048,8139.014,5896.000,4,4,4,0,true
baseline,3,bare_concat,4096,1,15,337173.333,43616.000,4096,1,1,0,false
baseline,3,join_named,4,1,2048,5783.545,3968.000,4,4,4,0,true
baseline,3,where_positional,2,1,2048,1925.635,1456.000,2,2,2,0,true
baseline,3,jdbc_escape,1,1,2048,2009.229,1176.000,1,1,1,0,true
baseline,3,array_positional,4096,1,272,35304.044,25144.000,4096,0,0,0,false
baseline,3,bare_concat,8192,1,8,685137.500,133787.000,8192,1,1,0,false
baseline,3,where_mybatis,2,1,2048,2863.379,2608.020,2,2,2,0,true
baseline,3,array_mybatis,8192,1,2,145773400.000,1814143276.000,8192,8192,8192,0,true
baseline,3,deep_unary,1024,2,42,251521.429,128959.048,1,1,1,0,true
baseline,3,array_positional,8192,2,136,75742.647,148031.235,8192,0,0,0,false
baseline,3,array_named,8192,2,19,572500.000,872056.000,8192,8192,8192,0,true
baseline,3,bare_concat,8192,2,8,681312.500,135840.000,8192,1,1,0,false
baseline,3,array_mybatis,1024,2,8,2563912.500,27683565.000,1024,1024,1024,0,true
baseline,3,quoted_and_comments,2,2,2048,1852.979,1192.000,2,2,2,0,true
baseline,3,where_positional,2,2,2048,2184.229,1456.000,2,2,2,0,true
baseline,3,array_positional,4096,2,272,38140.074,25144.000,4096,0,0,0,false
baseline,3,array_mybatis,8192,2,2,148706050.000,1814143276.000,8192,8192,8192,0,true
baseline,3,array_named,256,2,516,16175.000,22807.829,256,256,256,0,true
baseline,3,array_mybatis,256,2,41,275382.927,1777560.000,256,256,256,0,true
baseline,3,join_positional,4,2,2048,5583.008,3824.000,4,4,4,0,true
baseline,3,where_named,16,2,2048,12737.402,7960.000,16,16,16,0,true
baseline,3,where_named,2,2,2048,2472.900,1816.000,2,2,2,0,true
baseline,3,array_mybatis,4096,2,2,38762500.000,453545136.000,4096,4096,4096,0,true
baseline,3,array_positional,256,2,3666,2841.489,2104.000,256,0,0,0,false
baseline,3,json_operator,1,2,2048,1822.949,1128.000,1,1,1,0,true
baseline,3,jdbc_escape,1,2,2048,2075.537,1176.000,1,1,1,0,true
baseline,3,deep_unary,256,2,159,61006.918,33048.000,1,1,1,0,true
baseline,3,bare_concat,1024,2,58,96498.276,11360.000,1024,1,1,0,false
baseline,3,geometric_cast,1,2,2048,1646.924,792.000,1,1,1,0,true
baseline,3,where_positional,128,2,2048,85434.180,35904.000,128,128,128,0,true
baseline,3,no_parameters,0,2,2048,2047.754,1248.000,0,0,0,0,true
baseline,3,where_mybatis,2,2,2048,2998.096,2600.000,2,2,2,0,true
baseline,3,deep_unary,4096,2,11,948963.636,510648.000,1,1,1,0,true
baseline,3,join_named,4,2,2048,5890.918,3968.000,4,4,4,0,true
baseline,3,bare_concat,256,2,214,22230.374,3296.000,256,1,1,0,false
baseline,3,json_constructor,1,2,2048,1641.309,1136.000,1,0,0,0,false
baseline,3,array_named,1024,2,146,64122.603,87088.000,1024,1024,1024,0,true
baseline,3,where_mybatis,16,2,2048,17743.506,15040.000,16,16,16,0,true
baseline,3,bare_concat,4096,2,15,341000.000,43616.000,4096,1,1,0,false
baseline,3,array_named,4096,2,29,277127.586,395776.000,4096,4096,4096,0,true
baseline,3,array_positional,1024,2,1123,9427.516,6712.000,1024,0,0,0,false
baseline,3,where_positional,16,2,2048,10803.809,5224.000,16,16,16,0,true
baseline,3,deep_unary,8192,2,6,2017766.667,1066566.667,1,1,1,0,true
baseline,3,join_mybatis,4,2,2048,7381.885,5904.020,4,4,4,0,true
baseline,3,deep_unary,1024,3,42,243414.286,128568.000,1,1,1,0,true
baseline,3,array_mybatis,256,3,41,294841.463,1777560.000,256,256,256,0,true
baseline,3,array_mybatis,1024,3,8,2461250.000,27681512.000,1024,1024,1024,0,true
baseline,3,quoted_and_comments,2,3,2048,1861.768,1192.000,2,2,2,0,true
baseline,3,deep_unary,4096,3,11,1017618.182,510648.000,1,1,1,0,true
baseline,3,array_named,256,3,516,15674.031,22776.000,256,256,256,0,true
baseline,3,where_positional,2,3,2048,1898.877,1456.000,2,2,2,0,true
baseline,3,where_positional,128,3,2048,83115.332,35904.000,128,128,128,0,true
baseline,3,array_mybatis,8192,3,2,144044250.000,1814143276.000,8192,8192,8192,0,true
baseline,3,where_named,2,3,2048,2408.691,1824.020,2,2,2,0,true
baseline,3,where_positional,16,3,2048,10803.613,5224.000,16,16,16,0,true
baseline,3,join_positional,4,3,2048,5532.568,3824.000,4,4,4,0,true
baseline,3,bare_concat,4096,3,15,338900.000,43616.000,4096,1,1,0,false
baseline,3,deep_unary,8192,3,6,1895816.667,1066566.667,1,1,1,0,true
baseline,3,where_named,16,3,2048,12465.186,7968.020,16,16,16,0,true
baseline,3,jdbc_escape,1,3,2048,2081.348,1176.000,1,1,1,0,true
baseline,3,array_positional,256,3,3666,2848.882,2104.000,256,0,0,0,false
baseline,3,json_operator,1,3,2048,1690.479,1128.000,1,1,1,0,true
baseline,3,where_mybatis,16,3,2048,17793.750,15040.000,16,16,16,0,true
baseline,3,deep_unary,256,3,159,70644.025,33048.000,1,1,1,0,true
baseline,3,bare_concat,256,3,214,22278.972,3296.000,256,1,1,0,false
baseline,3,bare_concat,8192,3,8,690562.500,133787.000,8192,1,1,0,false
baseline,3,array_named,4096,3,29,298655.172,396342.345,4096,4096,4096,0,true
baseline,3,where_mybatis,2,3,2048,2915.674,2600.000,2,2,2,0,true
baseline,3,array_named,1024,3,146,64660.274,87088.000,1024,1024,1024,0,true
baseline,3,bare_concat,1024,3,58,85982.759,11360.000,1024,1,1,0,false
baseline,3,array_positional,8192,3,136,82410.294,148031.235,8192,0,0,0,false
baseline,3,array_positional,4096,3,272,35625.000,25204.382,4096,0,0,0,false
baseline,3,join_named,4,3,2048,5979.102,3968.000,4,4,4,0,true
baseline,3,no_parameters,0,3,2048,1440.674,1248.000,0,0,0,0,true
baseline,3,array_named,8192,3,19,554047.368,871191.579,8192,8192,8192,0,true
baseline,3,geometric_cast,1,3,2048,1825.293,800.020,1,1,1,0,true
baseline,3,array_mybatis,4096,3,2,36825000.000,453545136.000,4096,4096,4096,0,true
baseline,3,json_constructor,1,3,2048,1641.064,1136.000,1,0,0,0,false
baseline,3,array_positional,1024,3,1123,9343.989,6712.000,1024,0,0,0,false
baseline,3,join_mybatis,4,3,2048,7889.990,5896.000,4,4,4,0,true
baseline,3,array_mybatis,4096,4,2,39198750.000,453545136.000,4096,4096,4096,0,true
baseline,3,jdbc_escape,1,4,2048,1985.547,1176.000,1,1,1,0,true
baseline,3,join_mybatis,4,4,2048,7661.133,5896.000,4,4,4,0,true
baseline,3,no_parameters,0,4,2048,1418.994,1248.000,0,0,0,0,true
baseline,3,array_named,8192,4,19,572731.579,871191.579,8192,8192,8192,0,true
baseline,3,array_named,256,4,516,18811.047,22807.829,256,256,256,0,true
baseline,3,json_constructor,1,4,2048,1647.266,1136.000,1,0,0,0,false
baseline,3,where_positional,2,4,2048,2284.912,1456.000,2,2,2,0,true
baseline,3,array_named,4096,4,29,277651.724,395776.000,4096,4096,4096,0,true
baseline,3,array_named,1024,4,146,64274.658,87088.000,1024,1024,1024,0,true
baseline,3,deep_unary,256,4,159,60805.660,33048.000,1,1,1,0,true
baseline,3,array_mybatis,1024,4,8,2781000.000,27681512.000,1024,1024,1024,0,true
baseline,3,bare_concat,1024,4,58,84796.552,11360.000,1024,1,1,0,false
baseline,3,where_positional,128,4,2048,83030.908,35904.000,128,128,128,0,true
baseline,3,deep_unary,4096,4,11,943200.000,510648.000,1,1,1,0,true
baseline,3,where_mybatis,2,4,2048,2907.959,2600.000,2,2,2,0,true
baseline,3,join_named,4,4,2048,5807.959,3968.000,4,4,4,0,true
baseline,3,json_operator,1,4,2048,1681.689,1128.000,1,1,1,0,true
baseline,3,join_positional,4,4,2048,5581.396,3824.000,4,4,4,0,true
baseline,3,bare_concat,4096,4,15,342426.667,43616.000,4096,1,1,0,false
baseline,3,bare_concat,256,4,214,22821.028,3296.000,256,1,1,0,false
baseline,3,array_mybatis,8192,4,2,146105750.000,1814143276.000,8192,8192,8192,0,true
baseline,3,geometric_cast,1,4,2048,1605.029,800.020,1,1,1,0,true
baseline,3,where_positional,16,4,2048,10563.525,5224.000,16,16,16,0,true
baseline,3,array_mybatis,256,4,41,304151.220,1777560.000,256,256,256,0,true
baseline,3,deep_unary,8192,4,6,1895900.000,1066566.667,1,1,1,0,true
baseline,3,deep_unary,1024,4,42,236095.238,128959.048,1,1,1,0,true
baseline,3,bare_concat,8192,4,8,681562.500,133787.000,8192,1,1,0,false
baseline,3,where_named,16,4,2048,12341.895,7968.020,16,16,16,0,true
baseline,3,array_positional,1024,4,1123,9252.004,6712.000,1024,0,0,0,false
baseline,3,quoted_and_comments,2,4,2048,1885.352,1192.000,2,2,2,0,true
baseline,3,array_positional,256,4,3666,2859.165,2104.000,256,0,0,0,false
baseline,3,where_mybatis,16,4,2048,17514.746,15040.000,16,16,16,0,true
baseline,3,array_positional,4096,4,272,36666.912,25144.000,4096,0,0,0,false
baseline,3,array_positional,8192,4,136,85984.559,148179.235,8192,0,0,0,false
baseline,3,where_named,2,4,2048,2205.322,1824.020,2,2,2,0,true
baseline,3,array_named,8192,5,19,563436.842,871191.579,8192,8192,8192,0,true
