version,fork,shape,size,round,operations,ns_per_op,bytes_per_op,expected,min_count,max_count,errors,semantic_match
baseline_common8,2,array_named,8192,1,19,642000.000,872056.000,8192,8192,8192,0,true
baseline_common8,2,where_mybatis,16,1,2048,22939.551,15048.020,16,16,16,0,true
baseline_common8,2,deep_unary,8192,1,5,2359220.000,1066019.200,1,1,1,0,true
baseline_common8,2,bare_concat,256,1,330,37158.788,3345.770,256,1,1,0,false
baseline_common8,2,deep_unary,1024,1,38,386563.158,128568.000,1,1,1,0,true
baseline_common8,2,where_positional,128,1,2048,107788.623,35904.000,128,128,128,0,true
baseline_common8,2,where_positional,16,1,2048,14954.590,5224.000,16,16,16,0,true
baseline_common8,2,array_named,256,1,602,18222.259,22776.000,256,256,256,0,true
baseline_common8,2,quoted_and_comments,2,1,2048,2348.438,1192.000,2,2,2,0,true
baseline_common8,2,join_mybatis,4,1,2048,9513.672,5896.000,4,4,4,0,true
baseline_common8,2,where_named,16,1,2048,14293.799,7960.000,16,16,16,0,true
baseline_common8,2,deep_unary,256,1,111,72634.234,33048.000,1,1,1,0,true
baseline_common8,2,json_operator,1,1,2048,2441.748,1128.000,1,1,1,0,true
baseline_common8,2,jdbc_escape,1,1,2048,4111.328,1176.000,1,1,1,0,true
baseline_common8,2,array_named,4096,1,39,395776.923,395776.000,4096,4096,4096,0,true
baseline_common8,2,array_mybatis,1024,1,8,3026262.500,27681512.000,1024,1024,1024,0,true
baseline_common8,2,array_positional,1024,1,1046,12949.809,6712.000,1024,0,0,0,false
baseline_common8,2,array_mybatis,256,1,54,293277.778,1777560.000,256,256,256,0,true
baseline_common8,2,array_mybatis,8192,1,2,147541600.000,1814143276.000,8192,8192,8192,0,true
baseline_common8,2,bare_concat,4096,1,18,331555.556,44528.444,4096,1,1,0,false
baseline_common8,2,where_named,2,1,2048,2185.449,1816.000,2,2,2,0,true
baseline_common8,2,geometric_cast,1,1,2048,1619.043,792.000,1,1,1,0,true
baseline_common8,2,array_mybatis,4096,1,2,37387050.000,453545136.000,4096,4096,4096,0,true
baseline_common8,2,join_positional,4,1,2048,5510.889,3824.000,4,4,4,0,true
baseline_common8,2,array_named,1024,1,162,63857.407,87088.000,1024,1024,1024,0,true
