version,fork,shape,size,round,operations,ns_per_op,bytes_per_op,expected,min_count,max_count,errors,semantic_match
before,3,deep_unary,256,1,121,81192.562,38519.736,1,1,1,0,true
before,3,array_named,4096,1,22,324350.000,510400.000,4096,4096,4096,0,true
before,3,quoted_and_comments,2,1,2048,3099.902,1608.000,2,2,2,0,true
before,3,array_named,1024,1,107,80806.542,122336.000,1024,1024,1024,0,true
before,3,geometric_cast,1,1,2048,2155.371,1400.000,1,1,1,0,true
before,3,where_positional,128,1,2048,103763.965,42632.000,128,128,128,0,true
before,3,array_named,256,1,308,19177.597,30168.000,256,256,256,0,true
before,3,array_mybatis,1024,1,43,243348.837,316088.000,1024,1024,1024,0,true
before,3,no_parameters,0,1,2048,1368.408,1400.000,0,0,0,0,true
before,3,json_operator,1,1,2048,2464.307,1536.000,1,1,1,0,true
before,3,where_mybatis,16,1,2048,18990.625,25368.000,16,16,16,0,true
before,3,array_positional,256,1,176,53196.023,101168.000,256,256,256,0,true
before,3,array_mybatis,256,1,152,56826.974,65544.000,256,256,256,0,true
before,3,deep_unary,4096,1,9,1256311.111,585168.000,1,1,1,0,true
before,3,where_positional,16,1,2048,15351.465,6128.000,16,16,16,0,true
before,3,bare_concat,256,1,278,30869.784,13512.000,256,256,256,0,true
before,3,json_constructor,1,1,2048,2873.340,1576.000,1,1,1,0,true
before,3,where_named,16,1,2048,11961.816,11552.000,16,16,16,0,true
before,3,array_mybatis,4096,1,11,956972.727,1272216.000,4096,4096,4096,0,true
before,3,array_positional,8192,1,6,1817350.000,3573214.667,8192,8192,8192,0,true
before,3,bare_concat,1024,1,80,123700.000,61261.300,1024,1024,1024,0,true
before,3,where_named,2,1,2048,2812.598,2384.000,2,2,2,0,true
before,3,join_positional,4,1,2048,8544.092,4312.000,4,4,4,0,true
before,3,deep_unary,8192,1,5,2505100.000,1214283.200,1,1,1,0,true
before,3,deep_unary,1024,1,33,315151.515,148257.697,1,1,1,0,true
before,3,array_named,8192,1,13,711546.154,1185880.615,8192,8192,8192,0,true
before,3,array_positional,1024,1,48,229227.083,419030.167,1024,1024,1024,0,true
before,3,join_mybatis,4,1,2048,7629.688,8616.000,4,4,4,0,true
before,3,bare_concat,4096,1,22,470300.000,203160.000,4096,4096,4096,0,true
before,3,join_named,4,1,2048,5937.549,5008.000,4,4,4,0,true
before,3,where_positional,2,1,2048,2869.482,1872.000,2,2,2,0,true
before,3,jdbc_escape,1,1,2048,2876.025,1584.000,1,1,1,0,true
before,3,array_positional,4096,1,10,866820.000,1613680.000,4096,4096,4096,0,true
before,3,bare_concat,8192,1,11,956863.636,582298.909,8192,8192,8192,0,true
before,3,where_mybatis,2,1,2048,3449.170,4016.020,2,2,2,0,true
before,3,array_mybatis,8192,1,6,1896400.000,2750990.667,8192,8192,8192,0,true
before,3,deep_unary,1024,2,33,310436.364,148257.697,1,1,1,0,true
before,3,array_positional,8192,2,6,2156183.333,3573214.667,8192,8192,8192,0,true
before,3,array_named,8192,2,13,694684.615,1187144.000,8192,8192,8192,0,true
before,3,bare_concat,8192,2,11,1014500.000,583792.000,8192,8192,8192,0,true
before,3,array_mybatis,1024,2,43,340406.977,316930.047,1024,1024,1024,0,true
before,3,quoted_and_comments,2,2,2048,7330.029,1608.000,2,2,2,0,true
before,3,where_positional,2,2,2048,7266.357,1872.000,2,2,2,0,true
before,3,array_positional,4096,2,10,1018860.000,1613680.000,4096,4096,4096,0,true
before,3,array_mybatis,8192,2,6,2968933.333,2750990.667,8192,8192,8192,0,true
before,3,array_named,256,2,308,48426.948,30221.325,256,256,256,0,true
before,3,array_mybatis,256,2,152,92074.342,65544.000,256,256,256,0,true
before,3,join_positional,4,2,2048,19464.941,4312.000,4,4,4,0,true
before,3,where_named,16,2,2048,32072.607,11552.000,16,16,16,0,true
before,3,where_named,2,2,2048,7182.666,2384.000,2,2,2,0,true
before,3,array_mybatis,4096,2,11,1084709.091,1272216.000,4096,4096,4096,0,true
before,3,array_positional,256,2,176,82806.818,101168.000,256,256,256,0,true
before,3,json_operator,1,2,2048,5946.143,1536.000,1,1,1,0,true
before,3,jdbc_escape,1,2,2048,6313.086,1584.000,1,1,1,0,true
before,3,deep_unary,256,2,121,142172.727,38384.000,1,1,1,0,true
before,3,bare_concat,1024,2,80,276217.500,61056.000,1024,1024,1024,0,true
before,3,geometric_cast,1,2,2048,4645.459,1400.000,1,1,1,0,true
before,3,where_positional,128,2,2048,119543.848,42632.000,128,128,128,0,true
before,3,no_parameters,0,2,2048,1393.604,1400.000,0,0,0,0,true
before,3,where_mybatis,2,2,2048,3048.730,4008.000,2,2,2,0,true
before,3,deep_unary,4096,2,9,1256555.556,585168.000,1,1,1,0,true
before,3,join_named,4,2,2048,5636.768,5008.000,4,4,4,0,true
before,3,bare_concat,256,2,278,31892.446,13512.000,256,256,256,0,true
before,3,json_constructor,1,2,2048,2775.635,1576.000,1,1,1,0,true
before,3,array_named,1024,2,107,75568.224,122336.000,1024,1024,1024,0,true
before,3,where_mybatis,16,2,2048,18434.229,25368.000,16,16,16,0,true
before,3,bare_concat,4096,2,22,471754.545,203160.000,4096,4096,4096,0,true
before,3,array_named,4096,2,22,350654.545,510400.000,4096,4096,4096,0,true
before,3,array_positional,1024,2,48,223160.417,418688.000,1024,1024,1024,0,true
before,3,where_positional,16,2,2048,14707.324,6128.000,16,16,16,0,true
before,3,deep_unary,8192,2,5,2484680.000,1214283.200,1,1,1,0,true
before,3,join_mybatis,4,2,2048,8789.111,8624.020,4,4,4,0,true
before,3,deep_unary,1024,3,33,310196.970,147760.000,1,1,1,0,true
before,3,array_mybatis,256,3,152,57571.053,65544.000,256,256,256,0,true
before,3,array_mybatis,1024,3,43,243802.326,316088.000,1024,1024,1024,0,true
before,3,quoted_and_comments,2,3,2048,2911.523,1608.000,2,2,2,0,true
before,3,deep_unary,4096,3,9,1227966.667,585168.000,1,1,1,0,true
before,3,array_named,256,3,308,19545.130,30168.000,256,256,256,0,true
before,3,where_positional,2,3,2048,2960.254,1872.000,2,2,2,0,true
before,3,where_positional,128,3,2048,103774.902,42632.000,128,128,128,0,true
before,3,array_mybatis,8192,3,6,1875700.000,2750990.667,8192,8192,8192,0,true
before,3,where_named,2,3,2048,2250.684,2392.020,2,2,2,0,true
before,3,where_positional,16,3,2048,14391.260,6128.000,16,16,16,0,true
before,3,join_positional,4,3,2048,8497.461,4312.000,4,4,4,0,true
before,3,bare_concat,4096,3,22,463081.818,203160.000,4096,4096,4096,0,true
before,3,deep_unary,8192,3,5,2477520.000,1214283.200,1,1,1,0,true
before,3,where_named,16,3,2048,13354.883,11560.020,16,16,16,0,true
before,3,jdbc_escape,1,3,2048,2595.508,1584.000,1,1,1,0,true
before,3,array_positional,256,3,176,55026.705,101168.000,256,256,256,0,true
before,3,json_operator,1,3,2048,2518.262,1536.000,1,1,1,0,true
before,3,where_mybatis,16,3,2048,18614.600,25368.000,16,16,16,0,true
before,3,deep_unary,256,3,121,79559.504,38384.000,1,1,1,0,true
before,3,bare_concat,256,3,278,30963.309,13512.000,256,256,256,0,true
before,3,bare_concat,8192,3,11,923481.818,582298.909,8192,8192,8192,0,true
before,3,array_named,4096,3,22,345540.909,511146.545,4096,4096,4096,0,true
before,3,where_mybatis,2,3,2048,3254.297,4008.000,2,2,2,0,true
before,3,array_named,1024,3,107,81931.776,122336.000,1024,1024,1024,0,true
before,3,bare_concat,1024,3,80,123141.250,61056.000,1024,1024,1024,0,true
before,3,array_positional,8192,3,6,1837333.333,3573214.667,8192,8192,8192,0,true
before,3,array_positional,4096,3,10,921330.000,1615322.400,4096,4096,4096,0,true
before,3,join_named,4,3,2048,5740.527,5008.000,4,4,4,0,true
before,3,no_parameters,0,3,2048,1377.979,1400.000,0,0,0,0,true
before,3,array_named,8192,3,13,722876.923,1185880.615,8192,8192,8192,0,true
before,3,geometric_cast,1,3,2048,2258.398,1408.020,1,1,1,0,true
before,3,array_mybatis,4096,3,11,946545.455,1272216.000,4096,4096,4096,0,true
before,3,json_constructor,1,3,2048,2470.117,1576.000,1,1,1,0,true
before,3,array_positional,1024,3,48,222818.750,418688.000,1024,1024,1024,0,true
before,3,join_mybatis,4,3,2048,7672.412,8616.000,4,4,4,0,true
before,3,array_mybatis,4096,4,11,1005309.091,1272216.000,4096,4096,4096,0,true
before,3,jdbc_escape,1,4,2048,2609.082,1584.000,1,1,1,0,true
before,3,join_mybatis,4,4,2048,7615.332,8616.000,4,4,4,0,true
before,3,no_parameters,0,4,2048,1408.740,1400.000,0,0,0,0,true
before,3,array_named,8192,4,13,709476.923,1185880.615,8192,8192,8192,0,true
before,3,array_named,256,4,308,18685.390,30221.325,256,256,256,0,true
before,3,json_constructor,1,4,2048,2492.188,1576.000,1,1,1,0,true
before,3,where_positional,2,4,2048,2883.740,1872.000,2,2,2,0,true
before,3,array_named,4096,4,22,333650.000,510400.000,4096,4096,4096,0,true
before,3,array_named,1024,4,107,79154.206,122336.000,1024,1024,1024,0,true
before,3,deep_unary,256,4,121,80304.959,38384.000,1,1,1,0,true
