version,fork,shape,size,round,operations,ns_per_op,bytes_per_op,expected,min_count,max_count,errors,semantic_match
current,4,array_named,4096,1,46,202493.478,453413.043,4096,4096,4096,0,true
current,4,array_named,1024,1,192,48577.083,104680.000,1024,1024,1024,0,true
current,4,geometric_cast,1,1,2048,1140.723,1088.000,1,1,1,0,true
current,4,array_named,8192,1,19,393221.053,986607.579,8192,8192,8192,0,true
current,4,bare_concat,256,1,164,12201.829,10620.146,256,256,256,0,true
current,4,array_positional,256,1,813,2303.936,4216.000,256,256,256,0,true
current,4,join_mybatis,4,1,2048,4557.715,6688.000,4,4,4,0,true
current,4,join_positional,4,1,2048,3847.314,4008.000,4,4,4,0,true
current,4,deep_unary,1024,1,98,111207.143,145400.000,1,1,1,0,true
current,4,where_positional,16,1,2048,5983.936,5680.000,16,16,16,0,true
current,4,json_constructor,1,1,2048,1325.781,1336.000,1,1,1,0,true
current,4,no_parameters,0,1,2048,1066.992,1184.000,0,0,0,0,true
current,4,array_mybatis,8192,1,6,880033.333,2164430.667,8192,8192,8192,0,true
current,4,join_named,4,1,2048,3394.238,4400.020,4,4,4,0,true
current,4,deep_unary,4096,1,25,506860.000,576664.000,1,1,1,0,true
current,4,quoted_and_comments,2,1,2048,1678.125,1432.000,2,2,2,0,true
current,4,array_mybatis,1024,1,102,92137.255,280920.000,1024,1024,1024,0,true
current,4,json_operator,1,1,2048,1721.045,1320.000,1,1,1,0,true
current,4,where_named,16,1,2048,5919.775,9632.000,16,16,16,0,true
current,4,where_positional,128,1,2048,40976.758,39944.000,128,128,128,0,true
current,4,deep_unary,256,1,276,26959.783,37560.000,1,1,1,0,true
current,4,jdbc_escape,1,1,2048,1489.258,1368.000,1,1,1,0,true
current,4,array_positional,1024,1,351,7903.704,14968.000,1024,1024,1024,0,true
current,4,where_positional,2,1,2048,1420.654,1624.000,2,2,2,0,true
current,4,array_named,256,1,249,13178.715,26440.000,256,256,256,0,true
current,4,where_mybatis,2,1,2048,1845.703,3024.000,2,2,2,0,true
current,4,array_positional,8192,1,106,71163.208,213597.057,8192,8192,8192,0,true
current,4,bare_concat,8192,1,25,410872.000,450760.000,8192,8192,8192,0,true
current,4,array_mybatis,4096,1,26,421907.692,1038351.692,4096,4096,4096,0,true
current,4,bare_concat,1024,1,51,51190.196,46440.000,1024,1024,1024,0,true
current,4,bare_concat,4096,1,54,209222.222,158072.000,4096,4096,4096,0,true
current,4,where_mybatis,16,1,2048,10451.025,18040.000,16,16,16,0,true
current,4,array_mybatis,256,1,403,25085.360,58232.000,256,256,256,0,true
current,4,array_positional,4096,1,73,26097.260,57976.000,4096,4096,4096,0,true
current,4,where_named,2,1,2048,1331.201,2032.000,2,2,2,0,true
current,4,deep_unary,8192,1,13,818884.615,1199608.615,1,1,1,0,true
current,4,where_mybatis,2,2,2048,2187.158,3032.020,2,2,2,0,true
current,4,json_constructor,1,2,2048,1369.482,1336.000,1,1,1,0,true
current,4,where_positional,128,2,2048,42775.928,39944.000,128,128,128,0,true
current,4,join_mybatis,4,2,2048,4937.256,6688.000,4,4,4,0,true
current,4,no_parameters,0,2,2048,1031.201,1184.000,0,0,0,0,true
current,4,where_positional,2,2,2048,1434.570,1624.000,2,2,2,0,true
current,4,array_positional,256,2,813,2047.355,4216.000,256,256,256,0,true
current,4,jdbc_escape,1,2,2048,1550.439,1368.000,1,1,1,0,true
current,4,array_named,8192,2,19,400926.316,986607.579,8192,8192,8192,0,true
current,4,quoted_and_comments,2,2,2048,1663.916,1440.020,2,2,2,0,true
current,4,bare_concat,256,2,164,13932.927,10520.000,256,256,256,0,true
current,4,array_named,4096,2,46,207969.565,453056.000,4096,4096,4096,0,true
current,4,join_positional,4,2,2048,3766.357,4008.000,4,4,4,0,true
current,4,array_positional,4096,2,73,23909.589,57976.000,4096,4096,4096,0,true
current,4,where_named,2,2,2048,1285.303,2032.000,2,2,2,0,true
current,4,array_positional,1024,2,351,6506.553,14968.000,1024,1024,1024,0,true
current,4,array_named,1024,2,192,48786.458,104680.000,1024,1024,1024,0,true
current,4,bare_concat,4096,2,54,191909.259,158072.000,4096,4096,4096,0,true
current,4,where_positional,16,2,2048,5894.580,5680.000,16,16,16,0,true
current,4,array_mybatis,8192,2,6,743216.667,2164430.667,8192,8192,8192,0,true
current,4,array_mybatis,4096,2,26,394638.462,1038351.692,4096,4096,4096,0,true
current,4,where_named,16,2,2048,6857.031,9632.000,16,16,16,0,true
current,4,join_named,4,2,2048,3304.541,4392.000,4,4,4,0,true
current,4,where_mybatis,16,2,2048,10525.195,18040.000,16,16,16,0,true
current,4,deep_unary,8192,2,13,901492.308,1199608.615,1,1,1,0,true
current,4,deep_unary,4096,2,25,412728.000,577320.960,1,1,1,0,true
current,4,geometric_cast,1,2,2048,1104.688,1088.000,1,1,1,0,true
current,4,deep_unary,1024,2,98,103356.122,145400.000,1,1,1,0,true
current,4,array_positional,8192,2,106,66904.717,213597.057,8192,8192,8192,0,true
current,4,bare_concat,8192,2,25,404788.000,450760.000,8192,8192,8192,0,true
current,4,deep_unary,256,2,276,28304.710,37619.507,1,1,1,0,true
current,4,json_operator,1,2,2048,1485.498,1320.000,1,1,1,0,true
current,4,array_mybatis,256,2,403,24183.623,58232.000,256,256,256,0,true
current,4,bare_concat,1024,2,51,50833.333,46440.000,1024,1024,1024,0,true
current,4,array_named,256,2,249,12353.414,26440.000,256,256,256,0,true
current,4,array_mybatis,1024,2,102,97978.431,281082.745,1024,1024,1024,0,true
current,4,deep_unary,256,3,276,27389.130,37560.000,1,1,1,0,true
current,4,where_named,2,3,2048,1315.234,2032.000,2,2,2,0,true
current,4,deep_unary,8192,3,13,860784.615,1199608.615,1,1,1,0,true
current,4,where_named,16,3,2048,5648.438,9640.020,16,16,16,0,true
current,4,bare_concat,8192,3,25,408880.000,450103.040,8192,8192,8192,0,true
current,4,array_positional,4096,3,73,26686.301,58200.986,4096,4096,4096,0,true
current,4,quoted_and_comments,2,3,2048,1698.242,1432.000,2,2,2,0,true
current,4,where_mybatis,16,3,2048,10567.676,18040.000,16,16,16,0,true
current,4,array_named,256,3,249,12648.193,26440.000,256,256,256,0,true
current,4,where_positional,128,3,2048,41583.691,39944.000,128,128,128,0,true
current,4,where_positional,2,3,2048,1433.447,1624.000,2,2,2,0,true
current,4,jdbc_escape,1,3,2048,1471.484,1368.000,1,1,1,0,true
current,4,bare_concat,4096,3,54,197614.815,158072.000,4096,4096,4096,0,true
current,4,json_constructor,1,3,2048,1312.549,1336.000,1,1,1,0,true
current,4,array_named,8192,3,19,453094.737,986607.579,8192,8192,8192,0,true
current,4,array_positional,1024,3,351,7035.043,15014.792,1024,1024,1024,0,true
current,4,where_mybatis,2,3,2048,1916.064,3024.000,2,2,2,0,true
current,4,json_operator,1,3,2048,1452.197,1320.000,1,1,1,0,true
current,4,geometric_cast,1,3,2048,1178.223,1088.000,1,1,1,0,true
current,4,array_mybatis,4096,3,26,405311.538,1037720.000,4096,4096,4096,0,true
current,4,array_mybatis,256,3,403,27062.283,58232.000,256,256,256,0,true
current,4,no_parameters,0,3,2048,1022.607,1184.000,0,0,0,0,true
current,4,deep_unary,1024,3,98,103977.551,145400.000,1,1,1,0,true
current,4,array_positional,256,3,813,2097.294,4216.000,256,256,256,0,true
current,4,array_mybatis,8192,3,6,799866.667,2164430.667,8192,8192,8192,0,true
current,4,array_named,4096,3,46,198002.174,453413.043,4096,4096,4096,0,true
current,4,bare_concat,1024,3,51,50539.216,46440.000,1024,1024,1024,0,true
