version,fork,shape,size,ns,bytes,count,equivalent
baseline,1,array_positional,4096,36631.338,25144,0,false
baseline,1,array_mybatis,1024,2907537.500,27681512,1024,true
baseline,1,quoted_and_comments,2,1973.828,1192,2,true
baseline,1,array_named,4096,280544.737,395776,4096,true
baseline,1,no_parameters,0,1579.932,1248,0,true
baseline,1,where_positional,16,11170.410,5224,16,true
baseline,1,deep_unary,256,64144.828,33048,1,true
baseline,1,array_positional,1024,9480.965,6712,0,false
baseline,1,array_named,256,16308.669,22776,256,true
baseline,1,json_constructor,1,1712.256,1136,0,false
baseline,1,where_positional,128,85412.354,35904,128,true
baseline,1,array_mybatis,8192,149799150,1814143276,8192,true
baseline,1,geometric_cast,1,1809.521,792,1,true
baseline,1,array_positional,8192,84055.102,147984.408,0,false
baseline,1,where_mybatis,2,2920.850,2600,2,true
baseline,1,bare_concat,256,22970.940,3296,1,false
baseline,1,where_positional,2,1873.438,1456,2,true
baseline,1,deep_unary,4096,949533.333,510648,1,true
baseline,1,array_positional,256,2916.160,2108.537,0,false
baseline,1,where_named,16,12544.287,7960,16,true
baseline,1,bare_concat,1024,88154.054,11360,1,false
baseline,1,join_positional,4,5799.609,3824,4,true
baseline,1,deep_unary,8192,1920225,1065198,1,true
baseline,1,array_mybatis,4096,39887350,453545136,4096,true
baseline,1,where_named,2,2271.094,1816,2,true
baseline,1,array_mybatis,256,240870.270,1777560,256,true
baseline,1,jdbc_escape,1,2209.668,1176,1,true
baseline,1,bare_concat,8192,698985.714,134666.857,1,false
baseline,1,array_named,8192,569636.842,871191.579,8192,true
baseline,1,deep_unary,1024,238296.296,128568,1,true
baseline,1,bare_concat,4096,342019.048,43616,1,false
baseline,1,array_named,1024,67158.929,87088,1024,true
baseline,1,join_mybatis,4,7296.777,5896,4,true
baseline,1,json_operator,1,1699.072,1128,1,true
baseline,1,where_mybatis,16,17956.885,15040,16,true
baseline,1,join_named,4,6392.188,3968,4,true
baseline,1,cached_positional_same,2,14.408,0,2,true
baseline,1,cached_positional_equal,2,17.273,0,2,true
baseline,1,cached_named_same,2,12.569,0,2,true
baseline,1,cached_named_equal,2,16.386,0,2,true
baseline,2,array_named,8192,618216.667,871143.556,8192,true
baseline,2,where_mybatis,16,19280.615,15040,16,true
baseline,2,deep_unary,8192,1864200,1065198,1,true
baseline,2,bare_concat,256,23171.161,3296,1,false
baseline,2,deep_unary,1024,244472,128568,1,true
baseline,2,where_positional,128,86022.705,35904,128,true
baseline,2,where_positional,16,11515.283,5224,16,true
baseline,2,array_named,256,17280.717,22776,256,true
baseline,2,quoted_and_comments,2,2036.377,1192,2,true
baseline,2,join_mybatis,4,7689.307,5896,4,true
baseline,2,where_named,16,13319.238,7960,16,true
baseline,2,deep_unary,256,59336.842,33048,1,true
baseline,2,json_operator,1,1925.830,1128,1,true
