shape,size,equivalent_results,baseline_ns,baseline_min_ns,baseline_max_ns,baseline_bytes,baseline_count,before_ns,before_min_ns,before_max_ns,before_bytes,before_count,current_ns,current_min_ns,current_max_ns,current_bytes,current_count,baseline_common8_ns,baseline_common8_min_ns,baseline_common8_max_ns,baseline_common8_bytes,baseline_common8_count,current_vs_baseline_pct,current_vs_before_pct,current_vs_common8_pct
array_mybatis,256,true,247391.429,240870.270,289717.073,1777560,256,56047.126,55776.398,58002.098,65544,256,23936.126,23556.287,25540.617,58232,256,277831.707,252418.750,290503.704,1777560,256,-90.325,-57.293,-91.385
array_mybatis,1024,true,2842187.500,2556612.500,2907537.500,27681512,1024,235402.326,230920.455,240825.714,316088,1024,101776.344,97121.212,102653.125,280920,1024,2673525,2635962.500,2954187.500,27681512,1024,-96.419,-56.765,-96.193
array_mybatis,4096,true,39887350,37365450,40581300,453545136,4096,947918.182,918718.182,1025410,1272216,4096,390739.286,378412.500,404870.370,1037720,4096,37427500,37034100,40884250,453545136,4096,-99.020,-58.779,-98.956
array_mybatis,8192,true,151874650,145991700,159081350,1814143276,8192,1900116.667,1888166.667,2026440,2750990.667,8192,778300,746150,813571.429,2164430.667,8192,147013750,146752950,154206100,1814143276,8192,-99.488,-59.039,-99.471
array_named,256,true,16931.900,16190.698,17280.717,22776,256,18731.892,18530.303,19177.597,30168,256,11899.367,11774.725,13072.062,26440,256,16081.728,16004.762,16612.658,22776,256,-29.722,-36.475,-26.007
array_named,1024,true,67158.929,64942.466,72324.161,87088,1024,78504.673,78149.123,86984,122336,1024,48554.167,46625.926,51675.152,104680,1024,64517.901,64340,66712.422,87088,1024,-27.703,-38.151,-24.743
array_named,4096,true,281148.718,278441.379,356402.778,395776,4096,341857.692,332260,347304.545,510400,4096,201967.391,199726.087,211771.875,453056,4096,283341.026,275118.750,291351.351,395776,4096,-28.164,-40.921,-28.719
array_named,8192,true,588322.222,569636.842,642936.842,871191.579,8192,708607.692,683354.545,726891.667,1185775.333,8192,410989.474,400926.316,418605.556,986607.579,8192,572705.263,563752.632,589883.333,871191.579,8192,-30.142,-42.000,-28.237
array_positional,256,false,2965.281,2833.879,3137.770,2104,0,53982.609,51988.554,57576.571,101168,256,2303.936,2091.796,2502.824,4216,256,2873.832,2871.344,3078.543,2104,0,-22.303,-95.732,-19.831
array_positional,1024,false,9580.665,9372.663,10109.790,6712,0,219014.286,216540.426,228116.667,418688,1024,6936.128,6794.589,7035.043,14968,1024,9366.626,9239.197,9928.817,6712,0,-27.603,-96.833,-25.948
array_positional,4096,false,36631.338,36125.085,39128.947,25144,0,878880,843476.923,917425,1613680,4096,26127.793,25863.456,26686.301,57976,4096,36317.895,35823.333,38793.403,25144,0,-28.674,-97.027,-28.058
array_positional,8192,false,84055.102,81733.577,94425.714,148024.682,0,1749057.143,1730466.667,1829533.333,3573214.667,8192,63873.585,59524.444,63992.357,213647.389,8192,82185.217,80338.333,88813.178,148015.133,0,-24.010,-96.348,-22.281
bare_concat,256,false,22970.940,21780.580,24647.368,3296,1,31792.933,30999.298,31892.446,13512,256,13599.482,12635.025,17177.005,10520,256,22618.788,22389.500,24886.861,3296,1,-40.797,-57.225,-39.875
bare_concat,1024,false,86625.862,84286.325,88154.054,11360,1,121680.488,119501.389,123700,61056,1024,53013.300,50539.216,54150.980,46440,1024,85512.069,84311.628,87535.714,11360,1,-38.802,-56.432,-38.005
bare_concat,4096,false,342019.048,331793.333,358740,43616,1,473362.500,465156.522,477477.273,203160,4096,198386.792,197614.815,206235.484,158072,4096,336266.667,334946.667,347341.667,43616,1,-41.995,-58.090,-41.003
bare_concat,8192,false,685137.500,659200,742050,134197.600,1,961788.889,942490.909,979554.545,582298.909,8192,402524,391904,427445,450103.040,8192,683171.429,678475,689933.333,134666.857,1,-41.249,-58.148,-41.080
cached_named_equal,2,true,17.495,16.386,27.621,0,2,17.116,16.087,17.492,0,2,16.081,15.913,17.626,0,2,16.345,15.786,18.020,0,2,-8.082,-6.047,-1.615
cached_named_same,2,true,12.929,12.269,17.663,0,2,12.336,12.062,13.355,0,2,12.443,11.854,13.871,0,2,12.552,11.952,13.278,0,2,-3.759,0.867,-0.868
cached_positional_equal,2,true,17.917,16.663,18.767,0,2,16.478,16.416,17.835,0,2,16.708,15.986,17.556,0,2,16.457,16.086,18.094,0,2,-6.748,1.396,1.525
cached_positional_same,2,true,13.733,12.845,20.578,0,2,12.841,12.529,13.352,0,2,12.825,12.345,13.818,0,2,12.804,12.497,13.830,0,2,-6.612,-0.125,0.164
deep_unary,256,true,60716.667,59272.222,64144.828,33048,1,80871.074,79784.906,81768.852,38384,1,27822.373,27196.377,29937.383,37560,1,59188.024,59067.568,62146.825,33048,1,-54.177,-65.597,-52.993
deep_unary,1024,true,243154.762,233272.500,274154.545,128568,1,316227.273,313284.375,355300,147760,1,108719.388,105316.327,112847.872,145400,1,231965.909,230402.632,239747.619,128568,1,-55.288,-65.620,-53.131
deep_unary,4096,true,948963.636,893410,966000,510648,1,1249116.667,1242157.143,1258900,585168,1,427768,419324,444852.941,576664,1,925657.143,922800,948025,510648,1,-54.923,-65.754,-53.788
deep_unary,8192,true,1895816.667,1829300,1943450,1065198,1,2534820,2528380,2578700,1214283.200,1,856425,837492.308,889538.462,1199608.615,1,1884420,1844666.667,1889520,1066019.200,1,-54.826,-66.214,-54.552
geometric_cast,1,true,1786.621,1627.344,1809.521,792,1,2277.051,2203.320,2307.129,1400,1,1107.666,1088.818,1183.789,1088,1,1667.041,1603.809,1737.061,792,1,-38.002,-51.355,-33.555
jdbc_escape,1,true,2209.668,2045.361,2367.773,1176,1,2609.082,2594.727,2835.596,1584,1,1471.484,1450.146,1515.576,1368,1,2069.629,2009.521,2088.184,1176,1,-33.407,-43.601,-28.901
join_mybatis,4,true,7471.582,7296.777,8053.613,5896,4,7615.332,7494.287,8163.867,8616,4,4620.264,4558.838,5134.375,6688,4,7523.633,7453.516,7543.896,5896,4,-38.162,-39.329,-38.590
join_named,4,true,6119.238,5890.918,6769.189,3968,4,5853.516,5789.063,5937.549,5008,4,3438.477,3427.930,3684.717,4392,4,6014.795,5990.674,6201.563,3968,4,-43.809,-41.258,-42.833
join_positional,4,true,5845.557,5711.523,6007.373,3824,4,8914.502,8594.531,9103.906,4312,4,3836.279,3773.926,3877.002,4008,4,5646.240,5528.369,5925.732,3824,4,-34.373,-56.966,-32.056
json_constructor,1,false,1691.992,1641.309,1889.844,1136,0,2492.188,2475.293,2541.504,1576,1,1311.035,1307.520,1338.477,1336,1,1645.459,1630.273,1722.852,1136,0,-22.515,-47.394,-20.324
json_operator,1,true,1723.730,1690.479,1948.340,1128,1,2510.449,2472.656,2627.588,1536,1,1467.676,1435.498,1755.518,1320,1,1692.676,1655.225,1762.744,1128,1,-14.855,-41.537,-13.293
no_parameters,0,true,1579.736,1440.674,1622.705,1248,0,1430.664,1393.604,1517.236,1400,0,1062.451,1043.945,1229.736,1184,0,1467.480,1431.543,1532.910,1248,0,-32.745,-25.737,-27.600
quoted_and_comments,2,true,1941.699,1879.297,2036.377,1192,2,2932.178,2901.904,3066.406,1608,2,1698.242,1657.373,1835.986,1432,2,1903.711,1878.027,2025.098,1192,2,-12.538,-42.083,-10.793
where_mybatis,2,true,2935.645,2891.357,3162.939,2600,2,3118.408,3105.371,3234.961,4008,2,1975.879,1909.229,2103.418,3024,2,3049.219,2902.588,3111.279,2600,2,-32.694,-36.638,-35.200
where_mybatis,16,true,17956.885,17467.383,19280.615,15040,16,18770.557,18544.238,18925.049,25368,16,10745.654,10402.393,10811.523,18040,16,17584.814,17567.578,18149.707,15040,16,-40.159,-42.753,-38.892
