version,fork,shape,size,round,operations,ns_per_op,bytes_per_op,expected,min_count,max_count,errors,semantic_match
baseline,5,deep_unary,1024,1,8,213762.500,130621.000,1,1,1,0,true
baseline,5,no_parameters,0,1,2048,1275.977,1248.000,0,0,0,0,true
baseline,5,array_positional,1024,1,8,9000.000,6712.000,1024,0,0,0,false
baseline,5,where_positional,2,1,2048,1728.857,1456.000,2,2,2,0,true
baseline,5,array_mybatis,4096,1,2,42949850.000,453545136.000,4096,4096,4096,0,true
baseline,5,array_named,256,1,32,14893.750,22776.000,256,256,256,0,true
baseline,5,where_named,2,1,2048,2167.773,1816.000,2,2,2,0,true
baseline,5,array_named,8192,1,2,517650.000,863844.000,8192,8192,8192,0,true
baseline,5,array_positional,256,1,32,2600.000,2617.250,256,0,0,0,false
baseline,5,deep_unary,8192,1,2,1881250.000,1061092.000,1,1,1,0,true
baseline,5,where_mybatis,2,1,2048,2614.893,2608.020,2,2,2,0,true
baseline,5,json_constructor,1,1,2048,2042.383,1136.000,1,0,0,0,false
baseline,5,join_named,4,1,2048,5715.527,3968.000,4,4,4,0,true
baseline,5,deep_unary,256,1,32,56421.875,33048.000,1,1,1,0,true
baseline,5,where_positional,128,1,2048,76336.719,35904.000,128,128,128,0,true
baseline,5,array_mybatis,8192,1,2,153571750.000,1814143276.000,8192,8192,8192,0,true
baseline,5,bare_concat,256,1,32,20815.625,3809.250,256,1,1,0,false
baseline,5,bare_concat,8192,1,2,583550.000,127628.000,8192,1,1,0,false
baseline,5,where_mybatis,16,1,2048,15202.979,15048.020,16,16,16,0,true
baseline,5,array_named,4096,1,2,280900.000,395776.000,4096,4096,4096,0,true
baseline,5,join_positional,4,1,2048,4944.336,3824.000,4,4,4,0,true
baseline,5,bare_concat,4096,1,2,317800.000,43616.000,4096,1,1,0,false
baseline,5,where_named,16,1,2048,10555.664,7960.000,16,16,16,0,true
baseline,5,jdbc_escape,1,1,2048,2098.486,1176.000,1,1,1,0,true
baseline,5,quoted_and_comments,2,1,2048,2442.188,1192.000,2,2,2,0,true
baseline,5,array_mybatis,1024,1,8,2807237.500,27681512.000,1024,1024,1024,0,true
baseline,5,geometric_cast,1,1,2048,1737.207,792.000,1,1,1,0,true
baseline,5,array_mybatis,256,1,32,190100.000,1777560.000,256,256,256,0,true
baseline,5,array_positional,8192,1,2,80450.000,139940.000,8192,0,0,0,false
baseline,5,where_positional,16,1,2048,9853.076,5232.020,16,16,16,0,true
baseline,5,bare_concat,1024,1,8,87100.000,11360.000,1024,1,1,0,false
baseline,5,array_positional,4096,1,2,45400.000,25144.000,4096,0,0,0,false
baseline,5,json_operator,1,1,2048,1491.602,1128.000,1,1,1,0,true
baseline,5,array_named,1024,1,8,65912.500,87088.000,1024,1024,1024,0,true
baseline,5,deep_unary,4096,1,2,896950.000,510648.000,1,1,1,0,true
baseline,5,join_mybatis,4,1,2048,6589.209,5896.000,4,4,4,0,true
baseline,5,bare_concat,4096,2,2,333050.000,43616.000,4096,1,1,0,false
baseline,5,where_positional,16,2,2048,9918.213,5224.000,16,16,16,0,true
baseline,5,array_positional,8192,2,2,86000.000,139940.000,8192,0,0,0,false
baseline,5,quoted_and_comments,2,2,2048,1703.711,1200.020,2,2,2,0,true
baseline,5,deep_unary,256,2,32,55640.625,33048.000,1,1,1,0,true
baseline,5,deep_unary,4096,2,2,851150.000,510648.000,1,1,1,0,true
baseline,5,json_operator,1,2,2048,1482.275,1128.000,1,1,1,0,true
baseline,5,join_positional,4,2,2048,4980.029,3824.000,4,4,4,0,true
baseline,5,array_named,256,2,32,15368.750,22776.000,256,256,256,0,true
baseline,5,bare_concat,8192,2,2,617300.000,127628.000,8192,1,1,0,false
baseline,5,array_positional,4096,2,2,38350.000,33356.000,4096,0,0,0,false
baseline,5,no_parameters,0,2,2048,1249.512,1248.000,0,0,0,0,true
baseline,5,array_named,1024,2,8,61387.500,87088.000,1024,1024,1024,0,true
baseline,5,where_mybatis,2,2,2048,3302.686,2600.000,2,2,2,0,true
baseline,5,array_positional,1024,2,8,11275.000,6712.000,1024,0,0,0,false
baseline,5,where_mybatis,16,2,2048,15619.678,15040.000,16,16,16,0,true
baseline,5,geometric_cast,1,2,2048,1548.682,792.000,1,1,1,0,true
baseline,5,json_constructor,1,2,2048,1512.500,1136.000,1,0,0,0,false
baseline,5,array_named,4096,2,2,270750.000,395776.000,4096,4096,4096,0,true
baseline,5,array_named,8192,2,2,556200.000,863844.000,8192,8192,8192,0,true
baseline,5,where_named,2,2,2048,1937.891,1824.020,2,2,2,0,true
baseline,5,array_mybatis,1024,2,8,2719587.500,27681512.000,1024,1024,1024,0,true
baseline,5,deep_unary,1024,2,8,207112.500,128568.000,1,1,1,0,true
baseline,5,join_mybatis,4,2,2048,6427.637,5896.000,4,4,4,0,true
baseline,5,join_named,4,2,2048,5212.256,3968.000,4,4,4,0,true
baseline,5,bare_concat,256,2,32,22065.625,3296.000,256,1,1,0,false
baseline,5,array_mybatis,4096,2,2,41128000.000,453545136.000,4096,4096,4096,0,true
baseline,5,array_mybatis,8192,2,2,142262250.000,1814143276.000,8192,8192,8192,0,true
baseline,5,where_named,16,2,2048,10884.277,7968.020,16,16,16,0,true
baseline,5,jdbc_escape,1,2,2048,1855.908,1176.000,1,1,1,0,true
baseline,5,bare_concat,1024,2,8,80175.000,11360.000,1024,1,1,0,false
baseline,5,where_positional,128,2,2048,74949.121,35904.000,128,128,128,0,true
baseline,5,array_mybatis,256,2,32,209293.750,1777560.000,256,256,256,0,true
baseline,5,array_positional,256,2,32,2646.875,2104.000,256,0,0,0,false
baseline,5,where_positional,2,2,2048,1588.379,1456.000,2,2,2,0,true
baseline,5,deep_unary,8192,2,2,1690850.000,1061092.000,1,1,1,0,true
baseline,5,geometric_cast,1,3,2048,1488.574,800.020,1,1,1,0,true
baseline,5,bare_concat,1024,3,8,77250.000,11360.000,1024,1,1,0,false
baseline,5,json_constructor,1,3,2048,1499.463,1136.000,1,0,0,0,false
baseline,5,bare_concat,8192,3,2,684550.000,127628.000,8192,1,1,0,false
baseline,5,array_mybatis,256,3,32,368143.750,1778073.250,256,256,256,0,true
baseline,5,bare_concat,256,3,32,20190.625,3296.000,256,1,1,0,false
baseline,5,array_mybatis,8192,3,2,142087000.000,1814143276.000,8192,8192,8192,0,true
baseline,5,array_positional,8192,3,2,105700.000,148152.000,8192,0,0,0,false
baseline,5,array_positional,1024,3,8,8925.000,8765.000,1024,0,0,0,false
baseline,5,json_operator,1,3,2048,1440.332,1128.000,1,1,1,0,true
baseline,5,deep_unary,1024,3,8,210562.500,128568.000,1,1,1,0,true
baseline,5,deep_unary,256,3,32,53865.625,33048.000,1,1,1,0,true
baseline,5,deep_unary,8192,3,2,1810600.000,1061092.000,1,1,1,0,true
baseline,5,array_positional,256,3,32,4046.875,2617.250,256,0,0,0,false
baseline,5,array_named,4096,3,2,281950.000,395776.000,4096,4096,4096,0,true
baseline,5,array_mybatis,4096,3,2,37236350.000,453545136.000,4096,4096,4096,0,true
baseline,5,join_mybatis,4,3,2048,6510.400,5896.000,4,4,4,0,true
baseline,5,where_named,16,3,2048,11771.387,7960.000,16,16,16,0,true
baseline,5,deep_unary,4096,3,2,859150.000,510648.000,1,1,1,0,true
