version,fork,shape,size,round,operations,ns_per_op,bytes_per_op,expected,min_count,max_count,errors,semantic_match
baseline_common8,1,array_positional,4096,1,2,38650.000,33356.000,4096,0,0,0,false
baseline_common8,1,array_mybatis,1024,1,8,2777162.500,27681512.000,1024,1024,1024,0,true
baseline_common8,1,quoted_and_comments,2,1,2048,2113.721,1192.000,2,2,2,0,true
baseline_common8,1,array_named,4096,1,2,400700.000,395776.000,4096,4096,4096,0,true
baseline_common8,1,no_parameters,0,1,2048,1610.645,1248.000,0,0,0,0,true
baseline_common8,1,where_positional,16,1,2048,12009.717,5224.000,16,16,16,0,true
baseline_common8,1,deep_unary,256,1,32,62065.625,33048.000,1,1,1,0,true
baseline_common8,1,array_positional,1024,1,8,11062.500,6712.000,1024,0,0,0,false
baseline_common8,1,array_named,256,1,32,16200.000,22776.000,256,256,256,0,true
baseline_common8,1,json_constructor,1,1,2048,2376.367,1136.000,1,0,0,0,false
baseline_common8,1,where_positional,128,1,2048,92511.426,35904.000,128,128,128,0,true
baseline_common8,1,array_mybatis,8192,1,2,145723200.000,1814143276.000,8192,8192,8192,0,true
baseline_common8,1,geometric_cast,1,1,2048,1744.971,800.020,1,1,1,0,true
baseline_common8,1,array_positional,8192,1,2,79300.000,139940.000,8192,0,0,0,false
baseline_common8,1,where_mybatis,2,1,2048,3572.363,2608.020,2,2,2,0,true
baseline_common8,1,bare_concat,256,1,32,29540.625,3296.000,256,1,1,0,false
baseline_common8,1,where_positional,2,1,2048,2738.232,1456.000,2,2,2,0,true
baseline_common8,1,deep_unary,4096,1,2,1320550.000,510648.000,1,1,1,0,true
baseline_common8,1,array_positional,256,1,32,5503.125,2104.000,256,0,0,0,false
baseline_common8,1,where_named,16,1,2048,10870.801,7960.000,16,16,16,0,true
baseline_common8,1,bare_concat,1024,1,8,96712.500,11360.000,1024,1,1,0,false
baseline_common8,1,join_positional,4,1,2048,5249.316,3824.000,4,4,4,0,true
baseline_common8,1,deep_unary,8192,1,2,1666850.000,1061092.000,1,1,1,0,true
baseline_common8,1,array_mybatis,4096,1,2,37707800.000,453553348.000,4096,4096,4096,0,true
baseline_common8,1,where_named,2,1,2048,1837.402,1816.000,2,2,2,0,true
baseline_common8,1,array_mybatis,256,1,32,175384.375,1777560.000,256,256,256,0,true
baseline_common8,1,jdbc_escape,1,1,2048,2156.543,1176.000,1,1,1,0,true
baseline_common8,1,bare_concat,8192,1,2,596300.000,127628.000,8192,1,1,0,false
baseline_common8,1,array_named,8192,1,2,516300.000,872056.000,8192,8192,8192,0,true
baseline_common8,1,deep_unary,1024,1,8,219600.000,130621.000,1,1,1,0,true
baseline_common8,1,bare_concat,4096,1,2,310200.000,43616.000,4096,1,1,0,false
baseline_common8,1,array_named,1024,1,8,58862.500,87088.000,1024,1024,1024,0,true
baseline_common8,1,join_mybatis,4,1,2048,6176.709,5896.000,4,4,4,0,true
baseline_common8,1,json_operator,1,1,2048,1437.109,1128.000,1,1,1,0,true
baseline_common8,1,where_mybatis,16,1,2048,15535.693,15040.000,16,16,16,0,true
baseline_common8,1,join_named,4,1,2048,5078.955,3968.000,4,4,4,0,true
baseline_common8,1,array_named,1024,2,8,58237.500,87088.000,1024,1024,1024,0,true
baseline_common8,1,join_positional,4,2,2048,4867.139,3824.000,4,4,4,0,true
baseline_common8,1,where_named,2,2,2048,2156.885,1816.000,2,2,2,0,true
baseline_common8,1,deep_unary,256,2,32,55384.375,33048.000,1,1,1,0,true
baseline_common8,1,array_mybatis,1024,2,8,2759012.500,27681512.000,1024,1024,1024,0,true
baseline_common8,1,bare_concat,1024,2,8,74937.500,11360.000,1024,1,1,0,false
baseline_common8,1,array_positional,8192,2,2,74850.000,139940.000,8192,0,0,0,false
baseline_common8,1,join_named,4,2,2048,5347.852,3976.020,4,4,4,0,true
