version,fork,shape,size,round,operations,ns_per_op,bytes_per_op,expected,min_count,max_count,errors,semantic_match
before,2,array_named,8192,1,2,894950.000,1187144.000,8192,8192,8192,0,true
before,2,where_mybatis,16,1,2048,21908.154,25376.020,16,16,16,0,true
before,2,deep_unary,8192,1,2,2710100.000,1209356.000,1,1,1,0,true
before,2,bare_concat,256,1,32,39006.250,14025.250,256,256,256,0,true
before,2,deep_unary,1024,1,8,366887.500,147760.000,1,1,1,0,true
before,2,where_positional,128,1,2048,124990.283,42632.000,128,128,128,0,true
before,2,where_positional,16,1,2048,16911.523,6128.000,16,16,16,0,true
before,2,array_named,256,1,32,24890.625,30168.000,256,256,256,0,true
before,2,quoted_and_comments,2,1,2048,3033.301,1608.000,2,2,2,0,true
before,2,join_mybatis,4,1,2048,7567.090,8616.000,4,4,4,0,true
before,2,where_named,16,1,2048,12014.355,11552.000,16,16,16,0,true
before,2,deep_unary,256,1,32,80896.875,38384.000,1,1,1,0,true
before,2,json_operator,1,1,2048,2445.605,1536.000,1,1,1,0,true
before,2,jdbc_escape,1,1,2048,2610.352,1584.000,1,1,1,0,true
before,2,array_named,4096,1,2,355900.000,510400.000,4096,4096,4096,0,true
before,2,array_mybatis,1024,1,8,240700.000,316088.000,1024,1024,1024,0,true
before,2,array_positional,1024,1,8,229725.000,418688.000,1024,1024,1024,0,true
before,2,array_mybatis,256,1,32,54690.625,65544.000,256,256,256,0,true
before,2,array_mybatis,8192,1,2,1881400.000,2745516.000,8192,8192,8192,0,true
before,2,bare_concat,4096,1,2,484950.000,211372.000,4096,4096,4096,0,true
before,2,where_named,2,1,2048,2171.338,2384.000,2,2,2,0,true
before,2,geometric_cast,1,1,2048,2287.305,1400.000,1,1,1,0,true
before,2,array_mybatis,4096,1,2,973950.000,1272216.000,4096,4096,4096,0,true
before,2,join_positional,4,1,2048,8569.385,4312.000,4,4,4,0,true
before,2,array_named,1024,1,8,83400.000,122336.000,1024,1024,1024,0,true
before,2,array_positional,8192,1,2,1710600.000,3567740.000,8192,8192,8192,0,true
before,2,where_mybatis,2,1,2048,3198.291,4016.020,2,2,2,0,true
before,2,bare_concat,1024,1,8,171200.000,61056.000,1024,1024,1024,0,true
before,2,deep_unary,4096,1,2,1622850.000,585168.000,1,1,1,0,true
before,2,bare_concat,8192,1,2,932000.000,575580.000,8192,8192,8192,0,true
before,2,no_parameters,0,1,2048,1377.197,1408.020,0,0,0,0,true
before,2,array_positional,4096,1,2,885550.000,1613680.000,4096,4096,4096,0,true
before,2,where_positional,2,1,2048,2884.277,1872.000,2,2,2,0,true
before,2,join_named,4,1,2048,6024.219,5008.000,4,4,4,0,true
before,2,array_positional,256,1,32,70021.875,101168.000,256,256,256,0,true
before,2,json_constructor,1,1,2048,2402.344,1576.000,1,1,1,0,true
before,2,deep_unary,256,2,32,77684.375,38384.000,1,1,1,0,true
before,2,array_positional,1024,2,8,227325.000,418688.000,1024,1024,1024,0,true
before,2,json_operator,1,2,2048,2374.609,1536.000,1,1,1,0,true
before,2,array_named,1024,2,8,74712.500,122336.000,1024,1024,1024,0,true
before,2,join_positional,4,2,2048,8845.117,4312.000,4,4,4,0,true
before,2,where_positional,128,2,2048,104731.348,42632.000,128,128,128,0,true
before,2,where_positional,2,2,2048,2875.684,1872.000,2,2,2,0,true
before,2,bare_concat,4096,2,2,452350.000,203160.000,4096,4096,4096,0,true
before,2,where_named,16,2,2048,12965.771,11552.000,16,16,16,0,true
before,2,where_mybatis,2,2,2048,3018.213,4008.000,2,2,2,0,true
before,2,array_positional,4096,2,2,844800.000,1613680.000,4096,4096,4096,0,true
before,2,array_mybatis,4096,2,2,907750.000,1272216.000,4096,4096,4096,0,true
before,2,array_named,8192,2,2,649200.000,1178932.000,8192,8192,8192,0,true
before,2,bare_concat,256,2,32,29543.750,14025.250,256,256,256,0,true
before,2,deep_unary,4096,2,2,1231150.000,585168.000,1,1,1,0,true
before,2,where_named,2,2,2048,2341.260,2384.000,2,2,2,0,true
before,2,array_named,4096,2,2,315850.000,510400.000,4096,4096,4096,0,true
before,2,bare_concat,1024,2,8,120375.000,61056.000,1024,1024,1024,0,true
before,2,deep_unary,8192,2,2,2532900.000,1209356.000,1,1,1,0,true
before,2,array_positional,8192,2,2,1690900.000,3575952.000,8192,8192,8192,0,true
before,2,join_named,4,2,2048,5953.613,5016.020,4,4,4,0,true
before,2,array_named,256,2,32,18818.750,30168.000,256,256,256,0,true
before,2,geometric_cast,1,2,2048,2287.598,1400.000,1,1,1,0,true
before,2,bare_concat,8192,2,2,1219350.000,575580.000,8192,8192,8192,0,true
before,2,array_mybatis,256,2,32,53887.500,66057.250,256,256,256,0,true
before,2,json_constructor,1,2,2048,2363.086,1576.000,1,1,1,0,true
before,2,jdbc_escape,1,2,2048,2541.504,1584.000,1,1,1,0,true
before,2,join_mybatis,4,2,2048,7879.150,8616.000,4,4,4,0,true
before,2,where_positional,16,2,2048,14660.254,6128.000,16,16,16,0,true
before,2,array_mybatis,1024,2,8,241875.000,316088.000,1024,1024,1024,0,true
before,2,array_mybatis,8192,2,2,1869550.000,2745516.000,8192,8192,8192,0,true
before,2,deep_unary,1024,2,8,312325.000,149813.000,1,1,1,0,true
before,2,no_parameters,0,2,2048,1375.195,1400.000,0,0,0,0,true
before,2,where_mybatis,16,2,2048,18527.002,25368.000,16,16,16,0,true
before,2,quoted_and_comments,2,2,2048,3039.404,1608.000,2,2,2,0,true
before,2,array_positional,256,2,32,55637.500,101168.000,256,256,256,0,true
before,2,array_named,4096,3,2,349100.000,510400.000,4096,4096,4096,0,true
before,2,where_mybatis,16,3,2048,18791.455,25368.000,16,16,16,0,true
before,2,where_positional,128,3,2048,101993.359,42632.000,128,128,128,0,true
before,2,array_positional,4096,3,2,926450.000,1613680.000,4096,4096,4096,0,true
before,2,where_positional,2,3,2048,3127.197,1872.000,2,2,2,0,true
before,2,where_named,16,3,2048,12309.082,11552.000,16,16,16,0,true
before,2,array_named,256,3,32,20021.875,30168.000,256,256,256,0,true
before,2,geometric_cast,1,3,2048,2484.521,1400.000,1,1,1,0,true
before,2,no_parameters,0,3,2048,1415.869,1400.000,0,0,0,0,true
before,2,bare_concat,256,3,32,38400.000,13512.000,256,256,256,0,true
before,2,join_named,4,3,2048,6033.887,5008.000,4,4,4,0,true
before,2,deep_unary,1024,3,8,342962.500,147760.000,1,1,1,0,true
before,2,deep_unary,4096,3,2,1262300.000,585168.000,1,1,1,0,true
