version,fork,shape,size,round,operations,ns_per_op,bytes_per_op,expected,min_count,max_count,errors,semantic_match
current,4,array_named,4096,1,2,230000.000,461316.000,4096,4096,4096,0,true
current,4,array_named,1024,1,8,57712.500,104728.000,1024,1024,1024,0,true
current,4,geometric_cast,1,1,2048,2773.242,1296.000,1,1,1,0,true
current,4,array_named,8192,1,2,482000.000,979308.000,8192,8192,8192,0,true
current,4,bare_concat,256,1,32,32656.250,11081.250,256,256,256,0,true
current,4,array_positional,256,1,32,5137.500,4264.000,256,256,256,0,true
current,4,join_mybatis,4,1,2048,12927.490,6784.000,4,4,4,0,true
current,4,join_positional,4,1,2048,12150.000,4056.000,4,4,4,0,true
current,4,deep_unary,1024,1,8,289512.500,145608.000,1,1,1,0,true
current,4,where_positional,16,1,2048,16476.758,5728.000,16,16,16,0,true
current,4,json_constructor,1,1,2048,3498.828,1384.000,1,1,1,0,true
current,4,no_parameters,0,1,2048,3044.727,1232.000,0,0,0,0,true
current,4,array_mybatis,8192,1,2,845700.000,2158956.000,8192,8192,8192,0,true
current,4,join_named,4,1,2048,6305.518,4448.020,4,4,4,0,true
current,4,deep_unary,4096,1,2,829100.000,576872.000,1,1,1,0,true
current,4,quoted_and_comments,2,1,2048,2769.336,1592.000,2,2,2,0,true
current,4,array_mybatis,1024,1,8,110000.000,280920.000,1024,1024,1024,0,true
current,4,json_operator,1,1,2048,2488.184,1528.000,1,1,1,0,true
current,4,where_named,16,1,2048,8446.924,9680.000,16,16,16,0,true
current,4,where_positional,128,1,2048,57893.799,39992.000,128,128,128,0,true
current,4,deep_unary,256,1,32,36259.375,37768.000,1,1,1,0,true
current,4,jdbc_escape,1,1,2048,1875.684,1576.000,1,1,1,0,true
current,4,array_positional,1024,1,8,13450.000,15016.000,1024,1024,1024,0,true
current,4,where_positional,2,1,2048,1410.107,1672.000,2,2,2,0,true
current,4,array_named,256,1,32,23778.125,26488.000,256,256,256,0,true
current,4,where_mybatis,2,1,2048,2127.393,3024.000,2,2,2,0,true
current,4,array_positional,8192,1,2,78150.000,205588.000,8192,8192,8192,0,true
current,4,bare_concat,8192,1,2,389200.000,450808.000,8192,8192,8192,0,true
current,4,array_mybatis,4096,1,2,371450.000,1045932.000,4096,4096,4096,0,true
current,4,bare_concat,1024,1,8,55337.500,46488.000,1024,1024,1024,0,true
current,4,bare_concat,4096,1,2,191150.000,158120.000,4096,4096,4096,0,true
current,4,where_mybatis,16,1,2048,11026.611,18040.000,16,16,16,0,true
current,4,array_mybatis,256,1,32,25784.375,58232.000,256,256,256,0,true
current,4,array_positional,4096,1,2,34550.000,58024.000,4096,4096,4096,0,true
current,4,where_named,2,1,2048,1376.416,2080.000,2,2,2,0,true
current,4,deep_unary,8192,1,2,948950.000,1192868.000,1,1,1,0,true
