version,fork,shape,size,ns,bytes,count,equivalent
baseline,1,array_positional,4096,34650,25144,0,false
baseline,1,array_mybatis,1024,2752900,27681488,1024,true
baseline,1,quoted_and_comments,2,1671.484,1192,2,true
baseline,1,array_named,4096,262650,395776,4096,true
baseline,1,no_parameters,0,1270.898,1248,0,true
baseline,1,where_positional,16,9863.428,5224,16,true
baseline,1,deep_unary,256,55393.750,33048,1,true
baseline,1,array_positional,1024,10650,6712,0,false
baseline,1,array_named,256,15040.625,22776,256,true
baseline,1,json_constructor,1,1456.738,1136,0,false
baseline,1,where_positional,128,74882.764,35904,128,true
baseline,1,array_mybatis,8192,142940200,1814143252,8192,true
baseline,1,geometric_cast,1,1497.705,792,1,true
baseline,1,array_positional,8192,74600,139940,0,false
baseline,1,where_mybatis,2,2521.436,2552,2,true
baseline,1,bare_concat,256,19890.625,3296,1,false
baseline,1,where_positional,2,1638.086,1456,2,true
baseline,1,deep_unary,4096,857400,510648,1,true
baseline,1,array_positional,256,2875,2617.250,0,false
baseline,1,where_named,16,11079.980,7960,16,true
baseline,1,bare_concat,1024,78562.500,11360,1,false
baseline,1,join_positional,4,4957.617,3824,4,true
baseline,1,deep_unary,8192,1709900,1061092,1,true
baseline,1,array_mybatis,4096,36184600,453545112,4096,true
baseline,1,where_named,2,1956.982,1816,2,true
baseline,1,array_mybatis,256,254787.500,1777536,256,true
baseline,1,jdbc_escape,1,1821.826,1176,1,true
baseline,1,bare_concat,8192,602800,127628,1,false
baseline,1,array_named,8192,507200,863844,8192,true
baseline,1,deep_unary,1024,210875,128568,1,true
baseline,1,bare_concat,4096,303400,43616,1,false
baseline,1,array_named,1024,57550,87088,1024,true
baseline,1,join_mybatis,4,6336.279,5800,4,true
baseline,1,json_operator,1,1494.434,1128,1,true
baseline,1,where_mybatis,16,15375.391,14656,16,true
baseline,1,join_named,4,5257.568,3968,4,true
baseline,1,cached_positional_same,2,11.942,0,2,true
baseline,1,cached_positional_equal,2,16.207,0,2,true
baseline,1,cached_named_same,2,11.587,0,2,true
baseline,1,cached_named_equal,2,15.667,0,2,true
baseline,2,array_named,8192,531800,863844,8192,true
baseline,2,where_mybatis,16,15690.088,14656,16,true
baseline,2,deep_unary,8192,1734650,1061092,1,true
