shape,size,equivalent_results,baseline_ns,baseline_min_ns,baseline_max_ns,baseline_bytes,baseline_count,before_ns,before_min_ns,before_max_ns,before_bytes,before_count,current_ns,current_min_ns,current_max_ns,current_bytes,current_count,baseline_common8_ns,baseline_common8_min_ns,baseline_common8_max_ns,baseline_common8_bytes,baseline_common8_count,current_vs_baseline_pct,current_vs_before_pct,current_vs_common8_pct
array_mybatis,256,true,219240.625,205168.750,269815.625,1777536,256,56321.875,55215.625,57493.750,65544,256,25275,24425,25537.500,58232,256,207015.625,200871.875,270553.125,1777536,256,-88.472,-55.124,-87.791
array_mybatis,1024,true,2715175,2609775,2752900,27681488,1024,239212.500,228150,241862.500,316088,1024,105050,102712.500,116237.500,280920,1024,2573050,2507612.500,2580900,27681488,1024,-96.131,-56.085,-95.917
array_mybatis,4096,true,37236350,36184600,38204500,453545112,4096,947750,910700,962600,1272216,4096,384200,373950,412150,1037720,4096,37707800,37060250,38135300,453545112,4096,-98.968,-59.462,-98.981
array_mybatis,8192,true,142737600,141687300,145122700,1814143252,8192,1895950,1860200,1936600,2745516,8192,844850,768450,856750,2158956,8192,143989400,143595850,145298900,1814143252,8192,-99.408,-55.439,-99.413
array_named,256,true,15040.625,14528.125,15368.750,22776,256,19309.375,18390.625,19500,30168,256,12728.125,11937.500,13187.500,26488,256,14637.500,14446.875,14759.375,22776,256,-15.375,-34.083,-13.044
array_named,1024,true,60425,57550,61625,87088,1024,75650,74175,81762.500,122336,1024,48150,46487.500,52575,104728,1024,59250,58862.500,61812.500,87088,1024,-20.314,-36.352,-18.734
array_named,4096,true,262650,250450,269800,395776,4096,339950,322400,367100,510400,4096,203650,191650,214750,453104,4096,258200,253600,266400,395776,4096,-22.463,-40.094,-21.127
array_named,8192,true,520150,507200,554750,863844,8192,687450,674050,705200,1178932,8192,421750,404400,431350,979308,8192,523700,515550,529550,863844,8192,-18.918,-38.650,-19.467
array_positional,256,false,2875,2750,3500,2104,0,54956.250,53600,55971.875,101168,256,4750,3740.625,5453.125,4264,256,3231.250,2643.750,3493.750,2104,0,65.217,-91.357,47.002
array_positional,1024,false,9700,9512.500,10650,6712,0,227462.500,210812.500,229800,418688,1024,10475,10137.500,11087.500,15016,1024,9562.500,9562.500,9712.500,6712,0,7.990,-95.395,9.542
array_positional,4096,false,36550,34650,38350,25144,0,888100,859700,936050,1613680,4096,35400,31100,37600,58024,4096,38700,35100,40700,25144,0,-3.146,-96.014,-8.527
array_positional,8192,false,80800,74600,86650,139940,0,1826300,1690900,1893850,3567740,8192,71900,67450,82300,205588,8192,77850,77700,83600,139940,0,-11.015,-96.063,-7.643
bare_concat,256,false,20731.250,19890.625,21893.750,3296,1,33353.125,30846.875,33878.125,13512,256,14737.500,14225,15350,10568,256,21200,20028.125,21596.875,3296,1,-28.912,-55.814,-30.483
bare_concat,1024,false,78525,76687.500,78600,11360,1,123087.500,120375,126350,61056,1024,54350,52325,57075,46488,1024,78012.500,76637.500,78612.500,11360,1,-30.786,-55.844,-30.332
bare_concat,4096,false,315700,303400,324400,43616,1,484400,469850,488300,203160,4096,211600,196050,253150,158120,4096,307050,296600,310200,43616,1,-32.974,-56.317,-31.086
bare_concat,8192,false,612150,602800,631600,127628,1,955550,947550,965800,575580,8192,412650,389200,438500,442596,8192,603900,596300,647500,127628,1,-32.590,-56.815,-31.669
