version,fork,shape,size,round,operations,ns_per_op,bytes_per_op,expected,min_count,max_count,errors,semantic_match
baseline,5,deep_unary,1024,1,8,271400.000,130621.000,1,1,1,0,true
baseline,5,no_parameters,0,1,2048,1837.646,1248.000,0,0,0,0,true
baseline,5,array_positional,1024,1,8,11612.500,6712.000,1024,0,0,0,false
baseline,5,where_positional,2,1,2048,2432.617,1456.000,2,2,2,0,true
baseline,5,array_mybatis,4096,1,2,39208100.000,453545136.000,4096,4096,4096,0,true
baseline,5,array_named,256,1,32,16984.375,22776.000,256,256,256,0,true
baseline,5,where_named,2,1,2048,2929.150,1816.000,2,2,2,0,true
baseline,5,array_named,8192,1,2,654700.000,863844.000,8192,8192,8192,0,true
baseline,5,array_positional,256,1,32,3312.500,2617.250,256,0,0,0,false
baseline,5,deep_unary,8192,1,2,2310900.000,1061092.000,1,1,1,0,true
baseline,5,where_mybatis,2,1,2048,3469.678,2608.020,2,2,2,0,true
baseline,5,json_constructor,1,1,2048,2687.402,1136.000,1,0,0,0,false
baseline,5,join_named,4,1,2048,6937.549,3968.000,4,4,4,0,true
baseline,5,deep_unary,256,1,32,64187.500,33048.000,1,1,1,0,true
baseline,5,where_positional,128,1,2048,98929.004,35904.000,128,128,128,0,true
baseline,5,array_mybatis,8192,1,2,148810550.000,1814143252.000,8192,8192,8192,0,true
baseline,5,bare_concat,256,1,32,21462.500,3809.250,256,1,1,0,false
baseline,5,bare_concat,8192,1,2,616150.000,127628.000,8192,1,1,0,false
baseline,5,where_mybatis,16,1,2048,15237.500,14664.020,16,16,16,0,true
baseline,5,array_named,4096,1,2,283350.000,395776.000,4096,4096,4096,0,true
baseline,5,join_positional,4,1,2048,5034.033,3824.000,4,4,4,0,true
baseline,5,bare_concat,4096,1,2,310200.000,43616.000,4096,1,1,0,false
baseline,5,where_named,16,1,2048,11104.541,7960.000,16,16,16,0,true
baseline,5,jdbc_escape,1,1,2048,2168.701,1176.000,1,1,1,0,true
baseline,5,quoted_and_comments,2,1,2048,1679.053,1192.000,2,2,2,0,true
baseline,5,array_mybatis,1024,1,8,2585937.500,27681488.000,1024,1024,1024,0,true
baseline,5,geometric_cast,1,1,2048,1730.371,792.000,1,1,1,0,true
baseline,5,array_mybatis,256,1,32,204337.500,1777536.000,256,256,256,0,true
baseline,5,array_positional,8192,1,2,78950.000,139940.000,8192,0,0,0,false
baseline,5,where_positional,16,1,2048,10039.307,5232.020,16,16,16,0,true
baseline,5,bare_concat,1024,1,8,106637.500,11360.000,1024,1,1,0,false
baseline,5,array_positional,4096,1,2,38200.000,25144.000,4096,0,0,0,false
baseline,5,json_operator,1,1,2048,1508.594,1128.000,1,1,1,0,true
baseline,5,array_named,1024,1,8,62162.500,87088.000,1024,1024,1024,0,true
baseline,5,deep_unary,4096,1,2,925550.000,510648.000,1,1,1,0,true
baseline,5,join_mybatis,4,1,2048,6544.385,5800.000,4,4,4,0,true
baseline,5,bare_concat,4096,2,2,309750.000,43616.000,4096,1,1,0,false
baseline,5,where_positional,16,2,2048,9943.848,5224.000,16,16,16,0,true
baseline,5,array_positional,8192,2,2,78800.000,139940.000,8192,0,0,0,false
baseline,5,quoted_and_comments,2,2,2048,2057.715,1200.020,2,2,2,0,true
baseline,5,deep_unary,256,2,32,55896.875,33048.000,1,1,1,0,true
baseline,5,deep_unary,4096,2,2,863050.000,510648.000,1,1,1,0,true
baseline,5,json_operator,1,2,2048,1482.471,1128.000,1,1,1,0,true
baseline,5,join_positional,4,2,2048,5051.904,3824.000,4,4,4,0,true
baseline,5,array_named,256,2,32,14403.125,22776.000,256,256,256,0,true
baseline,5,bare_concat,8192,2,2,629050.000,127628.000,8192,1,1,0,false
baseline,5,array_positional,4096,2,2,36150.000,33356.000,4096,0,0,0,false
baseline,5,no_parameters,0,2,2048,1241.992,1248.000,0,0,0,0,true
baseline,5,array_named,1024,2,8,58450.000,87088.000,1024,1024,1024,0,true
baseline,5,where_mybatis,2,2,2048,2520.410,2552.000,2,2,2,0,true
baseline,5,array_positional,1024,2,8,9550.000,6712.000,1024,0,0,0,false
baseline,5,where_mybatis,16,2,2048,15757.959,14656.000,16,16,16,0,true
baseline,5,geometric_cast,1,2,2048,1505.420,792.000,1,1,1,0,true
baseline,5,json_constructor,1,2,2048,1515.332,1136.000,1,0,0,0,false
baseline,5,array_named,4096,2,2,276150.000,395776.000,4096,4096,4096,0,true
baseline,5,array_named,8192,2,2,565250.000,863844.000,8192,8192,8192,0,true
baseline,5,where_named,2,2,2048,1959.766,1824.020,2,2,2,0,true
baseline,5,array_mybatis,1024,2,8,2732975.000,27681488.000,1024,1024,1024,0,true
