version,fork,shape,size,round,operations,ns_per_op,bytes_per_op,expected,min_count,max_count,errors,semantic_match
baseline_common8,3,deep_unary,256,1,32,61828.125,33561.250,1,1,1,0,true
baseline_common8,3,array_named,4096,1,2,297850.000,395776.000,4096,4096,4096,0,true
baseline_common8,3,quoted_and_comments,2,1,2048,2523.682,1192.000,2,2,2,0,true
baseline_common8,3,array_named,1024,1,8,65725.000,87088.000,1024,1024,1024,0,true
baseline_common8,3,geometric_cast,1,1,2048,2251.367,792.000,1,1,1,0,true
baseline_common8,3,where_positional,128,1,2048,93196.045,35904.000,128,128,128,0,true
baseline_common8,3,array_named,256,1,32,18512.500,22776.000,256,256,256,0,true
baseline_common8,3,array_mybatis,1024,1,8,2778425.000,27681512.000,1024,1024,1024,0,true
baseline_common8,3,no_parameters,0,1,2048,1613.086,1248.000,0,0,0,0,true
baseline_common8,3,json_operator,1,1,2048,2105.957,1128.000,1,1,1,0,true
baseline_common8,3,where_mybatis,16,1,2048,18876.465,15040.000,16,16,16,0,true
baseline_common8,3,array_positional,256,1,32,2659.375,2104.000,256,0,0,0,false
baseline_common8,3,array_mybatis,256,1,32,187653.125,1777560.000,256,256,256,0,true
baseline_common8,3,deep_unary,4096,1,2,854800.000,510648.000,1,1,1,0,true
baseline_common8,3,where_positional,16,1,2048,9572.314,5224.000,16,16,16,0,true
baseline_common8,3,bare_concat,256,1,32,25321.875,3296.000,256,1,1,0,false
baseline_common8,3,json_constructor,1,1,2048,1731.201,1136.000,1,0,0,0,false
baseline_common8,3,where_named,16,1,2048,10574.512,7960.000,16,16,16,0,true
baseline_common8,3,array_mybatis,4096,1,2,39326200.000,453545136.000,4096,4096,4096,0,true
baseline_common8,3,array_positional,8192,1,2,82400.000,139940.000,8192,0,0,0,false
baseline_common8,3,bare_concat,1024,1,8,137750.000,13413.000,1024,1,1,0,false
baseline_common8,3,where_named,2,1,2048,2036.914,1816.000,2,2,2,0,true
baseline_common8,3,join_positional,4,1,2048,4862.793,3824.000,4,4,4,0,true
baseline_common8,3,deep_unary,8192,1,2,1740500.000,1061092.000,1,1,1,0,true
baseline_common8,3,deep_unary,1024,1,8,217725.000,130621.000,1,1,1,0,true
baseline_common8,3,array_named,8192,1,2,512800.000,863844.000,8192,8192,8192,0,true
baseline_common8,3,array_positional,1024,1,8,9337.500,8765.000,1024,0,0,0,false
baseline_common8,3,join_mybatis,4,1,2048,6532.373,5896.000,4,4,4,0,true
baseline_common8,3,bare_concat,4096,1,2,546150.000,43616.000,4096,1,1,0,false
baseline_common8,3,join_named,4,1,2048,5056.543,3968.000,4,4,4,0,true
baseline_common8,3,where_positional,2,1,2048,1849.072,1456.000,2,2,2,0,true
baseline_common8,3,jdbc_escape,1,1,2048,1821.875,1176.000,1,1,1,0,true
baseline_common8,3,array_positional,4096,1,2,37700.000,25144.000,4096,0,0,0,false
baseline_common8,3,bare_concat,8192,1,2,603450.000,127628.000,8192,1,1,0,false
baseline_common8,3,where_mybatis,2,1,2048,2567.578,2608.020,2,2,2,0,true
baseline_common8,3,array_mybatis,8192,1,2,144971350.000,1814143276.000,8192,8192,8192,0,true
baseline_common8,3,deep_unary,1024,2,8,207500.000,130621.000,1,1,1,0,true
baseline_common8,3,array_positional,8192,2,2,72750.000,139940.000,8192,0,0,0,false
baseline_common8,3,array_named,8192,2,2,496350.000,872056.000,8192,8192,8192,0,true
baseline_common8,3,bare_concat,8192,2,2,1012050.000,135840.000,8192,1,1,0,false
baseline_common8,3,array_mybatis,1024,2,8,2214000.000,27683565.000,1024,1024,1024,0,true
baseline_common8,3,quoted_and_comments,2,2,2048,1625.928,1192.000,2,2,2,0,true
baseline_common8,3,where_positional,2,2,2048,1575.342,1456.000,2,2,2,0,true
baseline_common8,3,array_positional,4096,2,2,73000.000,25144.000,4096,0,0,0,false
