version,fork,shape,size,round,operations,ns_per_op,bytes_per_op,expected,min_count,max_count,errors,semantic_match
current,3,deep_unary,256,1,32,91031.250,38849.250,1,1,1,0,true
current,3,array_named,4096,1,2,505050.000,510352.000,4096,4096,4096,0,true
current,3,quoted_and_comments,2,1,2048,5212.207,1560.000,2,2,2,0,true
current,3,array_named,1024,1,8,92350.000,122288.000,1024,1024,1024,0,true
current,3,geometric_cast,1,1,2048,2680.664,1352.000,1,1,1,0,true
current,3,where_positional,128,1,2048,129787.891,42584.000,128,128,128,0,true
current,3,array_named,256,1,32,22609.375,30120.000,256,256,256,0,true
current,3,array_mybatis,1024,1,8,246500.000,316040.000,1024,1024,1024,0,true
current,3,no_parameters,0,1,2048,2052.734,1352.000,0,0,0,0,true
current,3,json_operator,1,1,2048,4375.928,1488.000,1,1,1,0,true
current,3,where_mybatis,16,1,2048,25175.830,25320.000,16,16,16,0,true
current,3,array_positional,256,1,32,70437.500,101120.000,256,256,256,0,true
current,3,array_mybatis,256,1,32,59062.500,65496.000,256,256,256,0,true
current,3,deep_unary,4096,1,2,1526350.000,585120.000,1,1,1,0,true
current,3,where_positional,16,1,2048,20334.863,6080.000,16,16,16,0,true
current,3,bare_concat,256,1,32,39206.250,13464.000,256,256,256,0,true
current,3,json_constructor,1,1,2048,3094.629,1528.000,1,1,1,0,true
current,3,where_named,16,1,2048,13095.703,11504.000,16,16,16,0,true
current,3,array_mybatis,4096,1,2,1031550.000,1272168.000,4096,4096,4096,0,true
current,3,array_positional,8192,1,2,1776200.000,3567692.000,8192,8192,8192,0,true
current,3,bare_concat,1024,1,8,126600.000,63061.000,1024,1024,1024,0,true
current,3,where_named,2,1,2048,2236.328,2336.000,2,2,2,0,true
current,3,join_positional,4,1,2048,9087.500,4264.000,4,4,4,0,true
current,3,deep_unary,8192,1,2,2528200.000,1209308.000,1,1,1,0,true
current,3,deep_unary,1024,1,8,324350.000,149765.000,1,1,1,0,true
current,3,array_named,8192,1,2,693450.000,1178884.000,8192,8192,8192,0,true
current,3,array_positional,1024,1,8,221975.000,420693.000,1024,1024,1024,0,true
current,3,join_mybatis,4,1,2048,7769.580,8568.000,4,4,4,0,true
current,3,bare_concat,4096,1,2,470100.000,203112.000,4096,4096,4096,0,true
current,3,join_named,4,1,2048,5854.199,4960.000,4,4,4,0,true
current,3,where_positional,2,1,2048,2990.479,1824.000,2,2,2,0,true
current,3,jdbc_escape,1,1,2048,2695.850,1536.000,1,1,1,0,true
current,3,array_positional,4096,1,2,890800.000,1613632.000,4096,4096,4096,0,true
current,3,bare_concat,8192,1,2,964300.000,575532.000,8192,8192,8192,0,true
current,3,where_mybatis,2,1,2048,3230.469,3968.020,2,2,2,0,true
current,3,array_mybatis,8192,1,2,2052200.000,2745468.000,8192,8192,8192,0,true
current,3,deep_unary,1024,2,8,408737.500,149765.000,1,1,1,0,true
current,3,array_positional,8192,2,2,1712600.000,3567692.000,8192,8192,8192,0,true
current,3,array_named,8192,2,2,671500.000,1187096.000,8192,8192,8192,0,true
current,3,bare_concat,8192,2,2,936300.000,583744.000,8192,8192,8192,0,true
current,3,array_mybatis,1024,2,8,228575.000,318093.000,1024,1024,1024,0,true
current,3,quoted_and_comments,2,2,2048,2929.004,1560.000,2,2,2,0,true
current,3,where_positional,2,2,2048,3093.945,1824.000,2,2,2,0,true
current,3,array_positional,4096,2,2,866150.000,1613632.000,4096,4096,4096,0,true
current,3,array_mybatis,8192,2,2,1903400.000,2745468.000,8192,8192,8192,0,true
current,3,array_named,256,2,32,19281.250,30633.250,256,256,256,0,true
current,3,array_mybatis,256,2,32,58071.875,65496.000,256,256,256,0,true
current,3,join_positional,4,2,2048,9099.414,4264.000,4,4,4,0,true
current,3,where_named,16,2,2048,13319.189,11504.000,16,16,16,0,true
current,3,where_named,2,2,2048,2219.775,2336.000,2,2,2,0,true
current,3,array_mybatis,4096,2,2,955550.000,1272168.000,4096,4096,4096,0,true
current,3,array_positional,256,2,32,57025.000,101120.000,256,256,256,0,true
current,3,json_operator,1,2,2048,2537.988,1488.000,1,1,1,0,true
current,3,jdbc_escape,1,2,2048,2688.477,1536.000,1,1,1,0,true
current,3,deep_unary,256,2,32,81171.875,38336.000,1,1,1,0,true
current,3,bare_concat,1024,2,8,120475.000,61008.000,1024,1024,1024,0,true
current,3,geometric_cast,1,2,2048,2299.023,1352.000,1,1,1,0,true
current,3,where_positional,128,2,2048,107595.801,42584.000,128,128,128,0,true
current,3,no_parameters,0,2,2048,1414.502,1352.000,0,0,0,0,true
current,3,where_mybatis,2,2,2048,3211.523,3960.000,2,2,2,0,true
current,3,deep_unary,4096,2,2,1810300.000,585120.000,1,1,1,0,true
current,3,join_named,4,2,2048,7980.859,4960.000,4,4,4,0,true
current,3,bare_concat,256,2,32,30140.625,13464.000,256,256,256,0,true
current,3,json_constructor,1,2,2048,3422.852,1528.000,1,1,1,0,true
current,3,array_named,1024,2,8,135125.000,122288.000,1024,1024,1024,0,true
current,3,where_mybatis,16,2,2048,22529.492,25320.000,16,16,16,0,true
current,3,bare_concat,4096,2,2,494300.000,203112.000,4096,4096,4096,0,true
current,3,array_named,4096,2,2,344200.000,510352.000,4096,4096,4096,0,true
current,3,array_positional,1024,2,8,222637.500,418640.000,1024,1024,1024,0,true
current,3,where_positional,16,2,2048,14619.434,6080.000,16,16,16,0,true
current,3,deep_unary,8192,2,2,2609150.000,1209308.000,1,1,1,0,true
current,3,join_mybatis,4,2,2048,7810.205,8576.020,4,4,4,0,true
current,3,deep_unary,1024,3,8,313525.000,147712.000,1,1,1,0,true
current,3,array_mybatis,256,3,32,56675.000,65496.000,256,256,256,0,true
current,3,array_mybatis,1024,3,8,232362.500,316040.000,1024,1024,1024,0,true
current,3,quoted_and_comments,2,3,2048,2953.125,1560.000,2,2,2,0,true
current,3,deep_unary,4096,3,2,1265700.000,585120.000,1,1,1,0,true
current,3,array_named,256,3,32,19256.250,30120.000,256,256,256,0,true
current,3,where_positional,2,3,2048,2954.492,1824.000,2,2,2,0,true
current,3,where_positional,128,3,2048,115178.174,42584.000,128,128,128,0,true
current,3,array_mybatis,8192,3,2,2534400.000,2745468.000,8192,8192,8192,0,true
current,3,where_named,2,3,2048,2757.080,2344.020,2,2,2,0,true
current,3,where_positional,16,3,2048,15405.371,6080.000,16,16,16,0,true
current,3,join_positional,4,3,2048,8737.012,4264.000,4,4,4,0,true
current,3,bare_concat,4096,3,2,473750.000,203112.000,4096,4096,4096,0,true
current,3,deep_unary,8192,3,2,2596150.000,1209308.000,1,1,1,0,true
current,3,where_named,16,3,2048,12254.883,11512.020,16,16,16,0,true
current,3,jdbc_escape,1,3,2048,2635.010,1536.000,1,1,1,0,true
current,3,array_positional,256,3,32,52734.375,101120.000,256,256,256,0,true
current,3,json_operator,1,3,2048,2456.201,1488.000,1,1,1,0,true
current,3,where_mybatis,16,3,2048,20049.854,25320.000,16,16,16,0,true
current,3,deep_unary,256,3,32,81887.500,38336.000,1,1,1,0,true
current,3,bare_concat,256,3,32,31596.875,13464.000,256,256,256,0,true
current,3,bare_concat,8192,3,2,953100.000,575532.000,8192,8192,8192,0,true
current,3,array_named,4096,3,2,331200.000,518564.000,4096,4096,4096,0,true
current,3,where_mybatis,2,3,2048,3154.297,3960.000,2,2,2,0,true
current,3,array_named,1024,3,8,79287.500,122288.000,1024,1024,1024,0,true
current,3,bare_concat,1024,3,8,123925.000,61008.000,1024,1024,1024,0,true
current,3,array_positional,8192,3,2,1766700.000,3567692.000,8192,8192,8192,0,true
current,3,array_positional,4096,3,2,892600.000,1621844.000,4096,4096,4096,0,true
current,3,join_named,4,3,2048,6055.811,4960.000,4,4,4,0,true
current,3,no_parameters,0,3,2048,1411.816,1352.000,0,0,0,0,true
current,3,array_named,8192,3,2,793650.000,1178884.000,8192,8192,8192,0,true
current,3,geometric_cast,1,3,2048,2415.137,1360.020,1,1,1,0,true
current,3,array_mybatis,4096,3,2,947150.000,1272168.000,4096,4096,4096,0,true
current,3,json_constructor,1,3,2048,2587.842,1528.000,1,1,1,0,true
current,3,array_positional,1024,3,8,230812.500,418640.000,1024,1024,1024,0,true
current,3,join_mybatis,4,3,2048,7664.941,8568.000,4,4,4,0,true
current,3,array_mybatis,4096,4,2,930200.000,1272168.000,4096,4096,4096,0,true
current,3,jdbc_escape,1,4,2048,2655.127,1536.000,1,1,1,0,true
current,3,join_mybatis,4,4,2048,7812.793,8568.000,4,4,4,0,true
current,3,no_parameters,0,4,2048,1448.047,1352.000,0,0,0,0,true
current,3,array_named,8192,4,2,704100.000,1178884.000,8192,8192,8192,0,true
current,3,array_named,256,4,32,19346.875,30633.250,256,256,256,0,true
current,3,json_constructor,1,4,2048,2515.527,1528.000,1,1,1,0,true
current,3,where_positional,2,4,2048,2989.893,1824.000,2,2,2,0,true
current,3,array_named,4096,4,2,341550.000,510352.000,4096,4096,4096,0,true
current,3,array_named,1024,4,8,78187.500,122288.000,1024,1024,1024,0,true
current,3,deep_unary,256,4,32,85281.250,38336.000,1,1,1,0,true
current,3,array_mybatis,1024,4,8,346200.000,316040.000,1024,1024,1024,0,true
current,3,bare_concat,1024,4,8,185512.500,61008.000,1024,1024,1024,0,true
current,3,where_positional,128,4,2048,153024.268,42584.000,128,128,128,0,true
current,3,deep_unary,4096,4,2,2992400.000,585120.000,1,1,1,0,true
current,3,where_mybatis,2,4,2048,6155.859,3960.000,2,2,2,0,true
current,3,join_named,4,4,2048,7531.104,4960.000,4,4,4,0,true
current,3,json_operator,1,4,2048,3129.395,1488.000,1,1,1,0,true
current,3,join_positional,4,4,2048,12275.293,4264.000,4,4,4,0,true
current,3,bare_concat,4096,4,2,540750.000,203112.000,4096,4096,4096,0,true
current,3,bare_concat,256,4,32,51743.750,13464.000,256,256,256,0,true
current,3,array_mybatis,8192,4,2,2262200.000,2745468.000,8192,8192,8192,0,true
current,3,geometric_cast,1,4,2048,2823.682,1360.020,1,1,1,0,true
