version,fork,shape,size,median_ns,median_bytes,expected,min_count,max_count,semantic_match
baseline,1,array_positional,4096,36900,25144,4096,0,0,false
baseline,1,array_mybatis,1024,2763650,27681488,1024,1024,1024,true
baseline,1,quoted_and_comments,2,1763.477,1192,2,2,2,true
baseline,1,array_named,4096,269250,395776,4096,4096,4096,true
baseline,1,no_parameters,0,1360.840,1248,0,0,0,true
baseline,1,where_positional,16,10417.188,5224,16,16,16,true
baseline,1,deep_unary,256,57278.125,33048,1,1,1,true
baseline,1,array_positional,1024,9375,6712,1024,0,0,false
baseline,1,array_named,256,15768.750,22776,256,256,256,true
baseline,1,json_constructor,1,1573.926,1136,1,0,0,false
baseline,1,where_positional,128,78287.646,35904,128,128,128,true
baseline,1,array_mybatis,8192,147667200,1814143252,8192,8192,8192,true
baseline,1,geometric_cast,1,1665.088,792,1,1,1,true
baseline,1,array_positional,8192,84750,139940,8192,0,0,false
baseline,1,where_mybatis,2,2588.135,2552,2,2,2,true
baseline,1,bare_concat,256,21240.625,3296,256,1,1,false
baseline,1,where_positional,2,1655.322,1456,2,2,2,true
baseline,1,deep_unary,4096,871250,510648,1,1,1,true
baseline,1,array_positional,256,3012.500,2617.250,256,0,0,false
baseline,1,where_named,16,11475.098,7960,16,16,16,true
baseline,1,bare_concat,1024,79037.500,11360,1024,1,1,false
baseline,1,join_positional,4,5270.020,3824,4,4,4,true
baseline,1,deep_unary,8192,1786350,1061092,1,1,1,true
baseline,1,array_mybatis,4096,39097050,453545112,4096,4096,4096,true
baseline,1,where_named,2,2003.271,1816,2,2,2,true
baseline,1,array_mybatis,256,226731.250,1777536,256,256,256,true
baseline,1,jdbc_escape,1,1927.490,1176,1,1,1,true
baseline,1,bare_concat,8192,651000,127628,8192,1,1,false
baseline,1,array_named,8192,557750,863844,8192,8192,8192,true
baseline,1,deep_unary,1024,227800,128568,1,1,1,true
baseline,1,bare_concat,4096,371700,43616,4096,1,1,false
baseline,1,array_named,1024,62762.500,87088,1024,1024,1024,true
baseline,1,join_mybatis,4,6983.350,5800,4,4,4,true
baseline,1,json_operator,1,1580.029,1128,1,1,1,true
baseline,1,where_mybatis,16,16293.701,14656,16,16,16,true
baseline,1,join_named,4,5396.191,3968,4,4,4,true
baseline,1,cached_positional_same,2,13.352,0,2,2,2,true
baseline,1,cached_positional_equal,2,17.125,0,2,2,2,true
baseline,1,cached_named_same,2,13.106,0,2,2,2,true
baseline,1,cached_named_equal,2,17.449,0,2,2,2,true
baseline,2,array_named,8192,509700,863844,8192,8192,8192,true
baseline,2,where_mybatis,16,15975,14656,16,16,16,true
baseline,2,deep_unary,8192,1780600,1061092,1,1,1,true
baseline,2,bare_concat,256,20818.750,3296,256,1,1,false
baseline,2,deep_unary,1024,229050,128568,1,1,1,true
baseline,2,where_positional,128,79094.775,35904,128,128,128,true
baseline,2,where_positional,16,10323.486,5224,16,16,16,true
baseline,2,array_named,256,15290.625,22776,256,256,256,true
baseline,2,quoted_and_comments,2,1775.635,1192,2,2,2,true
baseline,2,join_mybatis,4,6665.479,5800,4,4,4,true
baseline,2,where_named,16,11881.738,7960,16,16,16,true
baseline,2,deep_unary,256,57075,33048,1,1,1,true
baseline,2,json_operator,1,1666.260,1128,1,1,1,true
baseline,2,jdbc_escape,1,1873.535,1176,1,1,1,true
baseline,2,array_named,4096,268800,395776,4096,4096,4096,true
baseline,2,array_mybatis,1024,2572312.500,27681488,1024,1024,1024,true
baseline,2,array_positional,1024,9462.500,6712,1024,0,0,false
baseline,2,array_mybatis,256,207693.750,1777536,256,256,256,true
baseline,2,array_mybatis,8192,150521850,1814143252,8192,8192,8192,true
