shape,size,equivalent_results,baseline_ns,current_ns,time_change_pct,baseline_bytes,current_bytes,baseline_min_ns,baseline_max_ns,current_min_ns,current_max_ns,baseline_common8_ns,baseline_common8_bytes,current_vs_common8_pct,baseline_common8_min_ns,baseline_common8_max_ns,baseline_count,current_count
array_mybatis,256,true,210375,57134.375,-72.842,1777536,65544,207693.750,239584.375,55865.625,79121.875,211787.500,1777536,-73.023,210500,214721.875,256,256
array_mybatis,1024,true,2763650,233325,-91.557,27681488,316088,2572312.500,2908062.500,229425,279562.500,2731062.500,27681488,-91.457,2549762.500,2778425,1024,1024
array_mybatis,4096,true,39097050,934350,-97.610,453545112,1272216,37395400,40094100,920000,1043300,39326200,453545112,-97.624,38323450,39555900,4096,4096
array_mybatis,8192,true,156742100,1904950,-98.785,1814143252,2745516,147667200,164849050,1858950,2487700,156554150,1814143252,-98.783,150696550,167433200,8192,8192
array_named,256,true,15768.750,18903.125,19.877,22776,30168,15290.625,16984.375,18368.750,23871.875,14975,22776,26.231,14487.500,16946.875,256,256
array_named,1024,true,64687.500,79650,23.130,87088,122336,58750,69050,77550,88462.500,61037.500,87088,30.494,58487.500,64075,1024,1024
array_named,4096,true,268800,341550,27.065,395776,510400,262050,276150,326100,477400,263200,395776,29.768,258650,275100,4096,4096
array_named,8192,true,557750,704100,26.239,863844,1178932,509700,587050,667400,823050,549750,863844,28.076,526950,594750,8192,8192
array_positional,256,false,3012.500,56703.125,1782.261,2104,101168,2678.125,3596.875,52784.375,90740.625,3262.500,2104,1638.027,2734.375,3487.500,0,256
array_positional,1024,false,9550,224775,2253.665,6712,418688,9375,10025,216562.500,246825,10350,6712,2071.739,10150,10562.500,0,1024
array_positional,4096,false,37450,898450,2299.065,25144,1613680,34550,42650,851250,1200100,37900,25144,2270.580,36450,38100,0,4096
array_positional,8192,false,83950,1804900,2049.970,139940,3567740,79500,89750,1715150,2765250,82400,139940,2090.413,75350,83750,0,8192
bare_concat,256,false,21240.625,31318.750,47.447,3296,13512,20818.750,21968.750,30106.250,34606.250,23175,3296,35.140,20700,24356.250,1,256
bare_concat,1024,false,81137.500,126512.500,55.924,11360,61056,79037.500,88375,120962.500,127862.500,77112.500,11360,64.062,77000,85512.500,1,1024
bare_concat,4096,false,324100,482050,48.735,43616,203160,317650,371700,465450,540150,323150,43616,49.172,310150,339450,1,4096
bare_concat,8192,false,651000,944900,45.146,127628,575580,629350,710050,921950,1022850,616750,127628,53.206,616750,706450,1,8192
cached_named_equal,2,true,23.103,17.538,-24.088,0,0,17.449,29.988,15.596,17.582,17.612,0,-0.420,17.568,18.047,2,2
cached_named_same,2,true,18.067,12.670,-29.872,0,0,13.106,22.170,11.705,15.536,13.169,0,-3.789,12.853,13.383,2,2
cached_positional_equal,2,true,22.373,17.266,-22.827,0,0,17.125,29.138,16.103,18.544,17.873,0,-3.396,16.827,18.465,2,2
cached_positional_same,2,true,13.831,13.585,-1.779,0,0,13.352,21.789,12.434,13.714,13.473,0,0.831,13.452,13.695,2,2
deep_unary,256,true,57278.125,81343.750,42.015,33048,38384,57075,59656.250,78718.750,91031.250,56828.125,33048,43.140,55075,59278.125,1,1
deep_unary,1024,true,227800,317937.500,39.569,128568,147760,222537.500,248762.500,308850,389712.500,217725,128568,46.027,213687.500,257750,1,1
deep_unary,4096,true,883000,1262000,42.922,510648,585168,859600,887650,1224150,1440850,864300,510648,46.014,849200,948900,1,1
deep_unary,8192,true,1780600,2551050,43.269,1061092,1209356,1763050,2303950,2499900,2846250,1715900,1061092,48.671,1704300,1795000,1,1
geometric_cast,1,true,1644.336,2260.547,37.475,792,1400,1540.674,1788.232,2149.658,3424.951,1611.670,792,40.261,1516.895,1782.080,1,1
jdbc_escape,1,true,1927.490,2627.344,36.309,1176,1584,1873.535,2168.701,2605.811,4594.873,2016.650,1176,30.283,2005.078,2153.760,1,1
join_mybatis,4,true,6953.223,7798.535,12.157,5800,8616,6652.734,7160.303,7472.119,8670.117,6890.625,5800,13.176,6532.373,7217.920,4,4
join_named,4,true,5449.756,5970.410,9.554,3968,5008,5396.191,5729.297,5742.236,8990.820,5371.826,3968,11.143,5290.479,5840.820,4,4
join_positional,4,true,5378.174,8974.512,66.869,3824,4312,5146.436,5750.586,8216.162,10023.584,5023.730,3824,78.642,4972.803,5365.674,4,4
json_constructor,1,false,1573.926,2487.646,58.054,1136,1576,1527.100,1643.359,2427.881,3340.771,1668.164,1136,49.125,1529.443,1969.775,0,1
json_operator,1,true,1666.260,2463.770,47.862,1128,1536,1516.846,1708.545,2446.045,3884.424,1632.275,1128,50.941,1578.857,1789.600,1,1
no_parameters,0,true,1289.941,1421.240,10.179,1248,1400,1262.793,1360.840,1403.271,2361.963,1349.365,1248,5.327,1229.004,1847.803,0,0
quoted_and_comments,2,true,1818.213,2965.723,63.112,1192,1608,1763.477,2057.715,2921.680,4625.488,1754.736,1192,69.012,1705.273,1905.273,2,2
where_mybatis,2,true,2606.152,3176.660,21.891,2552,4008,2556.250,3469.678,3093.701,5220.850,2690.625,2552,18.064,2514.600,2934.766,2,2
where_mybatis,16,true,16157.471,18654.346,15.453,14656,25368,15975,16293.701,18437.158,23970.947,16095.850,14656,15.895,15349.512,17830.713,16,16
where_named,2,true,2015.723,2345.459,16.358,1816,2384,2003.271,2673.291,2195.801,2424.170,1965.479,1816,19.333,1923.730,2051.660,2,2
where_named,16,true,11886.768,12012.598,1.059,7960,11552,11475.098,13822.656,11905.908,14389.209,11442.139,7960,4.986,10951.221,12338.086,16,16
where_positional,2,true,1703.564,2953.662,73.381,1456,1872,1655.322,2113.379,2871.973,3388.379,1679.053,1456,75.912,1665.186,1824.512,2,2
where_positional,16,true,10572.900,14768.311,39.681,5224,6128,10323.486,11438.477,14506.445,20503.320,10045.410,5224,47.016,9716.309,11125.049,16,16
where_positional,128,true,79838.867,105815.332,32.536,35904,42632,78287.646,83623.242,104680.469,149651.221,76754.346,35904,37.862,76746.826,85889.941,128,128
