version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
baseline,1,select_ambiguous,1,49589,757.456,1056.000,true
baseline,1,tokenize_backslashes,1,5930,583.440,488.000,true
baseline,1,index_late,1,203,137861.576,64616.000,true
baseline,1,read_insert_insert,1,4333,5354.950,7168.000,true
baseline,1,index_sensitive,1,53316,515.018,480.000,true
baseline,1,index_whitespace,1,247287,110.203,72.000,true
baseline,1,read_cte,1,1460,19642.671,20064.000,true
baseline,1,read_simple,1,3696,9669.426,7392.000,true
baseline,1,next_quote,1,1042,29223.321,8760.000,true
baseline,1,read_insert_cte,1,884,33454.751,34976.000,true
baseline,1,read_literal,1,5374,4743.115,4032.000,true
baseline,1,walk_bounds_comments,1,4061,7121.694,0.000,true
baseline,1,index_hash,1,173,186786.127,128880.000,true
baseline,1,read_multiple,1,6347,3323.602,4352.000,true
baseline,1,read_insert_multiple,1,5499,4177.778,6208.000,true
baseline,1,read_upsert,1,82600,204.925,344.000,true
baseline,1,end_quote,1,2651,11647.227,0.000,true
baseline,1,tokenize_mybatis,1,528,9062.500,5752.000,true
baseline,1,index_missing,1,378,63062.434,50728.000,true
baseline,1,walk_tokens_comments,1,1367,10696.196,1920.000,true
baseline,1,index_near_matches,1,10,3586110.000,3275376.000,true
baseline,1,index_from_inside_quote,1,49908,450.268,464.000,true
baseline,1,end_custom,1,75062,262.122,0.000,true
baseline,1,next_empty,1,262144,83.060,0.000,true
baseline,1,read_mutation,1,67973,395.453,520.000,true
baseline,1,classify_insert,1,30463,416.489,896.000,true
baseline,1,walk_tokens_simple,1,3635,3542.311,816.000,true
baseline,1,read_large,1,146,167497.260,140992.000,true
baseline,1,tokenize_tiny,1,123077,155.632,200.000,true
baseline,1,walk_bounds_hash,1,99,157453.535,127008.000,true
baseline,1,index_custom_separator,1,13942,1574.358,968.000,false
baseline,1,select_parenthesized,1,49936,649.275,896.000,true
baseline,1,read_insert_mysql_dash,1,35590,423.672,544.000,true
baseline,1,index_custom_composite,1,17053,1711.705,792.000,true
baseline,1,select_simple,1,36159,915.036,1440.000,true
