version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
baseline,3,index_early,1,112297,206.327,120.000,true
baseline,3,select_cte,1,6384,2673.183,4896.000,true
baseline,3,end_word,1,262144,50.588,0.000,true
baseline,3,tokenize_mybatis,1,3511,5134.634,5752.000,true
baseline,3,walk_bounds_comments,1,6333,3209.411,0.000,true
baseline,3,read_mutation,1,63821,327.706,520.000,true
baseline,3,next_mybatis_single,1,262144,58.602,48.000,true
baseline,3,tokenize_large,1,416,56990.144,38120.000,true
baseline,3,tokenize_simple,1,20087,1265.256,1216.000,true
baseline,3,end_mybatis_single,1,262144,37.688,0.000,true
baseline,3,read_insert,1,226150,92.881,224.000,true
baseline,3,read_multiple,1,8522,2346.444,4352.000,true
baseline,3,end_custom,1,171327,130.401,0.000,true
baseline,3,walk_bounds_simple,1,21249,987.101,0.000,true
baseline,3,tokenize_backslashes,1,5388,386.006,488.000,true
baseline,3,read_literal,1,3915,3654.713,4032.000,true
baseline,3,tokenize_dense_concat_4096,1,131,169506.107,31000.000,true
baseline,3,read_mysql_dash,1,65474,320.400,544.000,true
baseline,3,read_cte,1,1444,14977.632,20064.000,true
baseline,3,walk_tokens_simple,1,7324,2745.699,816.000,true
baseline,3,end_hash,1,44113,458.951,288.000,true
baseline,3,select_quotes,1,21888,587.728,960.000,true
baseline,3,walk_tokens_comments,1,2355,10500.467,1920.000,true
baseline,3,next_word,1,261663,84.835,48.000,true
baseline,3,read_hash,1,13,1769261.538,1534112.000,true
baseline,3,read_insert_multiple,1,4375,3711.314,6208.000,true
baseline,3,index_whitespace,1,224623,103.748,72.000,true
baseline,3,read_insert_hash,1,8,2617287.500,2562784.000,true
baseline,3,read_insert_executable_comment,1,182516,110.391,248.000,true
baseline,3,walk_tokens_hash,1,86,236188.372,255456.000,true
baseline,3,index_composite_comments,1,29100,734.667,792.000,true
baseline,3,next_hash_operator,1,110696,242.512,48.000,true
baseline,3,read_insert_upsert,1,10500,2001.848,2696.000,true
baseline,3,tokenize_custom,1,18257,1453.925,600.000,true
baseline,3,next_custom,1,82777,231.494,48.000,false
baseline,3,read_insert_simple,1,1733,12599.711,16928.000,true
baseline,3,select_simple,1,42552,665.635,1440.000,true
baseline,3,index_composite,1,7807,2339.785,2256.000,true
baseline,3,read_upsert,1,144118,144.641,344.000,true
baseline,3,tokenize_long_quote,1,1067,47318.182,17672.000,true
baseline,3,read_insert_comments,1,593,35936.425,33664.000,true
baseline,3,index_hash,1,104,121796.154,128880.000,true
baseline,3,tokenize_dense_concat_256,1,1944,11391.667,2200.000,true
baseline,3,tokenize_tiny,1,235674,112.572,200.000,true
baseline,3,tokenize_unicode,1,20691,777.406,1088.000,true
baseline,3,end_hash_operator,1,178020,170.907,0.000,true
baseline,3,index_custom_separator,1,13919,1554.429,968.000,false
baseline,3,walk_bounds_large,1,454,45307.048,0.000,true
baseline,3,tokenize_comments,1,4883,22573.950,2464.000,true
baseline,3,index_missing,1,442,49324.887,50728.000,true
baseline,3,next_trivia,1,152367,130.153,48.000,true
baseline,3,tokenize_hash_operator,1,154377,423.263,104.000,true
baseline,3,walk_bounds_hash,1,166,178968.675,127008.000,true
baseline,3,end_trivia,1,206895,154.037,0.000,true
baseline,3,index_near_matches,1,8,2968300.000,3275376.000,true
baseline,3,tokenize_hash_identifiers,1,248,60182.258,65528.000,true
baseline,3,read_comments,1,258,19348.062,16448.000,true
baseline,3,index_custom_composite,1,12724,1160.272,792.000,true
baseline,3,read_insert_large,1,69,317330.435,357376.000,true
baseline,3,read_executable_comment,1,185560,112.401,248.000,true
baseline,3,read_insert_mutation,1,68230,386.386,520.000,true
baseline,3,tokenize_mybatis_single,1,262144,67.559,152.000,true
baseline,3,read_insert_mysql_dash,1,63996,329.047,544.000,true
baseline,3,tokenize_keep_comments,1,4073,3937.319,3504.000,true
baseline,3,index_quoted,1,257,46815.175,17664.000,true
baseline,3,end_quote,1,2082,9229.443,0.000,true
baseline,3,end_empty,1,262144,51.320,0.000,true
baseline,3,classify_delete,1,49009,438.419,960.000,true
baseline,3,select_ambiguous,1,50769,565.776,1056.000,true
baseline,3,read_insert_insert,1,4270,4842.131,7168.000,true
baseline,3,config_custom,1,7298,2766.306,10288.000,true
baseline,3,next_quote,1,875,18194.743,8760.000,true
baseline,3,index_sensitive,1,44091,469.481,480.000,true
baseline,3,next_hash,1,41395,490.736,336.000,true
baseline,3,index_late,1,223,95621.076,64616.000,true
baseline,3,tokenize_hash_rows,1,12,1766041.667,331144.000,true
baseline,3,read_insert_quoted_large,1,55,382643.636,110528.000,true
baseline,3,walk_tokens_large,1,141,128026.241,25792.000,true
baseline,3,tokenize_dense_concat_1024,1,506,40882.806,7960.000,true
baseline,3,read_quoted_large,1,73,271932.877,107904.000,true
baseline,3,tokenize_dense_concat_8192,1,63,332558.730,61720.000,true
baseline,3,config_default,1,8237,2819.279,9880.000,true
baseline,3,select_parenthesized,1,51763,462.890,896.000,true
baseline,3,index_from_inside_quote,1,53057,396.675,464.000,true
baseline,3,next_empty,1,262144,57.845,0.000,true
baseline,3,read_insert_literal,1,3593,5990.537,7424.000,true
baseline,3,read_insert_cte,1,880,23069.432,34976.000,true
baseline,3,read_simple,1,2686,5698.325,7392.000,true
baseline,3,classify_replace,1,165738,145.631,192.000,true
baseline,3,classify_update,1,56852,371.187,864.000,true
baseline,3,tokenize_array,1,497,11746.076,4248.000,true
baseline,3,classify_insert,1,54479,367.707,896.000,true
baseline,3,read_large,1,149,162556.376,140992.000,true
baseline,3,tokenize_hash_rows,2,12,1756191.667,331144.000,true
baseline,3,read_comments,2,258,19108.140,16448.000,true
baseline,3,tokenize_hash_identifiers,2,248,59457.258,65528.000,true
baseline,3,classify_update,2,56852,378.347,864.000,true
baseline,3,read_hash,2,13,1470469.231,1534112.000,true
baseline,3,index_custom_separator,2,13919,1491.400,968.000,false
baseline,3,walk_bounds_simple,2,21249,1016.627,0.000,true
baseline,3,read_insert_cte,2,880,23905.000,34976.000,true
baseline,3,select_cte,2,6384,2882.644,4896.000,true
baseline,3,read_mutation,2,63821,301.023,520.000,true
baseline,3,read_upsert,2,144118,158.131,344.000,true
baseline,3,tokenize_array,2,497,11255.734,4248.000,true
baseline,3,classify_insert,2,54479,381.542,896.000,true
baseline,3,read_executable_comment,2,185560,110.872,248.000,true
baseline,3,walk_bounds_comments,2,6333,3264.061,0.000,true
baseline,3,end_word,2,262144,48.781,0.000,true
baseline,3,end_custom,2,171327,123.738,0.000,true
baseline,3,tokenize_custom,2,18257,1728.981,600.000,true
baseline,3,index_composite,2,7807,2285.705,2256.000,true
baseline,3,end_quote,2,2082,8615.418,0.000,true
baseline,3,read_insert_large,2,69,311476.812,357376.000,true
baseline,3,tokenize_backslashes,2,5388,355.252,488.000,true
baseline,3,tokenize_dense_concat_256,2,1944,9980.658,2200.000,true
baseline,3,read_insert_comments,2,593,36456.324,33664.000,true
baseline,3,tokenize_dense_concat_4096,2,131,171864.885,31000.000,true
baseline,3,end_trivia,2,206895,95.665,0.000,true
baseline,3,read_multiple,2,8522,2400.211,4352.000,true
baseline,3,config_default,2,8237,2785.954,9880.000,true
baseline,3,tokenize_tiny,2,235674,126.642,200.000,true
baseline,3,end_mybatis_single,2,262144,39.002,0.000,true
baseline,3,read_insert_simple,2,1733,12844.489,16928.000,true
baseline,3,walk_bounds_hash,2,166,121463.855,127008.000,true
baseline,3,tokenize_keep_comments,2,4073,4128.235,3504.000,true
baseline,3,tokenize_long_quote,2,1067,51170.853,17672.000,true
baseline,3,walk_tokens_hash,2,86,239652.326,255456.000,true
baseline,3,next_custom,2,82777,240.845,48.000,false
baseline,3,read_insert_mutation,2,68230,315.902,520.000,true
baseline,3,tokenize_mybatis_single,2,262144,64.880,152.000,true
baseline,3,read_insert_insert,2,4270,4592.037,7168.000,true
baseline,3,next_empty,2,262144,56.548,0.000,true
baseline,3,select_simple,2,42552,630.024,1440.000,true
baseline,3,index_early,2,112297,198.935,120.000,true
baseline,3,walk_tokens_simple,2,7324,2699.317,816.000,true
baseline,3,index_custom_composite,2,12724,1125.660,792.000,true
baseline,3,tokenize_comments,2,4883,3132.296,2464.000,true
baseline,3,end_hash,2,44113,511.314,288.000,true
baseline,3,read_quoted_large,2,73,295823.288,107904.000,true
baseline,3,read_insert_multiple,2,4375,3933.189,6208.000,true
baseline,3,select_parenthesized,2,51763,476.242,896.000,true
baseline,3,index_whitespace,2,224623,93.063,72.000,true
baseline,3,tokenize_dense_concat_8192,2,63,313265.079,61720.000,true
baseline,3,next_mybatis_single,2,262144,64.322,48.000,true
baseline,3,index_from_inside_quote,2,53057,392.218,464.000,true
baseline,3,select_ambiguous,2,50769,506.807,1056.000,true
baseline,3,read_mysql_dash,2,65474,327.467,544.000,true
baseline,3,walk_bounds_large,2,454,44913.877,0.000,true
baseline,3,read_insert_executable_comment,2,182516,121.723,248.000,true
baseline,3,index_quoted,2,257,56183.268,17664.000,true
baseline,3,read_insert_literal,2,3593,6000.640,7424.000,true
baseline,3,next_trivia,2,152367,117.399,48.000,true
baseline,3,tokenize_hash_operator,2,154377,91.655,104.000,true
baseline,3,read_simple,2,2686,5887.305,7392.000,true
baseline,3,read_insert_quoted_large,2,55,383189.091,110528.000,true
baseline,3,tokenize_dense_concat_1024,2,506,39821.739,7960.000,true
baseline,3,next_hash,2,41395,477.113,336.000,true
baseline,3,index_late,2,223,95733.632,64616.000,true
baseline,3,next_word,2,261663,91.844,48.000,true
baseline,3,tokenize_unicode,2,20691,801.600,1088.000,true
baseline,3,next_quote,2,875,30267.543,8760.000,true
baseline,3,read_cte,2,1444,14802.701,20064.000,true
baseline,3,tokenize_simple,2,20087,1174.725,1216.000,true
baseline,3,end_hash_operator,2,178020,179.409,0.000,true
baseline,3,tokenize_large,2,416,52814.904,38120.000,true
baseline,3,next_hash_operator,2,110696,241.122,48.000,true
baseline,3,index_missing,2,442,47388.688,50728.000,true
baseline,3,walk_tokens_comments,2,2355,8998.047,1920.000,true
baseline,3,read_insert_mysql_dash,2,63996,318.759,544.000,true
baseline,3,classify_delete,2,49009,372.829,960.000,true
baseline,3,index_sensitive,2,44091,487.249,480.000,true
baseline,3,tokenize_mybatis,2,3511,5141.242,5752.000,true
baseline,3,select_quotes,2,21888,409.306,960.000,true
baseline,3,read_insert,2,226150,102.880,224.000,true
baseline,3,read_insert_upsert,2,10500,2582.952,2696.000,true
baseline,3,index_near_matches,2,8,2989787.500,3275376.000,true
baseline,3,config_custom,2,7298,2843.697,10288.000,true
baseline,3,walk_tokens_large,2,141,129021.277,25792.000,true
baseline,3,read_insert_hash,2,8,2491212.500,2562784.000,true
baseline,3,index_hash,2,104,126883.654,128880.000,true
baseline,3,end_empty,2,262144,50.144,0.000,true
baseline,3,read_literal,2,3915,3543.499,4032.000,true
baseline,3,read_large,2,149,160618.792,140992.000,true
