version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
baseline-control,2,tokenize_unicode,1,13011,772.846,1088.000,true
baseline-control,2,read_literal,1,5705,3596.862,4032.000,true
baseline-control,2,tokenize_backslashes,1,27241,350.373,488.000,true
baseline-control,2,index_quoted,1,369,52486.450,17664.000,true
baseline-control,2,tokenize_keep_comments,1,4326,29580.166,3504.000,true
baseline-control,2,index_composite_comments,1,36729,629.693,792.000,true
baseline-control,2,read_quoted_large,1,76,291201.316,107904.000,true
baseline-control,2,read_insert_hash,1,6,2444050.000,2562784.000,true
baseline-control,2,index_missing,1,445,52998.427,50728.000,true
baseline-control,2,tokenize_simple,1,20254,5646.114,1216.000,true
baseline-control,2,walk_tokens_simple,1,8617,2456.980,816.000,true
baseline-control,2,classify_update,1,59134,347.993,864.000,true
baseline-control,2,index_from_inside_quote,1,54371,362.925,464.000,true
baseline-control,2,tokenize_dense_concat_4096,1,133,160176.692,31000.000,true
baseline-control,2,next_hash,1,40106,493.754,336.000,true
baseline-control,2,index_sensitive,1,43970,430.061,480.000,true
baseline-control,2,select_cte,1,7320,3113.907,4896.000,true
baseline-control,2,tokenize_dense_concat_8192,1,65,321372.308,61720.000,true
baseline-control,2,index_early,1,122123,176.953,120.000,true
baseline-control,2,walk_tokens_large,1,172,120283.140,25792.000,true
baseline-control,2,end_mybatis_single,1,262144,28.499,0.000,true
baseline-control,2,next_custom,1,64260,235.056,48.000,false
baseline-control,2,tokenize_mybatis_single,1,138598,69.350,152.000,true
baseline-control,2,read_insert_literal,1,3457,6218.802,7424.000,true
baseline-control,2,read_mutation,1,57496,336.039,520.000,true
baseline-control,2,tokenize_hash_identifiers,1,270,56733.704,65528.000,true
baseline-control,2,read_hash,1,9,1442377.778,1534112.000,true
baseline-control,2,read_mysql_dash,1,66580,317.142,544.000,true
baseline-control,2,index_custom_separator,1,12758,1691.754,968.000,false
baseline-control,2,read_insert_large,1,65,295343.077,357376.000,true
baseline-control,2,end_hash_operator,1,121607,170.561,0.000,true
baseline-control,2,tokenize_dense_concat_256,1,723,11804.149,2200.000,true
baseline-control,2,read_insert_executable_comment,1,138819,126.431,248.000,true
baseline-control,2,next_mybatis_single,1,262144,55.453,48.000,true
baseline-control,2,read_insert_cte,1,823,24754.557,34976.000,true
baseline-control,2,next_hash_operator,1,85361,252.066,48.000,true
baseline-control,2,read_insert_multiple,1,5720,4015.332,6208.000,true
baseline-control,2,index_whitespace,1,198739,98.173,72.000,true
baseline-control,2,select_parenthesized,1,47581,452.431,896.000,true
baseline-control,2,select_ambiguous,1,31799,497.044,1056.000,true
baseline-control,2,read_insert,1,209327,90.755,224.000,true
baseline-control,2,read_insert_upsert,1,10323,2002.121,2696.000,true
baseline-control,2,read_executable_comment,1,182939,110.814,248.000,true
baseline-control,2,walk_tokens_comments,1,2255,8441.951,1920.000,true
baseline-control,2,read_simple,1,4018,5666.725,7392.000,true
baseline-control,2,index_hash,1,173,137565.318,128880.000,true
baseline-control,2,select_quotes,1,52086,418.853,960.000,true
baseline-control,2,tokenize_long_quote,1,918,43140.196,17672.000,true
baseline-control,2,walk_bounds_hash,1,179,115299.441,127008.000,true
baseline-control,2,config_custom,1,7010,3067.974,10288.000,true
baseline-control,2,read_comments,1,367,27653.951,16448.000,true
baseline-control,2,classify_delete,1,53699,416.254,960.000,true
baseline-control,2,read_insert_mysql_dash,1,63132,327.929,544.000,true
baseline-control,2,read_insert_comments,1,601,35031.448,33664.000,true
baseline-control,2,end_hash,1,45323,453.876,288.000,true
baseline-control,2,index_late,1,228,94739.912,64616.000,true
baseline-control,2,read_insert_mutation,1,59805,326.832,520.000,true
baseline-control,2,walk_bounds_simple,1,26316,1005.491,0.000,true
baseline-control,2,walk_tokens_hash,1,59,320664.407,255456.000,true
baseline-control,2,index_composite,1,9532,2415.243,2256.000,true
