version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
before,1,tokenize_backslashes,1,79751,277.059,488.000,true
before,1,walk_tokens_comments,1,5782,3634.815,5760.000,true
before,1,read_insert_literal,1,3419,6604.358,8048.000,true
before,1,tokenize_hash_operator,1,262144,38.878,152.000,true
before,1,walk_bounds_comments,1,15034,1302.867,1920.000,true
before,1,end_custom,1,262144,19.276,48.000,true
before,1,index_whitespace,1,243475,81.207,120.000,true
before,1,classify_update,1,54062,370.319,1104.000,true
before,1,read_insert_large,1,40,358620.000,453200.000,true
before,1,select_simple,1,28943,669.703,1680.000,true
before,1,classify_insert,1,47134,394.480,1136.000,true
before,1,config_custom,1,3031,4612.240,13560.000,true
before,1,read_insert_quoted_large,1,48,457572.917,251280.000,true
before,1,index_missing,1,905,25083.978,32152.000,true
before,1,end_mybatis_single,1,262144,30.425,48.000,true
before,1,end_hash,1,122553,192.615,344.000,true
before,1,next_hash,1,115756,189.403,392.000,true
before,1,tokenize_custom,1,54877,359.056,632.000,true
before,1,tokenize_comments,1,13009,25518.864,2464.000,true
before,1,next_custom,1,262144,57.888,96.000,true
before,1,next_mybatis_single,1,262144,77.665,96.000,true
before,1,read_insert,1,170850,149.117,320.000,true
before,1,walk_bounds_large,1,941,35559.192,24768.000,true
before,1,next_hash_operator,1,262144,78.992,96.000,true
before,1,index_sensitive,1,52252,585.622,528.000,true
before,1,tokenize_large,1,1151,56500.956,38120.000,true
before,1,end_hash_operator,1,262144,40.016,48.000,true
before,1,read_insert_simple,1,1279,13467.631,20816.000,true
before,1,read_insert_executable_comment,1,179541,121.331,344.000,true
before,1,read_insert_mutation,1,69128,312.420,712.000,true
before,1,walk_tokens_large,1,258,57415.891,75328.000,true
before,1,select_parenthesized,1,43119,468.320,1136.000,true
before,1,next_trivia,1,180819,108.063,96.000,true
before,1,next_word,1,262144,53.746,96.000,true
before,1,tokenize_long_quote,1,2379,11526.230,17672.000,true
before,1,tokenize_simple,1,38700,699.346,1216.000,true
before,1,walk_bounds_hash,1,657,24360.883,43968.000,true
before,1,walk_tokens_hash,1,426,51838.732,89376.000,true
before,1,tokenize_dense_concat_256,1,3984,4885.065,2200.000,true
before,1,classify_replace,1,161531,131.529,240.000,true
before,1,next_quote,1,795,20870.440,8808.000,true
before,1,tokenize_dense_concat_8192,1,155,133626.452,61720.000,true
before,1,read_insert_upsert,1,8936,2459.579,3368.000,true
before,1,tokenize_array,1,8014,2897.929,4248.000,true
before,1,index_custom_composite,1,26110,763.439,888.000,true
before,1,walk_bounds_simple,1,36385,643.276,816.000,true
before,1,tokenize_tiny,1,182613,100.515,200.000,true
before,1,read_insert_hash,1,266,82588.722,98072.000,true
before,1,config_default,1,4194,4405.746,12528.000,true
before,1,classify_delete,1,51276,444.992,1200.000,true
before,1,index_quoted,1,328,65042.073,17736.000,true
before,1,index_from_inside_quote,1,57038,366.505,464.000,true
before,1,read_executable_comment,1,183031,114.035,344.000,true
before,1,read_mutation,1,38742,314.819,712.000,true
before,1,index_composite_comments,1,45401,435.759,720.000,true
before,1,read_large,1,99,203161.616,236816.000,true
before,1,read_upsert,1,129227,153.699,440.000,true
before,1,tokenize_dense_concat_4096,1,318,67495.597,31000.000,true
before,1,read_literal,1,5314,4260.463,5424.000,true
before,1,read_insert_insert,1,3151,5807.268,8368.000,true
before,1,read_comments,1,186,30198.925,29200.000,true
before,1,index_late,1,846,24515.603,32560.000,true
before,1,end_trivia,1,254786,77.553,48.000,true
before,1,read_quoted_large,1,61,364142.623,248656.000,true
before,1,tokenize_mybatis,1,6449,3452.256,5800.000,true
before,1,select_cte,1,8405,2551.422,4944.000,true
before,1,read_insert_multiple,1,4885,4216.868,7216.000,true
before,1,index_hash,1,2229,9027.097,16304.000,true
before,1,tokenize_hash_rows,1,1562,9568.630,5768.000,true
before,1,index_near_matches,1,412,55953.155,80544.000,true
before,1,read_insert_cte,1,847,25693.034,38512.000,true
before,1,read_multiple,1,5712,3190.949,5360.000,true
before,1,end_word,1,262144,36.136,48.000,true
before,1,tokenize_hash_identifiers,1,1883,8754.116,16576.000,true
before,1,read_hash,1,321,62310.903,85464.000,true
before,1,index_early,1,130363,154.413,264.000,true
before,1,end_quote,1,2104,10966.730,48.000,true
before,1,tokenize_mybatis_single,1,262144,70.872,200.000,true
before,1,tokenize_keep_comments,1,8438,2425.160,3504.000,true
before,1,read_insert_comments,1,389,43273.265,46416.000,true
before,1,tokenize_unicode,1,18102,524.738,1168.000,true
before,1,select_quotes,1,46914,433.659,1200.000,true
before,1,read_mysql_dash,1,56326,349.943,736.000,true
before,1,walk_tokens_simple,1,15356,1385.608,2448.000,true
before,1,read_simple,1,2726,7427.146,11280.000,true
before,1,tokenize_dense_concat_1024,1,1254,16934.450,7960.000,true
before,1,index_composite,1,24307,862.821,1416.000,true
before,1,index_custom_separator,1,180292,116.453,216.000,true
before,1,next_empty,1,262144,62.726,48.000,true
before,1,end_empty,1,262144,40.982,48.000,true
before,1,read_cte,1,1285,16653.541,24368.000,true
before,1,select_ambiguous,1,46930,446.079,1296.000,true
before,1,read_insert_mysql_dash,1,65649,342.627,736.000,true
before,1,end_hash,2,122553,162.623,344.000,true
before,1,read_upsert,2,129227,160.846,440.000,true
before,1,read_insert_mysql_dash,2,65649,317.670,736.000,true
before,1,tokenize_hash_identifiers,2,1883,10615.613,16576.000,true
before,1,index_hash,2,2229,9974.293,16304.000,true
before,1,read_quoted_large,2,61,364452.459,248656.000,true
before,1,read_insert_multiple,2,4885,4148.762,7216.000,true
before,1,next_custom,2,262144,35.530,96.000,true
before,1,end_trivia,2,254786,90.444,48.000,true
before,1,read_cte,2,1285,18137.354,24368.000,true
