version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
current,3,index_early,1,262144,69.152,0.000,true
current,3,select_cte,1,38759,625.989,1080.000,true
current,3,end_word,1,262144,27.345,0.000,true
current,3,tokenize_mybatis,1,8551,2792.211,3448.000,true
current,3,walk_bounds_comments,1,21847,943.690,0.000,true
current,3,read_mutation,1,86514,270.015,200.000,true
current,3,next_mybatis_single,1,262144,24.783,0.000,true
current,3,tokenize_large,1,1050,32430.571,25832.000,true
current,3,tokenize_simple,1,41358,875.347,976.000,true
current,3,end_mybatis_single,1,262144,19.448,0.000,true
current,3,read_insert,1,262144,13.881,0.000,true
current,3,read_multiple,1,27026,781.044,584.000,true
current,3,end_custom,1,262144,23.027,0.000,true
current,3,walk_bounds_simple,1,48098,726.041,0.000,true
current,3,tokenize_backslashes,1,34224,262.030,344.000,true
current,3,read_literal,1,30171,731.202,672.000,true
current,3,tokenize_dense_concat_4096,1,328,66376.829,30904.000,true
current,3,read_mysql_dash,1,75880,284.358,400.000,true
current,3,read_cte,1,7545,2995.030,3720.000,true
current,3,walk_tokens_simple,1,22259,923.402,576.000,true
current,3,end_hash,1,176372,123.361,200.000,true
current,3,select_quotes,1,262144,19.062,48.000,true
current,3,walk_tokens_comments,1,10123,1983.967,192.000,true
current,3,next_word,1,262144,35.583,48.000,true
current,3,read_hash,1,1620,11548.025,2360.000,true
current,3,read_insert_multiple,1,25330,856.419,664.000,true
current,3,index_whitespace,1,262144,53.044,0.000,true
current,3,read_insert_hash,1,1454,14387.276,2440.000,true
current,3,read_insert_executable_comment,1,262144,77.311,0.000,true
current,3,walk_tokens_hash,1,527,39649.336,15936.000,true
current,3,index_composite_comments,1,143311,149.169,0.000,true
current,3,next_hash_operator,1,262144,31.622,0.000,true
current,3,read_insert_upsert,1,22976,851.758,64.000,true
current,3,tokenize_custom,1,63016,338.603,392.000,true
current,3,next_custom,1,262144,23.639,48.000,true
current,3,read_insert_simple,1,9817,3324.967,1424.000,true
current,3,select_simple,1,262144,25.671,48.000,true
current,3,index_composite,1,32782,657.510,0.000,true
current,3,read_upsert,1,262144,24.432,0.000,true
current,3,tokenize_long_quote,1,18869,2068.340,17624.000,true
current,3,read_insert_comments,1,1341,24144.444,6840.000,true
current,3,index_hash,1,2724,11081.865,632.000,true
current,3,tokenize_dense_concat_256,1,5120,5366.309,2104.000,true
current,3,tokenize_tiny,1,262144,62.614,152.000,true
current,3,tokenize_unicode,1,46483,414.986,848.000,true
current,3,end_hash_operator,1,262144,33.794,0.000,true
current,3,index_custom_separator,1,242152,122.082,48.000,true
current,3,walk_bounds_large,1,1241,17476.793,0.000,true
current,3,tokenize_comments,1,20158,1305.759,736.000,true
current,3,index_missing,1,974,16226.181,0.000,true
current,3,next_trivia,1,262144,66.378,48.000,true
current,3,tokenize_hash_operator,1,262144,34.673,104.000,true
current,3,walk_bounds_hash,1,1046,20136.042,7584.000,true
current,3,end_trivia,1,262144,58.030,0.000,true
current,3,index_near_matches,1,1309,16513.063,0.000,true
current,3,tokenize_hash_identifiers,1,2168,7304.705,1984.000,true
current,3,read_comments,1,2235,10221.208,6680.000,true
current,3,index_custom_composite,1,47331,391.963,0.000,true
current,3,read_insert_large,1,321,66154.517,27280.000,true
current,3,read_executable_comment,1,230453,79.435,0.000,true
current,3,read_insert_mutation,1,90410,231.815,200.000,true
