version,case,fork,ns,bytes
baseline,tokenize_backslashes,1,404.372,488
baseline,tokenize_backslashes,2,388.756,488
baseline,tokenize_backslashes,3,349.907,488
baseline,tokenize_backslashes,4,382.167,488
baseline,tokenize_backslashes,5,401.585,488
baseline,walk_tokens_comments,1,12664.599,1920
baseline,walk_tokens_comments,2,9056.016,1920
baseline,walk_tokens_comments,3,8966.879,1920
baseline,walk_tokens_comments,4,9065.513,1920
baseline,walk_tokens_comments,5,8888.629,1920
baseline,read_insert_literal,1,7375.412,7424
baseline,read_insert_literal,2,6119.608,7424
baseline,read_insert_literal,3,6079.933,7424
baseline,read_insert_literal,4,6275.508,7424
baseline,read_insert_literal,5,5993.122,7424
baseline,tokenize_hash_operator,1,119.789,104
baseline,tokenize_hash_operator,2,109.883,104
baseline,tokenize_hash_operator,3,95.204,104
baseline,tokenize_hash_operator,4,113.015,104
baseline,tokenize_hash_operator,5,98.534,104
baseline,walk_bounds_comments,1,3507.245,0
baseline,walk_bounds_comments,2,3401.389,0
baseline,walk_bounds_comments,3,3264.061,0
baseline,walk_bounds_comments,4,3255.788,0
baseline,walk_bounds_comments,5,3430.713,0
baseline,end_custom,1,141.962,0
baseline,end_custom,2,129.269,0
baseline,end_custom,3,122.419,0
baseline,end_custom,4,129.214,0
baseline,end_custom,5,121.826,0
baseline,index_whitespace,1,115.563,96
baseline,index_whitespace,2,107.382,96
baseline,index_whitespace,3,98.633,72
baseline,index_whitespace,4,106.986,72
baseline,index_whitespace,5,98.623,72
baseline,classify_update,1,365.932,864
baseline,classify_update,2,359.599,864
baseline,classify_update,3,366.04,864
baseline,classify_update,4,377.32,864
baseline,classify_update,5,374.487,864
baseline,read_insert_large,1,340910.526,357376
baseline,read_insert_large,2,309446.154,357376
baseline,read_insert_large,3,314572.464,357376
baseline,read_insert_large,4,319201.667,357376
baseline,read_insert_large,5,310858.824,357376
baseline,select_simple,1,629.033,1440
baseline,select_simple,2,614.07,1440
baseline,select_simple,3,634.363,1440
baseline,select_simple,4,654.696,1440
baseline,select_simple,5,624.461,1440
baseline,classify_insert,1,403.458,896
baseline,classify_insert,2,393.562,896
baseline,classify_insert,3,374.891,896
baseline,classify_insert,4,391.675,896
baseline,classify_insert,5,374.393,896
baseline,config_custom,1,3158.781,10288
baseline,config_custom,2,2880.22,10288
baseline,config_custom,3,2936.147,10288
baseline,config_custom,4,3335.943,10288
baseline,config_custom,5,2932.414,10288
baseline,read_insert_quoted_large,1,376443.333,110528
baseline,read_insert_quoted_large,2,383618.966,110528
baseline,read_insert_quoted_large,3,385260,110528
baseline,read_insert_quoted_large,4,371341.667,110528
baseline,read_insert_quoted_large,5,396029.31,110528
baseline,index_missing,1,60569.76,63112
baseline,index_missing,2,54808.431,63112
baseline,index_missing,3,49388.914,50728
baseline,index_missing,4,58874.091,50728
baseline,index_missing,5,63756.659,50728
baseline,end_mybatis_single,1,37.275,0
baseline,end_mybatis_single,2,34.761,0
baseline,end_mybatis_single,3,37.204,0
baseline,end_mybatis_single,4,36.273,0
baseline,end_mybatis_single,5,36.368,0
baseline,end_hash,1,480.021,288
baseline,end_hash,2,469.66,288
baseline,end_hash,3,479.29,288
baseline,end_hash,4,481.382,288
baseline,end_hash,5,482.887,288
baseline,next_hash,1,525.908,336
baseline,next_hash,2,506.434,336
baseline,next_hash,3,490.736,336
baseline,next_hash,4,548.031,336
baseline,next_hash,5,500.007,336
baseline,tokenize_custom,1,2308.936,600
baseline,tokenize_custom,2,1506.248,600
baseline,tokenize_custom,3,1547.374,600
baseline,tokenize_custom,4,1446.309,600
baseline,tokenize_custom,5,1396.854,600
baseline,tokenize_comments,1,6239.72,2464
baseline,tokenize_comments,2,3359.496,2464
baseline,tokenize_comments,3,3278.927,2464
baseline,tokenize_comments,4,3195.916,2464
baseline,tokenize_comments,5,3357.327,2464
baseline,next_custom,1,266.996,48
baseline,next_custom,2,239.583,48
baseline,next_custom,3,239.198,48
baseline,next_custom,4,245.456,48
baseline,next_custom,5,243.868,48
baseline,next_mybatis_single,1,64.362,48
baseline,next_mybatis_single,2,63.188,48
baseline,next_mybatis_single,3,59.793,48
baseline,next_mybatis_single,4,66.72,48
baseline,next_mybatis_single,5,62.306,48
baseline,read_insert,1,94.738,224
baseline,read_insert,2,95.344,224
baseline,read_insert,3,94.537,224
baseline,read_insert,4,105.976,224
baseline,read_insert,5,97.573,224
baseline,walk_bounds_large,1,55275.73,0
baseline,walk_bounds_large,2,46662.187,0
baseline,walk_bounds_large,3,46332.159,0
baseline,walk_bounds_large,4,44619.444,0
baseline,walk_bounds_large,5,45058.499,0
baseline,next_hash_operator,1,274.13,48
baseline,next_hash_operator,2,249.648,48
baseline,next_hash_operator,3,241.647,48
baseline,next_hash_operator,4,258.236,48
baseline,next_hash_operator,5,248.462,48
baseline,index_sensitive,1,564.539,600
baseline,index_sensitive,2,499.655,600
baseline,index_sensitive,3,467.805,480
baseline,index_sensitive,4,471.71,480
baseline,index_sensitive,5,437.829,480
baseline,tokenize_large,1,74859.126,38120
baseline,tokenize_large,2,53628.535,38120
baseline,tokenize_large,3,50332.933,38120
baseline,tokenize_large,4,54661.779,38120
baseline,tokenize_large,5,50354.987,38120
baseline,end_hash_operator,1,181.199,0
baseline,end_hash_operator,2,184.237,0
baseline,end_hash_operator,3,173.773,0
baseline,end_hash_operator,4,182.11,0
baseline,end_hash_operator,5,173.786,0
baseline,read_insert_simple,1,12317.591,16928
baseline,read_insert_simple,2,11787.225,16928
baseline,read_insert_simple,3,12116.445,16928
baseline,read_insert_simple,4,12704.712,16928
baseline,read_insert_simple,5,12002.429,16928
baseline,read_insert_executable_comment,1,122.996,248
baseline,read_insert_executable_comment,2,126.311,248
baseline,read_insert_executable_comment,3,110.663,248
baseline,read_insert_executable_comment,4,129.58,248
baseline,read_insert_executable_comment,5,120.787,248
baseline,read_insert_mutation,1,336.606,520
baseline,read_insert_mutation,2,319.053,520
baseline,read_insert_mutation,3,320.254,520
baseline,read_insert_mutation,4,342.148,520
baseline,read_insert_mutation,5,327.284,520
baseline,walk_tokens_large,1,138655.556,25792
baseline,walk_tokens_large,2,127507.453,25792
baseline,walk_tokens_large,3,128026.241,25792
baseline,walk_tokens_large,4,127828.431,25792
baseline,walk_tokens_large,5,128648.214,25792
baseline,select_parenthesized,1,456.33,896
baseline,select_parenthesized,2,440.401,896
baseline,select_parenthesized,3,452.02,896
baseline,select_parenthesized,4,477.78,896
baseline,select_parenthesized,5,444.935,896
baseline,next_trivia,1,172.218,48
baseline,next_trivia,2,128.142,48
baseline,next_trivia,3,118.93,48
baseline,next_trivia,4,125.252,48
baseline,next_trivia,5,124.449,48
baseline,next_word,1,81.242,48
baseline,next_word,2,74.07,48
baseline,next_word,3,77.224,48
baseline,next_word,4,76.075,48
baseline,next_word,5,76.715,48
baseline,tokenize_long_quote,1,51447.283,17672
baseline,tokenize_long_quote,2,50956.295,17672
baseline,tokenize_long_quote,3,48085.567,17672
baseline,tokenize_long_quote,4,50753.01,17672
baseline,tokenize_long_quote,5,45387.062,17672
baseline,tokenize_simple,1,1877.078,1216
baseline,tokenize_simple,2,1221.586,1216
baseline,tokenize_simple,3,1171.2,1216
baseline,tokenize_simple,4,1214.867,1216
baseline,tokenize_simple,5,1202.872,1216
baseline,walk_bounds_hash,1,126716.667,127008
baseline,walk_bounds_hash,2,125620.548,127008
baseline,walk_bounds_hash,3,121519.88,127008
baseline,walk_bounds_hash,4,126718.405,127008
baseline,walk_bounds_hash,5,124397.674,127008
baseline,walk_tokens_hash,1,321942.424,255456
baseline,walk_tokens_hash,2,240864.384,255456
baseline,walk_tokens_hash,3,240855.814,255456
baseline,walk_tokens_hash,4,264679.221,255456
baseline,walk_tokens_hash,5,249135.714,255456
baseline,tokenize_dense_concat_256,1,16309.372,2200
baseline,tokenize_dense_concat_256,2,11390.083,2200
baseline,tokenize_dense_concat_256,3,10425.36,2200
baseline,tokenize_dense_concat_256,4,10880.214,2200
baseline,tokenize_dense_concat_256,5,10717.654,2200
baseline,classify_replace,1,126.437,192
baseline,classify_replace,2,136.193,192
baseline,classify_replace,3,129.569,192
baseline,classify_replace,4,131.903,192
baseline,classify_replace,5,132.236,192
baseline,next_quote,1,20253.984,8760
baseline,next_quote,2,21929.412,8760
baseline,next_quote,3,18194.743,8760
baseline,next_quote,4,21946.476,8760
baseline,next_quote,5,19673.743,8760
baseline,tokenize_dense_concat_8192,1,591903.077,61720
baseline,tokenize_dense_concat_8192,2,330880,61720
baseline,tokenize_dense_concat_8192,3,322520.635,61720
baseline,tokenize_dense_concat_8192,4,364104.412,61720
baseline,tokenize_dense_concat_8192,5,321987.5,61720
baseline,read_insert_upsert,1,2306.12,2696
baseline,read_insert_upsert,2,1992.512,2696
baseline,read_insert_upsert,3,2009.562,2696
baseline,read_insert_upsert,4,2197.914,2696
baseline,read_insert_upsert,5,2063.528,2696
baseline,tokenize_array,1,11449.266,4248
baseline,tokenize_array,2,12203.681,4248
baseline,tokenize_array,3,11335.01,4248
baseline,tokenize_array,4,12412.389,4248
baseline,tokenize_array,5,11686.937,4248
baseline,index_custom_composite,1,1377.532,864
baseline,index_custom_composite,2,1203.774,864
baseline,index_custom_composite,3,1158.865,792
baseline,index_custom_composite,4,1502.538,792
baseline,index_custom_composite,5,1486.834,792
baseline,walk_bounds_simple,1,997.397,0
baseline,walk_bounds_simple,2,982.648,0
baseline,walk_bounds_simple,3,995.84,0
baseline,walk_bounds_simple,4,1041.835,0
baseline,walk_bounds_simple,5,968.223,0
baseline,tokenize_tiny,1,111.639,200
baseline,tokenize_tiny,2,112.495,200
baseline,tokenize_tiny,3,105.657,200
baseline,tokenize_tiny,4,113.363,200
baseline,tokenize_tiny,5,109.504,200
baseline,read_insert_hash,1,2632360,2562784
baseline,read_insert_hash,2,2519625,2562784
baseline,read_insert_hash,3,2491212.5,2562784
baseline,read_insert_hash,4,2705271.429,2562784
baseline,read_insert_hash,5,2528544.444,2562784
baseline,config_default,1,3846.24,9880
baseline,config_default,2,2959.981,9880
baseline,config_default,3,2785.954,9880
