version,case,forks,median_ns,min_fork_ns,max_fork_ns,bytes_per_op,equivalent_results
baseline,classify_delete,5,422.37,385.525,600.173,960,true
baseline-control,classify_delete,3,392.19,387.51,397.719,960,true
before,classify_delete,1,432.001,432.001,432.001,1200,true
current,classify_delete,5,21.204,20.161,25.309,48,true
baseline,classify_insert,5,391.675,374.393,403.458,896,true
baseline-control,classify_insert,3,379.967,372.356,396.355,896,true
before,classify_insert,1,389.494,389.494,389.494,1136,true
current,classify_insert,5,22.062,20.154,25.946,48,true
baseline,classify_replace,5,131.903,126.437,136.193,192,true
baseline-control,classify_replace,3,130.831,124.146,135.115,192,true
before,classify_replace,1,126.925,126.925,126.925,240,true
current,classify_replace,5,65.82,62.22,78.037,0,true
baseline,classify_update,5,366.04,359.599,377.32,864,true
baseline-control,classify_update,3,354.092,347.993,359.887,864,true
before,classify_update,1,374.428,374.428,374.428,1104,true
current,classify_update,5,21.872,19.547,24.68,48,true
baseline,config_custom,5,2936.147,2880.22,3335.943,10288,true
baseline-control,config_custom,3,3001.983,2868.469,3071.13,10288,true
before,config_custom,1,4816.826,4816.826,4816.826,13560,true
current,config_custom,5,2436.334,2298.371,2686.702,6704,true
baseline,config_default,5,2959.981,2679.552,3846.24,9880,true
baseline-control,config_default,3,2786.216,2719.551,3060.228,9880,true
before,config_default,1,4658.155,4658.155,4658.155,12528,true
current,config_default,5,8.275,7.784,8.599,24,true
baseline,end_custom,5,129.214,121.826,141.962,0,true
baseline-control,end_custom,3,116.713,116.121,122.002,0,true
before,end_custom,1,19.276,19.276,19.276,48,true
current,end_custom,5,14.133,13.625,15.154,0,true
baseline,end_empty,5,44.798,44.042,57.203,0,true
baseline-control,end_empty,3,41.455,39.733,45.551,0,true
before,end_empty,1,39.259,39.259,39.259,48,true
current,end_empty,5,34.079,32.479,42.805,0,true
baseline,end_hash,5,480.021,469.66,482.887,288,true
baseline-control,end_hash,3,476.802,340.298,500.148,288,true
before,end_hash,1,162.411,162.411,162.411,344,true
current,end_hash,5,106.456,97.888,118.502,200,true
baseline,end_hash_operator,5,181.199,173.773,184.237,0,true
baseline-control,end_hash_operator,3,166.881,114.393,175.746,0,true
before,end_hash_operator,1,34.412,34.412,34.412,48,true
current,end_hash_operator,5,27.769,26.092,29.766,0,true
baseline,end_mybatis_single,5,36.368,34.761,37.275,0,true
baseline-control,end_mybatis_single,3,29.434,27.843,35.009,0,true
before,end_mybatis_single,1,30.552,30.552,30.552,48,true
current,end_mybatis_single,5,20.312,19.301,22.521,0,true
baseline,end_quote,5,10522.402,7892.843,14962.678,0,true
baseline-control,end_quote,3,12153.143,10864.982,12298.413,0,true
before,end_quote,1,10872.529,10872.529,10872.529,48,true
current,end_quote,5,146.148,140.595,163.034,0,true
baseline,end_trivia,5,93.25,92.253,104.587,0,true
baseline-control,end_trivia,3,79.52,76.739,93.825,0,true
before,end_trivia,1,77.37,77.37,77.37,48,true
