version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
baseline,2,read_large,1,151,153354.305,140896.000,true
baseline,2,walk_bounds_large,1,549,36789.982,0.000,true
baseline,2,index_custom_separator,1,13114,1528.412,1112.000,false
baseline,2,read_quoted_large,1,81,252716.049,107808.000,true
baseline,2,tokenize_keep_comments,1,1760,29674.318,3504.000,true
baseline,2,tokenize_long_quote,1,653,214098.469,17672.000,true
baseline,2,read_simple,1,3977,6063.993,7296.000,true
baseline,2,select_parenthesized,1,51535,424.399,896.000,true
baseline,2,read_insert_quoted_large,1,59,355103.390,110528.000,true
baseline,2,tokenize_hash_rows,1,12,1802600.000,331144.000,true
baseline,2,read_hash,1,14,1428778.571,1534016.000,true
baseline,2,read_insert_simple,1,1276,10927.351,16928.000,true
baseline,2,tokenize_hash_identifiers,1,313,57553.674,65528.000,true
baseline,2,classify_insert,1,55833,354.607,896.000,true
baseline,2,select_quotes,1,56458,390.396,960.000,true
baseline,2,index_sensitive,1,53557,381.287,600.000,true
baseline,2,read_insert,1,223803,88.636,224.000,true
baseline,2,read_comments,1,1162,21176.678,16352.000,true
baseline,2,read_mutation,1,66686,292.432,520.000,true
baseline,2,index_missing,1,293,56332.423,63112.000,true
baseline,2,end_quote,1,2413,8323.456,0.000,true
baseline,2,tokenize_simple,1,20087,1190.078,1216.000,true
baseline,2,next_trivia,1,180282,111.636,48.000,true
baseline,2,end_custom,1,186219,107.281,0.000,true
baseline,2,read_literal,1,6178,3554.985,3936.000,true
baseline,2,read_insert_multiple,1,5265,3597.474,6208.000,true
baseline,2,select_simple,1,42747,595.745,1440.000,true
baseline,2,classify_update,1,60541,338.447,864.000,true
baseline,2,index_near_matches,1,10,2120370.000,3287712.000,true
baseline,2,end_trivia,1,262144,71.102,0.000,true
baseline,2,index_from_inside_quote,1,61053,371.218,512.000,true
baseline,2,index_quoted,1,405,51968.395,17688.000,true
baseline,2,read_insert_executable_comment,1,172823,107.331,248.000,true
baseline,2,walk_bounds_simple,1,25993,769.584,0.000,true
baseline,2,walk_bounds_hash,1,164,116270.732,127008.000,true
baseline,2,tokenize_tiny,1,262144,106.748,200.000,true
baseline,2,walk_tokens_hash,1,84,234882.143,255456.000,true
baseline,2,tokenize_unicode,1,13084,764.445,1088.000,true
baseline,2,select_ambiguous,1,50845,417.345,1056.000,true
baseline,2,next_hash,1,41315,487.544,336.000,true
baseline,2,walk_tokens_large,1,174,115595.977,25792.000,true
baseline,2,read_insert_hash,1,9,2396000.000,2562784.000,true
baseline,2,index_composite,1,7332,2273.432,2592.000,true
baseline,2,read_insert_upsert,1,10574,1914.810,2696.000,true
baseline,2,read_mysql_dash,1,64703,345.815,544.000,true
baseline,2,select_cte,1,8698,2487.698,4896.000,true
baseline,2,read_upsert,1,147544,139.686,344.000,true
baseline,2,index_hash,1,170,123225.294,129240.000,true
baseline,2,read_insert_mysql_dash,1,62103,310.169,544.000,true
baseline,2,config_default,1,7876,2499.187,9880.000,true
baseline,2,next_custom,1,85077,235.282,48.000,false
baseline,2,classify_delete,1,54999,371.383,960.000,true
baseline,2,walk_bounds_comments,1,7837,2667.373,0.000,true
baseline,2,tokenize_array,1,570,11360.351,4248.000,true
baseline,2,config_custom,1,5946,2936.512,10288.000,true
baseline,2,tokenize_large,1,389,54685.090,38120.000,true
baseline,2,read_insert_literal,1,3434,5791.002,7424.000,true
baseline,2,walk_tokens_comments,1,1527,7882.842,1920.000,true
baseline,2,classify_replace,1,163228,119.517,192.000,true
baseline,2,index_composite_comments,1,36159,629.348,864.000,true
baseline,2,read_insert_mutation,1,66532,296.695,520.000,true
baseline,2,next_quote,1,1080,19512.778,8760.000,true
baseline,2,end_empty,1,262144,33.420,0.000,true
baseline,2,tokenize_mybatis,1,543,5386.740,5752.000,true
baseline,2,read_multiple,1,8378,2431.595,4256.000,true
baseline,2,next_word,1,262144,72.354,48.000,true
