version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
baseline-control,2,read_large,1,150,150620.000,140992.000,true
baseline-control,2,walk_bounds_large,1,318,63473.585,0.000,true
baseline-control,2,index_custom_separator,1,11082,1496.733,968.000,false
baseline-control,2,read_quoted_large,1,74,266872.973,107904.000,true
baseline-control,2,tokenize_keep_comments,1,1817,30904.678,3504.000,true
baseline-control,2,tokenize_long_quote,1,583,105288.508,17672.000,true
baseline-control,2,read_simple,1,3889,5774.209,7392.000,true
baseline-control,2,select_parenthesized,1,50428,437.378,896.000,true
baseline-control,2,read_insert_quoted_large,1,61,351295.082,110528.000,true
baseline-control,2,tokenize_hash_rows,1,12,1715541.667,331144.000,true
baseline-control,2,read_hash,1,9,1397400.000,1534112.000,true
baseline-control,2,read_insert_simple,1,1817,12279.307,16928.000,true
baseline-control,2,tokenize_hash_identifiers,1,359,58461.003,65528.000,true
baseline-control,2,classify_insert,1,55538,367.743,896.000,true
baseline-control,2,select_quotes,1,54731,387.996,960.000,true
baseline-control,2,index_sensitive,1,56814,355.118,480.000,true
baseline-control,2,read_insert,1,211148,89.280,224.000,true
baseline-control,2,read_comments,1,108,20103.704,16448.000,true
baseline-control,2,read_mutation,1,57551,300.415,520.000,true
baseline-control,2,index_missing,1,404,47487.376,50728.000,true
baseline-control,2,end_quote,1,2709,7431.968,0.000,true
baseline-control,2,tokenize_simple,1,20326,1176.060,1216.000,true
baseline-control,2,next_trivia,1,218840,90.884,48.000,true
baseline-control,2,end_custom,1,94717,208.271,0.000,true
baseline-control,2,read_literal,1,5790,3418.860,4032.000,true
baseline-control,2,read_insert_multiple,1,5577,3838.964,6208.000,true
baseline-control,2,select_simple,1,40110,613.426,1440.000,true
baseline-control,2,classify_update,1,57488,343.460,864.000,true
baseline-control,2,index_near_matches,1,10,2161950.000,3275376.000,true
baseline-control,2,end_trivia,1,262144,70.502,0.000,true
baseline-control,2,index_from_inside_quote,1,62859,332.018,464.000,true
baseline-control,2,index_quoted,1,284,70851.056,17664.000,true
baseline-control,2,read_insert_executable_comment,1,186003,108.915,248.000,true
baseline-control,2,walk_bounds_simple,1,15143,1175.791,0.000,true
baseline-control,2,walk_bounds_hash,1,114,119677.193,127008.000,true
baseline-control,2,tokenize_tiny,1,262144,96.425,200.000,true
baseline-control,2,walk_tokens_hash,1,86,239989.535,255456.000,true
baseline-control,2,tokenize_unicode,1,30888,712.251,1088.000,true
baseline-control,2,select_ambiguous,1,38131,416.207,1056.000,true
baseline-control,2,next_hash,1,41822,476.386,336.000,true
baseline-control,2,walk_tokens_large,1,160,122150.000,25792.000,true
baseline-control,2,read_insert_hash,1,9,2394155.556,2562784.000,true
baseline-control,2,index_composite,1,6585,2151.754,2256.000,true
baseline-control,2,read_insert_upsert,1,10577,1937.184,2696.000,true
baseline-control,2,read_mysql_dash,1,54731,316.280,544.000,true
baseline-control,2,select_cte,1,8066,2595.673,4896.000,true
baseline-control,2,read_upsert,1,78008,137.577,344.000,true
baseline-control,2,index_hash,1,178,113845.506,128880.000,true
baseline-control,2,read_insert_mysql_dash,1,63591,337.681,544.000,true
baseline-control,2,config_default,1,8168,2743.793,9880.000,true
baseline-control,2,next_custom,1,127572,156.182,48.000,false
baseline-control,2,classify_delete,1,51223,378.849,960.000,true
baseline-control,2,walk_bounds_comments,1,4501,4415.508,0.000,true
baseline-control,2,tokenize_array,1,390,9093.333,4248.000,true
baseline-control,2,config_custom,1,7179,2834.225,10288.000,true
baseline-control,2,tokenize_large,1,376,53260.904,38120.000,true
baseline-control,2,read_insert_literal,1,2814,5885.323,7424.000,true
baseline-control,2,walk_tokens_comments,1,2332,8077.101,1920.000,true
baseline-control,2,classify_replace,1,162815,124.402,192.000,true
baseline-control,2,index_composite_comments,1,34973,619.781,792.000,true
baseline-control,2,read_insert_mutation,1,65244,299.516,520.000,true
baseline-control,2,next_quote,1,612,34438.072,8760.000,true
baseline-control,2,end_empty,1,262144,34.521,0.000,true
baseline-control,2,tokenize_mybatis,1,3540,5254.944,5752.000,true
baseline-control,2,read_multiple,1,8648,2427.960,4352.000,true
baseline-control,2,next_word,1,262144,72.492,48.000,true
baseline-control,2,walk_tokens_simple,1,7576,2540.694,816.000,true
baseline-control,2,index_custom_composite,1,17183,1182.611,792.000,true
baseline-control,2,next_empty,1,262144,40.254,0.000,true
baseline-control,2,read_insert_large,1,70,301241.429,357376.000,true
baseline-control,2,read_insert_comments,1,598,34510.368,33664.000,true
baseline-control,2,read_executable_comment,1,180124,110.026,248.000,true
baseline-control,2,read_cte,1,1370,14900.949,20064.000,true
baseline-control,2,tokenize_backslashes,1,28842,299.092,488.000,true
baseline-control,2,tokenize_comments,1,4684,23705.551,2464.000,true
baseline-control,2,read_insert_insert,1,3589,6049.262,7168.000,true
baseline-control,2,index_early,1,127861,165.574,120.000,true
baseline-control,2,end_word,1,262144,37.565,0.000,true
baseline-control,2,index_whitespace,1,262144,79.671,72.000,true
baseline-control,2,tokenize_custom,1,13974,1427.673,600.000,true
baseline-control,2,end_hash,1,46290,435.982,288.000,true
baseline-control,2,read_insert_cte,1,792,23148.485,34976.000,true
baseline-control,2,index_late,1,215,93623.256,64616.000,true
baseline-control,2,read_simple,2,3889,5702.828,7392.000,true
baseline-control,2,read_insert_mutation,2,65244,304.790,520.000,true
baseline-control,2,walk_tokens_hash,2,86,229669.767,255456.000,true
baseline-control,2,read_large,2,150,150994.000,140992.000,true
baseline-control,2,walk_tokens_large,2,160,122006.875,25792.000,true
baseline-control,2,tokenize_keep_comments,2,1817,4481.453,3504.000,true
baseline-control,2,read_insert_multiple,2,5577,3632.437,6208.000,true
baseline-control,2,index_early,2,127861,166.492,120.000,true
baseline-control,2,end_quote,2,2709,7444.814,0.000,true
baseline-control,2,read_insert_simple,2,1817,11469.510,16928.000,true
baseline-control,2,read_insert_executable_comment,2,186003,117.699,248.000,true
baseline-control,2,tokenize_simple,2,20326,1106.470,1216.000,true
baseline-control,2,end_word,2,262144,35.997,0.000,true
baseline-control,2,end_empty,2,262144,34.508,0.000,true
baseline-control,2,walk_bounds_large,2,318,65351.887,0.000,true
baseline-control,2,index_from_inside_quote,2,62859,328.352,464.000,true
baseline-control,2,read_multiple,2,8648,2459.690,4352.000,true
baseline-control,2,index_custom_composite,2,17183,1175.953,792.000,true
baseline-control,2,index_near_matches,2,10,2119220.000,3275376.000,true
baseline-control,2,tokenize_array,2,390,12223.846,4248.000,true
baseline-control,2,index_whitespace,2,262144,74.784,72.000,true
baseline-control,2,tokenize_long_quote,2,583,43701.544,17672.000,true
baseline-control,2,read_insert_insert,2,3589,4448.147,7168.000,true
baseline-control,2,next_custom,2,127572,156.548,48.000,false
baseline-control,2,index_custom_separator,2,11082,1439.875,968.000,false
baseline-control,2,read_insert_mysql_dash,2,63591,318.375,544.000,true
baseline-control,2,tokenize_custom,2,13974,1372.528,600.000,true
baseline-control,2,read_upsert,2,78008,140.960,344.000,true
baseline-control,2,index_quoted,2,284,71567.958,17664.000,true
baseline-control,2,read_executable_comment,2,180124,116.438,248.000,true
baseline-control,2,tokenize_large,2,376,51194.415,38120.000,true
baseline-control,2,tokenize_unicode,2,30888,684.172,1088.000,true
baseline-control,2,config_default,2,8168,2639.141,9880.000,true
baseline-control,2,walk_tokens_comments,2,2332,8106.818,1920.000,true
baseline-control,2,read_literal,2,5790,3354.819,4032.000,true
baseline-control,2,index_composite_comments,2,34973,584.471,792.000,true
baseline-control,2,classify_update,2,57488,342.141,864.000,true
baseline-control,2,read_insert_hash,2,9,2334866.667,2562784.000,true
baseline-control,2,end_trivia,2,262144,70.650,0.000,true
baseline-control,2,next_word,2,262144,72.551,48.000,true
baseline-control,2,read_insert_cte,2,792,23141.288,34976.000,true
baseline-control,2,read_mysql_dash,2,54731,341.925,544.000,true
baseline-control,2,read_hash,2,9,1393855.556,1534112.000,true
baseline-control,2,select_quotes,2,54731,387.956,960.000,true
baseline-control,2,read_insert_literal,2,2814,5906.397,7424.000,true
baseline-control,2,tokenize_mybatis,2,3540,5673.164,5752.000,true
baseline-control,2,select_ambiguous,2,38131,430.225,1056.000,true
baseline-control,2,read_quoted_large,2,74,263277.027,107904.000,true
baseline-control,2,classify_replace,2,162815,124.477,192.000,true
baseline-control,2,tokenize_hash_rows,2,12,1733433.333,331144.000,true
baseline-control,2,read_insert_upsert,2,10577,1921.121,2696.000,true
baseline-control,2,read_comments,2,108,19333.333,16448.000,true
baseline-control,2,tokenize_tiny,2,262144,93.870,200.000,true
baseline-control,2,index_sensitive,2,56814,365.892,480.000,true
baseline-control,2,select_parenthesized,2,50428,472.815,896.000,true
baseline-control,2,walk_bounds_hash,2,114,114744.737,127008.000,true
