version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
before,1,select_ambiguous,1,47673,462.031,1296.000,true
before,1,tokenize_backslashes,1,6532,279.179,488.000,true
before,1,index_late,1,659,29824.127,32560.000,true
before,1,read_insert_insert,1,3765,5228.659,8368.000,true
before,1,index_sensitive,1,45583,451.855,528.000,true
before,1,index_whitespace,1,211169,94.045,120.000,true
before,1,read_cte,1,1213,17390.932,24368.000,true
before,1,read_simple,1,2861,8494.512,11280.000,true
before,1,next_quote,1,675,29909.481,8808.000,true
before,1,read_insert_cte,1,801,25710.861,38512.000,true
before,1,read_literal,1,4843,4119.988,5424.000,true
before,1,walk_bounds_comments,1,19936,1011.652,1920.000,true
before,1,index_hash,1,2260,9249.646,16304.000,true
before,1,read_multiple,1,7436,2802.448,5360.000,true
before,1,read_insert_multiple,1,4969,4171.644,7216.000,true
before,1,read_upsert,1,134202,152.250,440.000,true
before,1,end_quote,1,2157,10010.895,48.000,true
before,1,tokenize_mybatis,1,4958,3374.667,5800.000,true
before,1,index_missing,1,672,30656.548,32152.000,true
before,1,walk_tokens_comments,1,6429,3170.944,5760.000,true
before,1,index_near_matches,1,332,59549.096,80544.000,true
before,1,index_from_inside_quote,1,53258,372.032,464.000,true
before,1,end_custom,1,262144,17.570,48.000,true
before,1,next_empty,1,262144,47.443,48.000,true
before,1,read_mutation,1,65492,308.360,712.000,true
before,1,classify_insert,1,51233,398.415,1136.000,true
before,1,walk_tokens_simple,1,13546,1818.847,2448.000,true
before,1,read_large,1,107,208195.327,236816.000,true
before,1,tokenize_tiny,1,223581,99.565,200.000,true
before,1,walk_bounds_hash,1,949,21151.317,43968.000,true
before,1,index_custom_separator,1,137266,137.471,216.000,true
before,1,select_parenthesized,1,46793,476.732,1136.000,true
before,1,read_insert_mysql_dash,1,61871,393.147,736.000,true
before,1,index_custom_composite,1,22996,1046.995,888.000,true
before,1,select_simple,1,36948,657.470,1680.000,true
before,1,classify_replace,1,153920,149.584,240.000,true
before,1,read_insert_upsert,1,8624,2771.684,3368.000,true
before,1,read_executable_comment,1,173689,125.822,344.000,true
before,1,index_quoted,1,293,72947.099,17736.000,true
before,1,walk_tokens_hash,1,448,45669.196,89376.000,true
before,1,walk_tokens_large,1,382,54051.571,75328.000,true
before,1,read_insert_large,1,58,370700.000,453200.000,true
before,1,read_insert,1,200220,98.267,320.000,true
before,1,read_insert_simple,1,1498,13711.816,20816.000,true
before,1,tokenize_hash_identifiers,1,1936,8321.126,16576.000,true
