version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
current,1,select_ambiguous,1,62977,340.818,1008.000,true
current,1,tokenize_backslashes,1,98456,172.987,344.000,true
current,1,index_late,1,1261,15656.622,0.000,true
current,1,read_insert_insert,1,20162,1004.667,704.000,true
current,1,index_sensitive,1,83806,187.643,0.000,true
current,1,index_whitespace,1,262144,43.214,0.000,true
current,1,read_cte,1,6297,3626.505,4488.000,true
current,1,read_simple,1,13654,1685.733,1392.000,true
current,1,next_quote,1,25657,906.813,8760.000,true
current,1,read_insert_cte,1,4636,4252.416,4568.000,true
current,1,read_literal,1,25511,879.715,720.000,true
current,1,walk_bounds_comments,1,24868,808.529,0.000,true
current,1,index_hash,1,2840,6956.197,632.000,true
current,1,read_multiple,1,36562,613.325,584.000,true
current,1,read_insert_multiple,1,25200,783.901,664.000,true
current,1,read_upsert,1,262144,14.759,0.000,true
current,1,end_quote,1,141461,136.579,0.000,true
current,1,tokenize_mybatis,1,9072,2351.014,3496.000,true
current,1,index_missing,1,1009,16818.632,0.000,true
current,1,walk_tokens_comments,1,11876,1681.475,192.000,true
current,1,index_near_matches,1,1324,15151.208,0.000,true
current,1,index_from_inside_quote,1,102279,139.417,0.000,true
current,1,end_custom,1,262144,15.033,0.000,true
current,1,next_empty,1,262144,31.579,0.000,true
current,1,read_mutation,1,82777,261.391,200.000,true
current,1,classify_insert,1,240729,83.829,48.000,true
current,1,walk_tokens_simple,1,23043,921.126,576.000,true
current,1,read_large,1,529,47594.140,27248.000,true
current,1,tokenize_tiny,1,262144,58.631,152.000,true
current,1,walk_bounds_hash,1,1141,18979.141,7584.000,true
current,1,index_custom_separator,1,236149,83.779,48.000,true
current,1,select_parenthesized,1,180064,96.642,48.000,true
current,1,read_insert_mysql_dash,1,68134,298.123,400.000,true
current,1,index_custom_composite,1,50984,375.465,0.000,true
current,1,select_simple,1,164896,164.830,48.000,true
current,1,classify_replace,1,262144,58.551,0.000,true
current,1,read_insert_upsert,1,10385,1947.646,1296.000,true
current,1,read_executable_comment,1,198775,100.927,0.000,true
current,1,index_quoted,1,4619,3829.638,0.000,true
current,1,walk_tokens_hash,1,573,38547.120,15936.000,true
current,1,walk_tokens_large,1,614,33215.472,13504.000,true
current,1,read_insert_large,1,319,63520.063,27328.000,true
current,1,read_insert,1,262144,14.948,0.000,true
