version,case,fork,ns,bytes
baseline,select_ambiguous,1,422.832,1056
baseline,select_ambiguous,2,424.183,1056
baseline,select_ambiguous,3,449.067,1056
baseline,select_ambiguous,4,463.854,1056
baseline,select_ambiguous,5,427.324,1056
baseline,tokenize_backslashes,1,314.429,488
baseline,tokenize_backslashes,2,341.74,488
baseline,tokenize_backslashes,3,359.916,488
baseline,tokenize_backslashes,4,320.879,488
baseline,tokenize_backslashes,5,329.92,488
baseline,index_late,1,94673.333,64616
baseline,index_late,2,99205.921,77024
baseline,index_late,3,101354.634,64616
baseline,index_late,4,100605.882,64616
baseline,index_late,5,96998.02,64616
baseline,read_insert_insert,1,4554.137,7168
baseline,read_insert_insert,2,4523.537,7168
baseline,read_insert_insert,3,4947.203,7168
baseline,read_insert_insert,4,4757.57,7168
baseline,read_insert_insert,5,4541.302,7168
baseline,index_sensitive,1,362.404,480
baseline,index_sensitive,2,390.53,600
baseline,index_sensitive,3,365.205,480
baseline,index_sensitive,4,369.427,480
baseline,index_sensitive,5,363.83,480
baseline,index_whitespace,1,79.252,72
baseline,index_whitespace,2,83.772,96
baseline,index_whitespace,3,81.911,72
baseline,index_whitespace,4,81.314,72
baseline,index_whitespace,5,84.722,72
baseline,read_cte,1,14418.489,20064
baseline,read_cte,2,14587.5,19968
baseline,read_cte,3,15129.468,19968
baseline,read_cte,4,15163.561,20064
baseline,read_cte,5,14900.072,20064
baseline,read_simple,1,5641.646,7392
baseline,read_simple,2,5682.6,7296
baseline,read_simple,3,6073.971,7296
baseline,read_simple,4,6078.887,7392
baseline,read_simple,5,5804.582,7392
baseline,next_quote,1,26267.148,8760
baseline,next_quote,2,19015.185,8760
baseline,next_quote,3,21241.952,8760
baseline,next_quote,4,21697.143,8760
baseline,next_quote,5,18128.467,8760
baseline,read_insert_cte,1,23059.32,34976
baseline,read_insert_cte,2,22374.554,34976
baseline,read_insert_cte,3,24451.552,34976
baseline,read_insert_cte,4,23589.942,34976
baseline,read_insert_cte,5,23048.371,34976
baseline,read_literal,1,3460.395,4032
baseline,read_literal,2,3654.03,3936
baseline,read_literal,3,3681.041,3936
baseline,read_literal,4,3695.71,4032
baseline,read_literal,5,3668.133,4032
baseline,walk_bounds_comments,1,4364.864,0
baseline,walk_bounds_comments,2,2576.471,0
baseline,walk_bounds_comments,3,4638.556,0
baseline,walk_bounds_comments,4,4566.459,0
baseline,walk_bounds_comments,5,4429.447,0
baseline,index_hash,1,118754.651,128880
baseline,index_hash,2,120122.353,129240
baseline,index_hash,3,126048.214,128880
baseline,index_hash,4,134827.108,128880
baseline,index_hash,5,120829.07,128880
baseline,read_multiple,1,2333.924,4352
baseline,read_multiple,2,2372.953,4256
baseline,read_multiple,3,2491.593,4256
baseline,read_multiple,4,2549.027,4352
baseline,read_multiple,5,2450.581,4352
baseline,read_insert_multiple,1,3594.923,6208
baseline,read_insert_multiple,2,3597.474,6208
baseline,read_insert_multiple,3,4221.924,6208
baseline,read_insert_multiple,4,3863.001,6208
baseline,read_insert_multiple,5,3860.384,6208
baseline,read_upsert,1,139.021,344
baseline,read_upsert,2,140.145,344
baseline,read_upsert,3,149.704,344
baseline,read_upsert,4,155.434,344
baseline,read_upsert,5,138.535,344
baseline,end_quote,1,7501.155,0
baseline,end_quote,2,8365.727,0
baseline,end_quote,3,7904.353,0
baseline,end_quote,4,7968.018,0
baseline,end_quote,5,7486.016,0
baseline,tokenize_mybatis,1,5198.749,5752
baseline,tokenize_mybatis,2,5201.473,5752
baseline,tokenize_mybatis,3,5895.48,5752
baseline,tokenize_mybatis,4,6024.865,5752
baseline,tokenize_mybatis,5,5559.432,5752
baseline,index_missing,1,47816.667,50728
baseline,index_missing,2,54396.928,63112
baseline,index_missing,3,54865.803,50728
baseline,index_missing,4,49796.429,50728
baseline,index_missing,5,49328.354,50728
baseline,walk_tokens_comments,1,9161.807,1920
baseline,walk_tokens_comments,2,7940.799,1920
baseline,walk_tokens_comments,3,9477.435,1920
baseline,walk_tokens_comments,4,9560.384,1920
baseline,walk_tokens_comments,5,9787.26,1920
baseline,index_near_matches,1,2267500,3275376
baseline,index_near_matches,2,2129540,3287712
baseline,index_near_matches,3,2328260,3275376
baseline,index_near_matches,4,2362380,3275376
baseline,index_near_matches,5,2346270,3275376
baseline,index_from_inside_quote,1,334.863,464
baseline,index_from_inside_quote,2,337.556,512
baseline,index_from_inside_quote,3,333.691,464
baseline,index_from_inside_quote,4,329.485,464
baseline,index_from_inside_quote,5,326.731,464
baseline,end_custom,1,207.571,0
baseline,end_custom,2,107.519,0
baseline,end_custom,3,222.667,0
baseline,end_custom,4,214.494,0
baseline,end_custom,5,210.208,0
baseline,next_empty,1,48.027,0
baseline,next_empty,2,58.176,0
baseline,next_empty,3,59.506,0
baseline,next_empty,4,56.56,0
baseline,next_empty,5,63.185,0
baseline,read_mutation,1,301.434,520
baseline,read_mutation,2,299.321,520
baseline,read_mutation,3,323.638,520
baseline,read_mutation,4,323.486,520
baseline,read_mutation,5,302.254,520
baseline,classify_insert,1,376.02,896
baseline,classify_insert,2,364.426,896
baseline,classify_insert,3,387.912,896
baseline,classify_insert,4,371.134,896
baseline,classify_insert,5,376.043,896
baseline,walk_tokens_simple,1,2664.54,816
baseline,walk_tokens_simple,2,2477.247,816
baseline,walk_tokens_simple,3,2742.825,816
baseline,walk_tokens_simple,4,2656.464,816
baseline,walk_tokens_simple,5,2816.431,816
baseline,read_large,1,152949.351,140992
baseline,read_large,2,154192.715,140896
baseline,read_large,3,172109.15,140896
baseline,read_large,4,163725.166,140992
baseline,read_large,5,155482.759,140992
baseline,tokenize_tiny,1,97.167,200
baseline,tokenize_tiny,2,105.595,200
baseline,tokenize_tiny,3,106.995,200
baseline,tokenize_tiny,4,97.721,200
baseline,tokenize_tiny,5,105.395,200
baseline,walk_bounds_hash,1,118140.351,127008
baseline,walk_bounds_hash,2,117204.268,127008
baseline,walk_bounds_hash,3,122214.118,127008
baseline,walk_bounds_hash,4,127859.2,127008
baseline,walk_bounds_hash,5,120209.202,127008
baseline,index_custom_separator,1,1447.185,968
baseline,index_custom_separator,2,1528.412,1112
baseline,index_custom_separator,3,1588.714,968
baseline,index_custom_separator,4,1524.528,968
baseline,index_custom_separator,5,1476.903,968
baseline,select_parenthesized,1,419.688,896
baseline,select_parenthesized,2,424.403,896
baseline,select_parenthesized,3,449.531,896
baseline,select_parenthesized,4,457.937,896
baseline,select_parenthesized,5,455.584,896
baseline,read_insert_mysql_dash,1,315.346,544
baseline,read_insert_mysql_dash,2,314.983,544
baseline,read_insert_mysql_dash,3,349.501,544
baseline,read_insert_mysql_dash,4,328.331,544
baseline,read_insert_mysql_dash,5,321.021,544
baseline,index_custom_composite,1,1161.484,792
baseline,index_custom_composite,2,1206.202,864
baseline,index_custom_composite,3,1187.436,792
baseline,index_custom_composite,4,1169.589,792
baseline,index_custom_composite,5,1140.016,792
baseline,select_simple,1,578.873,1440
baseline,select_simple,2,589.714,1440
baseline,select_simple,3,628.939,1440
baseline,select_simple,4,654.528,1440
baseline,select_simple,5,607.282,1440
baseline,classify_replace,1,120.645,192
baseline,classify_replace,2,121.827,192
baseline,classify_replace,3,136.963,192
baseline,classify_replace,4,126.428,192
baseline,classify_replace,5,122.111,192
baseline,read_insert_upsert,1,1936.957,2696
baseline,read_insert_upsert,2,1914.81,2696
baseline,read_insert_upsert,3,2086.976,2696
baseline,read_insert_upsert,4,2004.47,2696
baseline,read_insert_upsert,5,1990.642,2696
baseline,read_executable_comment,1,110.429,248
baseline,read_executable_comment,2,108.085,248
baseline,read_executable_comment,3,115.988,248
baseline,read_executable_comment,4,115.625,248
baseline,read_executable_comment,5,109.202,248
baseline,index_quoted,1,65129.206,17664
baseline,index_quoted,2,50100.988,17688
baseline,index_quoted,3,53892.176,17664
baseline,index_quoted,4,53120.347,17664
baseline,index_quoted,5,56779.348,17664
baseline,walk_tokens_hash,1,240259.524,255456
baseline,walk_tokens_hash,2,235235.714,255456
baseline,walk_tokens_hash,3,255584.884,255456
baseline,walk_tokens_hash,4,276376.471,255456
baseline,walk_tokens_hash,5,245819.048,255456
baseline,walk_tokens_large,1,135096.711,25792
baseline,walk_tokens_large,2,115426.437,25792
baseline,walk_tokens_large,3,140306.04,25792
baseline,walk_tokens_large,4,137755.405,25792
baseline,walk_tokens_large,5,137381.633,25792
baseline,read_insert_large,1,294933.824,357376
baseline,read_insert_large,2,296117.143,357376
baseline,read_insert_large,3,324611.94,357376
baseline,read_insert_large,4,318839.706,357376
baseline,read_insert_large,5,298950,357376
baseline,read_insert,1,89.057,224
baseline,read_insert,2,88.907,224
baseline,read_insert,3,95.826,224
baseline,read_insert,4,93.517,224
baseline,read_insert,5,91.845,224
baseline,read_insert_simple,1,11151.798,16928
baseline,read_insert_simple,2,11097.571,16928
baseline,read_insert_simple,3,12166.703,16928
baseline,read_insert_simple,4,12757.203,16928
baseline,read_insert_simple,5,11347.926,16928
baseline,tokenize_hash_identifiers,1,58781.395,65528
baseline,tokenize_hash_identifiers,2,58499.042,65528
baseline,tokenize_hash_identifiers,3,62258.252,65528
baseline,tokenize_hash_identifiers,4,61058.209,65528
baseline,tokenize_hash_identifiers,5,58595.129,65528
baseline,end_empty,1,34.669,0
baseline,end_empty,2,33.552,0
baseline,end_empty,3,35.597,0
baseline,end_empty,4,36.575,0
baseline,end_empty,5,34.741,0
baseline,config_default,1,2612.916,9880
baseline,config_default,2,2584.891,9880
baseline,config_default,3,3186.213,9880
baseline,config_default,4,2926.418,9880
baseline,config_default,5,2901.148,9880
baseline,tokenize_long_quote,1,40513.433,17672
baseline,tokenize_long_quote,2,45549.77,17672
baseline,tokenize_long_quote,3,49492.381,17672
baseline,tokenize_long_quote,4,42336.398,17672
baseline,tokenize_long_quote,5,44090.587,17672
baseline,read_insert_comments,1,33684.677,33664
baseline,read_insert_comments,2,34352.913,33664
baseline,read_insert_comments,3,35026.316,33664
baseline,read_insert_comments,4,35496.616,33664
baseline,read_insert_comments,5,34933.232,33664
baseline,read_mysql_dash,1,317.446,544
baseline,read_mysql_dash,2,322.742,544
baseline,read_mysql_dash,3,325.118,544
baseline,read_mysql_dash,4,330.631,544
baseline,read_mysql_dash,5,316.329,544
baseline,end_word,1,35.337,0
baseline,end_word,2,37.406,0
baseline,end_word,3,36.621,0
baseline,end_word,4,38.374,0
baseline,end_word,5,35.685,0
baseline,classify_update,1,336.895,864
baseline,classify_update,2,339.735,864
baseline,classify_update,3,356.095,864
baseline,classify_update,4,351.997,864
baseline,classify_update,5,344.238,864
baseline,read_insert_hash,1,2422700,2562784
baseline,read_insert_hash,2,2402277.778,2562784
baseline,read_insert_hash,3,2501577.778,2562784
baseline,read_insert_hash,4,2642375,2562784
baseline,read_insert_hash,5,2563822.222,2562784
baseline,select_cte,1,2469.311,4896
baseline,select_cte,2,2580.11,4896
baseline,select_cte,3,2546.092,4896
baseline,select_cte,4,2673.568,4896
baseline,select_cte,5,2527.404,4896
baseline,tokenize_simple,1,1124.605,1216
baseline,tokenize_simple,2,1143.635,1216
baseline,tokenize_simple,3,1303.205,1216
baseline,tokenize_simple,4,1147.63,1216
baseline,tokenize_simple,5,1157.137,1216
baseline,tokenize_keep_comments,1,4430.314,3504
baseline,tokenize_keep_comments,2,4222.557,3504
baseline,tokenize_keep_comments,3,4603.495,3504
baseline,tokenize_keep_comments,4,4466.105,3504
baseline,tokenize_keep_comments,5,4333.404,3504
baseline,index_early,1,156.802,120
baseline,index_early,2,167.147,120
baseline,index_early,3,160.437,120
baseline,index_early,4,154.461,120
baseline,index_early,5,155.002,120
baseline,tokenize_large,1,51953.472,38120
baseline,tokenize_large,2,53204.884,38120
baseline,tokenize_large,3,61328.682,38120
baseline,tokenize_large,4,52456.633,38120
baseline,tokenize_large,5,56808.483,38120
baseline,read_hash,1,1449085.714,1534112
baseline,read_hash,2,1431421.429,1534016
baseline,read_hash,3,1531571.429,1534016
baseline,read_hash,4,1527300,1534112
baseline,read_hash,5,1495320,1534112
baseline,tokenize_hash_rows,1,1683391.667,331144
baseline,tokenize_hash_rows,2,1807991.667,331144
baseline,tokenize_hash_rows,3,1882550,331144
baseline,tokenize_hash_rows,4,1945372.727,331144
baseline,tokenize_hash_rows,5,1953309.091,331144
baseline,index_composite_comments,1,556.388,792
baseline,index_composite_comments,2,607.301,864
baseline,index_composite_comments,3,567.932,792
baseline,index_composite_comments,4,551.237,792
baseline,index_composite_comments,5,577.391,792
baseline,index_composite,1,2149.966,2256
baseline,index_composite,2,2302.7,2592
baseline,index_composite,3,2349.567,2256
baseline,index_composite,4,2183.163,2256
baseline,index_composite,5,2188.113,2256
baseline,read_insert_literal,1,5838.183,7424
baseline,read_insert_literal,2,5860.192,7424
baseline,read_insert_literal,3,6092.573,7424
baseline,read_insert_literal,4,6192.408,7424
baseline,read_insert_literal,5,6110.806,7424
baseline,end_trivia,1,68.996,0
baseline,end_trivia,2,71.102,0
baseline,end_trivia,3,73.901,0
baseline,end_trivia,4,75.827,0
baseline,end_trivia,5,70.507,0
baseline,tokenize_custom,1,1369.554,600
baseline,tokenize_custom,2,1409.57,600
baseline,tokenize_custom,3,1637.129,600
baseline,tokenize_custom,4,1542.8,600
baseline,tokenize_custom,5,1424.806,600
baseline,next_custom,1,232.878,48
baseline,next_custom,2,239.579,48
baseline,next_custom,3,234.782,48
baseline,next_custom,4,233.864,48
baseline,next_custom,5,234.774,48
baseline,read_quoted_large,1,264209.333,107904
baseline,read_quoted_large,2,248427.16,107808
baseline,read_quoted_large,3,281770.238,107808
baseline,read_quoted_large,4,300081.159,107904
baseline,read_quoted_large,5,262445,107904
baseline,tokenize_array,1,9728.469,4248
baseline,tokenize_array,2,10605.439,4248
baseline,tokenize_array,3,12486.115,4248
baseline,tokenize_array,4,9896.222,4248
baseline,tokenize_array,5,10418.222,4248
baseline,select_quotes,1,408.233,960
baseline,select_quotes,2,392.302,960
baseline,select_quotes,3,411.635,960
baseline,select_quotes,4,451.986,960
baseline,select_quotes,5,408.989,960
baseline,tokenize_unicode,1,712.343,1088
baseline,tokenize_unicode,2,730.006,1088
baseline,tokenize_unicode,3,757.011,1088
baseline,tokenize_unicode,4,713.267,1088
baseline,tokenize_unicode,5,702.063,1088
baseline,classify_delete,1,384.974,960
baseline,classify_delete,2,371.383,960
baseline,classify_delete,3,395.754,960
baseline,classify_delete,4,392.823,960
baseline,classify_delete,5,378.838,960
baseline,read_insert_mutation,1,302.119,520
baseline,read_insert_mutation,2,305.173,520
baseline,read_insert_mutation,3,322.53,520
baseline,read_insert_mutation,4,321.611,520
baseline,read_insert_mutation,5,313.362,520
baseline,tokenize_comments,1,3184.88,2464
baseline,tokenize_comments,2,3181.994,2464
baseline,tokenize_comments,3,3575.284,2464
baseline,tokenize_comments,4,3159.182,2464
baseline,tokenize_comments,5,3206.548,2464
baseline,read_insert_quoted_large,1,363908.475,110528
baseline,read_insert_quoted_large,2,355545.763,110528
baseline,read_insert_quoted_large,3,368426.23,110528
baseline,read_insert_quoted_large,4,403070.588,110528
baseline,read_insert_quoted_large,5,368610.169,110528
baseline,next_word,1,57.878,48
baseline,next_word,2,72.354,48
baseline,next_word,3,54.579,48
baseline,next_word,4,55.215,48
baseline,next_word,5,54.95,48
baseline,read_comments,1,18773.842,16448
baseline,read_comments,2,19781.325,16352
baseline,read_comments,3,19476.568,16352
baseline,read_comments,4,20027.897,16448
baseline,read_comments,5,19319.186,16448
baseline,end_hash,1,439.931,288
baseline,end_hash,2,446.264,288
baseline,end_hash,3,495.33,288
baseline,end_hash,4,477.74,288
baseline,end_hash,5,450.542,288
baseline,walk_bounds_simple,1,1150.507,0
baseline,walk_bounds_simple,2,777.994,0
baseline,walk_bounds_simple,3,1202.008,0
baseline,walk_bounds_simple,4,1295.136,0
baseline,walk_bounds_simple,5,1182.676,0
baseline,next_trivia,1,87.562,48
baseline,next_trivia,2,112.225,48
baseline,next_trivia,3,94.148,48
baseline,next_trivia,4,91.41,48
baseline,next_trivia,5,104.161,48
baseline,read_insert_executable_comment,1,109.671,248
baseline,read_insert_executable_comment,2,114.123,248
