version,case,forks,median_ns,min_fork_ns,max_fork_ns,bytes_per_op,equivalent_results
baseline,classify_delete,5,384.974,371.383,395.754,960,true
baseline-control,classify_delete,3,383.027,381.12,390.066,960,true
before,classify_delete,1,411.68,411.68,411.68,1200,true
current,classify_delete,5,91.433,88.366,111.37,48,true
baseline,classify_insert,5,376.02,364.426,387.912,896,true
baseline-control,classify_insert,3,382.7,368.69,385.64,896,true
before,classify_insert,1,388.744,388.744,388.744,1136,true
current,classify_insert,5,86.396,84.513,96.671,48,true
baseline,classify_replace,5,122.111,120.645,136.963,192,true
baseline-control,classify_replace,3,128.701,124.668,131.562,192,true
before,classify_replace,1,132.341,132.341,132.341,240,true
current,classify_replace,5,59.418,59.219,66.594,0,true
baseline,classify_update,5,344.238,336.895,356.095,864,true
baseline-control,classify_update,3,347.418,343.46,354.077,864,true
before,classify_update,1,376.987,376.987,376.987,1104,true
current,classify_update,5,77.412,74.39,94.683,48,true
baseline,config_custom,5,3030.282,2690.403,3309.994,10288,true
baseline-control,config_custom,3,2890.798,2846.051,3257.924,10288,true
before,config_custom,1,4694.46,4694.46,4694.46,13560,true
current,config_custom,5,2232.426,2145.072,3036.17,6704,true
baseline,config_default,5,2901.148,2584.891,3186.213,9880,true
baseline-control,config_default,3,2777.203,2639.141,2919.011,9880,true
before,config_default,1,4404.057,4404.057,4404.057,12528,true
current,config_default,5,7.539,7.318,8.333,24,true
baseline,end_custom,5,210.208,107.519,222.667,0,true
baseline-control,end_custom,3,210.989,210.154,215.65,0,true
before,end_custom,1,17.317,17.317,17.317,48,true
current,end_custom,5,15.259,15.049,17.439,0,true
baseline,end_empty,5,34.741,33.552,36.575,0,true
baseline-control,end_empty,3,35.228,34.889,35.802,0,true
before,end_empty,1,25.105,25.105,25.105,48,true
current,end_empty,5,29.682,29.542,33.447,0,true
baseline,end_hash,5,450.542,439.931,495.33,288,true
baseline-control,end_hash,3,448.079,445.697,460.254,288,true
before,end_hash,1,143.26,143.26,143.26,344,true
current,end_hash,5,95.155,86.525,112.895,200,true
baseline,end_quote,5,7904.353,7486.016,8365.727,0,true
baseline-control,end_quote,3,7541.27,7431.968,7718.565,0,true
before,end_quote,1,9419.981,9419.981,9419.981,48,true
current,end_quote,5,135.211,132.983,251.624,0,true
baseline,end_trivia,5,71.102,68.996,75.827,0,true
baseline-control,end_trivia,3,71.272,70.65,73.08,0,true
before,end_trivia,1,47.329,47.329,47.329,48,true
current,end_trivia,5,55.18,53.725,59.988,0,true
baseline,end_word,5,36.621,35.337,38.374,0,true
baseline-control,end_word,3,36.438,35.824,36.898,0,true
before,end_word,1,26.052,26.052,26.052,48,true
current,end_word,5,27.646,26.408,29.544,0,true
baseline,index_composite,5,2188.113,2149.966,2349.567,2256,true
baseline-control,index_composite,3,2220.885,2172.392,2251.921,2256,true
before,index_composite,1,1024.939,1024.939,1024.939,1416,true
current,index_composite,5,427.935,417.099,474.22,0,true
baseline,index_composite_comments,5,567.932,551.237,607.301,792,true
baseline-control,index_composite_comments,3,584.471,575.205,600.158,792,true
before,index_composite_comments,1,519.413,519.413,519.413,720,true
current,index_composite_comments,5,145.607,139.707,163.788,0,true
