version,fork,shape,size,round,operations,ns_per_op,bytes_per_op,expected,min_count,max_count,errors,semantic_match
current,2,array_named,8192,1,22,388281.818,914792.000,8192,8192,8192,0,true
current,2,where_mybatis,16,1,2048,9271.533,15696.020,16,16,16,0,true
current,2,deep_unary,8192,1,12,811733.333,413023.333,1,1,1,0,true
current,2,bare_concat,256,1,389,12676.350,10514.221,256,256,256,0,true
current,2,deep_unary,1024,1,98,101716.327,47048.000,1,1,1,0,true
current,2,where_positional,128,1,2048,39184.082,27608.000,128,128,128,0,true
current,2,where_positional,16,1,2048,5186.182,4096.000,16,16,16,0,true
current,2,array_named,256,1,388,17515.464,26440.000,256,256,256,0,true
current,2,quoted_and_comments,2,1,2048,1515.771,1240.000,2,2,2,0,true
current,2,join_mybatis,4,1,2048,4249.805,5680.000,4,4,4,0,true
current,2,where_named,16,1,2048,4926.221,8816.000,16,16,16,0,true
current,2,deep_unary,256,1,340,26622.059,12936.000,1,1,1,0,true
current,2,json_operator,1,1,2048,1307.959,1176.000,1,1,1,0,true
current,2,jdbc_escape,1,1,2048,1287.256,1176.000,1,1,1,0,true
current,2,array_named,4096,1,36,194750.000,403840.000,4096,4096,4096,0,true
current,2,array_mybatis,1024,1,90,100091.111,231704.000,1024,1024,1024,0,true
current,2,array_positional,1024,1,1287,6600.466,14968.000,1024,1024,1024,0,true
current,2,array_mybatis,256,1,358,24381.844,58232.000,256,256,256,0,true
current,2,array_mybatis,8192,1,11,1989818.182,1930953.455,8192,8192,8192,0,true
current,2,bare_concat,4096,1,52,718809.615,158339.846,4096,4096,4096,0,true
current,2,where_named,2,1,2048,5682.910,1888.000,2,2,2,0,true
current,2,geometric_cast,1,1,2048,3557.861,1040.000,1,1,1,0,true
current,2,array_mybatis,4096,1,19,872726.316,911792.000,4096,4096,4096,0,true
current,2,join_positional,4,1,2048,14401.416,3192.000,4,4,4,0,true
current,2,array_named,1024,1,116,166882.759,104680.000,1024,1024,1024,0,true
current,2,array_positional,8192,1,145,54705.517,164422.731,8192,8192,8192,0,true
current,2,where_mybatis,2,1,2048,6780.127,2744.020,2,2,2,0,true
current,2,bare_concat,1024,1,184,192055.978,46392.000,1024,1024,1024,0,true
current,2,deep_unary,4096,1,25,1361500.000,183400.000,1,1,1,0,true
current,2,bare_concat,8192,1,27,1514385.185,450103.704,8192,8192,8192,0,true
current,2,no_parameters,0,1,2048,4280.371,1048.020,0,0,0,0,true
current,2,array_positional,4096,1,410,27293.171,57976.000,4096,4096,4096,0,true
current,2,where_positional,2,1,2048,5420.166,1384.000,2,2,2,0,true
current,2,join_named,4,1,2048,13945.459,3768.000,4,4,4,0,true
current,2,array_positional,256,1,2138,3819.691,4216.000,256,256,256,0,true
current,2,json_constructor,1,1,2048,4099.268,1192.000,1,1,1,0,true
current,2,deep_unary,256,2,340,87672.647,12936.000,1,1,1,0,true
current,2,array_positional,1024,2,1287,9029.992,14968.000,1024,1024,1024,0,true
current,2,json_operator,1,2,2048,4739.160,1176.000,1,1,1,0,true
current,2,array_named,1024,2,116,162548.276,104680.000,1024,1024,1024,0,true
current,2,join_positional,4,2,2048,14570.898,3192.000,4,4,4,0,true
current,2,where_positional,128,2,2048,72236.230,27608.000,128,128,128,0,true
current,2,where_positional,2,2,2048,1242.432,1384.000,2,2,2,0,true
current,2,bare_concat,4096,2,52,200101.923,158024.000,4096,4096,4096,0,true
current,2,where_named,16,2,2048,5710.693,8816.000,16,16,16,0,true
current,2,where_mybatis,2,2,2048,1681.494,2688.000,2,2,2,0,true
current,2,array_positional,4096,2,410,25739.756,57976.000,4096,4096,4096,0,true
current,2,array_mybatis,4096,2,19,376463.158,911792.000,4096,4096,4096,0,true
current,2,array_named,8192,2,22,398718.182,914045.455,8192,8192,8192,0,true
current,2,bare_concat,256,2,389,13174.807,10514.221,256,256,256,0,true
current,2,deep_unary,4096,2,25,401976.000,183400.000,1,1,1,0,true
current,2,where_named,2,2,2048,1109.424,1888.000,2,2,2,0,true
current,2,array_named,4096,2,36,204763.889,403840.000,4096,4096,4096,0,true
current,2,bare_concat,1024,2,184,48508.152,46392.000,1024,1024,1024,0,true
current,2,deep_unary,8192,2,12,811433.333,413023.333,1,1,1,0,true
current,2,array_positional,8192,2,145,55824.828,164536.000,8192,8192,8192,0,true
current,2,join_named,4,2,2048,2862.305,3776.020,4,4,4,0,true
current,2,array_named,256,2,388,11431.443,26440.000,256,256,256,0,true
current,2,geometric_cast,1,2,2048,1042.139,1040.000,1,1,1,0,true
current,2,bare_concat,8192,2,27,377837.037,450103.704,8192,8192,8192,0,true
current,2,array_mybatis,256,2,358,24487.709,58277.877,256,256,256,0,true
current,2,json_constructor,1,2,2048,1129.590,1192.000,1,1,1,0,true
current,2,jdbc_escape,1,2,2048,1307.910,1176.000,1,1,1,0,true
