version,fork,shape,size,round,operations,ns_per_op,bytes_per_op,expected,min_count,max_count,errors,semantic_match
current,3,deep_unary,256,1,314,89925.796,12988.306,1,1,1,0,true
current,3,array_named,4096,1,32,663965.625,377272.000,4096,4096,4096,0,true
current,3,quoted_and_comments,2,1,2048,5918.652,1240.000,2,2,2,0,true
current,3,array_named,1024,1,151,180153.642,99616.000,1024,1024,1024,0,true
current,3,geometric_cast,1,1,2048,3631.006,1040.000,1,1,1,0,true
current,3,where_positional,128,1,2048,139044.678,32344.000,128,128,128,0,true
current,3,array_named,256,1,482,11480.083,26008.000,256,256,256,0,true
current,3,array_mybatis,1024,1,109,94870.642,206160.000,1024,1024,1024,0,true
current,3,no_parameters,0,1,2048,878.223,1040.000,0,0,0,0,true
current,3,json_operator,1,1,2048,1304.590,1176.000,1,1,1,0,true
current,3,where_mybatis,16,1,2048,9561.816,15688.000,16,16,16,0,true
current,3,array_positional,256,1,2081,2341.230,4216.000,256,256,256,0,true
current,3,array_mybatis,256,1,415,23579.036,52680.000,256,256,256,0,true
current,3,deep_unary,4096,1,26,454434.615,191048.000,1,1,1,0,true
current,3,where_positional,16,1,2048,5789.551,4096.000,16,16,16,0,true
current,3,bare_concat,256,1,680,13323.529,10472.000,256,256,256,0,true
current,3,json_constructor,1,1,2048,1209.717,1192.000,1,1,1,0,true
current,3,where_named,16,1,2048,5369.629,8816.000,16,16,16,0,true
current,3,array_mybatis,4096,1,28,379550.000,803304.000,4096,4096,4096,0,true
current,3,array_positional,8192,1,162,50408.642,149042.617,8192,8192,8192,0,true
current,3,bare_concat,1024,1,184,50395.109,52289.261,1024,1024,1024,0,true
current,3,where_named,2,1,2048,1145.752,1888.000,2,2,2,0,true
current,3,join_positional,4,1,2048,3376.074,3192.000,4,4,4,0,true
current,3,deep_unary,8192,1,13,801584.615,460392.615,1,1,1,0,true
current,3,deep_unary,1024,1,89,106504.494,52744.539,1,1,1,0,true
current,3,array_named,8192,1,19,404526.316,858687.579,8192,8192,8192,0,true
current,3,array_positional,1024,1,1318,10511.002,13924.461,1024,1024,1024,0,true
current,3,join_mybatis,4,1,2048,4162.744,5680.000,4,4,4,0,true
current,3,bare_concat,4096,1,33,204112.121,177776.000,4096,4096,4096,0,true
current,3,join_named,4,1,2048,3099.414,3768.000,4,4,4,0,true
current,3,where_positional,2,1,2048,1276.123,1384.000,2,2,2,0,true
current,3,jdbc_escape,1,1,2048,1371.484,1176.000,1,1,1,0,true
current,3,array_positional,4096,1,427,24954.333,50776.000,4096,4096,4096,0,true
current,3,bare_concat,8192,1,25,407516.000,504735.040,8192,8192,8192,0,true
current,3,where_mybatis,2,1,2048,1762.695,2696.020,2,2,2,0,true
current,3,array_mybatis,8192,1,14,777235.714,1710394.857,8192,8192,8192,0,true
current,3,deep_unary,1024,2,89,103287.640,52744.539,1,1,1,0,true
current,3,array_positional,8192,2,162,54558.642,149042.617,8192,8192,8192,0,true
current,3,array_named,8192,2,19,399284.211,859552.000,8192,8192,8192,0,true
current,3,bare_concat,8192,2,25,404420.000,505392.000,8192,8192,8192,0,true
current,3,array_mybatis,1024,2,109,92844.037,206310.679,1024,1024,1024,0,true
current,3,quoted_and_comments,2,2,2048,1523.877,1240.000,2,2,2,0,true
current,3,where_positional,2,2,2048,1278.223,1384.000,2,2,2,0,true
current,3,array_positional,4096,2,427,24123.653,50776.000,4096,4096,4096,0,true
current,3,array_mybatis,8192,2,14,747435.714,1710394.857,8192,8192,8192,0,true
current,3,array_named,256,2,482,11675.934,26042.075,256,256,256,0,true
current,3,array_mybatis,256,2,415,24476.627,52680.000,256,256,256,0,true
current,3,join_positional,4,2,2048,3430.957,3192.000,4,4,4,0,true
current,3,where_named,16,2,2048,6155.371,8816.000,16,16,16,0,true
current,3,where_named,2,2,2048,1163.037,1888.000,2,2,2,0,true
current,3,array_mybatis,4096,2,28,370657.143,803304.000,4096,4096,4096,0,true
current,3,array_positional,256,2,2081,2146.660,4216.000,256,256,256,0,true
current,3,json_operator,1,2,2048,1343.848,1176.000,1,1,1,0,true
current,3,jdbc_escape,1,2,2048,1305.713,1176.000,1,1,1,0,true
current,3,deep_unary,256,2,314,29333.758,12936.000,1,1,1,0,true
current,3,bare_concat,1024,2,184,53629.348,52200.000,1024,1024,1024,0,true
current,3,geometric_cast,1,2,2048,999.902,1040.000,1,1,1,0,true
current,3,where_positional,128,2,2048,40632.910,32344.000,128,128,128,0,true
current,3,no_parameters,0,2,2048,1106.689,1040.000,0,0,0,0,true
current,3,where_mybatis,2,2,2048,1844.189,2688.000,2,2,2,0,true
current,3,deep_unary,4096,2,26,400892.308,191048.000,1,1,1,0,true
current,3,join_named,4,2,2048,2973.730,3768.000,4,4,4,0,true
current,3,bare_concat,256,2,680,12654.412,10472.000,256,256,256,0,true
current,3,json_constructor,1,2,2048,1355.029,1192.000,1,1,1,0,true
current,3,array_named,1024,2,151,45439.735,99616.000,1024,1024,1024,0,true
current,3,where_mybatis,16,2,2048,9505.566,15688.000,16,16,16,0,true
current,3,bare_concat,4096,2,33,214281.818,177776.000,4096,4096,4096,0,true
current,3,array_named,4096,2,32,190496.875,377272.000,4096,4096,4096,0,true
current,3,array_positional,1024,2,1318,7253.794,13912.000,1024,1024,1024,0,true
current,3,where_positional,16,2,2048,5366.797,4096.000,16,16,16,0,true
current,3,deep_unary,8192,2,13,804138.462,460392.615,1,1,1,0,true
current,3,join_mybatis,4,2,2048,4417.676,5688.020,4,4,4,0,true
current,3,deep_unary,1024,3,89,102565.169,52560.000,1,1,1,0,true
current,3,array_mybatis,256,3,415,25131.325,52680.000,256,256,256,0,true
current,3,array_mybatis,1024,3,109,92135.780,206160.000,1024,1024,1024,0,true
current,3,quoted_and_comments,2,3,2048,1532.373,1240.000,2,2,2,0,true
current,3,deep_unary,4096,3,26,452384.615,191048.000,1,1,1,0,true
current,3,array_named,256,3,482,12619.087,26008.000,256,256,256,0,true
current,3,where_positional,2,3,2048,1284.033,1384.000,2,2,2,0,true
current,3,where_positional,128,3,2048,40384.473,32344.000,128,128,128,0,true
current,3,array_mybatis,8192,3,14,775850.000,1710394.857,8192,8192,8192,0,true
current,3,where_named,2,3,2048,1150.928,1896.020,2,2,2,0,true
current,3,where_positional,16,3,2048,6027.637,4096.000,16,16,16,0,true
current,3,join_positional,4,3,2048,3499.023,3192.000,4,4,4,0,true
current,3,bare_concat,4096,3,33,198312.121,177776.000,4096,4096,4096,0,true
current,3,deep_unary,8192,3,13,961938.462,460392.615,1,1,1,0,true
current,3,where_named,16,3,2048,5558.203,8824.020,16,16,16,0,true
current,3,jdbc_escape,1,3,2048,1393.408,1176.000,1,1,1,0,true
current,3,array_positional,256,3,2081,2357.280,4216.000,256,256,256,0,true
current,3,json_operator,1,3,2048,1499.854,1176.000,1,1,1,0,true
current,3,where_mybatis,16,3,2048,10240.674,15688.000,16,16,16,0,true
current,3,deep_unary,256,3,314,30782.803,12936.000,1,1,1,0,true
current,3,bare_concat,256,3,680,13140.882,10472.000,256,256,256,0,true
current,3,bare_concat,8192,3,25,425920.000,504735.040,8192,8192,8192,0,true
current,3,array_named,4096,3,32,193775.000,377785.250,4096,4096,4096,0,true
current,3,where_mybatis,2,3,2048,1793.164,2688.000,2,2,2,0,true
current,3,array_named,1024,3,151,53798.013,99616.000,1024,1024,1024,0,true
current,3,bare_concat,1024,3,184,59616.848,52200.000,1024,1024,1024,0,true
current,3,array_positional,8192,3,162,52464.198,149042.617,8192,8192,8192,0,true
current,3,array_positional,4096,3,427,26255.738,50814.464,4096,4096,4096,0,true
current,3,join_named,4,3,2048,2948.389,3768.000,4,4,4,0,true
current,3,no_parameters,0,3,2048,891.650,1040.000,0,0,0,0,true
current,3,array_named,8192,3,19,393857.895,858687.579,8192,8192,8192,0,true
current,3,geometric_cast,1,3,2048,1029.980,1048.020,1,1,1,0,true
current,3,array_mybatis,4096,3,28,379821.429,803304.000,4096,4096,4096,0,true
current,3,json_constructor,1,3,2048,1148.584,1192.000,1,1,1,0,true
current,3,array_positional,1024,3,1318,6754.325,13912.000,1024,1024,1024,0,true
current,3,join_mybatis,4,3,2048,4244.824,5680.000,4,4,4,0,true
current,3,array_mybatis,4096,4,28,432964.286,803304.000,4096,4096,4096,0,true
current,3,jdbc_escape,1,4,2048,2808.838,1176.000,1,1,1,0,true
current,3,join_mybatis,4,4,2048,6773.633,5680.000,4,4,4,0,true
current,3,no_parameters,0,4,2048,887.842,1040.000,0,0,0,0,true
current,3,array_named,8192,4,19,392289.474,858687.579,8192,8192,8192,0,true
current,3,array_named,256,4,482,11543.776,26042.075,256,256,256,0,true
current,3,json_constructor,1,4,2048,1152.100,1192.000,1,1,1,0,true
current,3,where_positional,2,4,2048,1263.428,1384.000,2,2,2,0,true
current,3,array_named,4096,4,32,189696.875,377272.000,4096,4096,4096,0,true
current,3,array_named,1024,4,151,45382.781,99616.000,1024,1024,1024,0,true
current,3,deep_unary,256,4,314,28973.567,12936.000,1,1,1,0,true
current,3,array_mybatis,1024,4,109,101100.000,206160.000,1024,1024,1024,0,true
current,3,bare_concat,1024,4,184,53033.696,52200.000,1024,1024,1024,0,true
current,3,where_positional,128,4,2048,40338.379,32344.000,128,128,128,0,true
current,3,deep_unary,4096,4,26,410661.538,191048.000,1,1,1,0,true
current,3,where_mybatis,2,4,2048,1742.383,2688.000,2,2,2,0,true
current,3,join_named,4,4,2048,2954.199,3768.000,4,4,4,0,true
current,3,json_operator,1,4,2048,1309.619,1176.000,1,1,1,0,true
current,3,join_positional,4,4,2048,3561.768,3192.000,4,4,4,0,true
current,3,bare_concat,4096,4,33,189390.909,177776.000,4096,4096,4096,0,true
current,3,bare_concat,256,4,680,12565.735,10472.000,256,256,256,0,true
current,3,array_mybatis,8192,4,14,756114.286,1710394.857,8192,8192,8192,0,true
current,3,geometric_cast,1,4,2048,1001.953,1048.020,1,1,1,0,true
current,3,where_positional,16,4,2048,5472.998,4096.000,16,16,16,0,true
current,3,array_mybatis,256,4,415,23240.723,52680.000,256,256,256,0,true
current,3,deep_unary,8192,4,13,838730.769,460392.615,1,1,1,0,true
current,3,deep_unary,1024,4,89,102459.551,52744.539,1,1,1,0,true
current,3,bare_concat,8192,4,25,418660.000,504735.040,8192,8192,8192,0,true
current,3,where_named,16,4,2048,5210.303,8824.020,16,16,16,0,true
