version,fork,shape,size,round,operations,ns_per_op,bytes_per_op,expected,min_count,max_count,errors,semantic_match
before,2,array_named,8192,1,17,524776.471,987472.000,8192,8192,8192,0,true
before,2,where_mybatis,16,1,2048,12750.635,18048.020,16,16,16,0,true
before,2,deep_unary,8192,1,11,990181.818,1201293.091,1,1,1,0,true
before,2,bare_concat,256,1,177,35581.921,10612.791,256,256,256,0,true
before,2,deep_unary,1024,1,50,192798.000,145400.000,1,1,1,0,true
before,2,where_positional,128,1,2048,56933.398,39944.000,128,128,128,0,true
before,2,where_positional,16,1,2048,9348.438,5680.000,16,16,16,0,true
before,2,array_named,256,1,197,13945.178,26440.000,256,256,256,0,true
before,2,quoted_and_comments,2,1,2048,2791.943,1432.000,2,2,2,0,true
before,2,join_mybatis,4,1,2048,5984.180,6688.000,4,4,4,0,true
before,2,where_named,16,1,2048,7034.961,9632.000,16,16,16,0,true
before,2,deep_unary,256,1,179,43970.391,37560.000,1,1,1,0,true
before,2,json_operator,1,1,2048,1976.855,1320.000,1,1,1,0,true
before,2,jdbc_escape,1,1,2048,1633.154,1368.000,1,1,1,0,true
before,2,array_named,4096,1,16,261106.250,453056.000,4096,4096,4096,0,true
before,2,array_mybatis,1024,1,42,102969.048,280920.000,1024,1024,1024,0,true
before,2,array_positional,1024,1,1345,8063.569,14968.000,1024,1024,1024,0,true
before,2,array_mybatis,256,1,176,32801.705,58232.000,256,256,256,0,true
before,2,array_mybatis,8192,1,14,1101607.143,2165994.857,8192,8192,8192,0,true
before,2,bare_concat,4096,1,14,204114.286,159245.143,4096,4096,4096,0,true
before,2,where_named,2,1,2048,1403.125,2032.000,2,2,2,0,true
before,2,geometric_cast,1,1,2048,1210.059,1088.000,1,1,1,0,true
before,2,array_mybatis,4096,1,21,424471.429,1037720.000,4096,4096,4096,0,true
before,2,join_positional,4,1,2048,4360.449,4008.000,4,4,4,0,true
before,2,array_named,1024,1,63,65865.079,104680.000,1024,1024,1024,0,true
before,2,array_positional,8192,1,139,68720.863,213633.842,8192,8192,8192,0,true
before,2,where_mybatis,2,1,2048,2447.998,3032.020,2,2,2,0,true
before,2,bare_concat,1024,1,53,53860.377,46440.000,1024,1024,1024,0,true
before,2,deep_unary,4096,1,22,623963.636,576664.000,1,1,1,0,true
before,2,bare_concat,8192,1,7,401171.429,448413.714,8192,8192,8192,0,true
before,2,no_parameters,0,1,2048,1110.059,1192.020,0,0,0,0,true
before,2,array_positional,4096,1,378,25086.508,57976.000,4096,4096,4096,0,true
before,2,where_positional,2,1,2048,1524.219,1624.000,2,2,2,0,true
before,2,join_named,4,1,2048,3567.578,4392.000,4,4,4,0,true
before,2,array_positional,256,1,594,2331.987,4216.000,256,256,256,0,true
before,2,json_constructor,1,1,2048,1339.404,1336.000,1,1,1,0,true
before,2,deep_unary,256,2,179,31358.659,37560.000,1,1,1,0,true
before,2,array_positional,1024,2,1345,6922.156,14968.000,1024,1024,1024,0,true
