version,fork,shape,size,round,operations,ns_per_op,bytes_per_op,expected,min_count,max_count,errors,semantic_match
current,1,array_positional,4096,1,415,24188.675,58015.576,4096,4096,4096,0,true
current,1,array_mybatis,1024,1,99,89854.545,231656.000,1024,1024,1024,0,true
current,1,quoted_and_comments,2,1,2048,1479.541,1192.000,2,2,2,0,true
current,1,array_named,4096,1,50,188942.000,403840.000,4096,4096,4096,0,true
current,1,no_parameters,0,1,2048,888.379,1040.000,0,0,0,0,true
current,1,where_positional,16,1,2048,5189.551,4096.000,16,16,16,0,true
current,1,deep_unary,256,1,344,28420.930,12936.000,1,1,1,0,true
current,1,array_positional,1024,1,1447,6698.618,14968.000,1024,1024,1024,0,true
current,1,array_named,256,1,498,11368.675,26440.000,256,256,256,0,true
current,1,json_constructor,1,1,2048,1140.723,1192.000,1,1,1,0,true
current,1,where_positional,128,1,2048,38664.307,27608.000,128,128,128,0,true
current,1,array_mybatis,8192,1,11,773981.818,1929106.909,8192,8192,8192,0,true
current,1,geometric_cast,1,1,2048,972.119,1048.020,1,1,1,0,true
current,1,array_positional,8192,1,142,70071.831,164560.000,8192,8192,8192,0,true
current,1,where_mybatis,2,1,2048,6684.033,2696.020,2,2,2,0,true
current,1,bare_concat,256,1,659,51904.552,10472.000,256,256,256,0,true
current,1,where_positional,2,1,2048,5260.742,1384.000,2,2,2,0,true
current,1,deep_unary,4096,1,25,1327480.000,183400.000,1,1,1,0,true
current,1,array_positional,256,1,2157,3899.119,4216.000,256,256,256,0,true
current,1,where_named,16,1,2048,25789.111,8816.000,16,16,16,0,true
current,1,bare_concat,1024,1,188,95417.021,46392.000,1024,1024,1024,0,true
current,1,join_positional,4,1,2048,3334.619,3192.000,4,4,4,0,true
current,1,deep_unary,8192,1,12,833983.333,413023.333,1,1,1,0,true
current,1,array_mybatis,4096,1,14,386207.143,912917.143,4096,4096,4096,0,true
current,1,where_named,2,1,2048,1199.854,1888.000,2,2,2,0,true
current,1,array_mybatis,256,1,338,22816.272,58184.000,256,256,256,0,true
current,1,jdbc_escape,1,1,2048,1321.484,1176.000,1,1,1,0,true
current,1,bare_concat,8192,1,23,405695.652,449997.913,8192,8192,8192,0,true
current,1,array_named,8192,1,22,412631.818,914792.000,8192,8192,8192,0,true
current,1,deep_unary,1024,1,80,104222.500,47253.300,1,1,1,0,true
current,1,bare_concat,4096,1,52,202238.462,158024.000,4096,4096,4096,0,true
current,1,array_named,1024,1,197,47810.152,104680.000,1024,1024,1024,0,true
current,1,join_mybatis,4,1,2048,4386.182,5632.000,4,4,4,0,true
current,1,json_operator,1,1,2048,1549.805,1176.000,1,1,1,0,true
current,1,where_mybatis,16,1,2048,9248.682,15640.000,16,16,16,0,true
current,1,join_named,4,1,2048,2862.109,3768.000,4,4,4,0,true
current,1,array_named,1024,2,197,46620.812,104680.000,1024,1024,1024,0,true
current,1,join_positional,4,2,2048,3374.170,3192.000,4,4,4,0,true
current,1,where_named,2,2,2048,1146.875,1888.000,2,2,2,0,true
current,1,deep_unary,256,2,344,29303.198,12936.000,1,1,1,0,true
current,1,array_mybatis,1024,2,99,86981.818,231656.000,1024,1024,1024,0,true
current,1,bare_concat,1024,2,188,52271.809,46392.000,1024,1024,1024,0,true
current,1,array_positional,8192,2,142,72591.549,164420.338,8192,8192,8192,0,true
current,1,join_named,4,2,2048,2855.762,3776.020,4,4,4,0,true
current,1,json_constructor,1,2,2048,1131.982,1192.000,1,1,1,0,true
current,1,array_mybatis,4096,2,14,385471.429,911744.000,4096,4096,4096,0,true
current,1,bare_concat,4096,2,52,188253.846,158024.000,4096,4096,4096,0,true
current,1,where_positional,128,2,2048,38427.295,27608.000,128,128,128,0,true
current,1,deep_unary,4096,2,25,400544.000,183400.000,1,1,1,0,true
current,1,array_named,8192,2,22,377390.909,914045.455,8192,8192,8192,0,true
current,1,array_mybatis,8192,2,11,735500.000,1930600.000,8192,8192,8192,0,true
current,1,array_positional,256,2,2157,2354.659,4223.614,256,256,256,0,true
current,1,array_positional,1024,2,1447,6897.996,14968.000,1024,1024,1024,0,true
current,1,deep_unary,8192,2,12,815691.667,413023.333,1,1,1,0,true
current,1,bare_concat,256,2,659,12119.575,10496.923,256,256,256,0,true
current,1,no_parameters,0,2,2048,885.889,1040.000,0,0,0,0,true
current,1,array_mybatis,256,2,338,23755.325,58184.000,256,256,256,0,true
current,1,bare_concat,8192,2,23,404165.217,449997.913,8192,8192,8192,0,true
current,1,where_positional,16,2,2048,5270.605,4104.020,16,16,16,0,true
current,1,array_positional,4096,2,415,24218.313,57976.000,4096,4096,4096,0,true
current,1,array_named,4096,2,50,191484.000,403840.000,4096,4096,4096,0,true
current,1,geometric_cast,1,2,2048,1021.924,1040.000,1,1,1,0,true
current,1,array_named,256,2,498,11262.249,26440.000,256,256,256,0,true
current,1,deep_unary,1024,2,80,100418.750,47048.000,1,1,1,0,true
current,1,where_mybatis,16,2,2048,8943.018,15640.000,16,16,16,0,true
