version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
baseline,1,read_insert_literal,1,3305,6089.622,7424.000,true
baseline,1,end_quote,1,2596,9395.069,0.000,true
baseline,1,classify_insert,1,52776,698.751,896.000,true
baseline,1,select_cte,1,5801,4466.351,4896.000,true
baseline,1,index_near_matches,1,8,4946862.500,3275376.000,true
baseline,1,index_early,1,116704,264.280,120.000,true
baseline,1,read_insert_quoted_large,1,61,508636.066,110528.000,true
baseline,1,read_insert_simple,1,1399,14520.443,16928.000,true
baseline,1,read_insert,1,126155,117.696,224.000,true
baseline,1,read_cte,1,1473,20626.680,20064.000,true
baseline,1,tokenize_dense_concat_8192,1,64,505926.563,61720.000,true
baseline,1,read_insert_hash,1,7,4121457.143,2562784.000,true
baseline,1,next_trivia,1,158094,183.904,48.000,true
baseline,1,index_late,1,177,123556.497,64616.000,true
baseline,1,read_insert_comments,1,608,41712.500,33664.000,true
baseline,1,read_comments,1,256,24147.656,16448.000,true
baseline,1,read_insert_insert,1,3892,6081.937,7168.000,true
baseline,1,read_simple,1,4111,6807.127,7392.000,true
baseline,1,index_quoted,1,313,93737.380,17664.000,true
baseline,1,classify_update,1,57735,594.722,864.000,true
baseline,1,read_insert_mysql_dash,1,42452,345.875,544.000,true
baseline,1,select_ambiguous,1,45512,504.586,1056.000,true
baseline,1,select_parenthesized,1,46557,444.762,896.000,true
baseline,1,read_large,1,129,149983.721,140992.000,true
baseline,1,read_multiple,1,5235,2541.261,4352.000,true
baseline,1,next_custom,1,160118,191.903,48.000,false
baseline,1,next_word,1,243493,89.435,48.000,true
baseline,1,index_composite_comments,1,31087,757.120,792.000,true
baseline,1,index_hash,1,171,136749.708,128880.000,true
baseline,1,tokenize_hash_identifiers,1,333,65567.568,65528.000,true
baseline,1,tokenize_backslashes,1,28417,363.399,488.000,true
baseline,1,walk_bounds_comments,1,7119,3111.603,0.000,true
baseline,1,read_executable_comment,1,175081,114.615,248.000,true
baseline,1,read_insert_cte,1,868,25773.502,34976.000,true
baseline,1,read_literal,1,4952,3386.652,4032.000,true
baseline,1,read_insert_mutation,1,67024,357.772,520.000,true
baseline,1,walk_tokens_hash,1,59,251823.729,255456.000,true
baseline,1,config_default,1,7961,3125.110,9880.000,true
baseline,1,read_insert_multiple,1,5530,3768.499,6208.000,true
baseline,1,next_hash,1,55292,401.995,336.000,true
baseline,1,read_insert_upsert,1,10049,2244.313,2696.000,true
baseline,1,read_mysql_dash,1,62900,371.779,544.000,true
baseline,1,walk_tokens_simple,1,6954,2072.893,816.000,true
baseline,1,tokenize_dense_concat_4096,1,128,166257.813,31000.000,true
baseline,1,classify_replace,1,166066,126.836,192.000,true
baseline,1,index_whitespace,1,223688,107.920,72.000,true
baseline,1,tokenize_mybatis,1,4027,5955.029,5752.000,true
baseline,1,end_hash,1,54552,523.270,288.000,true
baseline,1,select_quotes,1,45451,527.137,960.000,true
baseline,1,end_empty,1,262144,40.769,0.000,true
baseline,1,select_simple,1,24735,722.304,1440.000,true
baseline,1,index_missing,1,331,67954.079,50728.000,true
baseline,1,tokenize_dense_concat_256,1,1572,12111.005,2200.000,true
baseline,1,tokenize_tiny,1,262144,104.218,200.000,true
baseline,1,walk_bounds_simple,1,28050,898.652,0.000,true
baseline,1,tokenize_comments,1,4998,29434.954,2464.000,true
baseline,1,index_sensitive,1,47237,601.109,480.000,true
baseline,1,index_custom_composite,1,11971,1285.874,792.000,true
