version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
baseline-control,2,next_quote,1,623,58591.011,8760.000,true
baseline-control,2,index_from_inside_quote,1,62177,659.953,512.000,true
baseline-control,2,read_insert_upsert,1,9838,3915.379,2696.000,true
baseline-control,2,config_custom,1,4040,4767.351,10288.000,true
baseline-control,2,read_insert_multiple,1,5266,7230.649,6208.000,true
baseline-control,2,select_ambiguous,1,49054,802.063,1056.000,true
baseline-control,2,read_comments,1,286,36186.713,16448.000,true
baseline-control,2,tokenize_hash_rows,1,12,3043300.000,331144.000,true
baseline-control,2,read_literal,1,2134,7030.740,4032.000,true
baseline-control,2,tokenize_array,1,445,17344.719,4248.000,true
baseline-control,2,config_default,1,7163,4051.417,9880.000,true
baseline-control,2,read_simple,1,3949,10582.046,7392.000,true
baseline-control,2,tokenize_dense_concat_4096,1,98,345835.714,31000.000,true
baseline-control,2,index_sensitive,1,49962,669.763,600.000,true
baseline-control,2,index_composite_comments,1,32293,1002.034,864.000,true
baseline-control,2,walk_tokens_comments,1,2286,15462.686,1920.000,true
baseline-control,2,walk_tokens_large,1,155,216485.806,25792.000,true
baseline-control,2,tokenize_backslashes,1,5599,623.719,488.000,true
baseline-control,2,end_empty,1,262144,68.230,0.000,true
baseline-control,2,tokenize_dense_concat_256,1,481,18317.256,2200.000,true
baseline-control,2,end_quote,1,1818,13454.015,0.000,true
baseline-control,2,tokenize_dense_concat_8192,1,49,617822.449,61720.000,true
baseline-control,2,tokenize_simple,1,12045,1915.284,1216.000,true
baseline-control,2,walk_bounds_comments,1,4355,6651.573,0.000,true
baseline-control,2,read_insert_literal,1,3376,10757.909,7424.000,true
baseline-control,2,read_insert_hash,1,9,3566211.111,2562784.000,true
baseline-control,2,index_late,1,241,219656.846,77024.000,true
baseline-control,2,tokenize_unicode,1,11822,835.307,1088.000,true
baseline-control,2,read_insert_mysql_dash,1,61279,372.821,544.000,true
baseline-control,2,walk_bounds_large,1,308,75056.169,0.000,true
baseline-control,2,index_custom_composite,1,12363,2049.341,864.000,true
baseline-control,2,tokenize_custom,1,17559,2618.201,600.000,true
baseline-control,2,index_quoted,1,336,92783.929,17688.000,true
baseline-control,2,read_hash,1,10,2268460.000,1534112.000,true
baseline-control,2,next_custom,1,64836,278.057,48.000,false
baseline-control,2,tokenize_mybatis,1,3991,7441.819,5752.000,true
baseline-control,2,walk_tokens_hash,1,35,282171.429,255456.000,true
baseline-control,2,read_insert_simple,1,1117,18872.963,16928.000,true
baseline-control,2,tokenize_tiny,1,262144,151.678,200.000,true
baseline-control,2,select_cte,1,6663,3328.246,4896.000,true
baseline-control,2,index_composite,1,9713,3750.757,2592.000,true
baseline-control,2,next_empty,1,262144,55.872,0.000,true
baseline-control,2,read_mysql_dash,1,59191,379.855,544.000,true
baseline-control,2,index_near_matches,1,9,3681177.778,3287712.000,true
baseline-control,2,tokenize_long_quote,1,1069,62943.124,17672.000,true
baseline-control,2,walk_bounds_simple,1,17144,1566.776,0.000,true
baseline-control,2,tokenize_comments,1,4339,30184.605,2464.000,true
baseline-control,2,read_quoted_large,1,64,321946.875,107904.000,true
baseline-control,2,read_mutation,1,38919,409.756,520.000,true
baseline-control,2,next_word,1,228883,129.654,48.000,true
baseline-control,2,read_insert_insert,1,3328,6710.877,7168.000,true
baseline-control,2,classify_replace,1,84021,187.056,192.000,true
baseline-control,2,index_missing,1,459,110659.695,63112.000,true
baseline-control,2,tokenize_large,1,395,176581.266,38120.000,true
baseline-control,2,select_quotes,1,53113,453.706,960.000,true
baseline-control,2,classify_delete,1,28195,509.920,960.000,true
baseline-control,2,end_hash,1,25613,593.347,288.000,true
baseline-control,2,read_large,1,143,187258.741,140992.000,true
baseline-control,2,classify_update,1,35430,386.633,864.000,true
baseline-control,2,read_insert_cte,1,695,27460.576,34976.000,true
baseline-control,2,index_custom_separator,1,7771,2877.287,1112.000,false
baseline-control,2,read_insert_comments,1,581,36843.546,33664.000,true
baseline-control,2,tokenize_keep_comments,1,4674,4161.275,3504.000,true
baseline-control,2,read_upsert,1,113652,148.029,344.000,true
baseline-control,2,read_insert_large,1,44,339777.273,357376.000,true
baseline-control,2,tokenize_hash_identifiers,1,350,59545.143,65528.000,true
baseline-control,2,read_executable_comment,1,118928,131.535,248.000,true
baseline-control,2,read_multiple,1,5071,2641.175,4352.000,true
baseline-control,2,next_hash,1,40118,503.687,336.000,true
baseline-control,2,tokenize_dense_concat_1024,1,388,40989.175,7960.000,true
baseline-control,2,read_insert_executable_comment,1,180426,138.787,248.000,true
baseline-control,2,walk_bounds_hash,1,124,153631.452,127008.000,true
baseline-control,2,read_insert,1,201007,114.458,224.000,true
baseline-control,2,index_hash,1,177,183523.164,129240.000,true
baseline-control,2,next_trivia,1,198829,135.362,48.000,true
baseline-control,2,select_simple,1,26,1019.231,1440.000,true
baseline-control,2,read_cte,1,1403,15616.964,20064.000,true
baseline-control,2,select_parenthesized,1,33736,451.601,896.000,true
baseline-control,2,index_early,1,122700,182.573,120.000,true
baseline-control,2,end_trivia,1,262144,72.480,0.000,true
baseline-control,2,classify_insert,1,50752,380.082,896.000,true
baseline-control,2,read_insert_quoted_large,1,52,374838.462,110528.000,true
baseline-control,2,walk_tokens_simple,1,7488,2794.458,816.000,true
baseline-control,2,end_word,1,262144,35.675,0.000,true
baseline-control,2,read_insert_mutation,1,63610,324.399,520.000,true
baseline-control,2,index_whitespace,1,240358,87.901,96.000,true
baseline-control,2,end_custom,1,96049,260.455,0.000,true
baseline-control,2,read_comments,2,286,19820.629,16448.000,true
baseline-control,2,index_composite,2,9713,3077.566,2592.000,true
baseline-control,2,classify_replace,2,84021,126.645,192.000,true
baseline-control,2,select_simple,2,26,746.154,1440.000,true
baseline-control,2,read_literal,2,2134,4080.366,4032.000,true
baseline-control,2,read_insert_quoted_large,2,52,372073.077,110528.000,true
baseline-control,2,walk_bounds_simple,2,17144,1427.001,0.000,true
baseline-control,2,read_insert_large,2,44,312411.364,357376.000,true
baseline-control,2,read_insert_multiple,2,5266,4171.629,6208.000,true
baseline-control,2,end_word,2,262144,37.455,0.000,true
baseline-control,2,select_ambiguous,2,49054,457.255,1056.000,true
baseline-control,2,tokenize_simple,2,12045,1069.332,1216.000,true
baseline-control,2,tokenize_hash_rows,2,12,1923108.333,331144.000,true
baseline-control,2,end_hash,2,25613,455.308,288.000,true
baseline-control,2,walk_tokens_large,2,155,138139.355,25792.000,true
baseline-control,2,next_custom,2,64836,196.203,48.000,false
baseline-control,2,walk_bounds_large,2,308,74052.273,0.000,true
baseline-control,2,read_multiple,2,5071,2779.669,4352.000,true
baseline-control,2,read_insert_mutation,2,63610,360.283,520.000,true
baseline-control,2,next_hash,2,40118,577.379,336.000,true
baseline-control,2,end_trivia,2,262144,78.415,0.000,true
baseline-control,2,index_near_matches,2,9,2599755.556,3287712.000,true
baseline-control,2,read_executable_comment,2,118928,110.970,248.000,true
baseline-control,2,index_custom_separator,2,7771,2656.595,1112.000,false
baseline-control,2,index_whitespace,2,240358,101.182,96.000,true
baseline-control,2,tokenize_dense_concat_4096,2,98,173188.776,31000.000,true
baseline-control,2,walk_tokens_comments,2,2286,9597.200,1920.000,true
baseline-control,2,classify_insert,2,50752,404.928,896.000,true
baseline-control,2,index_quoted,2,336,65659.821,17688.000,true
baseline-control,2,read_mutation,2,38919,312.328,520.000,true
baseline-control,2,select_cte,2,6663,2775.642,4896.000,true
baseline-control,2,tokenize_hash_identifiers,2,350,59534.286,65528.000,true
baseline-control,2,tokenize_array,2,445,9605.393,4248.000,true
baseline-control,2,read_large,2,143,172394.406,140992.000,true
baseline-control,2,config_default,2,7163,3274.243,9880.000,true
baseline-control,2,next_quote,2,623,33667.897,8760.000,true
baseline-control,2,read_insert_upsert,2,9838,2303.486,2696.000,true
baseline-control,2,index_custom_composite,2,12363,1928.642,864.000,true
baseline-control,2,select_parenthesized,2,33736,477.789,896.000,true
baseline-control,2,next_word,2,228883,94.328,48.000,true
baseline-control,2,index_early,2,122700,178.492,120.000,true
baseline-control,2,read_insert,2,201007,119.110,224.000,true
baseline-control,2,read_insert_literal,2,3376,7806.694,7424.000,true
baseline-control,2,tokenize_comments,2,4339,3484.881,2464.000,true
baseline-control,2,classify_update,2,35430,419.046,864.000,true
baseline-control,2,read_cte,2,1403,19543.407,20064.000,true
baseline-control,2,read_upsert,2,113652,243.573,344.000,true
baseline-control,2,read_insert_executable_comment,2,180426,204.586,248.000,true
baseline-control,2,tokenize_keep_comments,2,4674,6910.013,3504.000,true
baseline-control,2,select_quotes,2,53113,634.724,960.000,true
baseline-control,2,end_empty,2,262144,47.157,0.000,true
baseline-control,2,read_insert_insert,2,3328,6301.563,7168.000,true
baseline-control,2,read_insert_hash,2,9,3231322.222,2562784.000,true
baseline-control,2,read_hash,2,10,1990240.000,1534112.000,true
baseline-control,2,walk_bounds_hash,2,124,154829.839,127008.000,true
baseline-control,2,tokenize_unicode,2,11822,1001.024,1088.000,true
baseline-control,2,tokenize_mybatis,2,3991,6157.755,5752.000,true
baseline-control,2,read_simple,2,3949,6542.466,7392.000,true
baseline-control,2,index_from_inside_quote,2,62177,372.323,512.000,true
baseline-control,2,next_empty,2,262144,72.860,0.000,true
baseline-control,2,end_quote,2,1818,11756.656,0.000,true
baseline-control,2,walk_bounds_comments,2,4355,5636.326,0.000,true
baseline-control,2,tokenize_dense_concat_1024,2,388,55952.062,7960.000,true
baseline-control,2,config_custom,2,4040,3105.248,10288.000,true
baseline-control,2,tokenize_dense_concat_8192,2,49,344434.694,61720.000,true
baseline-control,2,read_insert_comments,2,581,47287.435,33664.000,true
baseline-control,2,classify_delete,2,28195,545.178,960.000,true
baseline-control,2,tokenize_backslashes,2,5599,419.825,488.000,true
baseline-control,2,index_sensitive,2,49962,447.884,600.000,true
baseline-control,2,index_missing,2,459,84453.595,63112.000,true
baseline-control,2,index_hash,2,177,122343.503,129240.000,true
baseline-control,2,tokenize_custom,2,17559,1664.548,600.000,true
baseline-control,2,tokenize_long_quote,2,1069,48178.859,17672.000,true
baseline-control,2,index_late,2,241,160240.664,77024.000,true
baseline-control,2,tokenize_large,2,395,72513.924,38120.000,true
baseline-control,2,read_mysql_dash,2,59191,415.077,544.000,true
baseline-control,2,walk_tokens_hash,2,35,235880.000,255456.000,true
baseline-control,2,read_quoted_large,2,64,274735.938,107904.000,true
baseline-control,2,end_custom,2,96049,229.046,0.000,true
baseline-control,2,read_insert_mysql_dash,2,61279,414.571,544.000,true
baseline-control,2,tokenize_dense_concat_256,2,481,13519.543,2200.000,true
baseline-control,2,walk_tokens_simple,2,7488,3569.431,816.000,true
baseline-control,2,read_insert_simple,2,1117,17377.350,16928.000,true
baseline-control,2,next_trivia,2,198829,153.537,48.000,true
baseline-control,2,index_composite_comments,2,32293,780.742,864.000,true
baseline-control,2,tokenize_tiny,2,262144,115.658,200.000,true
baseline-control,2,read_insert_cte,2,695,28245.899,34976.000,true
baseline-control,2,classify_delete,3,28195,458.032,960.000,true
baseline-control,2,index_custom_separator,3,7771,3454.819,1112.000,false
baseline-control,2,read_quoted_large,3,64,458992.188,107904.000,true
baseline-control,2,index_custom_composite,3,12363,2321.613,864.000,true
baseline-control,2,index_missing,3,459,80243.355,63112.000,true
baseline-control,2,read_large,3,143,163636.364,140992.000,true
baseline-control,2,index_hash,3,177,159852.542,129240.000,true
baseline-control,2,index_from_inside_quote,3,62177,461.048,512.000,true
baseline-control,2,tokenize_unicode,3,11822,1023.406,1088.000,true
baseline-control,2,tokenize_long_quote,3,1069,56993.452,17672.000,true
baseline-control,2,tokenize_large,3,395,71171.392,38120.000,true
baseline-control,2,walk_tokens_large,3,155,189530.968,25792.000,true
baseline-control,2,tokenize_backslashes,3,5599,463.654,488.000,true
baseline-control,2,index_quoted,3,336,67012.500,17688.000,true
baseline-control,2,index_early,3,122700,228.151,120.000,true
baseline-control,2,end_quote,3,1818,8612.486,0.000,true
baseline-control,2,read_insert_upsert,3,9838,2078.888,2696.000,true
baseline-control,2,end_empty,3,262144,45.037,0.000,true
baseline-control,2,read_upsert,3,113652,201.685,344.000,true
baseline-control,2,read_insert_executable_comment,3,180426,157.738,248.000,true
baseline-control,2,read_insert_cte,3,695,39981.871,34976.000,true
baseline-control,2,tokenize_hash_rows,3,12,2145575.000,331144.000,true
baseline-control,2,read_literal,3,2134,3948.172,4032.000,true
baseline-control,2,index_sensitive,3,49962,482.707,600.000,true
baseline-control,2,read_insert_mysql_dash,3,61279,347.967,544.000,true
baseline-control,2,config_default,3,7163,3541.435,9880.000,true
baseline-control,2,read_hash,3,10,1480570.000,1534112.000,true
baseline-control,2,next_custom,3,64836,247.389,48.000,false
baseline-control,2,select_parenthesized,3,33736,637.195,896.000,true
baseline-control,2,read_insert_comments,3,581,41400.516,33664.000,true
baseline-control,2,tokenize_dense_concat_8192,3,49,448975.510,61720.000,true
baseline-control,2,walk_tokens_simple,3,7488,3399.866,816.000,true
baseline-control,2,walk_bounds_comments,3,4355,4758.163,0.000,true
baseline-control,2,tokenize_simple,3,12045,1513.823,1216.000,true
baseline-control,2,walk_tokens_hash,3,35,301231.429,255456.000,true
baseline-control,2,end_hash,3,25613,648.331,288.000,true
baseline-control,2,read_simple,3,3949,7474.854,7392.000,true
baseline-control,2,tokenize_mybatis,3,3991,6068.780,5752.000,true
baseline-control,2,index_near_matches,3,9,2771211.111,3287712.000,true
baseline-control,2,classify_insert,3,50752,542.457,896.000,true
baseline-control,2,tokenize_hash_identifiers,3,350,69510.571,65528.000,true
baseline-control,2,config_custom,3,4040,3153.639,10288.000,true
baseline-control,2,select_ambiguous,3,49054,598.202,1056.000,true
baseline-control,2,index_composite,3,9713,4579.213,2592.000,true
baseline-control,2,next_empty,3,262144,57.150,0.000,true
baseline-control,2,read_insert_literal,3,3376,7158.620,7424.000,true
baseline-control,2,select_quotes,3,53113,512.136,960.000,true
baseline-control,2,read_insert_quoted_large,3,52,441686.538,110528.000,true
baseline-control,2,walk_bounds_simple,3,17144,1289.273,0.000,true
baseline-control,2,read_insert_simple,3,1117,15787.556,16928.000,true
baseline-control,2,read_multiple,3,5071,4294.163,4352.000,true
baseline-control,2,select_simple,3,26,1226.923,1440.000,true
baseline-control,2,end_custom,3,96049,249.950,0.000,true
baseline-control,2,walk_bounds_hash,3,124,130547.581,127008.000,true
baseline-control,2,index_composite_comments,3,32293,912.068,864.000,true
baseline-control,2,tokenize_keep_comments,3,4674,5344.074,3504.000,true
baseline-control,2,next_trivia,3,198829,153.529,48.000,true
baseline-control,2,tokenize_custom,3,17559,1661.735,600.000,true
baseline-control,2,next_quote,3,623,32064.045,8760.000,true
baseline-control,2,tokenize_comments,3,4339,2919.866,2464.000,true
baseline-control,2,next_hash,3,40118,588.721,336.000,true
baseline-control,2,index_whitespace,3,240358,116.740,96.000,true
baseline-control,2,read_cte,3,1403,21101.283,20064.000,true
baseline-control,2,end_trivia,3,262144,74.557,0.000,true
baseline-control,2,index_late,3,241,200042.739,77024.000,true
baseline-control,2,tokenize_tiny,3,262144,128.432,200.000,true
baseline-control,2,read_insert_multiple,3,5266,4155.298,6208.000,true
baseline-control,2,tokenize_dense_concat_1024,3,388,45966.237,7960.000,true
baseline-control,2,read_insert,3,201007,105.356,224.000,true
baseline-control,2,tokenize_dense_concat_256,3,481,11422.453,2200.000,true
baseline-control,2,read_mysql_dash,3,59191,324.355,544.000,true
baseline-control,2,classify_update,3,35430,359.385,864.000,true
baseline-control,2,read_comments,3,286,19994.406,16448.000,true
baseline-control,2,read_insert_insert,3,3328,4620.313,7168.000,true
baseline-control,2,read_mutation,3,38919,308.019,520.000,true
baseline-control,2,end_word,3,262144,35.270,0.000,true
baseline-control,2,read_insert_mutation,3,63610,324.501,520.000,true
baseline-control,2,classify_replace,3,84021,127.876,192.000,true
baseline-control,2,read_executable_comment,3,118928,109.641,248.000,true
baseline-control,2,next_word,3,228883,81.886,48.000,true
baseline-control,2,read_insert_hash,3,9,3410566.667,2562784.000,true
baseline-control,2,tokenize_dense_concat_4096,3,98,186365.306,31000.000,true
