version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
before,1,read_insert_literal,1,1769,9660.430,8048.000,true
before,1,end_quote,1,1698,17136.867,48.000,true
before,1,classify_insert,1,49968,516.617,1136.000,true
before,1,select_cte,1,8144,2606.078,4944.000,true
before,1,index_near_matches,1,387,53685.788,80544.000,true
before,1,index_early,1,132183,167.216,264.000,true
before,1,read_insert_quoted_large,1,32,499656.250,251280.000,true
before,1,read_insert_simple,1,1416,17276.271,20816.000,true
before,1,read_insert,1,151574,130.474,320.000,true
before,1,read_cte,1,716,18706.704,24368.000,true
before,1,tokenize_dense_concat_8192,1,121,179319.008,61720.000,true
before,1,read_insert_hash,1,213,129553.521,98072.000,true
before,1,next_trivia,1,232431,132.080,96.000,true
before,1,index_late,1,847,30004.250,32560.000,true
before,1,read_insert_comments,1,334,45326.347,46416.000,true
before,1,read_comments,1,224,28103.125,29200.000,true
before,1,read_insert_insert,1,2942,6414.786,8368.000,true
before,1,read_simple,1,2295,12463.791,11280.000,true
before,1,index_quoted,1,305,108916.393,17736.000,true
before,1,classify_update,1,47878,577.973,1104.000,true
before,1,read_insert_mysql_dash,1,36415,420.829,736.000,true
before,1,select_ambiguous,1,45552,546.929,1296.000,true
before,1,select_parenthesized,1,29327,605.694,1136.000,true
before,1,read_large,1,103,288000.000,236816.000,true
before,1,read_multiple,1,7226,2986.604,5360.000,true
before,1,next_custom,1,262144,42.361,96.000,true
before,1,next_word,1,262144,71.106,96.000,true
before,1,index_composite_comments,1,44205,461.724,720.000,true
before,1,index_hash,1,2315,9850.108,16304.000,true
before,1,tokenize_hash_identifiers,1,1965,8646.972,16576.000,true
before,1,tokenize_backslashes,1,73617,301.405,488.000,true
before,1,walk_bounds_comments,1,13015,1153.446,1920.000,true
before,1,read_executable_comment,1,123114,123.423,344.000,true
before,1,read_insert_cte,1,450,24874.667,38512.000,true
before,1,read_literal,1,4935,4648.956,5424.000,true
before,1,read_insert_mutation,1,56338,370.219,712.000,true
before,1,walk_tokens_hash,1,448,61765.179,89376.000,true
before,1,config_default,1,2790,4820.824,12528.000,true
before,1,read_insert_multiple,1,2202,4437.829,7216.000,true
before,1,next_hash,1,77488,191.604,392.000,true
before,1,read_insert_upsert,1,4479,2534.204,3368.000,true
before,1,read_mysql_dash,1,45310,457.811,736.000,true
before,1,walk_tokens_simple,1,9237,2235.217,2448.000,true
before,1,tokenize_dense_concat_4096,1,241,92319.087,31000.000,true
before,1,classify_replace,1,146045,129.706,240.000,true
before,1,index_whitespace,1,248478,85.229,120.000,true
before,1,tokenize_mybatis,1,6505,3455.065,5800.000,true
before,1,end_hash,1,133415,145.568,344.000,true
before,1,select_quotes,1,46153,446.751,1200.000,true
before,1,end_empty,1,262144,28.619,48.000,true
before,1,select_simple,1,38540,638.749,1680.000,true
before,1,index_missing,1,887,27509.583,32152.000,true
before,1,tokenize_dense_concat_256,1,3743,5664.013,2200.000,true
before,1,tokenize_tiny,1,226926,96.891,200.000,true
before,1,walk_bounds_simple,1,47008,402.419,816.000,true
before,1,tokenize_comments,1,2944,22810.394,2464.000,true
before,1,index_sensitive,1,54601,372.533,528.000,true
before,1,index_custom_composite,1,24807,805.434,888.000,true
before,1,read_insert_large,1,56,376248.214,453200.000,true
before,1,tokenize_unicode,1,17483,6001.584,1168.000,true
before,1,tokenize_array,1,7964,4868.358,4248.000,true
before,1,tokenize_large,1,991,164574.672,38120.000,true
before,1,tokenize_keep_comments,1,615,32170.569,3504.000,true
before,1,config_custom,1,2584,5162.500,13560.000,true
before,1,tokenize_dense_concat_1024,1,922,21060.304,7960.000,true
before,1,index_composite,1,23825,1063.475,1416.000,true
before,1,index_custom_separator,1,173776,148.911,216.000,true
before,1,walk_bounds_hash,1,809,24123.857,43968.000,true
before,1,tokenize_simple,1,38642,680.731,1216.000,true
before,1,read_mutation,1,39185,319.829,712.000,true
before,1,index_from_inside_quote,1,60695,449.769,464.000,true
before,1,next_quote,1,502,40031.873,8808.000,true
before,1,tokenize_custom,1,52893,566.807,632.000,true
before,1,classify_delete,1,48972,557.592,1200.000,true
before,1,next_empty,1,262144,45.399,48.000,true
before,1,tokenize_hash_rows,1,1563,11182.278,5768.000,true
before,1,read_insert_executable_comment,1,160979,125.518,344.000,true
before,1,read_upsert,1,89675,156.875,440.000,true
before,1,walk_tokens_large,1,372,66458.333,75328.000,true
before,1,end_word,1,262144,27.090,48.000,true
before,1,read_quoted_large,1,49,362387.755,248656.000,true
before,1,walk_tokens_comments,1,6345,3023.231,5760.000,true
before,1,read_hash,1,130,66695.385,85464.000,true
before,1,tokenize_long_quote,1,2808,13623.789,17672.000,true
before,1,end_trivia,1,219372,66.915,48.000,true
before,1,walk_bounds_large,1,1191,16660.705,24768.000,true
before,1,end_custom,1,262144,24.761,48.000,true
before,1,index_early,2,132183,251.711,264.000,true
before,1,tokenize_array,2,7964,3680.763,4248.000,true
before,1,index_quoted,2,305,102966.557,17736.000,true
before,1,read_mysql_dash,2,45310,396.008,736.000,true
before,1,classify_replace,2,146045,139.037,240.000,true
before,1,read_executable_comment,2,123114,160.916,344.000,true
before,1,read_insert_mutation,2,56338,496.166,712.000,true
before,1,read_insert_simple,2,1416,17273.234,20816.000,true
before,1,next_hash,2,77488,278.453,392.000,true
before,1,index_composite,2,23825,1468.332,1416.000,true
before,1,index_late,2,847,27496.340,32560.000,true
before,1,tokenize_unicode,2,17483,660.733,1168.000,true
before,1,read_insert_executable_comment,2,160979,123.312,344.000,true
before,1,select_simple,2,38540,883.028,1680.000,true
before,1,walk_bounds_hash,2,809,29879.604,43968.000,true
before,1,read_upsert,2,89675,210.288,440.000,true
before,1,select_quotes,2,46153,697.738,1200.000,true
before,1,classify_update,2,47878,572.434,1104.000,true
before,1,tokenize_keep_comments,2,615,2420.813,3504.000,true
before,1,tokenize_dense_concat_8192,2,121,151723.967,61720.000,true
before,1,tokenize_simple,2,38642,788.554,1216.000,true
before,1,read_multiple,2,7226,3791.890,5360.000,true
before,1,walk_tokens_large,2,372,80599.731,75328.000,true
before,1,tokenize_dense_concat_1024,2,922,22812.473,7960.000,true
before,1,classify_delete,2,48972,458.793,1200.000,true
before,1,read_large,2,103,273675.728,236816.000,true
before,1,end_empty,2,262144,28.461,48.000,true
before,1,walk_tokens_simple,2,9237,1890.311,2448.000,true
before,1,tokenize_tiny,2,226926,101.205,200.000,true
before,1,read_insert_upsert,2,4479,2465.171,3368.000,true
before,1,read_insert,2,151574,135.657,320.000,true
before,1,next_custom,2,262144,64.359,96.000,true
before,1,next_quote,2,502,26967.729,8808.000,true
before,1,index_missing,2,887,27622.097,32152.000,true
before,1,walk_tokens_hash,2,448,47759.375,89376.000,true
before,1,read_insert_large,2,56,363878.571,453200.000,true
before,1,read_insert_literal,2,1769,7475.071,8048.000,true
before,1,tokenize_dense_concat_256,2,3743,6110.259,2200.000,true
before,1,read_cte,2,716,16974.022,24368.000,true
before,1,select_ambiguous,2,45552,493.831,1296.000,true
before,1,read_comments,2,224,39058.929,29200.000,true
before,1,read_insert_comments,2,334,67434.731,46416.000,true
before,1,end_quote,2,1698,16044.641,48.000,true
before,1,tokenize_hash_identifiers,2,1965,13834.453,16576.000,true
before,1,walk_bounds_large,2,1191,24056.843,24768.000,true
before,1,read_insert_insert,2,2942,7903.807,8368.000,true
before,1,next_word,2,262144,67.736,96.000,true
before,1,select_cte,2,8144,3291.503,4944.000,true
before,1,tokenize_dense_concat_4096,2,241,93742.739,31000.000,true
before,1,index_hash,2,2315,9395.421,16304.000,true
before,1,read_insert_mysql_dash,2,36415,501.524,736.000,true
before,1,tokenize_large,2,991,27909.586,38120.000,true
before,1,tokenize_custom,2,52893,397.338,632.000,true
before,1,tokenize_long_quote,2,2808,11581.090,17672.000,true
before,1,read_mutation,2,39185,362.164,712.000,true
before,1,read_simple,2,2295,10124.357,11280.000,true
before,1,index_near_matches,2,387,67958.140,80544.000,true
before,1,index_from_inside_quote,2,60695,388.477,464.000,true
before,1,read_literal,2,4935,5766.586,5424.000,true
before,1,end_trivia,2,219372,48.895,48.000,true
before,1,next_empty,2,262144,43.810,48.000,true
before,1,index_whitespace,2,248478,85.192,120.000,true
before,1,walk_bounds_simple,2,47008,411.700,816.000,true
before,1,next_trivia,2,232431,91.504,96.000,true
before,1,read_hash,2,130,63007.692,85464.000,true
before,1,end_custom,2,262144,16.534,48.000,true
before,1,end_word,2,262144,27.148,48.000,true
before,1,select_parenthesized,2,29327,437.440,1136.000,true
before,1,tokenize_backslashes,2,73617,300.990,488.000,true
before,1,end_hash,2,133415,150.708,344.000,true
before,1,config_default,2,2790,6666.057,12528.000,true
before,1,config_custom,2,2584,7286.146,13560.000,true
before,1,walk_tokens_comments,2,6345,4451.474,5760.000,true
before,1,read_insert_hash,2,213,108374.178,98072.000,true
before,1,read_insert_quoted_large,2,32,501246.875,251280.000,true
before,1,index_composite_comments,2,44205,473.360,720.000,true
before,1,index_custom_composite,2,24807,804.003,888.000,true
before,1,tokenize_comments,2,2944,1475.000,2464.000,true
before,1,tokenize_hash_rows,2,1563,9821.561,5768.000,true
before,1,read_insert_cte,2,450,24824.889,38512.000,true
before,1,walk_bounds_comments,2,13015,1348.390,1920.000,true
before,1,read_insert_multiple,2,2202,6591.871,7216.000,true
before,1,index_custom_separator,2,173776,160.892,216.000,true
before,1,classify_insert,2,49968,502.750,1136.000,true
before,1,tokenize_mybatis,2,6505,3579.032,5800.000,true
before,1,read_quoted_large,2,49,339885.714,248656.000,true
before,1,index_sensitive,2,54601,393.703,528.000,true
before,1,end_empty,3,262144,44.380,48.000,true
before,1,read_insert_comments,3,334,65397.305,46416.000,true
before,1,index_custom_separator,3,173776,191.900,216.000,true
before,1,walk_tokens_comments,3,6345,4250.008,5760.000,true
before,1,classify_replace,3,146045,184.966,240.000,true
before,1,read_insert_large,3,56,532416.071,453200.000,true
before,1,index_hash,3,2315,15762.333,16304.000,true
before,1,read_insert_mysql_dash,3,36415,539.451,736.000,true
