version,fork,case,round,operations,ns_per_op,bytes_per_op,equivalent
current,5,tokenize_hash_identifiers,1,2931,13030.399,1984.000,true
current,5,walk_bounds_large,1,1248,25060.497,0.000,true
current,5,config_custom,1,486,38730.247,6895.128,true
current,5,select_quotes,1,175794,160.744,192.000,true
current,5,walk_tokens_simple,1,22257,884.688,576.000,true
current,5,tokenize_backslashes,1,112990,209.842,344.000,true
current,5,read_hash,1,1699,12500.883,2408.000,true
current,5,tokenize_dense_concat_4096,1,390,52661.538,30904.000,true
current,5,end_word,1,262144,28.100,0.000,true
current,5,index_whitespace,1,262144,42.725,0.000,true
current,5,end_empty,1,262144,30.905,0.000,true
current,5,read_literal,1,26849,849.037,720.000,true
current,5,read_insert_insert,1,21751,1027.461,704.000,true
current,5,walk_bounds_simple,1,46908,425.802,0.000,true
current,5,read_insert_literal,1,11601,1202.569,800.000,true
current,5,index_early,1,262144,64.293,0.000,true
current,5,read_insert_comments,1,1299,17001.232,6936.000,true
current,5,read_insert_mutation,1,70615,254.983,200.000,true
current,5,walk_tokens_comments,1,11704,1766.917,192.000,true
current,5,tokenize_mybatis,1,9209,2588.696,3496.000,true
current,5,end_quote,1,139718,137.643,0.000,true
current,5,tokenize_array,1,35378,832.715,4248.000,true
current,5,select_simple,1,183843,158.933,48.000,true
current,5,read_simple,1,6278,1566.040,1392.000,true
current,5,classify_update,1,258464,78.982,48.000,true
current,5,tokenize_large,1,1015,23203.941,25832.000,true
current,5,index_custom_composite,1,55972,365.888,0.000,true
current,5,read_cte,1,6358,3422.177,4488.000,true
current,5,read_large,1,486,45693.210,27248.000,true
current,5,read_insert_quoted_large,1,1776,12703.097,26864.000,true
current,5,tokenize_hash_rows,1,1831,9593.282,3176.000,true
current,5,read_insert_executable_comment,1,204443,101.662,0.000,true
current,5,next_trivia,1,262144,66.242,48.000,true
current,5,index_sensitive,1,105500,194.589,0.000,true
current,5,tokenize_dense_concat_8192,1,203,107536.453,61624.000,true
current,5,next_word,1,262144,36.676,48.000,true
current,5,read_insert_multiple,1,25175,793.593,664.000,true
current,5,index_from_inside_quote,1,144455,140.045,0.000,true
current,5,next_empty,1,262144,33.583,0.000,true
current,5,read_multiple,1,38138,563.241,584.000,true
current,5,tokenize_comments,1,10115,1190.588,736.000,true
current,5,index_hash,1,3084,7149.254,632.000,true
current,5,read_insert_large,1,288,64092.361,27328.000,true
current,5,classify_insert,1,239927,92.677,48.000,true
current,5,next_quote,1,23218,1178.297,8760.000,true
current,5,end_hash,1,183972,114.139,200.000,true
current,5,read_insert_hash,1,1410,15025.603,2488.000,true
current,5,classify_delete,1,221833,86.168,48.000,true
current,5,tokenize_keep_comments,1,17571,1402.954,1776.000,true
current,5,read_mysql_dash,1,70524,291.013,400.000,true
current,5,walk_bounds_comments,1,23167,893.189,0.000,true
current,5,read_insert,1,262144,12.031,0.000,true
current,5,index_composite,1,49050,448.589,0.000,true
current,5,tokenize_unicode,1,57359,384.149,848.000,true
current,5,next_hash,1,140011,130.233,248.000,true
current,5,classify_replace,1,262144,60.199,0.000,true
current,5,read_insert_simple,1,8975,2597.582,1472.000,true
current,5,read_upsert,1,262144,12.159,0.000,true
current,5,index_composite_comments,1,142861,143.100,0.000,true
current,5,config_default,1,262144,10.376,24.000,true
current,5,read_comments,1,508,10892.520,6776.000,true
current,5,walk_bounds_hash,1,836,21358.852,7584.000,true
current,5,index_missing,1,1302,15454.301,0.000,true
current,5,select_cte,1,36520,608.757,1080.000,true
current,5,walk_tokens_large,1,565,33775.929,13504.000,true
current,5,read_insert_cte,1,4720,4573.178,4568.000,true
current,5,read_insert_upsert,1,14423,911.662,112.000,true
current,5,tokenize_dense_concat_256,1,6309,3735.964,2104.000,true
current,5,tokenize_tiny,1,262144,64.425,152.000,true
current,5,read_insert_mysql_dash,1,58908,302.244,400.000,true
current,5,walk_tokens_hash,1,555,41500.721,15936.000,true
current,5,index_quoted,1,4840,3566.074,0.000,true
current,5,index_custom_separator,1,240341,84.831,48.000,true
current,5,tokenize_dense_concat_1024,1,1552,16396.327,7864.000,true
current,5,tokenize_custom,1,66798,324.709,392.000,true
current,5,select_parenthesized,1,241813,97.714,48.000,true
current,5,select_ambiguous,1,57666,380.377,1008.000,true
current,5,next_custom,1,262144,23.181,48.000,true
current,5,index_near_matches,1,1316,16198.936,0.000,true
current,5,end_custom,1,262144,14.592,0.000,true
current,5,read_executable_comment,1,231315,100.732,0.000,true
current,5,tokenize_long_quote,1,14492,1985.219,17624.000,true
current,5,tokenize_simple,1,37926,678.384,976.000,true
current,5,end_trivia,1,262144,55.884,0.000,true
