version,case,fork,ns,bytes
baseline,read_insert_literal,1,6089.622,7424
baseline,read_insert_literal,2,6488.037,7424
baseline,read_insert_literal,3,6432.628,7424
baseline,read_insert_literal,4,7181.772,7424
baseline,read_insert_literal,5,6414.887,7424
baseline,end_quote,1,8776.233,0
baseline,end_quote,2,8056.77,0
baseline,end_quote,3,8828.598,0
baseline,end_quote,4,8693.727,0
baseline,end_quote,5,7903.066,0
baseline,classify_insert,1,428.282,896
baseline,classify_insert,2,386.619,896
baseline,classify_insert,3,453.14,896
baseline,classify_insert,4,379.742,896
baseline,classify_insert,5,379.999,896
baseline,select_cte,1,3611.67,4896
baseline,select_cte,2,2652.051,4896
baseline,select_cte,3,2947.253,4896
baseline,select_cte,4,2525.306,4896
baseline,select_cte,5,2585.426,4896
baseline,index_near_matches,1,3175837.5,3275376
baseline,index_near_matches,2,3267662.5,3287712
baseline,index_near_matches,3,3968312.5,3275376
baseline,index_near_matches,4,3011657.143,3275376
baseline,index_near_matches,5,2590300,3275376
baseline,index_early,1,226.182,120
baseline,index_early,2,198.949,120
baseline,index_early,3,242.252,120
baseline,index_early,4,193.286,120
baseline,index_early,5,175.355,120
baseline,read_insert_quoted_large,1,406852.459,110528
baseline,read_insert_quoted_large,2,417247.368,110528
baseline,read_insert_quoted_large,3,439027.451,110528
baseline,read_insert_quoted_large,4,474542.553,110528
baseline,read_insert_quoted_large,5,380493.22,110528
baseline,read_insert_simple,1,12646.748,16928
baseline,read_insert_simple,2,12382.881,16928
baseline,read_insert_simple,3,12331.756,16928
baseline,read_insert_simple,4,12214.912,16928
baseline,read_insert_simple,5,12381.045,16928
baseline,read_insert,1,111.923,224
baseline,read_insert,2,98.116,224
baseline,read_insert,3,102.113,224
baseline,read_insert,4,95.765,224
baseline,read_insert,5,96.952,224
baseline,read_cte,1,17597.42,20064
baseline,read_cte,2,16705.963,20064
baseline,read_cte,3,20160.463,19968
baseline,read_cte,4,15154.573,20064
baseline,read_cte,5,15944.699,20064
baseline,tokenize_dense_concat_8192,1,509137.5,61720
baseline,tokenize_dense_concat_8192,2,347231.343,61720
baseline,tokenize_dense_concat_8192,3,454358.462,61720
baseline,tokenize_dense_concat_8192,4,322577.778,61720
baseline,tokenize_dense_concat_8192,5,457660.606,61720
baseline,read_insert_hash,1,2801514.286,2562784
baseline,read_insert_hash,2,2804671.429,2562784
baseline,read_insert_hash,3,2869988.889,2562784
baseline,read_insert_hash,4,2635655.556,2562784
baseline,read_insert_hash,5,2595512.5,2562784
baseline,next_trivia,1,154.912,48
baseline,next_trivia,2,116.311,48
baseline,next_trivia,3,157.188,48
baseline,next_trivia,4,99.22,48
baseline,next_trivia,5,115.646,48
baseline,index_late,1,121232.203,64616
baseline,index_late,2,109158.454,77024
baseline,index_late,3,157361.429,64616
baseline,index_late,4,104018.468,64616
baseline,index_late,5,98515.104,64616
baseline,read_insert_comments,1,35046.711,33664
baseline,read_insert_comments,2,37626.431,33664
baseline,read_insert_comments,3,37084.81,33664
baseline,read_insert_comments,4,38538.921,33664
baseline,read_insert_comments,5,36985.075,33664
baseline,read_comments,1,21601.953,16448
baseline,read_comments,2,21329.973,16448
baseline,read_comments,3,18816.216,16352
baseline,read_comments,4,19640.857,16448
baseline,read_comments,5,20251.563,16448
baseline,read_insert_insert,1,5343.191,7168
baseline,read_insert_insert,2,4929.042,7168
baseline,read_insert_insert,3,4678.362,7168
baseline,read_insert_insert,4,4840.681,7168
