version,case,forks,median_ns,min_fork_ns,max_fork_ns,bytes_per_op,equivalent_results
baseline,classify_delete,5,446.441,391.374,509.532,960,true
baseline-control,classify_delete,3,488.441,395.47,499.899,960,true
before,classify_delete,1,532.545,532.545,532.545,1200,true
current,classify_delete,5,94.416,90.775,110.067,48,true
baseline,classify_insert,5,386.619,379.742,453.14,896,true
baseline-control,classify_insert,3,399.572,377.14,405.948,896,true
before,classify_insert,1,449.654,449.654,449.654,1136,true
current,classify_insert,5,91.65,86.29,131.781,48,true
baseline,classify_replace,5,137.176,132.264,151.606,192,true
baseline-control,classify_replace,3,137.443,129.935,153.553,192,true
before,classify_replace,1,139.037,139.037,139.037,240,true
current,classify_replace,5,66.268,64.803,100.902,0,true
baseline,classify_update,5,422.246,363.918,425.22,864,true
baseline-control,classify_update,3,419.215,386.633,445.26,864,true
before,classify_update,1,428.218,428.218,428.218,1104,true
current,classify_update,5,81.164,77.379,96.652,48,true
baseline,config_custom,5,3195.975,2872.255,3483.693,10288,true
baseline-control,config_custom,3,3336.5,3087.624,3421.534,10288,true
before,config_custom,1,5289.125,5289.125,5289.125,13560,true
current,config_custom,5,3057.54,2385.077,3302.675,6704,true
baseline,config_default,5,3033.162,2799.573,3187.547,9880,true
baseline-control,config_default,3,3274.243,2942.428,3328.967,9880,true
before,config_default,1,4820.824,4820.824,4820.824,12528,true
current,config_default,5,10.126,7.778,11.129,24,true
baseline,end_custom,5,127.456,107.02,239.791,0,true
baseline-control,end_custom,3,257.924,234.828,260.761,0,true
before,end_custom,1,16.814,16.814,16.814,48,true
current,end_custom,5,14.957,14.592,16.643,0,true
baseline,end_empty,5,38.146,36.317,40.052,0,true
baseline-control,end_empty,3,42.076,36.67,45.581,0,true
before,end_empty,1,28.619,28.619,28.619,48,true
current,end_empty,5,32.87,31.664,36.349,0,true
baseline,end_hash,5,464.63,349.564,546.701,288,true
baseline-control,end_hash,3,500.933,485.198,554.25,288,true
before,end_hash,1,153.163,153.163,153.163,344,true
current,end_hash,5,117.007,101.624,130.446,200,true
baseline,end_quote,5,8693.727,7903.066,8828.598,0,true
baseline-control,end_quote,3,8462.577,7903.923,8612.486,0,true
before,end_quote,1,16044.641,16044.641,16044.641,48,true
current,end_quote,5,151.493,138.816,154.229,0,true
baseline,end_trivia,5,85.084,78.982,108.544,0,true
baseline-control,end_trivia,3,74.557,73.693,82.77,0,true
before,end_trivia,1,62.066,62.066,62.066,48,true
current,end_trivia,5,59.216,56.29,70.175,0,true
baseline,end_word,5,38.994,37.074,63.914,0,true
baseline-control,end_word,3,46.22,37.455,50.594,0,true
before,end_word,1,30.916,30.916,30.916,48,true
current,end_word,5,29.182,28.222,39.862,0,true
baseline,index_composite,5,2652.538,2204.036,3633.583,2256,true
baseline-control,index_composite,3,2682.945,2587.741,3232.688,2256,true
before,index_composite,1,1047.48,1047.48,1047.48,1416,true
current,index_composite,5,446.717,432.208,608.552,0,true
baseline,index_composite_comments,5,730.373,638.601,927.142,792,true
baseline-control,index_composite_comments,3,712.059,626.767,909.485,792,true
before,index_composite_comments,1,489.494,489.494,489.494,720,true
current,index_composite_comments,5,150.263,147.775,184.162,0,true
baseline,index_custom_composite,5,1202.69,1108.828,1592.019,792,true
baseline-control,index_custom_composite,3,1508.178,1450.483,1928.642,792,true
before,index_custom_composite,1,817.37,817.37,817.37,888,true
current,index_custom_composite,5,412.934,383.883,475.227,0,true
baseline,index_custom_separator,5,1800.008,1634.945,2220.521,968,false
baseline-control,index_custom_separator,3,2121.774,2092.532,2676.374,968,false
before,index_custom_separator,1,140.599,140.599,140.599,216,true
current,index_custom_separator,5,103.64,87.138,112.82,48,true
baseline,index_early,5,198.949,175.355,242.252,120,true
baseline-control,index_early,3,182.847,182.573,185.938,120,true
before,index_early,1,187.82,187.82,187.82,264,true
current,index_early,5,75.383,65.841,82.428,0,true
baseline,index_from_inside_quote,5,433.698,365.203,539.57,464,true
baseline-control,index_from_inside_quote,3,390.957,337.19,409.65,464,true
before,index_from_inside_quote,1,388.477,388.477,388.477,464,true
current,index_from_inside_quote,5,162.152,146.84,229.427,0,true
baseline,index_hash,5,135330.519,131899.398,138285.714,128880,true
baseline-control,index_hash,3,127370.69,121888.268,140235.593,128880,true
before,index_hash,1,10209.114,10209.114,10209.114,16304,true
current,index_hash,5,7352.367,7280.911,7679.635,632,true
baseline,index_late,5,109158.454,98515.104,157361.429,64616,true
baseline-control,index_late,3,144779.565,123400.87,152988.382,64616,true
before,index_late,1,30004.25,30004.25,30004.25,32560,true
current,index_late,5,20179.819,15941.088,20587.315,0,true
baseline,index_missing,5,59609.84,47689.589,97405.514,50728,true
baseline-control,index_missing,3,65824.45,63244.676,80243.355,50728,true
before,index_missing,1,27509.583,27509.583,27509.583,32152,true
current,index_missing,5,18156.667,16064.209,21293.119,0,true
baseline,index_near_matches,5,3175837.5,2590300,3968312.5,3275376,true
baseline-control,index_near_matches,3,2521444.444,2470100,2705244.444,3275376,true
before,index_near_matches,1,67958.14,67958.14,67958.14,80544,true
current,index_near_matches,5,17294.666,15987.69,20359.255,0,true
baseline,index_quoted,5,67140.115,52605.014,74496.805,17664,true
baseline-control,index_quoted,3,68341.875,65659.821,73588.498,17664,true
before,index_quoted,1,79999.016,79999.016,79999.016,17736,true
current,index_quoted,5,4276.414,3652.128,5041.836,0,true
baseline,index_sensitive,5,497.885,423.585,667.224,480,true
baseline-control,index_sensitive,3,434.656,387.809,447.884,480,true
before,index_sensitive,1,393.703,393.703,393.703,528,true
current,index_sensitive,5,213.591,197.889,258.062,0,true
baseline,index_whitespace,5,103.489,94.077,147.665,72,true
baseline-control,index_whitespace,3,93.718,82.454,96.516,72,true
before,index_whitespace,1,89.019,89.019,89.019,120,true
current,index_whitespace,5,45.797,44.131,56.983,0,true
baseline,next_custom,5,242.837,134.984,305.339,48,false
baseline-control,next_custom,3,232.657,197.816,237.38,48,false
before,next_custom,1,46.669,46.669,46.669,96,true
current,next_custom,5,28.273,23.11,33.321,48,true
baseline,next_empty,5,62.021,45.855,69.495,0,true
baseline-control,next_empty,3,48.685,47.018,48.992,0,true
before,next_empty,1,45.482,45.482,45.482,48,true
current,next_empty,5,37.305,34.836,39.599,0,true
